date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.068981,0,35091605.0
2020-12-13,0,0,0,0.070998,0,36087956.0
2020-12-12,0,0,0,0.072016,0,36594512.0
2020-12-11,0,0,0,0.073491,0,37330306.0
2020-12-10,0,0,0,0.034345,0,17401847.0
2020-12-09,0,0,0,0.033775,0,17060546.0
2020-12-08,0,0,0,0.032019,0,16161797.0
2020-12-07,0,0,0,0.033446,0,16863598.0
2020-12-06,0,0,0,0.031678,0,15967447.0
2020-12-05,0,0,0,0.028833,0,14528309.0
2020-12-04,0,0,0,0.027882,0,14039399.0
2020-12-03,0,0,0,0.028197,0,14180971.0
2020-12-02,0,0,0,0.027215,0,13678799.0
2020-12-01,0,0,0,0.026692,0,13399253.0
2020-11-30,0,0,0,0.029601,0,14851625.0
2020-11-29,0,0,0,0.027579,0,13830099.0
2020-11-28,0,0,0,0.026036,0,13052508.0
2020-11-27,0,0,0,0.026272,0,13167105.0
2020-11-26,0,0,0,0.027834,0,13945637.0
2020-11-25,0,0,0,0.032323,0,16173948.0
2020-11-24,0,0,0,0.028281,0,14147141.0
2020-11-23,0,0,0,0.026712,0,13357994.0
2020-11-22,0,0,0,0.02579,0,12886594.0
2020-11-21,0,0,0,0.026296,0,13130379.0
2020-11-20,0,0,0,0.026347,0,13151949.0
2020-11-19,0,0,0,0.0246,0,12122232.0
2020-11-18,0,0,0,0.024578,0,12107414.0
2020-11-17,0,0,0,0.024312,0,11965447.0
2020-11-16,0,0,0,0.025105,0,12350494.0
2020-11-15,0,0,0,0.022448,0,11026905.0
2020-11-14,0,0,0,0.02159,0,10593612.0
2020-11-13,0,0,0,0.022365,0,10966184.0
2020-11-12,0,0,0,0.02265,0,11102576.0
2020-11-11,0,0,0,0.021619,0,10587711.0
2020-11-10,0,0,0,0.021525,0,10538149.0
2020-11-09,0,0,0,0.020904,0,10231043.0
2020-11-08,0,0,0,0.021356,0,10437883.0
2020-11-07,0,0,0,0.020708,0,10118602.0
2020-11-06,0,0,0,0.022285,0,10879077.0
2020-11-05,0,0,0,0.021981,0,10722510.0
2020-11-04,0,0,0,0.021946,0,10697831.0
2020-11-03,0,0,0,0.020323,0,9903505.0
2020-11-02,0,0,0,0.019148,0,9318820.0
2020-11-01,0,0,0,0.019505,0,9482697.0
2020-10-31,0,0,0,0.019649,0,9549329.0
2020-10-30,0,0,0,0.019134,0,9292026.0
2020-10-29,0,0,0,0.019553,0,9492424.0
2020-10-28,0,0,0,0.020062,0,9730250.0
2020-10-27,0,0,0,0.021179,0,10268784.0
2020-10-26,0,0,0,0.020847,0,10098364.0
2020-10-25,0,0,0,0.020727,0,10036731.0
2020-10-24,0,0,0,0.020623,0,9983239.0
2020-10-23,0,0,0,0.020193,0,9769621.0
2020-10-22,0,0,0,0.021815,0,10414425.0
2020-10-21,0,0,0,0.021496,0,10261895.0
2020-10-20,0,0,0,0.023325,0,11133494.0
2020-10-19,0,0,0,0.022586,0,10776771.0
2020-10-18,0,0,0,0.019415,0,9258516.0
2020-10-17,0,0,0,0.019185,0,9136249.0
2020-10-16,0,0,0,0.019506,0,9286287.0
2020-10-15,0,0,0,0.020264,0,9639297.0
2020-10-14,0,0,0,0.020976,0,9968821.0
2020-10-13,0,0,0,0.020452,0,9714623.0
2020-10-12,0,0,0,0.018624,0,8747678.0
2020-10-11,0,0,0,0.019252,0,9028164.0
2020-10-10,0,0,0,0.019578,0,9178263.0
2020-10-09,0,0,0,0.019184,0,8990151.0
2020-10-08,0,0,0,0.018867,0,8833372.0
2020-10-07,0,0,0,0.019484,0,9118788.0
2020-10-06,0,0,0,0.019484,0,9115004.0
2020-10-05,0,0,0,0.021895,0,10233056.0
2020-10-04,0,0,0,0.022425,0,10468277.0
2020-10-03,0,0,0,0.020586,0,9605614.0
2020-10-02,0,0,0,0.020712,0,9660965.0
2020-10-01,0,0,0,0.020176,0,9405154.0
2020-09-30,0,0,0,0.02023,0,9418450.0
2020-09-29,0,0,0,0.019549,0,9097473.0
2020-09-28,0,0,0,0.019984,0,9296587.0
2020-09-27,0,0,0,0.021013,0,9772004.0
2020-09-26,0,0,0,0.020991,0,9758531.0
2020-09-25,0,0,0,0.022983,0,10681128.0
2020-09-24,0,0,0,0.017471,0,8107650.0
2020-09-23,0,0,0,0.015821,0,7323794.0
2020-09-22,0,0,0,0.014987,0,6936096.0
2020-09-21,0,0,0,0.017065,0,7894891.0
2020-09-20,0,0,0,0.019787,0,9151113.0
2020-09-19,0,0,0,0.022355,0,10326262.0
2020-09-18,0,0,0,0.022261,0,10279736.0
2020-09-17,0,0,0,0.021243,0,9806261.0
2020-09-16,0,0,0,0.022235,0,10261059.0
2020-09-15,0,0,0,0.024084,0,11104474.0
2020-09-14,0,0,0,0.024794,0,11426092.0
2020-09-13,0,0,0,0.025226,0,11618672.0
2020-09-12,0,0,0,0.026119,0,12026430.0
2020-09-11,0,0,0,0.026289,0,12100443.0
2020-09-10,0,0,0,0.027308,0,12565440.0
2020-09-09,0,0,0,0.026851,0,12337290.0
2020-09-08,0,0,0,0.026906,0,12358486.0
2020-09-07,0,0,0,0.027853,0,12788532.0
2020-09-06,0,0,0,0.029732,0,13640975.0
2020-09-05,0,0,0,0.028692,0,13159312.0
2020-09-04,0,0,0,0.032357,0,14834812.0
2020-09-03,0,0,0,0.03074,0,14088916.0
2020-09-02,0,0,0,0.031098,0,14234831.0
2020-09-01,0,0,0,0.033403,0,15283796.0
2020-08-31,0,0,0,0.032358,0,14800734.0
2020-08-30,0,0,0,0.03147,0,14382841.0
2020-08-29,0,0,0,0.031401,0,14339498.0
2020-08-28,0,0,0,0.031683,0,14460476.0
2020-08-27,0,0,0,0.030496,0,13913673.0
2020-08-26,0,0,0,0.030391,0,13854972.0
2020-08-25,0,0,0,0.0298,0,13579753.0
2020-08-24,0,0,0,0.030672,0,13972090.0
2020-08-23,0,0,0,0.030591,0,13925183.0
2020-08-22,0,0,0,0.030657,0,13950005.0
2020-08-21,0,0,0,0.030688,0,13959803.0
2020-08-20,0,0,0,0.032738,0,14886791.0
2020-08-19,0,0,0,0.031737,0,14426612.0
2020-08-18,0,0,0,0.032845,0,14925086.0
2020-08-17,0,0,0,0.033129,0,15028843.0
2020-08-16,0,0,0,0.032497,0,14733984.0
2020-08-15,0,0,0,0.032359,0,14663328.0
2020-08-14,0,0,0,0.032212,0,14591893.0
2020-08-13,0,0,0,0.032384,0,14657440.0
2020-08-12,0,0,0,0.032867,0,14870508.0
2020-08-11,0,0,0,0.031695,0,14334083.0
2020-08-10,0,0,0,0.034451,0,15568008.0
2020-08-09,0,0,0,0.035414,0,15997371.0
2020-08-08,0,0,0,0.037659,0,17005802.0
2020-08-07,0,0,0,0.036491,0,16472618.0
2020-08-06,0,0,0,0.036813,0,16596399.0
2020-08-05,0,0,0,0.03584,0,16151106.0
2020-08-04,0,0,0,0.034316,0,15453406.0
2020-08-03,0,0,0,0.034789,0,15653803.0
2020-08-02,0,0,0,0.032166,0,14468080.0
2020-08-01,0,0,0,0.033962,0,15270941.0
2020-07-31,0,0,0,0.034431,0,15459193.0
2020-07-30,0,0,0,0.035018,0,15665120.0
2020-07-29,0,0,0,0.03451,0,15190112.0
2020-07-28,0,0,0,0.033183,0,14600890.0
2020-07-27,0,0,0,0.031799,0,13975952.0
2020-07-26,0,0,0,0.032366,0,14220371.0
2020-07-25,0,0,0,0.029581,0,12991948.0
2020-07-24,0,0,0,0.027332,0,11999615.0
2020-07-23,0,0,0,0.026914,0,11801681.0
2020-07-22,0,0,0,0.027099,0,11877957.0
