date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.011126,0,3524928.0
2020-12-13,0,0,0,0.012331,0,3906434.0
2020-12-12,0,0,0,0.012174,0,3856700.0
2020-12-11,0,0,0,0.011312,0,3583631.0
2020-12-10,0,0,0,0.012494,0,3958333.0
2020-12-09,0,0,0,0.012637,0,4003598.0
2020-12-08,0,0,0,0.013163,0,4170305.0
2020-12-07,0,0,0,0.013338,0,4225620.0
2020-12-06,0,0,0,0.013695,0,4338667.0
2020-12-05,0,0,0,0.013113,0,4154479.0
2020-12-04,0,0,0,0.013349,0,4228972.0
2020-12-03,0,0,0,0.013673,0,4331585.0
2020-12-02,0,0,0,0.013335,0,4224536.0
2020-12-01,0,0,0,0.014352,0,4546933.0
2020-11-30,0,0,0,0.014362,0,4550056.0
2020-11-29,0,0,0,0.013741,0,4353175.0
2020-11-28,0,0,0,0.013772,0,4363132.0
2020-11-27,0,0,0,0.014475,0,4585735.0
2020-11-26,0,0,0,0.014101,0,4467489.0
2020-11-25,0,0,0,0.013434,0,4256080.0
2020-11-24,0,0,0,0.014236,0,4509963.0
2020-11-23,0,0,0,0.014133,0,4477466.0
2020-11-22,0,0,0,0.014497,0,4592659.0
2020-11-21,0,0,0,0.014787,0,4684792.0
2020-11-20,0,0,0,0.015684,0,4968911.0
2020-11-19,0,0,0,0.011632,0,3685146.0
2020-11-18,0,0,0,0.010915,0,3458024.0
2020-11-17,0,0,0,0.009692,0,3070635.0
2020-11-16,0,0,0,0.009623,0,3048723.0
2020-11-15,0,0,0,0.008629,0,2733864.0
2020-11-14,0,0,0,0.008674,0,2748112.0
2020-11-13,0,0,0,0.009827,0,3113282.0
2020-11-12,0,0,0,0.009495,0,3008033.0
2020-11-11,0,0,0,0.009455,0,2995306.0
2020-11-10,0,0,0,0.008988,0,2847508.0
2020-11-09,0,0,0,0.008224,0,2605424.0
2020-11-08,0,0,0,0.008913,0,2823707.0
2020-11-07,0,0,0,0.008903,0,2820609.0
2020-11-06,0,0,0,0.008936,0,2831151.0
2020-11-05,0,0,0,0.008526,0,2701052.0
2020-11-04,0,0,0,0.008406,0,2663182.0
2020-11-03,0,0,0,0.008408,0,2663845.0
2020-11-02,0,0,0,0.008567,0,2713971.0
2020-11-01,0,0,0,0.007934,0,2513453.0
2020-10-31,0,0,0,0.007941,0,2515689.0
2020-10-30,0,0,0,0.00813,0,2575801.0
2020-10-29,0,0,0,0.008288,0,2625804.0
2020-10-28,0,0,0,0.008806,0,2789739.0
2020-10-27,0,0,0,0.010295,0,3261550.0
2020-10-26,0,0,0,0.006776,0,2146748.0
2020-10-25,0,0,0,0.009067,0,2872553.0
2020-10-24,0,0,0,0.00926,0,2933798.0
2020-10-23,0,0,0,0.009475,0,3001763.0
2020-10-22,0,0,0,0.009844,0,3118761.0
2020-10-21,0,0,0,0.009959,0,3155095.0
2020-10-20,0,0,0,0.010077,0,3192421.0
2020-10-19,0,0,0,0.010599,0,3357707.0
2020-10-18,0,0,0,0.009913,0,3140410.0
2020-10-17,0,0,0,0.009862,0,3124384.0
2020-10-16,0,0,0,0.010691,0,3387135.0
2020-10-15,0,0,0,0.010539,0,3338948.0
2020-10-14,0,0,0,0.010403,0,3295791.0
2020-10-13,0,0,0,0.010366,0,3284142.0
2020-10-12,0,0,0,0.010759,0,3408654.0
2020-10-11,0,0,0,0.009861,0,3124209.0
2020-10-10,0,0,0,0.00982,0,3110944.0
2020-10-09,0,0,0,0.009548,0,3024787.0
2020-10-08,0,0,0,0.008981,0,2845157.0
2020-10-07,0,0,0,0.008918,0,2825464.0
2020-10-06,0,0,0,0.008348,0,2644650.0
2020-10-05,0,0,0,0.009531,0,3019521.0
2020-10-04,0,0,0,0.009065,0,2871817.0
2020-10-03,0,0,0,0.00904,0,2863801.0
2020-10-02,0,0,0,0.011605,0,3676720.0
2020-10-01,0,0,0,0.008,0,2534628.0
2020-09-30,0,0,0,0.009384,0,2972808.0
2020-09-29,0,0,0,0.008924,0,2827061.0
2020-09-28,0,0,0,0.010198,0,3230842.0
2020-09-27,0,0,0,0.010693,0,3387724.0
2020-09-26,0,0,0,0.009,0,2851288.0
2020-09-25,0,0,0,0.009986,0,3163786.0
2020-09-24,0,0,0,0.010001,0,3168295.0
2020-09-23,0,0,0,0.010003,0,3169006.0
2020-09-22,0,0,0,0.010935,0,3464314.0
2020-09-21,0,0,0,0.010272,0,3254316.0
2020-09-20,0,0,0,0.010758,0,3408153.0
2020-09-19,0,0,0,0.011418,0,3617261.0
2020-09-18,0,0,0,0.011163,0,3536582.0
2020-09-17,0,0,0,0.010988,0,3481246.0
2020-09-16,0,0,0,0.011174,0,3540043.0
2020-09-15,0,0,0,0.011388,0,3607730.0
2020-09-14,0,0,0,0.011121,0,3523091.0
2020-09-13,0,0,0,0.011001,0,3485133.0
2020-09-12,0,0,0,0.011002,0,3485647.0
2020-09-11,0,0,0,0.010999,0,3484470.0
2020-09-10,0,0,0,0.010585,0,3353322.0
2020-09-09,0,0,0,0.010571,0,3349016.0
2020-09-08,0,0,0,0.010555,0,3344052.0
2020-09-07,0,0,0,0.0109,0,3453072.0
2020-09-06,0,0,0,0.011099,0,3516385.0
2020-09-05,0,0,0,0.010633,0,3368779.0
2020-09-04,0,0,0,0.011247,0,3563199.0
2020-09-03,0,0,0,0.011405,0,3613135.0
2020-09-02,0,0,0,0.01234,0,3909442.0
2020-09-01,0,0,0,0.01205,0,3817448.0
2020-08-31,0,0,0,0.011993,0,3799633.0
2020-08-30,0,0,0,0.01267,0,4014071.0
2020-08-29,0,0,0,0.012103,0,3834208.0
2020-08-28,0,0,0,0.012456,0,3946110.0
2020-08-27,0,0,0,0.011601,0,3675154.0
2020-08-26,0,0,0,0.012287,0,3892604.0
2020-08-25,0,0,0,0.012187,0,3860997.0
2020-08-24,0,0,0,0.013205,0,4183362.0
2020-08-23,0,0,0,0.012995,0,4116936.0
2020-08-22,0,0,0,0.014022,0,4442384.0
2020-08-21,0,0,0,0.014037,0,4447051.0
2020-08-20,0,0,0,0.014336,0,4541921.0
2020-08-19,0,0,0,0.014053,0,4452233.0
2020-08-18,0,0,0,0.014195,0,4497195.0
2020-08-17,0,0,0,0.013884,0,4398586.0
2020-08-16,0,0,0,0.014719,0,4663151.0
2020-08-15,0,0,0,0.014898,0,4719858.0
2020-08-14,0,0,0,0.014407,0,4564407.0
2020-08-13,0,0,0,0.015174,0,4807210.0
2020-08-12,0,0,0,0.014894,0,4718609.0
2020-08-11,0,0,0,0.014742,0,4670478.0
2020-08-10,0,0,0,0.015788,0,5001708.0
2020-08-09,0,0,0,0.015266,0,4836564.0
2020-08-08,0,0,0,0.015514,0,4914846.0
2020-08-07,0,0,0,0.015268,0,4837010.0
2020-08-06,0,0,0,0.016162,0,5120189.0
2020-08-05,0,0,0,0.017221,0,5455630.0
2020-08-04,0,0,0,0.015242,0,4828889.0
2020-08-03,0,0,0,0.016866,0,5343158.0
2020-08-02,0,0,0,0.015305,0,4848680.0
2020-08-01,0,0,0,0.015424,0,4886375.0
2020-07-31,0,0,0,0.014851,0,4704787.0
2020-07-30,0,0,0,0.014551,0,4609827.0
2020-07-29,0,0,0,0.014707,0,4659221.0
2020-07-28,0,0,0,0.012536,0,3971451.0
2020-07-27,0,0,0,0.0119,0,3769987.0
2020-07-26,0,0,0,0.011695,0,3704966.0
2020-07-25,0,0,0,0.012488,0,3956404.0
2020-07-24,0,0,0,0.012093,0,3831091.0
2020-07-23,0,0,0,0.011699,0,3706209.0
2020-07-22,0,0,0,0.011206,0,3550150.0
2020-07-21,0,0,0,0.010495,0,3324880.0
2020-07-20,0,0,0,0.010651,0,3374449.0
2020-07-19,0,0,0,0.010866,0,3442413.0
2020-07-18,0,0,0,0.011245,0,3562618.0
2020-07-17,0,0,0,0.011393,0,3609282.0
2020-07-16,0,0,0,0.011479,0,3636521.0
2020-07-15,0,0,0,0.011891,0,3767236.0
2020-07-14,0,0,0,0.011514,0,3647683.0
2020-07-13,0,0,0,0.011768,0,3728074.0
2020-07-12,0,0,0,0.011935,0,3781133.0
2020-07-11,0,0,0,0.012036,0,3813115.0
2020-07-10,0,0,0,0.012216,0,3870305.0
2020-07-09,0,0,0,0.011842,0,3751638.0
2020-07-08,0,0,0,0.011337,0,3591681.0
2020-07-07,0,0,0,0.011301,0,3580385.0
2020-07-06,0,0,0,0.011657,0,3693116.0
2020-07-05,0,0,0,0.010903,0,3454208.0
2020-07-04,0,0,0,0.010848,0,3436743.0
2020-07-03,0,0,0,0.010805,0,3423100.0
2020-07-02,0,0,0,0.010931,0,3463172.0
2020-07-01,0,0,0,0.010558,0,3344854.0
2020-06-30,0,0,0,0.010291,0,3260180.0
2020-06-29,0,0,0,0.010857,0,3439604.0
2020-06-28,0,0,0,0.010648,0,3373366.0
2020-06-27,0,0,0,0.011205,0,3549860.0
2020-06-26,0,0,0,0.011524,0,3650819.0
2020-06-25,0,0,0,0.010947,0,3468151.0
2020-06-24,0,0,0,0.010932,0,3463330.0
2020-06-23,0,0,0,0.011186,0,3543923.0
2020-06-22,0,0,0,0.011268,0,3569710.0
2020-06-21,0,0,0,0.010605,0,3359838.0
2020-06-20,0,0,0,0.011121,0,3523390.0
2020-06-19,0,0,0,0.011147,0,3531587.0
2020-06-18,0,0,0,0.01141,0,3614956.0
2020-06-17,0,0,0,0.01135,0,3595925.0
2020-06-16,0,0,0,0.011345,0,3594256.0
2020-06-15,0,0,0,0.010884,0,3448152.0
2020-06-14,0,0,0,0.011197,0,3547387.0
2020-06-13,0,0,0,0.011214,0,3552701.0
2020-06-12,0,0,0,0.011172,0,3539248.0
2020-06-11,0,0,0,0.010349,0,3278785.0
2020-06-10,0,0,0,0.010909,0,3456056.0
2020-06-09,0,0,0,0.011469,0,3633622.0
2020-06-08,0,0,0,0.011455,0,3629201.0
2020-06-07,0,0,0,0.01162,0,3681194.0
2020-06-06,0,0,0,0.01166,0,3693890.0
2020-06-05,0,0,0,0.011588,0,3671135.0
2020-06-04,0,0,0,0.011958,0,3788500.0
2020-06-03,0,0,0,0.01184,0,3750994.0
2020-06-02,0,0,0,0.011373,0,3602997.0
2020-06-01,0,0,0,0.01183,0,3747916.0
2020-05-31,0,0,0,0.012193,0,3862712.0
2020-05-30,0,0,0,0.011437,0,3623474.0
2020-05-29,0,0,0,0.012524,0,3967816.0
2020-05-28,0,0,0,0.012232,0,3875109.0
2020-05-27,0,0,0,0.012155,0,3850924.0
2020-05-26,0,0,0,0.011755,0,3724187.0
2020-05-25,0,0,0,0.011604,0,3676367.0
2020-05-24,0,0,0,0.011817,0,3743814.0
2020-05-23,0,0,0,0.01265,0,4007643.0
2020-05-22,0,0,0,0.012207,0,3867420.0
2020-05-21,0,0,0,0.012399,0,3928208.0
2020-05-20,0,0,0,0.012391,0,3925590.0
2020-05-19,0,0,0,0.013492,0,4274470.0
2020-05-18,0,0,0,0.012371,0,3919111.0
2020-05-17,0,0,0,0.01106,0,3503959.0
2020-05-16,0,0,0,0.01258,0,3985595.0
2020-05-15,0,0,0,0.01226,0,3884166.0
2020-05-14,0,0,0,0.012142,0,3846648.0
2020-05-13,0,0,0,0.011539,0,3655782.0
2020-05-12,0,0,0,0.012189,0,3861540.0
2020-05-11,0,0,0,0.011028,0,3493660.0
2020-05-10,0,0,0,0.011113,0,3520601.0
2020-05-09,0,0,0,0.011847,0,3753348.0
2020-05-08,0,0,0,0.011089,0,3513176.0
2020-05-07,0,0,0,0.011446,0,3626049.0
2020-05-06,0,0,0,0.01096,0,3472203.0
2020-05-05,0,0,0,0.010883,0,3447767.0
2020-05-04,0,0,0,0.01196,0,3788908.0
2020-05-03,0,0,0,0.009727,0,3081516.0
2020-05-02,0,0,0,0.010076,0,3192298.0
2020-05-01,0,0,0,0.010389,0,3291299.0
2020-04-30,0,0,0,0.009958,0,3154813.0
2020-04-29,0,0,0,0.010373,0,3286263.0
2020-04-28,0,0,0,0.009976,0,3160626.0
2020-04-27,0,0,0,0.00994,0,3149222.0
