date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.622274,0,32853289.0
2020-12-13,0,0,0,0.603458,0,31845512.0
2020-12-12,0,0,0,0.590279,0,31136047.0
2020-12-11,0,0,0,0.558331,0,29389742.0
2020-12-10,0,0,0,0.563451,0,29645886.0
2020-12-09,0,0,0,0.572966,0,30132936.0
2020-12-08,0,0,0,0.561428,0,29512821.0
2020-12-07,0,0,0,0.607455,0,31917856.0
2020-12-06,0,0,0,0.618424,0,32479527.0
2020-12-05,0,0,0,0.619712,0,32532443.0
2020-12-04,0,0,0,0.613249,0,32126066.0
2020-12-03,0,0,0,0.635402,0,33271520.0
2020-12-02,0,0,0,0.626001,0,32764385.0
2020-12-01,0,0,0,0.602978,0,31545044.0
2020-11-30,0,0,0,0.673083,0,35196623.0
2020-11-29,0,0,0,0.69991,0,36582852.0
2020-11-28,0,0,0,0.740765,0,38700649.0
2020-11-27,0,0,0,0.697331,0,36355190.0
2020-11-26,0,0,0,0.719047,0,37470267.0
2020-11-25,0,0,0,0.738855,0,38484898.0
2020-11-24,0,0,0,0.794884,0,41384496.0
2020-11-23,0,0,0,0.750426,0,39052023.0
2020-11-22,0,0,0,0.726819,0,37806236.0
2020-11-21,0,0,0,0.716113,0,37232375.0
2020-11-20,0,0,0,0.685064,0,35543095.0
2020-11-19,0,0,0,0.767278,0,39790414.0
2020-11-18,0,0,0,0.799983,0,41467450.0
2020-11-17,0,0,0,0.825508,0,42770928.0
2020-11-16,0,0,0,0.820627,0,42498538.0
2020-11-15,0,0,0,0.809044,0,41879503.0
2020-11-14,0,0,0,0.747707,0,38686670.0
2020-11-13,0,0,0,0.750137,0,38730286.0
2020-11-12,0,0,0,0.714354,0,36865786.0
2020-11-11,0,0,0,0.341191,0,17599836.0
2020-11-10,0,0,0,0.378519,0,19516369.0
2020-11-09,0,0,0,0.425136,0,21909793.0
2020-11-08,0,0,0,0.442146,0,22775917.0
2020-11-07,0,0,0,0.423675,0,21814381.0
2020-11-06,0,0,0,0.431475,0,22168798.0
2020-11-05,0,0,0,0.427908,0,21975351.0
2020-11-04,0,0,0,0.402146,0,20642767.0
2020-11-03,0,0,0,0.401356,0,20592710.0
2020-11-02,0,0,0,0.407165,0,20881082.0
2020-11-01,0,0,0,0.406666,0,20845999.0
2020-10-31,0,0,0,0.414387,0,21231931.0
2020-10-30,0,0,0,0.420642,0,21506406.0
2020-10-29,0,0,0,0.428987,0,21922849.0
2020-10-28,0,0,0,0.420753,0,21492079.0
2020-10-27,0,0,0,0.44741,0,22843104.0
2020-10-26,0,0,0,0.438762,0,22391130.0
2020-10-25,0,0,0,0.455519,0,23235543.0
2020-10-24,0,0,0,0.462758,0,23594033.0
2020-10-23,0,0,0,0.462902,0,23550763.0
2020-10-22,0,0,0,0.466435,0,23702001.0
2020-10-21,0,0,0,0.460035,0,23376827.0
2020-10-20,0,0,0,0.44072,0,22390960.0
2020-10-19,0,0,0,0.440037,0,22345859.0
2020-10-18,0,0,0,0.433552,0,22006258.0
2020-10-17,0,0,0,0.416332,0,21122307.0
2020-10-16,0,0,0,0.412325,0,20873641.0
2020-10-15,0,0,0,0.413555,0,20924494.0
2020-10-14,0,0,0,0.424229,0,21452930.0
2020-10-13,0,0,0,0.430859,0,21777336.0
2020-10-12,0,0,0,0.415571,0,20994180.0
2020-10-11,0,0,0,0.40099,0,20254193.0
2020-10-10,0,0,0,0.400832,0,20234674.0
2020-10-09,0,0,0,0.423896,0,21392148.0
2020-10-08,0,0,0,0.446517,0,22526555.0
2020-10-07,0,0,0,0.449076,0,22648367.0
2020-10-06,0,0,0,0.483511,0,24377249.0
2020-10-05,0,0,0,0.484928,0,24440865.0
2020-10-04,0,0,0,0.50416,0,25402036.0
2020-10-03,0,0,0,0.502137,0,25285660.0
2020-10-02,0,0,0,0.527895,0,26574236.0
2020-10-01,0,0,0,0.567171,0,28542218.0
2020-09-30,0,0,0,0.575326,0,28943346.0
2020-09-29,0,0,0,0.575549,0,28945290.0
2020-09-28,0,0,0,0.583553,0,29338506.0
2020-09-27,0,0,0,0.58989,0,29647661.0
2020-09-26,0,0,0,0.609001,0,30590744.0
2020-09-25,0,0,0,0.609215,0,30591643.0
2020-09-24,0,0,0,0.566326,0,28428865.0
2020-09-23,0,0,0,0.522243,0,26207649.0
2020-09-22,0,0,0,0.525357,0,26359538.0
2020-09-21,0,0,0,0.521253,0,26145280.0
2020-09-20,0,0,0,0.478877,0,24011993.0
2020-09-19,0,0,0,0.521534,0,26142534.0
2020-09-18,0,0,0,0.537702,0,26937493.0
2020-09-17,0,0,0,0.551104,0,27600070.0
2020-09-16,0,0,0,0.624837,0,31282700.0
2020-09-15,0,0,0,0.666716,0,33368763.0
2020-09-14,0,0,0,0.68474,0,34259883.0
2020-09-13,0,0,0,0.633187,0,31670251.0
2020-09-12,0,0,0,0.680648,0,34033241.0
2020-09-11,0,0,0,0.756387,0,37798800.0
2020-09-10,0,0,0,0.717217,0,35829735.0
2020-09-09,0,0,0,0.679957,0,33957359.0
2020-09-08,0,0,0,0.641661,0,32034396.0
2020-09-07,0,0,0,0.699646,0,34918122.0
2020-09-06,0,0,0,0.729743,0,36408315.0
2020-09-05,0,0,0,0.708732,0,35348700.0
2020-09-04,0,0,0,0.893627,0,44544802.0
2020-09-03,0,0,0,0.855458,0,42628224.0
2020-09-02,0,0,0,0.944748,0,47062349.0
2020-09-01,0,0,0,0.732782,0,36491452.0
