date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.54,0,32464336.0
2020-12-13,0,0,0,1.45,0,30595298.0
2020-12-12,0,0,0,1.51,0,31952123.0
2020-12-11,0,0,0,1.45,0,30668062.0
2020-12-10,0,0,0,1.48,0,31108470.0
2020-12-09,0,0,0,1.41,0,29805466.0
2020-12-08,0,0,0,1.41,0,29660962.0
2020-12-07,0,0,0,1.39,0,29318188.0
2020-12-06,0,0,0,1.32,0,27817432.0
2020-12-05,0,0,0,1.32,0,27697001.0
2020-12-04,0,0,0,1.28,0,26913288.0
2020-12-03,0,0,0,1.29,0,27073718.0
2020-12-02,0,0,0,1.33,0,27993401.0
2020-12-01,0,0,0,1.32,0,27788418.0
2020-11-30,0,0,0,1.27,0,26793595.0
2020-11-29,0,0,0,1.22,0,25591438.0
2020-11-28,0,0,0,1.21,0,25334671.0
2020-11-27,0,0,0,1.16,0,24463754.0
2020-11-26,0,0,0,1.17,0,24480292.0
2020-11-25,0,0,0,1.32,0,27672467.0
2020-11-24,0,0,0,2.19,0,45883343.0
2020-11-23,0,0,0,1.36,0,28573156.0
2020-11-22,0,0,0,1.28,0,26798908.0
2020-11-21,0,0,0,1.26,0,26462884.0
2020-11-20,0,0,0,1.16,0,24335633.0
2020-11-19,0,0,0,1.25,0,26103696.0
2020-11-18,0,0,0,1.88,0,39368505.0
2020-11-17,0,0,0,1.97,0,41154927.0
2020-11-16,0,0,0,1.48,0,31050056.0
2020-11-15,0,0,0,1.48,0,30922335.0
2020-11-14,0,0,0,1.48,0,30988205.0
2020-11-13,0,0,0,1.49,0,31219324.0
2020-11-12,0,0,0,1.62,0,33753043.0
2020-11-11,0,0,0,1.62,0,33844735.0
2020-11-10,0,0,0,1.62,0,33792596.0
2020-11-09,0,0,0,1.62,0,33764191.0
2020-11-08,0,0,0,1.68,0,35018579.0
2020-11-07,0,0,0,1.55,0,32371200.0
2020-11-06,0,0,0,1.62,0,33881397.0
2020-11-05,0,0,0,1.71,0,35745179.0
2020-11-04,0,0,0,1.56,0,32569751.0
2020-11-03,0,0,0,1.59,0,33135946.0
2020-11-02,0,0,0,1.55,0,32275800.0
