date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.169345,0,203575682.0
2020-12-13,0,0,0,0.177829,0,213775237.0
2020-12-12,0,0,0,0.178848,0,214999470.0
2020-12-11,0,0,0,0.167564,0,201434389.0
2020-12-10,0,0,0,0.173909,0,209062177.0
2020-12-09,0,0,0,0.186028,0,223613291.0
2020-12-08,0,0,0,0.185257,0,222683165.0
2020-12-07,0,0,0,0.183086,0,220024267.0
2020-12-06,0,0,0,0.187164,0,224924372.0
2020-12-05,0,0,0,0.190194,0,228565504.0
2020-12-04,0,0,0,0.181907,0,208033004.0
2020-12-03,0,0,0,0.194082,0,221956972.0
2020-12-02,0,0,0,0.195904,0,224040031.0
2020-12-01,0,0,0,0.187891,0,214876519.0
2020-11-30,0,0,0,0.196051,0,224208652.0
2020-11-29,0,0,0,0.191488,0,218990664.0
2020-11-28,0,0,0,0.1908,0,218193822.0
2020-11-27,0,0,0,0.182708,0,206929441.0
2020-11-26,0,0,0,0.176777,0,199802120.0
2020-11-25,0,0,0,0.209294,0,237014623.0
2020-11-24,0,0,0,0.222583,0,255107133.0
2020-11-23,0,0,0,0.197671,0,226550823.0
2020-11-22,0,0,0,0.188221,0,215720260.0
2020-11-21,0,0,0,0.198623,0,227641473.0
2020-11-20,0,0,0,0.187187,0,214525354.0
2020-11-19,0,0,0,0.176176,0,201896348.0
2020-11-18,0,0,0,0.176388,0,202137530.0
2020-11-17,0,0,0,0.185711,0,212822013.0
2020-11-16,0,0,0,0.183166,0,209904942.0
2020-11-15,0,0,0,0.175909,0,201588163.0
2020-11-14,0,0,0,0.178317,0,204348446.0
2020-11-13,0,0,0,0.176531,0,202292247.0
2020-11-12,0,0,0,0.171779,0,196846624.0
2020-11-11,0,0,0,0.180193,0,206488690.0
2020-11-10,0,0,0,0.209016,0,239474990.0
2020-11-09,0,0,0,0.145749,0,166988611.0
2020-11-08,0,0,0,0.145361,0,166543701.0
2020-11-07,0,0,0,0.13623,0,156076713.0
2020-11-06,0,0,0,0.132421,0,151713150.0
2020-11-05,0,0,0,0.119742,0,137187033.0
2020-11-04,0,0,0,0.122127,0,139919490.0
2020-11-03,0,0,0,0.127272,0,145813726.0
