date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.001754,0,14333255.0
2020-12-13,0,0,0,0.00163,0,13106538.0
2020-12-12,0,0,0,0.001627,0,13032760.0
2020-12-11,0,0,0,0.001568,0,12560302.0
2020-12-10,0,0,0,0.001598,0,12692360.0
2020-12-09,0,0,0,0.001622,0,12891561.0
2020-12-08,0,0,0,0.001642,0,13010175.0
2020-12-07,0,0,0,0.001855,0,14721265.0
2020-12-06,0,0,0,0.001633,0,13469442.0
2020-12-05,0,0,0,0.001676,0,13792471.0
2020-12-04,0,0,0,0.001607,0,13480418.0
2020-12-03,0,0,0,0.00166,0,13373688.0
2020-12-02,0,0,0,0.001721,0,13829012.0
2020-12-01,0,0,0,0.001589,0,13112942.0
2020-11-30,0,0,0,0.001546,0,13055047.0
2020-11-29,0,0,0,0.001492,0,12593546.0
2020-11-28,0,0,0,0.001487,0,12542250.0
2020-11-27,0,0,0,0.001466,0,12454835.0
2020-11-26,0,0,0,0.001481,0,12565877.0
2020-11-25,0,0,0,0.001631,0,13868049.0
2020-11-24,0,0,0,0.001548,0,13153067.0
2020-11-23,0,0,0,0.001514,0,12828813.0
2020-11-22,0,0,0,0.001453,0,12436024.0
2020-11-21,0,0,0,0.00146,0,12448847.0
2020-11-20,0,0,0,0.001412,0,11990374.0
2020-11-19,0,0,0,0.001357,0,11588932.0
2020-11-18,0,0,0,0.001373,0,11667384.0
2020-11-17,0,0,0,0.001407,0,11806594.0
2020-11-16,0,0,0,0.00146,0,12223999.0
2020-11-15,0,0,0,0.001429,0,11954664.0
2020-11-14,0,0,0,0.001442,0,12104319.0
2020-11-13,0,0,0,0.001481,0,12407695.0
2020-11-12,0,0,0,0.001457,0,12392965.0
2020-11-11,0,0,0,0.001483,0,12596215.0
2020-11-10,0,0,0,0.001435,0,12244209.0
2020-11-09,0,0,0,0.001394,0,11891454.0
2020-11-08,0,0,0,0.001405,0,12111814.0
2020-11-07,0,0,0,0.001362,0,11710578.0
2020-11-06,0,0,0,0.001439,0,12362149.0
2020-11-05,0,0,0,0.001338,0,11470721.0
2020-11-04,0,0,0,0.001302,0,10851025.0
2020-11-03,0,0,0,0.001297,0,10809225.0
2020-11-02,0,0,0,0.001348,0,11227766.0
2020-11-01,0,0,0,0.001376,0,11422882.0
2020-10-31,0,0,0,0.001365,0,11330494.0
2020-10-30,0,0,0,0.001348,0,11190575.0
2020-10-29,0,0,0,0.001408,0,11869410.0
2020-10-28,0,0,0,0.001415,0,11896241.0
2020-10-27,0,0,0,0.00147,0,12357314.0
2020-10-26,0,0,0,0.001486,0,12475446.0
2020-10-25,0,0,0,0.001524,0,12749927.0
2020-10-24,0,0,0,0.00155,0,13138676.0
2020-10-23,0,0,0,0.00155,0,13121145.0
2020-10-22,0,0,0,0.001545,0,13225841.0
2020-10-21,0,0,0,0.001553,0,13293913.0
2020-10-20,0,0,0,0.001509,0,12914249.0
2020-10-19,0,0,0,0.001545,0,13215727.0
2020-10-18,0,0,0,0.001564,0,13516635.0
2020-10-17,0,0,0,0.001577,0,13621267.0
2020-10-16,0,0,0,0.001587,0,13895925.0
2020-10-15,0,0,0,0.001518,0,13270410.0
2020-10-14,0,0,0,0.001556,0,13549171.0
2020-10-13,0,0,0,0.001616,0,14028027.0
2020-10-12,0,0,0,0.001635,0,13988385.0
2020-10-11,0,0,0,0.001642,0,14346613.0
2020-10-10,0,0,0,0.001688,0,14706391.0
2020-10-09,0,0,0,0.001669,0,14643740.0
2020-10-08,0,0,0,0.001543,0,13712017.0
2020-10-07,0,0,0,0.001477,0,13079822.0
2020-10-06,0,0,0,0.001446,0,12999388.0
2020-10-05,0,0,0,0.001549,0,13900646.0
2020-10-04,0,0,0,0.001589,0,13683652.0
2020-10-03,0,0,0,0.00159,0,13699558.0
2020-10-02,0,0,0,0.001598,0,13772344.0
2020-10-01,0,0,0,0.001639,0,14117678.0
2020-09-30,0,0,0,0.001662,0,14289998.0
2020-09-29,0,0,0,0.001643,0,14132226.0
2020-09-28,0,0,0,0.001656,0,14270996.0
2020-09-27,0,0,0,0.00167,0,14369498.0
2020-09-26,0,0,0,0.001668,0,14308096.0
2020-09-25,0,0,0,0.001666,0,14278637.0
2020-09-24,0,0,0,0.001685,0,14229874.0
2020-09-23,0,0,0,0.001586,0,13414022.0
2020-09-22,0,0,0,0.001734,0,14589854.0
2020-09-21,0,0,0,0.001699,0,14134974.0
2020-09-20,0,0,0,0.001922,0,15689900.0
2020-09-19,0,0,0,0.001936,0,15788940.0
2020-09-18,0,0,0,0.001964,0,21193463.0
2020-09-17,0,0,0,0.001778,0,14616164.0
2020-09-16,0,0,0,0.001722,0,14116482.0
2020-09-15,0,0,0,0.001753,0,14482884.0
2020-09-14,0,0,0,0.001832,0,15121009.0
2020-09-13,0,0,0,0.001677,0,14001332.0
2020-09-12,0,0,0,0.001773,0,14785181.0
2020-09-11,0,0,0,0.001722,0,14340849.0
2020-09-10,0,0,0,0.001786,0,14962360.0
2020-09-09,0,0,0,0.00152,0,13140860.0
2020-09-08,0,0,0,0.001481,0,12862775.0
2020-09-07,0,0,0,0.001491,0,13088606.0
2020-09-06,0,0,0,0.001529,0,13099150.0
2020-09-05,0,0,0,0.001449,0,12399131.0
2020-09-04,0,0,0,0.001603,0,13987340.0
2020-09-03,0,0,0,0.00153,0,13042041.0
2020-09-02,0,0,0,0.001872,0,16063621.0
2020-09-01,0,0,0,0.001998,0,17093080.0
2020-08-31,0,0,0,0.001989,0,16804617.0
2020-08-30,0,0,0,0.002047,0,17303777.0
2020-08-29,0,0,0,0.002025,0,17060697.0
2020-08-28,0,0,0,0.001994,0,16775511.0
2020-08-27,0,0,0,0.001962,0,16585521.0
2020-08-26,0,0,0,0.002064,0,17240249.0
2020-08-25,0,0,0,0.001995,0,16539496.0
2020-08-24,0,0,0,0.002106,0,17577960.0
2020-08-23,0,0,0,0.002052,0,17037246.0
2020-08-22,0,0,0,0.00208,0,17389281.0
2020-08-21,0,0,0,0.002039,0,17017001.0
2020-08-20,0,0,0,0.002117,0,15739778.0
2020-08-19,0,0,0,0.002077,0,17467931.0
2020-08-18,0,0,0,0.002123,0,17910241.0
2020-08-17,0,0,0,0.002214,0,18953026.0
2020-08-16,0,0,0,0.002194,0,19086498.0
2020-08-15,0,0,0,0.002179,0,19111558.0
2020-08-14,0,0,0,0.002182,0,19101251.0
2020-08-13,0,0,0,0.002178,0,18753755.0
2020-08-12,0,0,0,0.002147,0,18609371.0
2020-08-11,0,0,0,0.002142,0,18643867.0
2020-08-10,0,0,0,0.002218,0,19136626.0
2020-08-09,0,0,0,0.002142,0,18710672.0
2020-08-08,0,0,0,0.002106,0,12262933.0
2020-08-07,0,0,0,0.002076,0,18045035.0
2020-08-06,0,0,0,0.00207,0,18061163.0
2020-08-05,0,0,0,0.002077,0,18081169.0
2020-08-04,0,0,0,0.002145,0,17930914.0
2020-08-03,0,0,0,0.00219,0,17856990.0
2020-08-02,0,0,0,0.002393,0,19380876.0
2020-08-01,0,0,0,0.002457,0,19751131.0
2020-07-31,0,0,0,0.00252,0,19878791.0
2020-07-30,0,0,0,0.002116,0,17192465.0
2020-07-29,0,0,0,0.002113,0,17104062.0
2020-07-28,0,0,0,0.001919,0,15520551.0
2020-07-27,0,0,0,0.001866,0,15201720.0
2020-07-26,0,0,0,0.001991,0,16409874.0
2020-07-25,0,0,0,0.002083,0,17143560.0
2020-07-24,0,0,0,0.002114,0,11631853.0
2020-07-23,0,0,0,0.002158,0,17914468.0
2020-07-22,0,0,0,0.002123,0,17270885.0
2020-07-21,0,0,0,0.002099,0,17067252.0
2020-07-20,0,0,0,0.00213,0,17216804.0
2020-07-19,0,0,0,0.002119,0,17432775.0
2020-07-18,0,0,0,0.002104,0,17514668.0
2020-07-17,0,0,0,0.002143,0,17800364.0
2020-07-16,0,0,0,0.002121,0,17645530.0
2020-07-15,0,0,0,0.00209,0,17390868.0
2020-07-14,0,0,0,0.002049,0,17146434.0
2020-07-13,0,0,0,0.001963,0,16535381.0
2020-07-12,0,0,0,0.001994,0,16867827.0
2020-07-11,0,0,0,0.002061,0,17471870.0
2020-07-10,0,0,0,0.002035,0,17180665.0
2020-07-09,0,0,0,0.00191,0,15569495.0
2020-07-08,0,0,0,0.001892,0,15381011.0
2020-07-07,0,0,0,0.001882,0,15344323.0
2020-07-06,0,0,0,0.001913,0,15593247.0
2020-07-05,0,0,0,0.001898,0,15443199.0
2020-07-04,0,0,0,0.001994,0,16267301.0
2020-07-03,0,0,0,0.00184,0,15098191.0
2020-07-02,0,0,0,0.001783,0,14525960.0
2020-07-01,0,0,0,0.00184,0,14891481.0
2020-06-30,0,0,0,0.001857,0,14169887.0
2020-06-29,0,0,0,0.00173,0,13187685.0
2020-06-28,0,0,0,0.001735,0,13217333.0
2020-06-27,0,0,0,0.001709,0,13128499.0
2020-06-26,0,0,0,0.001796,0,13899257.0
2020-06-25,0,0,0,0.001822,0,14122436.0
2020-06-24,0,0,0,0.00187,0,14479799.0
2020-06-23,0,0,0,0.002011,0,15828141.0
2020-06-22,0,0,0,0.001966,0,15794143.0
2020-06-21,0,0,0,0.002003,0,16257018.0
2020-06-20,0,0,0,0.002014,0,16143953.0
2020-06-19,0,0,0,0.001861,0,14509260.0
2020-06-18,0,0,0,0.001823,0,14100358.0
2020-06-17,0,0,0,0.00183,0,14244308.0
2020-06-16,0,0,0,0.001805,0,14162608.0
2020-06-15,0,0,0,0.001717,0,13410010.0
2020-06-14,0,0,0,0.001785,0,13902986.0
2020-06-13,0,0,0,0.001867,0,14517325.0
2020-06-12,0,0,0,0.001764,0,13610784.0
2020-06-11,0,0,0,0.001643,0,12821166.0
2020-06-10,0,0,0,0.001933,0,15062679.0
2020-06-09,0,0,0,0.001837,0,14147144.0
2020-06-08,0,0,0,0.001857,0,14136097.0
2020-06-07,0,0,0,0.001893,0,13778015.0
2020-06-06,0,0,0,0.001907,0,13594312.0
2020-06-05,0,0,0,0.001776,0,12346987.0
2020-06-04,0,0,0,0.001796,0,12498725.0
2020-06-03,0,0,0,0.001748,0,12133979.0
2020-06-02,0,0,0,0.001653,0,11453220.0
2020-06-01,0,0,0,0.001714,0,11898657.0
2020-05-31,0,0,0,0.001655,0,11453430.0
2020-05-30,0,0,0,0.001764,0,12535174.0
2020-05-29,0,0,0,0.001777,0,12856148.0
2020-05-28,0,0,0,0.001783,0,13006432.0
2020-05-27,0,0,0,0.002093,0,15215311.0
2020-05-26,0,0,0,0.002471,0,17214837.0
2020-05-25,0,0,0,0.001918,0,12729516.0
2020-05-24,0,0,0,0.00147,0,9355027.0
2020-05-23,0,0,0,0.001515,0,9650466.0
2020-05-22,0,0,0,0.001577,0,9849114.0
2020-05-21,0,0,0,0.001422,0,8741206.0
2020-05-20,0,0,0,0.001352,0,8184452.0
2020-05-19,0,0,0,0.00138,0,8388800.0
2020-05-18,0,0,0,0.001365,0,8366713.0
2020-05-17,0,0,0,0.001362,0,8480728.0
2020-05-16,0,0,0,0.001415,0,8756725.0
2020-05-15,0,0,0,0.001209,0,7008695.0
2020-05-14,0,0,0,0.001186,0,6869594.0
2020-05-13,0,0,0,0.001211,0,7016036.0
2020-05-12,0,0,0,0.001198,0,6954514.0
2020-05-11,0,0,0,0.001164,0,6750768.0
2020-05-10,0,0,0,0.00117,0,6788328.0
2020-05-09,0,0,0,0.00131,0,7582007.0
2020-05-08,0,0,0,0.001325,0,7727907.0
2020-05-07,0,0,0,0.001336,0,8001096.0
2020-05-06,0,0,0,0.001331,0,8111309.0
2020-05-05,0,0,0,0.001364,0,8340412.0
2020-05-04,0,0,0,0.001315,0,7656241.0
2020-05-03,0,0,0,0.001337,0,7619200.0
2020-05-02,0,0,0,0.001338,0,7553086.0
2020-05-01,0,0,0,0.001327,0,7548998.0
2020-04-30,0,0,0,0.001279,0,7384228.0
2020-04-29,0,0,0,0.001321,0,7755267.0
2020-04-28,0,0,0,0.001288,0,7608809.0
