date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.005059,0,13750547.0
2020-12-13,0,0,0,0.004927,0,13389615.0
2020-12-12,0,0,0,0.004891,0,13287808.0
2020-12-11,0,0,0,0.004745,0,12886104.0
2020-12-10,0,0,0,0.004974,0,13503273.0
2020-12-09,0,0,0,0.00514,0,13949656.0
2020-12-08,0,0,0,0.00501,0,13570277.0
2020-12-07,0,0,0,0.005338,0,14459684.0
2020-12-06,0,0,0,0.005178,0,14037776.0
2020-12-05,0,0,0,0.005286,0,14317338.0
2020-12-04,0,0,0,0.005047,0,13671916.0
2020-12-03,0,0,0,0.005347,0,14482605.0
2020-12-02,0,0,0,0.00558,0,15107561.0
2020-12-01,0,0,0,0.005622,0,15215881.0
2020-11-30,0,0,0,0.005191,0,14044780.0
2020-11-29,0,0,0,0.005048,0,13655429.0
2020-11-28,0,0,0,0.005024,0,13585085.0
2020-11-27,0,0,0,0.004836,0,13070981.0
2020-11-26,0,0,0,0.004792,0,12841717.0
2020-11-25,0,0,0,0.005142,0,13778354.0
2020-11-24,0,0,0,0.005042,0,13510673.0
2020-11-23,0,0,0,0.005082,0,13618202.0
2020-11-22,0,0,0,0.004864,0,13125124.0
2020-11-21,0,0,0,0.004968,0,13400277.0
2020-11-20,0,0,0,0.004931,0,13296310.0
2020-11-19,0,0,0,0.004738,0,12697547.0
2020-11-18,0,0,0,0.004718,0,12712937.0
2020-11-17,0,0,0,0.004966,0,13308522.0
2020-11-16,0,0,0,0.00494,0,13239071.0
2020-11-15,0,0,0,0.004924,0,13256391.0
2020-11-14,0,0,0,0.004823,0,12925386.0
2020-11-13,0,0,0,0.004894,0,13167435.0
2020-11-12,0,0,0,0.004823,0,12923467.0
2020-11-11,0,0,0,0.004838,0,12965893.0
2020-11-10,0,0,0,0.004955,0,13278689.0
2020-11-09,0,0,0,0.004777,0,12834687.0
2020-11-08,0,0,0,0.004874,0,13091615.0
2020-11-07,0,0,0,0.004723,0,12682221.0
2020-11-06,0,0,0,0.004664,0,12519080.0
2020-11-05,0,0,0,0.004725,0,12661245.0
2020-11-04,0,0,0,0.004555,0,12216986.0
2020-11-03,0,0,0,0.004553,0,12201176.0
2020-11-02,0,0,0,0.004681,0,12544913.0
2020-11-01,0,0,0,0.004663,0,12494245.0
2020-10-31,0,0,0,0.004707,0,12609141.0
2020-10-30,0,0,0,0.004689,0,12555356.0
2020-10-29,0,0,0,0.005139,0,13755615.0
2020-10-28,0,0,0,0.005407,0,14467687.0
2020-10-27,0,0,0,0.00551,0,14738481.0
2020-10-26,0,0,0,0.005315,0,14212897.0
2020-10-25,0,0,0,0.005415,0,14473979.0
2020-10-24,0,0,0,0.005458,0,14585569.0
2020-10-23,0,0,0,0.005264,0,14061503.0
2020-10-22,0,0,0,0.005347,0,14271992.0
2020-10-21,0,0,0,0.005375,0,14346559.0
2020-10-20,0,0,0,0.00509,0,13583533.0
2020-10-19,0,0,0,0.005095,0,13591076.0
2020-10-18,0,0,0,0.005154,0,13682205.0
2020-10-17,0,0,0,0.00517,0,13783919.0
2020-10-16,0,0,0,0.004947,0,13184351.0
2020-10-15,0,0,0,0.004977,0,13213220.0
2020-10-14,0,0,0,0.005082,0,13534489.0
2020-10-13,0,0,0,0.005135,0,13631326.0
2020-10-12,0,0,0,0.005311,0,14135345.0
2020-10-11,0,0,0,0.005036,0,13397145.0
2020-10-10,0,0,0,0.005133,0,13625283.0
2020-10-09,0,0,0,0.005334,0,14158687.0
2020-10-08,0,0,0,0.005124,0,13615963.0
2020-10-07,0,0,0,0.005001,0,13276651.0
2020-10-06,0,0,0,0.004592,0,12194957.0
2020-10-05,0,0,0,0.004667,0,12388320.0
2020-10-04,0,0,0,0.004447,0,11801917.0
2020-10-03,0,0,0,0.004449,0,11707265.0
2020-10-02,0,0,0,0.004416,0,11710211.0
2020-10-01,0,0,0,0.004565,0,12012648.0
2020-09-30,0,0,0,0.004585,0,12148081.0
2020-09-29,0,0,0,0.004577,0,12123612.0
2020-09-28,0,0,0,0.004513,0,11875567.0
2020-09-27,0,0,0,0.004487,0,11806622.0
2020-09-26,0,0,0,0.004538,0,12008856.0
2020-09-25,0,0,0,0.004538,0,11941673.0
2020-09-24,0,0,0,0.004377,0,11575340.0
2020-09-23,0,0,0,0.004203,0,11111402.0
2020-09-22,0,0,0,0.004347,0,11491619.0
2020-09-21,0,0,0,0.004316,0,11357452.0
2020-09-20,0,0,0,0.004464,0,11745178.0
2020-09-19,0,0,0,0.004532,0,11924398.0
2020-09-18,0,0,0,0.004592,0,12121648.0
2020-09-17,0,0,0,0.004521,0,11931175.0
2020-09-16,0,0,0,0.004544,0,11983710.0
2020-09-15,0,0,0,0.004591,0,12079523.0
2020-09-14,0,0,0,0.004663,0,12270735.0
2020-09-13,0,0,0,0.004592,0,12084085.0
2020-09-12,0,0,0,0.004748,0,12507738.0
2020-09-11,0,0,0,0.004583,0,12060384.0
2020-09-10,0,0,0,0.00456,0,12003578.0
2020-09-09,0,0,0,0.004305,0,11326866.0
2020-09-08,0,0,0,0.004243,0,11160598.0
2020-09-07,0,0,0,0.004269,0,11226359.0
2020-09-06,0,0,0,0.004338,0,11403966.0
2020-09-05,0,0,0,0.004223,0,11097286.0
2020-09-04,0,0,0,0.00447,0,11743865.0
2020-09-03,0,0,0,0.004302,0,11297380.0
2020-09-02,0,0,0,0.004909,0,12886033.0
2020-09-01,0,0,0,0.004949,0,12986740.0
2020-08-31,0,0,0,0.004968,0,13032917.0
2020-08-30,0,0,0,0.005138,0,13474592.0
2020-08-29,0,0,0,0.005142,0,13479334.0
2020-08-28,0,0,0,0.005091,0,13342921.0
2020-08-27,0,0,0,0.004851,0,12708930.0
2020-08-26,0,0,0,0.005141,0,13464211.0
2020-08-25,0,0,0,0.005086,0,13315722.0
2020-08-24,0,0,0,0.005164,0,12922624.0
2020-08-23,0,0,0,0.005108,0,12782871.0
