date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.640061,0,30196988.0
2020-12-13,0,0,0,0.580205,0,27373068.0
2020-12-12,0,0,0,0.494905,0,23348804.0
2020-12-11,0,0,0,0.487208,0,22985638.0
2020-12-10,0,0,0,0.521962,0,24625288.0
2020-12-09,0,0,0,0.496376,0,23418198.0
2020-12-08,0,0,0,0.405174,0,19115441.0
2020-12-07,0,0,0,0.380503,0,17951484.0
2020-12-06,0,0,0,0.390279,0,18412681.0
2020-12-05,0,0,0,0.405542,0,19132788.0
2020-12-04,0,0,0,0.388576,0,18332351.0
2020-12-03,0,0,0,0.462775,0,21832960.0
2020-12-02,0,0,0,0.417854,0,19713663.0
2020-12-01,0,0,0,0.275747,0,13009284.0
2020-11-30,0,0,0,0.265405,0,12521371.0
2020-11-29,0,0,0,0.293619,0,13852448.0
2020-11-28,0,0,0,0.281049,0,13259394.0
2020-11-27,0,0,0,0.266104,0,12554342.0
2020-11-26,0,0,0,0.264896,0,12497333.0
2020-11-25,0,0,0,0.293232,0,13834191.0
2020-11-24,0,0,0,0.298864,0,14099893.0
2020-11-23,0,0,0,0.311928,0,14716251.0
2020-11-22,0,0,0,0.332035,0,15664856.0
2020-11-21,0,0,0,0.34059,0,16068454.0
2020-11-20,0,0,0,0.303605,0,14323593.0
2020-11-19,0,0,0,0.282265,0,13316794.0
2020-11-18,0,0,0,0.297201,0,14021435.0
2020-11-17,0,0,0,0.302929,0,14291701.0
2020-11-16,0,0,0,0.260728,0,12300705.0
2020-11-15,0,0,0,0.252399,0,11907757.0
2020-11-14,0,0,0,0.249194,0,11756565.0
2020-11-13,0,0,0,0.248111,0,11705473.0
2020-11-12,0,0,0,0.242316,0,11432049.0
2020-11-11,0,0,0,0.232637,0,10975407.0
2020-11-10,0,0,0,0.290546,0,13707455.0
2020-11-09,0,0,0,0.243482,0,11487058.0
2020-11-08,0,0,0,0.245324,0,11573983.0
2020-11-07,0,0,0,0.223549,0,10546650.0
2020-11-06,0,0,0,0.232305,0,10959757.0
2020-11-05,0,0,0,0.218025,0,10286052.0
2020-11-04,0,0,0,0.200655,0,9466554.0
2020-11-03,0,0,0,0.208442,0,9833958.0
2020-11-02,0,0,0,0.21519,0,10152298.0
2020-11-01,0,0,0,0.240405,0,11341902.0
2020-10-31,0,0,0,0.211915,0,9997808.0
2020-10-30,0,0,0,0.21752,0,10262244.0
2020-10-29,0,0,0,0.241001,0,11370011.0
2020-10-28,0,0,0,0.2149,0,10138631.0
2020-10-27,0,0,0,0.261893,0,12355672.0
2020-10-26,0,0,0,0.235655,0,11117787.0
2020-10-25,0,0,0,0.212315,0,10016664.0
2020-10-24,0,0,0,0.215663,0,10174606.0
2020-10-23,0,0,0,0.216589,0,10218290.0
2020-10-22,0,0,0,0.238861,0,11269054.0
2020-10-21,0,0,0,0.254171,0,11991374.0
2020-10-20,0,0,0,0.198866,0,9382146.0
2020-10-19,0,0,0,0.20038,0,9453608.0
2020-10-18,0,0,0,0.214989,0,10142810.0
2020-10-17,0,0,0,0.210233,0,9918451.0
2020-10-16,0,0,0,0.189033,0,8918259.0
2020-10-15,0,0,0,0.189398,0,6624819.0
2020-10-14,0,0,0,0.21364,0,7472755.0
2020-10-13,0,0,0,0.1929,0,6747319.0
2020-10-12,0,0,0,0.251221,0,8787277.0
2020-10-11,0,0,0,0.187699,0,6565397.0
2020-10-10,0,0,0,0.18079,0,6323725.0
2020-10-09,0,0,0,0.159665,0,5584808.0
2020-10-08,0,0,0,0.137026,0,4792944.0
2020-10-07,0,0,0,0.143934,0,5034573.0
2020-10-06,0,0,0,0.147377,0,5154993.0
2020-10-05,0,0,0,0.162457,0,5682456.0
2020-10-04,0,0,0,0.153461,0,5367800.0
2020-10-03,0,0,0,0.134439,0,4702438.0
2020-10-02,0,0,0,0.131096,0,4585532.0
2020-10-01,0,0,0,0.148819,0,5205436.0
2020-09-30,0,0,0,0.150739,0,5272593.0
2020-09-29,0,0,0,0.151469,0,5298145.0
2020-09-28,0,0,0,0.152542,0,5335676.0
2020-09-27,0,0,0,0.159041,0,5562977.0
2020-09-26,0,0,0,0.161867,0,5661850.0
2020-09-25,0,0,0,0.163588,0,5722015.0
2020-09-24,0,0,0,0.163139,0,5706335.0
2020-09-23,0,0,0,0.160896,0,5627883.0
2020-09-22,0,0,0,0.207299,0,7250975.0
2020-09-21,0,0,0,0.159407,0,5575782.0
2020-09-20,0,0,0,0.242603,0,8485854.0
2020-09-19,0,0,0,0.248418,0,8689249.0
2020-09-18,0,0,0,0.231787,0,8107518.0
2020-09-17,0,0,0,0.215198,0,7527264.0
2020-09-16,0,0,0,0.174116,0,6090286.0
2020-09-15,0,0,0,0.1823,0,6376551.0
2020-09-14,0,0,0,0.204144,0,7140603.0
2020-09-13,0,0,0,0.195658,0,6741835.0
2020-09-12,0,0,0,0.188366,0,6490598.0
2020-09-11,0,0,0,0.169567,0,5842835.0
2020-09-10,0,0,0,0.188163,0,6483585.0
2020-09-09,0,0,0,0.189027,0,6513349.0
2020-09-08,0,0,0,0.177822,0,6127261.0
2020-09-07,0,0,0,0.170444,0,5873058.0
2020-09-06,0,0,0,0.180286,0,6212168.0
2020-09-05,0,0,0,0.169809,0,5851167.0
2020-09-04,0,0,0,0.225246,0,7698767.0
2020-09-03,0,0,0,0.205452,0,7022205.0
2020-09-02,0,0,0,0.248769,0,8502758.0
2020-09-01,0,0,0,0.192325,0,6573524.0
2020-08-31,0,0,0,0.180678,0,6175459.0
2020-08-30,0,0,0,0.188697,0,6449538.0
2020-08-29,0,0,0,0.173795,0,5940200.0
2020-08-28,0,0,0,0.175574,0,6001007.0
2020-08-27,0,0,0,0.17202,0,5879526.0
2020-08-26,0,0,0,0.163612,0,5592138.0
2020-08-25,0,0,0,0.170561,0,5829669.0
2020-08-24,0,0,0,0.189529,0,6477980.0
2020-08-23,0,0,0,0.249911,0,8541770.0
2020-08-22,0,0,0,0.245106,0,8377548.0
2020-08-21,0,0,0,0.262954,0,8987571.0
2020-08-20,0,0,0,0.314234,0,10740309.0
2020-08-19,0,0,0,0.28751,0,9826891.0
2020-08-18,0,0,0,0.300778,0,10280388.0
2020-08-17,0,0,0,0.283584,0,9692716.0
2020-08-16,0,0,0,0.2557,0,8739644.0
2020-08-15,0,0,0,0.242507,0,8288711.0
2020-08-14,0,0,0,0.288831,0,9872058.0
2020-08-13,0,0,0,0.185098,0,6326535.0
2020-08-12,0,0,0,0.234628,0,8019429.0
2020-08-11,0,0,0,0.24528,0,8383488.0
2020-08-10,0,0,0,0.280853,0,9599348.0
2020-08-09,0,0,0,0.289006,0,9878014.0
2020-08-08,0,0,0,0.299514,0,10237196.0
2020-08-07,0,0,0,0.222609,0,7608608.0
2020-08-06,0,0,0,0.232712,0,7953948.0
2020-08-05,0,0,0,0.231591,0,7915636.0
2020-08-04,0,0,0,0.219659,0,7507788.0
2020-08-03,0,0,0,0.190721,0,6475977.0
2020-08-02,0,0,0,0.185618,0,6302701.0
2020-08-01,0,0,0,0.204656,0,6949149.0
2020-07-31,0,0,0,0.230749,0,7835170.0
2020-07-30,0,0,0,0.232643,0,7899461.0
2020-07-29,0,0,0,0.212369,0,7211047.0
2020-07-28,0,0,0,0.224739,0,7631091.0
2020-07-27,0,0,0,0.234785,0,7972203.0
2020-07-26,0,0,0,0.24905,0,8456553.0
2020-07-25,0,0,0,0.260494,0,8845146.0
2020-07-24,0,0,0,0.257376,0,8739285.0
2020-07-23,0,0,0,0.236636,0,8035051.0
2020-07-22,0,0,0,0.242146,0,8222153.0
2020-07-21,0,0,0,0.22077,0,7496324.0
2020-07-20,0,0,0,0.204552,0,6945643.0
2020-07-19,0,0,0,0.238495,0,8098163.0
2020-07-18,0,0,0,0.197821,0,6717067.0
2020-07-17,0,0,0,0.186608,0,6326989.0
2020-07-16,0,0,0,0.174972,0,5932488.0
2020-07-15,0,0,0,0.179088,0,6062530.0
2020-07-14,0,0,0,0.193908,0,6564220.0
2020-07-13,0,0,0,0.208064,0,7043457.0
2020-07-12,0,0,0,0.220477,0,7463658.0
2020-07-11,0,0,0,0.212232,0,7184551.0
2020-07-10,0,0,0,0.231487,0,7836369.0
2020-07-09,0,0,0,0.236142,0,7993939.0
2020-07-08,0,0,0,0.237107,0,8026631.0
2020-07-07,0,0,0,0.234811,0,7948878.0
2020-07-06,0,0,0,0.239049,0,8092349.0
2020-07-05,0,0,0,0.220231,0,7455334.0
2020-07-04,0,0,0,0.229122,0,7756324.0
2020-07-03,0,0,0,0.226722,0,7675056.0
2020-07-02,0,0,0,0.236541,0,8007474.0
2020-07-01,0,0,0,0.237266,0,8003263.0
2020-06-30,0,0,0,0.227762,0,7682691.0
2020-06-29,0,0,0,0.240038,0,8096760.0
2020-06-28,0,0,0,0.246175,0,8303761.0
2020-06-27,0,0,0,0.250937,0,8464390.0
2020-06-26,0,0,0,0.231292,0,7801737.0
2020-06-25,0,0,0,0.242143,0,8167775.0
2020-06-24,0,0,0,0.232242,0,7833775.0
2020-06-23,0,0,0,0.24443,0,8244907.0
2020-06-22,0,0,0,0.288575,0,9733956.0
2020-06-21,0,0,0,0.260185,0,8776341.0
2020-06-20,0,0,0,0.253234,0,8541871.0
2020-06-19,0,0,0,0.252542,0,8518540.0
2020-06-18,0,0,0,0.319122,0,10764342.0
2020-06-17,0,0,0,0.288547,0,9733008.0
2020-06-16,0,0,0,0.261249,0,8812219.0
2020-06-15,0,0,0,0.246747,0,8323064.0
2020-06-14,0,0,0,0.225324,0,7600436.0
2020-06-13,0,0,0,0.231689,0,7815133.0
2020-06-12,0,0,0,0.239057,0,8063662.0
2020-06-11,0,0,0,0.215904,0,7282702.0
2020-06-10,0,0,0,0.270402,0,9120956.0
2020-06-09,0,0,0,0.21688,0,7315625.0
2020-06-08,0,0,0,0.2409,0,8125842.0
2020-06-07,0,0,0,0.26002,0,8770782.0
2020-06-06,0,0,0,0.259786,0,8762873.0
2020-06-05,0,0,0,0.241685,0,8152304.0
2020-06-04,0,0,0,0.249134,0,8403593.0
2020-06-03,0,0,0,0.304356,0,10265099.0
2020-06-02,0,0,0,0.284926,0,9609804.0
2020-06-01,0,0,0,0.300541,0,10136442.0
2020-05-31,0,0,0,0.311443,0,10493255.0
2020-05-30,0,0,0,0.322959,0,10881242.0
2020-05-29,0,0,0,0.28434,0,9580066.0
2020-05-28,0,0,0,0.312778,0,10538218.0
2020-05-27,0,0,0,0.32093,0,10812863.0
2020-05-26,0,0,0,0.263059,0,8832828.0
2020-05-25,0,0,0,0.301695,0,10130108.0
2020-05-24,0,0,0,0.281027,0,9436146.0
2020-05-23,0,0,0,0.313567,0,10528759.0
2020-05-22,0,0,0,0.221546,0,7438921.0
2020-05-21,0,0,0,0.193155,0,6485627.0
2020-05-20,0,0,0,0.200975,0,6748202.0
2020-05-19,0,0,0,0.201514,0,6766292.0
2020-05-18,0,0,0,0.245554,0,8245055.0
2020-05-17,0,0,0,0.215896,0,7249218.0
2020-05-16,0,0,0,0.183611,0,6165168.0
2020-05-15,0,0,0,0.195721,0,6571778.0
2020-05-14,0,0,0,0.202324,0,6793484.0
2020-05-13,0,0,0,0.199007,0,6682125.0
2020-05-12,0,0,0,0.169095,0,5677767.0
2020-05-11,0,0,0,0.127588,0,4284055.0
2020-05-10,0,0,0,0.15286,0,5132620.0
2020-05-09,0,0,0,0.153379,0,5150073.0
2020-05-08,0,0,0,0.147758,0,4961326.0
2020-05-07,0,0,0,0.143866,0,4830634.0
2020-05-06,0,0,0,0.148305,0,4979674.0
2020-05-05,0,0,0,0.149664,0,5025312.0
2020-05-04,0,0,0,0.134559,0,4518142.0
2020-05-03,0,0,0,0.132184,0,4438382.0
2020-05-02,0,0,0,0.12533,0,4208237.0
2020-05-01,0,0,0,0.110778,0,3719624.0
2020-04-30,0,0,0,0.117332,0,3939688.0
2020-04-29,0,0,0,0.121721,0,4087055.0
2020-04-28,0,0,0,0.112242,0,3768782.0
2020-04-27,0,0,0,0.143797,0,4828322.0
2020-04-26,0,0,0,0.137757,0,4625527.0
2020-04-25,0,0,0,0.1529,0,5133978.0
2020-04-24,0,0,0,0.150764,0,5062249.0
2020-04-23,0,0,0,0.152361,0,5115874.0
2020-04-22,0,0,0,0.122721,0,4120635.0
2020-04-21,0,0,0,0.095791,0,3216390.0
2020-04-20,0,0,0,0.095595,0,3209839.0
2020-04-19,0,0,0,0.062797,0,2108572.0
2020-04-18,0,0,0,0.101259,0,3399996.0
2020-04-17,0,0,0,0.099338,0,3335517.0
2020-04-16,0,0,0,0.093576,0,3141774.0
2020-04-15,0,0,0,0.087304,0,2931218.0
2020-04-14,0,0,0,0.077357,0,2597223.0
2020-04-13,0,0,0,0.055067,0,1848852.0
2020-04-12,0,0,0,0.058196,0,1953912.0
2020-04-11,0,0,0,0.072244,0,2425578.0
2020-04-10,0,0,0,0.062074,0,2084117.0
2020-04-09,0,0,0,0.055662,0,1868831.0
2020-04-08,0,0,0,0.064728,0,2173208.0
2020-04-07,0,0,0,0.064332,0,2159942.0
2020-04-06,0,0,0,0.061849,0,2076562.0
2020-04-05,0,0,0,0.054055,0,1814867.0
2020-04-04,0,0,0,0.058051,0,1949053.0
2020-04-03,0,0,0,0.056056,0,1882052.0
2020-04-02,0,0,0,0.051812,0,1739577.0
2020-04-01,0,0,0,0.052228,0,1753548.0
2020-03-31,0,0,0,0.053951,0,1811379.0
2020-03-30,0,0,0,0.054823,0,1840665.0
2020-03-29,0,0,0,0.044112,0,1481040.0
2020-03-28,0,0,0,0.051324,0,1723190.0
2020-03-27,0,0,0,0.054807,0,1840119.0
2020-03-26,0,0,0,0.056281,0,1889608.0
2020-03-25,0,0,0,0.058222,0,1954785.0
2020-03-24,0,0,0,0.056788,0,1906634.0
2020-03-23,0,0,0,0.054996,0,1846460.0
2020-03-22,0,0,0,0.052416,0,1759856.0
2020-03-21,0,0,0,0.054712,0,1836935.0
2020-03-20,0,0,0,0.055064,0,1848766.0
2020-03-19,0,0,0,0.056754,0,1905510.0
2020-03-18,0,0,0,0.049123,0,1649283.0
2020-03-17,0,0,0,0.046879,0,1573939.0
2020-03-16,0,0,0,0.04285,0,1438672.0
2020-03-15,0,0,0,0.051284,0,1721858.0
2020-03-14,0,0,0,0.051474,0,1728217.0
2020-03-13,0,0,0,0.051023,0,1713091.0
2020-03-12,0,0,0,0.046325,0,1555349.0
2020-03-11,0,0,0,0.077198,0,2591917.0
2020-03-10,0,0,0,0.076433,0,2566201.0
2020-03-09,0,0,0,0.080633,0,2707245.0
2020-03-08,0,0,0,0.083794,0,2813365.0
2020-03-07,0,0,0,0.100333,0,3368662.0
2020-03-06,0,0,0,0.102353,0,3436472.0
2020-03-05,0,0,0,0.108593,0,3645979.0
2020-03-04,0,0,0,0.111845,0,3755178.0
2020-03-03,0,0,0,0.107742,0,3617418.0
2020-03-02,0,0,0,0.116508,0,3911727.0
2020-03-01,0,0,0,0.112846,0,3788789.0
2020-02-29,0,0,0,0.108207,0,3632899.0
2020-02-28,0,0,0,0.10745,0,3607485.0
2020-02-27,0,0,0,0.108677,0,3648706.0
2020-02-26,0,0,0,0.110429,0,3707509.0
2020-02-25,0,0,0,0.121002,0,4062472.0
2020-02-24,0,0,0,0.127539,0,4281958.0
2020-02-23,0,0,0,0.128959,0,4329637.0
2020-02-22,0,0,0,0.129261,0,4339762.0
2020-02-21,0,0,0,0.124324,0,4174022.0
2020-02-20,0,0,0,0.132615,0,4452379.0
2020-02-19,0,0,0,0.132042,0,4417960.0
2020-02-18,0,0,0,0.140154,0,4689387.0
2020-02-17,0,0,0,0.135962,0,4549127.0
2020-02-16,0,0,0,0.132172,0,4422309.0
2020-02-15,0,0,0,0.127895,0,4279197.0
2020-02-14,0,0,0,0.127397,0,4262556.0
2020-02-13,0,0,0,0.126514,0,4227933.0
2020-02-12,0,0,0,0.125747,0,4202295.0
2020-02-11,0,0,0,0.117442,0,3924754.0
2020-02-10,0,0,0,0.108899,0,3639255.0
2020-02-09,0,0,0,0.114562,0,3828526.0
2020-02-08,0,0,0,0.128895,0,4307512.0
2020-02-07,0,0,0,0.11714,0,3914677.0
2020-02-06,0,0,0,0.102297,0,3418639.0
2020-02-05,0,0,0,0.110898,0,3706082.0
