date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.008045,0,3237211.0
2020-12-13,0,0,0,0.007668,0,3085650.0
2020-12-12,0,0,0,0.00754,0,3034049.0
2020-12-11,0,0,0,0.007123,0,2866124.0
2020-12-10,0,0,0,0.007173,0,2886586.0
2020-12-09,0,0,0,0.007429,0,2989559.0
2020-12-08,0,0,0,0.007232,0,2910318.0
2020-12-07,0,0,0,0.008091,0,3255752.0
2020-12-06,0,0,0,0.00802,0,3227445.0
2020-12-05,0,0,0,0.008469,0,3408014.0
2020-12-04,0,0,0,0.008281,0,3332359.0
2020-12-03,0,0,0,0.008535,0,3434630.0
2020-12-02,0,0,0,0.008508,0,3423542.0
2020-12-01,0,0,0,0.008116,0,3265676.0
2020-11-30,0,0,0,0.008485,0,3414393.0
2020-11-29,0,0,0,0.008032,0,3232053.0
2020-11-28,0,0,0,0.007633,0,3071502.0
2020-11-27,0,0,0,0.007817,0,3145376.0
2020-11-26,0,0,0,0.007416,0,2984166.0
2020-11-25,0,0,0,0.008736,0,3515542.0
2020-11-24,0,0,0,0.008573,0,3449954.0
2020-11-23,0,0,0,0.007975,0,3209097.0
2020-11-22,0,0,0,0.008358,0,3363142.0
2020-11-21,0,0,0,0.008015,0,3225152.0
2020-11-20,0,0,0,0.007671,0,3086800.0
2020-11-19,0,0,0,0.010316,0,4151291.0
2020-11-18,0,0,0,0.007559,0,3041632.0
2020-11-17,0,0,0,0.007297,0,2936429.0
2020-11-16,0,0,0,0.008689,0,3496257.0
2020-11-15,0,0,0,0.008932,0,3594247.0
2020-11-14,0,0,0,0.008339,0,3355772.0
2020-11-13,0,0,0,0.00913,0,3673906.0
2020-11-12,0,0,0,0.008471,0,3408713.0
2020-11-11,0,0,0,0.008767,0,3527817.0
2020-11-10,0,0,0,0.00869,0,3496739.0
2020-11-09,0,0,0,0.008911,0,3585866.0
2020-11-08,0,0,0,0.008179,0,3291378.0
2020-11-07,0,0,0,0.006982,0,2809681.0
2020-11-06,0,0,0,0.007581,0,3050509.0
2020-11-05,0,0,0,0.006695,0,2694144.0
2020-11-04,0,0,0,0.006642,0,2672931.0
2020-11-03,0,0,0,0.006552,0,2636428.0
2020-11-02,0,0,0,0.006894,0,2773999.0
2020-11-01,0,0,0,0.006572,0,2644387.0
2020-10-31,0,0,0,0.006158,0,2477900.0
2020-10-30,0,0,0,0.006904,0,2778108.0
2020-10-29,0,0,0,0.006461,0,2599753.0
2020-10-28,0,0,0,0.007034,0,2830493.0
2020-10-27,0,0,0,0.007161,0,2881647.0
2020-10-26,0,0,0,0.00753,0,3030072.0
2020-10-25,0,0,0,0.007535,0,3032102.0
2020-10-24,0,0,0,0.007697,0,3097285.0
2020-10-23,0,0,0,0.00817,0,3287490.0
2020-10-22,0,0,0,0.007318,0,2944621.0
2020-10-21,0,0,0,0.007357,0,2960278.0
2020-10-20,0,0,0,0.00676,0,2720050.0
2020-10-19,0,0,0,0.006891,0,2772852.0
2020-10-18,0,0,0,0.006894,0,2774161.0
2020-10-17,0,0,0,0.006012,0,2419373.0
2020-10-16,0,0,0,0.007043,0,2834087.0
2020-10-15,0,0,0,0.00694,0,2792676.0
2020-10-14,0,0,0,0.006635,0,2669961.0
2020-10-13,0,0,0,0.007115,0,2863098.0
2020-10-12,0,0,0,0.006501,0,2616099.0
2020-10-11,0,0,0,0.006956,0,2799052.0
2020-10-10,0,0,0,0.006704,0,2697578.0
2020-10-09,0,0,0,0.006987,0,2811546.0
2020-10-08,0,0,0,0.00649,0,2611613.0
2020-10-07,0,0,0,0.006258,0,2518320.0
2020-10-06,0,0,0,0.006098,0,2453640.0
2020-10-05,0,0,0,0.006711,0,2700620.0
2020-10-04,0,0,0,0.006496,0,2614136.0
2020-10-03,0,0,0,0.006749,0,2715759.0
2020-10-02,0,0,0,0.00652,0,2623459.0
2020-10-01,0,0,0,0.00675,0,2716233.0
2020-09-30,0,0,0,0.007359,0,2961436.0
2020-09-29,0,0,0,0.007128,0,2868365.0
2020-09-28,0,0,0,0.006673,0,2685234.0
2020-09-27,0,0,0,0.006882,0,2769306.0
2020-09-26,0,0,0,0.007442,0,2994622.0
2020-09-25,0,0,0,0.007459,0,3001566.0
2020-09-24,0,0,0,0.007242,0,2914304.0
2020-09-23,0,0,0,0.006703,0,2697330.0
2020-09-22,0,0,0,0.006986,0,2811315.0
2020-09-21,0,0,0,0.006977,0,2807651.0
2020-09-20,0,0,0,0.007887,0,3173782.0
2020-09-19,0,0,0,0.008043,0,3236566.0
2020-09-18,0,0,0,0.007514,0,3023590.0
2020-09-17,0,0,0,0.008056,0,3241593.0
2020-09-16,0,0,0,0.007833,0,3151878.0
2020-09-15,0,0,0,0.007842,0,3155796.0
2020-09-14,0,0,0,0.00836,0,3364118.0
2020-09-13,0,0,0,0.008143,0,3276852.0
2020-09-12,0,0,0,0.008905,0,3583313.0
2020-09-11,0,0,0,0.008829,0,3552865.0
2020-09-10,0,0,0,0.008853,0,3562378.0
2020-09-09,0,0,0,0.007925,0,3189128.0
2020-09-08,0,0,0,0.008286,0,3334330.0
2020-09-07,0,0,0,0.008589,0,3456057.0
2020-09-06,0,0,0,0.008275,0,3329676.0
2020-09-05,0,0,0,0.007761,0,3122918.0
2020-09-04,0,0,0,0.008525,0,3430376.0
2020-09-03,0,0,0,0.008652,0,3481662.0
2020-09-02,0,0,0,0.010921,0,4394662.0
2020-09-01,0,0,0,0.011597,0,4666797.0
2020-08-31,0,0,0,0.011877,0,4779483.0
2020-08-30,0,0,0,0.011745,0,4726168.0
2020-08-29,0,0,0,0.011355,0,4569402.0
2020-08-28,0,0,0,0.011438,0,4602748.0
2020-08-27,0,0,0,0.010898,0,4385459.0
2020-08-26,0,0,0,0.011598,0,4667062.0
2020-08-25,0,0,0,0.01113,0,4478908.0
2020-08-24,0,0,0,0.011935,0,4802521.0
2020-08-23,0,0,0,0.011254,0,4528631.0
2020-08-22,0,0,0,0.011826,0,4758922.0
2020-08-21,0,0,0,0.011414,0,4593111.0
2020-08-20,0,0,0,0.01275,0,5130683.0
2020-08-19,0,0,0,0.011964,0,4814382.0
2020-08-18,0,0,0,0.013073,0,5260642.0
2020-08-17,0,0,0,0.012538,0,5045374.0
2020-08-16,0,0,0,0.011723,0,4717204.0
2020-08-15,0,0,0,0.010763,0,4331173.0
2020-08-14,0,0,0,0.011114,0,4472113.0
2020-08-13,0,0,0,0.010999,0,4425853.0
2020-08-12,0,0,0,0.011634,0,4681521.0
2020-08-11,0,0,0,0.010692,0,4302307.0
2020-08-10,0,0,0,0.010072,0,4052990.0
2020-08-09,0,0,0,0.009693,0,3900265.0
2020-08-08,0,0,0,0.009452,0,3803590.0
2020-08-07,0,0,0,0.009221,0,3710570.0
2020-08-06,0,0,0,0.009798,0,3942602.0
2020-08-05,0,0,0,0.00892,0,3589520.0
2020-08-04,0,0,0,0.008812,0,3545871.0
2020-08-03,0,0,0,0.008617,0,3467394.0
2020-08-02,0,0,0,0.008823,0,3550480.0
2020-08-01,0,0,0,0.009028,0,3632728.0
2020-07-31,0,0,0,0.009538,0,3838204.0
2020-07-30,0,0,0,0.010284,0,4138094.0
2020-07-29,0,0,0,0.009542,0,3839649.0
2020-07-28,0,0,0,0.009579,0,3854584.0
2020-07-27,0,0,0,0.008564,0,3446227.0
2020-07-26,0,0,0,0.010545,0,4243443.0
2020-07-25,0,0,0,0.010841,0,4362219.0
2020-07-24,0,0,0,0.010634,0,4278978.0
2020-07-23,0,0,0,0.009821,0,3951804.0
2020-07-22,0,0,0,0.010304,0,4146218.0
2020-07-21,0,0,0,0.009312,0,3747153.0
2020-07-20,0,0,0,0.00864,0,3476837.0
2020-07-19,0,0,0,0.008541,0,3436761.0
2020-07-18,0,0,0,0.00854,0,3436595.0
2020-07-17,0,0,0,0.008357,0,3362918.0
2020-07-16,0,0,0,0.008196,0,3297877.0
2020-07-15,0,0,0,0.008259,0,3323561.0
2020-07-14,0,0,0,0.008471,0,3408690.0
2020-07-13,0,0,0,0.008383,0,3373153.0
2020-07-12,0,0,0,0.008965,0,3607439.0
2020-07-11,0,0,0,0.008504,0,3422029.0
2020-07-10,0,0,0,0.008531,0,3432808.0
2020-07-09,0,0,0,0.008274,0,3329273.0
2020-07-08,0,0,0,0.008242,0,3316411.0
2020-07-07,0,0,0,0.008153,0,3280778.0
2020-07-06,0,0,0,0.008373,0,3369297.0
2020-07-05,0,0,0,0.007889,0,3174677.0
2020-07-04,0,0,0,0.007929,0,3190757.0
2020-07-03,0,0,0,0.007908,0,3182316.0
2020-07-02,0,0,0,0.008171,0,3288173.0
2020-07-01,0,0,0,0.007843,0,3156181.0
2020-06-30,0,0,0,0.007679,0,3090154.0
2020-06-29,0,0,0,0.007779,0,3130239.0
2020-06-28,0,0,0,0.007546,0,3036416.0
2020-06-27,0,0,0,0.007498,0,3017191.0
2020-06-26,0,0,0,0.008038,0,3234461.0
2020-06-25,0,0,0,0.008474,0,3409831.0
2020-06-24,0,0,0,0.008745,0,3519179.0
2020-06-23,0,0,0,0.009911,0,3988173.0
2020-06-22,0,0,0,0.008735,0,3514845.0
2020-06-21,0,0,0,0.009025,0,3631655.0
2020-06-20,0,0,0,0.008245,0,3317879.0
2020-06-19,0,0,0,0.007813,0,3143937.0
2020-06-18,0,0,0,0.008001,0,3219672.0
2020-06-17,0,0,0,0.008401,0,3380447.0
2020-06-16,0,0,0,0.008577,0,3451569.0
2020-06-15,0,0,0,0.008244,0,3317286.0
2020-06-14,0,0,0,0.007877,0,3169893.0
2020-06-13,0,0,0,0.008223,0,3309045.0
2020-06-12,0,0,0,0.007409,0,2981310.0
2020-06-11,0,0,0,0.007051,0,2837512.0
2020-06-10,0,0,0,0.008312,0,3344624.0
2020-06-09,0,0,0,0.00742,0,2986001.0
2020-06-08,0,0,0,0.007421,0,2986141.0
2020-06-07,0,0,0,0.007489,0,3013764.0
2020-06-06,0,0,0,0.007401,0,2978170.0
2020-06-05,0,0,0,0.007693,0,3095717.0
2020-06-04,0,0,0,0.007332,0,2950337.0
2020-06-03,0,0,0,0.007262,0,2922204.0
2020-06-02,0,0,0,0.007019,0,2824334.0
2020-06-01,0,0,0,0.007279,0,2928941.0
2020-05-31,0,0,0,0.007223,0,2906624.0
2020-05-30,0,0,0,0.007429,0,2989496.0
2020-05-29,0,0,0,0.00725,0,2917339.0
2020-05-28,0,0,0,0.007121,0,2865489.0
2020-05-27,0,0,0,0.007143,0,2874147.0
2020-05-26,0,0,0,0.006788,0,2731558.0
2020-05-25,0,0,0,0.007296,0,2935921.0
2020-05-24,0,0,0,0.006178,0,2486072.0
2020-05-23,0,0,0,0.006013,0,2419808.0
2020-05-22,0,0,0,0.006189,0,2490453.0
2020-05-21,0,0,0,0.005662,0,2278561.0
2020-05-20,0,0,0,0.00603,0,2426446.0
2020-05-19,0,0,0,0.005741,0,2310118.0
2020-05-18,0,0,0,0.006375,0,2565200.0
2020-05-17,0,0,0,0.005828,0,2345362.0
2020-05-16,0,0,0,0.005921,0,2382665.0
2020-05-15,0,0,0,0.005676,0,2283933.0
2020-05-14,0,0,0,0.005947,0,2393114.0
2020-05-13,0,0,0,0.00556,0,2237218.0
2020-05-12,0,0,0,0.005549,0,2232982.0
2020-05-11,0,0,0,0.005758,0,2317015.0
2020-05-10,0,0,0,0.005532,0,2226013.0
2020-05-09,0,0,0,0.006062,0,2439235.0
2020-05-08,0,0,0,0.006016,0,2420872.0
2020-05-07,0,0,0,0.005778,0,2325249.0
2020-05-06,0,0,0,0.006388,0,2570701.0
2020-05-05,0,0,0,0.006275,0,2524943.0
2020-05-04,0,0,0,0.006321,0,2543385.0
2020-05-03,0,0,0,0.006584,0,2649410.0
2020-05-02,0,0,0,0.006866,0,2762987.0
2020-05-01,0,0,0,0.006517,0,2622324.0
2020-04-30,0,0,0,0.006093,0,2451666.0
2020-04-29,0,0,0,0.005806,0,2336444.0
2020-04-28,0,0,0,0.005747,0,2312595.0
