date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,39.45,0,2421725587.0
2020-12-13,0,0,0,38.23,0,2346592585.0
2020-12-12,0,0,0,36.75,0,2255953386.0
2020-12-11,0,0,0,38.28,0,2349473323.0
2020-12-10,0,0,0,44.3,0,2719321184.0
2020-12-09,0,0,0,47.79,0,2933730205.0
2020-12-08,0,0,0,44.49,0,2730658137.0
2020-12-07,0,0,0,48.63,0,2984719475.0
2020-12-06,0,0,0,61.43,0,3770545301.0
2020-12-05,0,0,0,62.03,0,3807489998.0
2020-12-04,0,0,0,58.38,0,3583392468.0
2020-12-03,0,0,0,64.1,0,3934718944.0
2020-12-02,0,0,0,62.4,0,3830436713.0
2020-12-01,0,0,0,62.89,0,3860310062.0
2020-11-30,0,0,0,56.83,0,3488200225.0
2020-11-29,0,0,0,54.52,0,3264912235.0
2020-11-28,0,0,0,37.89,0,2269138121.0
2020-11-27,0,0,0,36.46,0,2183307289.0
2020-11-26,0,0,0,46.21,0,2767440028.0
2020-11-25,0,0,0,51.71,0,3096644618.0
2020-11-24,0,0,0,39.53,0,2367417330.0
2020-11-23,0,0,0,44.6,0,2670897476.0
2020-11-22,0,0,0,35.02,0,2097103473.0
2020-11-21,0,0,0,45.12,0,2702424179.0
2020-11-20,0,0,0,48.72,0,2917785246.0
2020-11-19,0,0,0,35.87,0,2148220987.0
2020-11-18,0,0,0,35.84,0,2146365679.0
2020-11-17,0,0,0,36.42,0,2180948800.0
2020-11-16,0,0,0,35.81,0,2144489441.0
2020-11-15,0,0,0,34.83,0,2086019954.0
2020-11-14,0,0,0,40.51,0,2422731620.0
2020-11-13,0,0,0,42.87,0,2563928840.0
2020-11-12,0,0,0,44.18,0,2642535029.0
2020-11-11,0,0,0,49.99,0,2928920540.0
2020-11-10,0,0,0,264.95,0,12658467.0
2020-11-09,0,0,0,238.34,0,11387039.0
2020-11-08,0,0,0,268.57,0,12831694.0
2020-11-07,0,0,0,255.04,0,12185230.0
2020-11-06,0,0,0,278.24,0,13293383.0
2020-11-05,0,0,0,265.36,0,12677890.0
2020-11-04,0,0,0,249.61,0,11925594.0
2020-11-03,0,0,0,230.08,0,10992693.0
2020-11-02,0,0,0,236.31,0,11290148.0
2020-11-01,0,0,0,233.69,0,11165000.0
2020-10-31,0,0,0,245.75,0,11740972.0
2020-10-30,0,0,0,240.33,0,11482330.0
2020-10-29,0,0,0,194.25,0,9280569.0
2020-10-28,0,0,0,220.1,0,10515496.0
2020-10-27,0,0,0,180.79,0,8637586.0
2020-10-26,0,0,0,231.29,0,11050192.0
2020-10-25,0,0,0,233.93,0,11176576.0
2020-10-24,0,0,0,221.15,0,10565993.0
2020-10-23,0,0,0,215.14,0,10278976.0
