date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.44,0,26105660.0
2020-12-13,0,0,0,2.47,0,26410062.0
2020-12-12,0,0,0,2.56,0,27310617.0
2020-12-11,0,0,0,2.53,0,26977510.0
2020-12-10,0,0,0,2.71,0,28896169.0
2020-12-09,0,0,0,2.8,0,29928755.0
2020-12-08,0,0,0,3.01,0,32129224.0
2020-12-07,0,0,0,3.35,0,35787023.0
2020-12-06,0,0,0,3.45,0,36797586.0
2020-12-05,0,0,0,3.39,0,36215309.0
2020-12-04,0,0,0,3.41,0,36424020.0
2020-12-03,0,0,0,3.46,0,36970453.0
2020-12-02,0,0,0,3.75,0,39980095.0
2020-12-01,0,0,0,3.87,0,41254859.0
2020-11-30,0,0,0,5.38,0,57449385.0
2020-11-29,0,0,0,5.38,0,57376174.0
2020-11-28,0,0,0,5.17,0,55144177.0
2020-11-27,0,0,0,4.98,0,53152613.0
2020-11-26,0,0,0,5.28,0,56311919.0
2020-11-25,0,0,0,5.53,0,59016401.0
2020-11-24,0,0,0,5.8,0,61869988.0
2020-11-23,0,0,0,5.72,0,61043192.0
2020-11-22,0,0,0,5.83,0,62151649.0
2020-11-21,0,0,0,5.64,0,60141084.0
2020-11-20,0,0,0,5.69,0,60703952.0
2020-11-19,0,0,0,5.19,0,55314784.0
2020-11-18,0,0,0,5.15,0,54908743.0
2020-11-17,0,0,0,5.59,0,59586693.0
2020-11-16,0,0,0,5.55,0,59199286.0
2020-11-15,0,0,0,5.44,0,57994868.0
2020-11-14,0,0,0,5.66,0,60418638.0
2020-11-13,0,0,0,5.9,0,62956411.0
2020-11-12,0,0,0,5.63,0,60016386.0
2020-11-11,0,0,0,5.91,0,63035056.0
2020-11-10,0,0,0,4.96,0,52866163.0
2020-11-09,0,0,0,4.63,0,49389957.0
2020-11-08,0,0,0,4.79,0,51042168.0
2020-11-07,0,0,0,4.37,0,46621273.0
2020-11-06,0,0,0,4.34,0,46223667.0
2020-11-05,0,0,0,4.46,0,47538530.0
2020-11-04,0,0,0,4.9,0,52205903.0
2020-11-03,0,0,0,5.35,0,57052201.0
2020-11-02,0,0,0,5.34,0,56944360.0
2020-11-01,0,0,0,5.41,0,57645836.0
2020-10-31,0,0,0,5.43,0,57840448.0
2020-10-30,0,0,0,5.46,0,58242583.0
