date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.330883,0,2155108.0
2020-12-13,0,0,0,0.274302,0,1786583.0
2020-12-12,0,0,0,0.328897,0,2142170.0
2020-12-11,0,0,0,0.31606,0,2058561.0
2020-12-10,0,0,0,0.324207,0,2111622.0
2020-12-09,0,0,0,0.352999,0,2299153.0
2020-12-08,0,0,0,0.348065,0,2267016.0
2020-12-07,0,0,0,0.369233,0,2404884.0
2020-12-06,0,0,0,0.376665,0,2453294.0
2020-12-05,0,0,0,0.330716,0,2154016.0
2020-12-04,0,0,0,0.399364,0,2601136.0
2020-12-03,0,0,0,0.57052,0,3715907.0
2020-12-02,0,0,0,0.8805,0,5734871.0
2020-12-01,0,0,0,0.851512,0,5546064.0
2020-11-30,0,0,0,0.832496,0,5422206.0
2020-11-29,0,0,0,1.09,0,7127025.0
2020-11-28,0,0,0,1.05,0,6869872.0
2020-11-27,0,0,0,1.02,0,6647043.0
2020-11-26,0,0,0,0.917912,0,5978537.0
2020-11-25,0,0,0,0.992745,0,6465945.0
2020-11-24,0,0,0,1.04,0,6803139.0
2020-11-23,0,0,0,1.05,0,6854207.0
2020-11-22,0,0,0,1.09,0,7067922.0
2020-11-21,0,0,0,1.1,0,7176486.0
2020-11-20,0,0,0,1.1,0,7142292.0
2020-11-19,0,0,0,1.06,0,6890127.0
2020-11-18,0,0,0,1.06,0,6906793.0
2020-11-17,0,0,0,1.08,0,7042846.0
2020-11-16,0,0,0,1.05,0,6854519.0
2020-11-15,0,0,0,1.02,0,6644042.0
2020-11-14,0,0,0,1.04,0,6782251.0
2020-11-13,0,0,0,1.07,0,6937040.0
2020-11-12,0,0,0,1.05,0,6869176.0
2020-11-11,0,0,0,1.06,0,6881940.0
2020-11-10,0,0,0,1.08,0,7022120.0
2020-11-09,0,0,0,1.12,0,7286587.0
2020-11-08,0,0,0,0.998568,0,6503870.0
2020-11-07,0,0,0,0.932979,0,6076675.0
2020-11-06,0,0,0,1.12,0,7327168.0
2020-11-05,0,0,0,1.11,0,7219599.0
2020-11-04,0,0,0,1.08,0,7023071.0
2020-11-03,0,0,0,1.08,0,7011753.0
2020-11-02,0,0,0,1.05,0,6796367.0
2020-11-01,0,0,0,1.15,0,7447465.0
2020-10-31,0,0,0,1.02,0,6643981.0
2020-10-30,0,0,0,1.29,0,8375707.0
2020-10-29,0,0,0,1.41,0,9131096.0
2020-10-28,0,0,0,1.48,0,9592859.0
2020-10-27,0,0,0,1.5,0,9748585.0
2020-10-26,0,0,0,1.44,0,9356376.0
2020-10-25,0,0,0,1.34,0,8699857.0
2020-10-24,0,0,0,1.3,0,8467407.0
2020-10-23,0,0,0,1.44,0,9362410.0
2020-10-22,0,0,0,1.45,0,9401296.0
2020-10-21,0,0,0,1.36,0,8838178.0
2020-10-20,0,0,0,1.31,0,8524973.0
2020-10-19,0,0,0,1.31,0,8524973.0
2020-10-18,0,0,0,1.32,0,8524973.0
2020-10-17,0,0,0,1.3,0,8524973.0
2020-10-16,0,0,0,1.31,0,8524973.0
2020-10-15,0,0,0,1.33,0,8524973.0
2020-10-14,0,0,0,1.32,0,8524973.0
2020-10-13,0,0,0,1.32,0,8524973.0
2020-10-12,0,0,0,1.36,0,8524973.0
2020-10-11,0,0,0,1.33,0,8524973.0
2020-10-10,0,0,0,1.29,0,8524973.0
2020-10-09,0,0,0,1.27,0,8524973.0
2020-10-08,0,0,0,1.26,0,8524973.0
2020-10-07,0,0,0,1.23,0,8524973.0
2020-10-06,0,0,0,1.21,0,8524973.0
2020-10-05,0,0,0,1.23,0,8524973.0
2020-10-04,0,0,0,1.23,0,8524973.0
2020-10-03,0,0,0,1.21,0,8524973.0
2020-10-02,0,0,0,1.21,0,8524973.0
2020-10-01,0,0,0,1.22,0,8524973.0
2020-09-30,0,0,0,1.23,0,8524973.0
2020-09-29,0,0,0,1.23,0,8524973.0
2020-09-28,0,0,0,1.17,0,8524973.0
2020-09-27,0,0,0,1.18,0,8524973.0
2020-09-26,0,0,0,1.19,0,8524973.0
2020-09-25,0,0,0,1.17,0,8524973.0
2020-09-24,0,0,0,1.16,0,8524973.0
2020-09-23,0,0,0,1.08,0,8524973.0
2020-09-22,0,0,0,1.12,0,8524973.0
2020-09-21,0,0,0,1.1,0,8524973.0
2020-09-20,0,0,0,1.17,0,8524973.0
2020-09-19,0,0,0,1.2,0,8524973.0
2020-09-18,0,0,0,1.28,0,8524973.0
2020-09-17,0,0,0,1.45,0,8524973.0
2020-09-16,0,0,0,1.45,0,8524973.0
2020-09-15,0,0,0,1.36,0,8524973.0
2020-09-14,0,0,0,1.46,0,8524973.0
2020-09-13,0,0,0,1.43,0,8524973.0
2020-09-12,0,0,0,1.46,0,8524973.0
2020-09-11,0,0,0,1.46,0,8524973.0
2020-09-10,0,0,0,1.27,0,8524973.0
2020-09-09,0,0,0,1.26,0,8524973.0
2020-09-08,0,0,0,1.01,0,8524973.0
