date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.184275,0,29026489.0
2020-12-13,0,0,0,0.184447,0,29053574.0
2020-12-12,0,0,0,0.180946,0,28502229.0
2020-12-11,0,0,0,0.176092,0,27737604.0
2020-12-10,0,0,0,0.176983,0,27877863.0
2020-12-09,0,0,0,0.170133,0,26798868.0
2020-12-08,0,0,0,0.187971,0,29608766.0
2020-12-07,0,0,0,0.197328,0,31082615.0
2020-12-06,0,0,0,0.209737,0,33037321.0
2020-12-05,0,0,0,0.210024,0,33082412.0
2020-12-04,0,0,0,0.215156,0,33890846.0
2020-12-03,0,0,0,0.242733,0,38234757.0
2020-12-02,0,0,0,0.240641,0,37905154.0
2020-12-01,0,0,0,0.220467,0,34727361.0
2020-11-30,0,0,0,0.198654,0,31291495.0
2020-11-29,0,0,0,0.188391,0,29674855.0
2020-11-28,0,0,0,0.178509,0,28118253.0
2020-11-27,0,0,0,0.170664,0,26882588.0
2020-11-26,0,0,0,0.181527,0,28593711.0
2020-11-25,0,0,0,0.182215,0,28702064.0
2020-11-24,0,0,0,0.187724,0,29569800.0
2020-11-23,0,0,0,0.178939,0,28186054.0
2020-11-22,0,0,0,0.166469,0,26221782.0
2020-11-21,0,0,0,0.169192,0,26650718.0
2020-11-20,0,0,0,0.163317,0,25725335.0
2020-11-19,0,0,0,0.161425,0,25427237.0
2020-11-18,0,0,0,0.162307,0,25566156.0
2020-11-17,0,0,0,0.160561,0,25291105.0
2020-11-16,0,0,0,0.156811,0,24700452.0
2020-11-15,0,0,0,0.15733,0,24782231.0
2020-11-14,0,0,0,0.160052,0,25210956.0
2020-11-13,0,0,0,0.156551,0,24659580.0
2020-11-12,0,0,0,0.150157,0,23652292.0
2020-11-11,0,0,0,0.153467,0,24173715.0
2020-11-10,0,0,0,0.151879,0,23923581.0
2020-11-09,0,0,0,0.151348,0,23839961.0
2020-11-08,0,0,0,0.153523,0,24182568.0
2020-11-07,0,0,0,0.154507,0,24337617.0
2020-11-06,0,0,0,0.156544,0,24658491.0
2020-11-05,0,0,0,0.148176,0,23340241.0
2020-11-04,0,0,0,0.149874,0,23607813.0
2020-11-03,0,0,0,0.150585,0,23719747.0
2020-11-02,0,0,0,0.150636,0,23727857.0
2020-11-01,0,0,0,0.148764,0,23432914.0
2020-10-31,0,0,0,0.15245,0,24013569.0
2020-10-30,0,0,0,0.155429,0,24482769.0
2020-10-29,0,0,0,0.158709,0,24999472.0
2020-10-28,0,0,0,0.164175,0,25860511.0
2020-10-27,0,0,0,0.163301,0,25722789.0
2020-10-26,0,0,0,0.156832,0,24703856.0
2020-10-25,0,0,0,0.158437,0,24956652.0
2020-10-24,0,0,0,0.154645,0,24359331.0
2020-10-23,0,0,0,0.15992,0,25190178.0
2020-10-22,0,0,0,0.158494,0,24965525.0
2020-10-21,0,0,0,0.151861,0,23920696.0
2020-10-20,0,0,0,0.152098,0,23958170.0
2020-10-19,0,0,0,0.156637,0,24673143.0
2020-10-18,0,0,0,0.156024,0,24576497.0
2020-10-17,0,0,0,0.149406,0,23534087.0
2020-10-16,0,0,0,0.150291,0,23673481.0
2020-10-15,0,0,0,0.150814,0,23755770.0
2020-10-14,0,0,0,0.156342,0,24626620.0
2020-10-13,0,0,0,0.148718,0,23425690.0
2020-10-12,0,0,0,0.156896,0,24713939.0
2020-10-11,0,0,0,0.153854,0,24234619.0
2020-10-10,0,0,0,0.160432,0,25270899.0
2020-10-09,0,0,0,0.164467,0,25906393.0
2020-10-08,0,0,0,0.155616,0,24512188.0
2020-10-07,0,0,0,0.152262,0,23983911.0
2020-10-06,0,0,0,0.152168,0,23969189.0
2020-10-05,0,0,0,0.159292,0,25091326.0
2020-10-04,0,0,0,0.141594,0,22303553.0
2020-10-03,0,0,0,0.173845,0,27383569.0
2020-10-02,0,0,0,0.171983,0,27090325.0
2020-10-01,0,0,0,0.170426,0,26845025.0
2020-09-30,0,0,0,0.175663,0,27669951.0
2020-09-29,0,0,0,0.17826,0,28079129.0
2020-09-28,0,0,0,0.1793,0,28242933.0
2020-09-27,0,0,0,0.180719,0,28466442.0
2020-09-26,0,0,0,0.182339,0,28721565.0
2020-09-25,0,0,0,0.190444,0,29998307.0
2020-09-24,0,0,0,0.179906,0,28338334.0
2020-09-23,0,0,0,0.177077,0,27892656.0
2020-09-22,0,0,0,0.183353,0,28881306.0
2020-09-21,0,0,0,0.196388,0,30934516.0
2020-09-20,0,0,0,0.198148,0,31211821.0
2020-09-19,0,0,0,0.201096,0,31676211.0
2020-09-18,0,0,0,0.205669,0,32396476.0
2020-09-17,0,0,0,0.225274,0,35484618.0
2020-09-16,0,0,0,0.208885,0,32903074.0
2020-09-15,0,0,0,0.202984,0,31973505.0
2020-09-14,0,0,0,0.223207,0,35159072.0
2020-09-13,0,0,0,0.229555,0,36158874.0
2020-09-12,0,0,0,0.228894,0,36054794.0
2020-09-11,0,0,0,0.229537,0,36156075.0
2020-09-10,0,0,0,0.233121,0,36720707.0
2020-09-09,0,0,0,0.226832,0,35730001.0
2020-09-08,0,0,0,0.231898,0,36527992.0
2020-09-07,0,0,0,0.238305,0,37537238.0
2020-09-06,0,0,0,0.249459,0,39294156.0
2020-09-05,0,0,0,0.252064,0,39704889.0
2020-09-04,0,0,0,0.314668,0,49566185.0
2020-09-03,0,0,0,0.316653,0,49878896.0
2020-09-02,0,0,0,0.332915,0,52440374.0
2020-09-01,0,0,0,0.320809,0,50533480.0
2020-08-31,0,0,0,0.353668,0,55709449.0
2020-08-30,0,0,0,0.377724,0,59498712.0
2020-08-29,0,0,0,0.365295,0,57540950.0
2020-08-28,0,0,0,0.389033,0,61279280.0
2020-08-27,0,0,0,0.331239,0,52175735.0
2020-08-26,0,0,0,0.30965,0,48775163.0
2020-08-25,0,0,0,0.318827,0,50220701.0
2020-08-24,0,0,0,0.353806,0,55650640.0
2020-08-23,0,0,0,0.365692,0,57520282.0
2020-08-22,0,0,0,0.318781,0,49902361.0
2020-08-21,0,0,0,0.258044,0,40394535.0
2020-08-20,0,0,0,0.262661,0,41117283.0
2020-08-19,0,0,0,0.279557,0,43762231.0
2020-08-18,0,0,0,0.276382,0,43265299.0
2020-08-17,0,0,0,0.262574,0,41103772.0
2020-08-16,0,0,0,0.242655,0,37985683.0
2020-08-15,0,0,0,0.232748,0,36434828.0
2020-08-14,0,0,0,0.245124,0,38394634.0
2020-08-13,0,0,0,0.243864,0,38197220.0
2020-08-12,0,0,0,0.220275,0,34504387.0
2020-08-11,0,0,0,0.216764,0,33954405.0
2020-08-10,0,0,0,0.232738,0,36456708.0
2020-08-09,0,0,0,0.216117,0,34193510.0
2020-08-08,0,0,0,0.210882,0,33365253.0
2020-08-07,0,0,0,0.188156,0,29769596.0
2020-08-06,0,0,0,0.161911,0,25619215.0
2020-08-05,0,0,0,0.160383,0,25377318.0
2020-08-04,0,0,0,0.169225,0,26776426.0
2020-08-03,0,0,0,0.168221,0,26617983.0
2020-08-02,0,0,0,0.168128,0,26603233.0
2020-08-01,0,0,0,0.182001,0,28798452.0
2020-07-31,0,0,0,0.180592,0,28575457.0
2020-07-30,0,0,0,0.184925,0,29261036.0
2020-07-29,0,0,0,0.183338,0,29009925.0
2020-07-28,0,0,0,0.188475,0,29822832.0
2020-07-27,0,0,0,0.188093,0,29762340.0
2020-07-26,0,0,0,0.187323,0,29640518.0
2020-07-25,0,0,0,0.191177,0,30250320.0
2020-07-24,0,0,0,0.189901,0,30048575.0
2020-07-23,0,0,0,0.195896,0,31041301.0
2020-07-22,0,0,0,0.19372,0,30696567.0
2020-07-21,0,0,0,0.198009,0,31376150.0
2020-07-20,0,0,0,0.197567,0,31306053.0
2020-07-19,0,0,0,0.2025,0,30298169.0
2020-07-18,0,0,0,0.199035,0,29779655.0
2020-07-17,0,0,0,0.213436,0,31934426.0
2020-07-16,0,0,0,0.198307,0,29670836.0
2020-07-15,0,0,0,0.180272,0,26972365.0
2020-07-14,0,0,0,0.181636,0,27176436.0
2020-07-13,0,0,0,0.174569,0,26119122.0
2020-07-12,0,0,0,0.175711,0,26289937.0
2020-07-11,0,0,0,0.165903,0,24822480.0
2020-07-10,0,0,0,0.170547,0,25517372.0
2020-07-09,0,0,0,0.138699,0,20752256.0
2020-07-08,0,0,0,0.141253,0,21134342.0
2020-07-07,0,0,0,0.142548,0,21328074.0
2020-07-06,0,0,0,0.149133,0,12281526.0
2020-07-05,0,0,0,0.149767,0,12333790.0
