date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.43,0,51449153.0
2020-12-13,0,0,0,1.47,0,52540810.0
2020-12-12,0,0,0,1.44,0,51490642.0
2020-12-11,0,0,0,1.32,0,47481499.0
2020-12-10,0,0,0,1.35,0,48346789.0
2020-12-09,0,0,0,1.36,0,48899246.0
2020-12-08,0,0,0,1.35,0,48192073.0
2020-12-07,0,0,0,1.4,0,50216054.0
2020-12-06,0,0,0,1.52,0,54313151.0
2020-12-05,0,0,0,1.47,0,52624395.0
2020-12-04,0,0,0,1.44,0,51349659.0
2020-12-03,0,0,0,1.5,0,53491212.0
2020-12-02,0,0,0,1.45,0,51297080.0
2020-12-01,0,0,0,1.37,0,48571887.0
2020-11-30,0,0,0,1.51,0,53410720.0
2020-11-29,0,0,0,1.44,0,51046642.0
2020-11-28,0,0,0,1.35,0,47782367.0
2020-11-27,0,0,0,1.31,0,46280280.0
2020-11-26,0,0,0,1.3,0,45917055.0
2020-11-25,0,0,0,1.43,0,50638789.0
2020-11-24,0,0,0,1.47,0,51821086.0
2020-11-23,0,0,0,1.52,0,53862492.0
2020-11-22,0,0,0,1.39,0,49007457.0
2020-11-21,0,0,0,1.37,0,48430190.0
2020-11-20,0,0,0,1.14,0,40127511.0
2020-11-19,0,0,0,1.22,0,42783382.0
2020-11-18,0,0,0,1.17,0,40873705.0
2020-11-17,0,0,0,1.18,0,41189915.0
2020-11-16,0,0,0,1.21,0,42320289.0
2020-11-15,0,0,0,1.18,0,41437423.0
2020-11-14,0,0,0,1.16,0,39970517.0
2020-11-13,0,0,0,1.19,0,40985604.0
2020-11-12,0,0,0,1.28,0,44165278.0
2020-11-11,0,0,0,1.34,0,46241968.0
2020-11-10,0,0,0,1.4,0,48346397.0
2020-11-09,0,0,0,1.53,0,52984162.0
2020-11-08,0,0,0,1.55,0,53613211.0
2020-11-07,0,0,0,1.53,0,52981944.0
2020-11-06,0,0,0,1.61,0,55665389.0
2020-11-05,0,0,0,1.63,0,56212784.0
2020-11-04,0,0,0,1.55,0,53357746.0
2020-11-03,0,0,0,1.5,0,51612072.0
2020-11-02,0,0,0,1.59,0,54842982.0
2020-11-01,0,0,0,1.69,0,58425875.0
2020-10-31,0,0,0,1.69,0,58214536.0
2020-10-30,0,0,0,1.67,0,57507782.0
2020-10-29,0,0,0,1.67,0,57553302.0
2020-10-28,0,0,0,1.68,0,57873038.0
2020-10-27,0,0,0,1.68,0,57842737.0
2020-10-26,0,0,0,1.66,0,57016787.0
2020-10-25,0,0,0,1.68,0,57907334.0
2020-10-24,0,0,0,1.78,0,61283710.0
2020-10-23,0,0,0,1.78,0,61120237.0
2020-10-22,0,0,0,1.75,0,59815558.0
2020-10-21,0,0,0,1.65,0,56069418.0
2020-10-20,0,0,0,1.43,0,48718971.0
2020-10-19,0,0,0,1.46,0,49671098.0
2020-10-18,0,0,0,1.38,0,46921641.0
2020-10-17,0,0,0,1.43,0,48723995.0
2020-10-16,0,0,0,1.4,0,47569770.0
2020-10-15,0,0,0,1.42,0,48201419.0
2020-10-14,0,0,0,1.5,0,50902194.0
2020-10-13,0,0,0,1.57,0,53351245.0
2020-10-12,0,0,0,1.67,0,56625967.0
2020-10-11,0,0,0,1.44,0,48928349.0
2020-10-10,0,0,0,1.49,0,50666626.0
2020-10-09,0,0,0,1.31,0,44419915.0
2020-10-08,0,0,0,1.31,0,44348185.0
2020-10-07,0,0,0,1.23,0,41741888.0
2020-10-06,0,0,0,1.14,0,38510243.0
2020-10-05,0,0,0,1.35,0,45470512.0
2020-10-04,0,0,0,1.28,0,43058741.0
2020-10-03,0,0,0,1.44,0,48443265.0
2020-10-02,0,0,0,1.3,0,43521824.0
2020-10-01,0,0,0,1.34,0,45096517.0
2020-09-30,0,0,0,1.24,0,41527650.0
2020-09-29,0,0,0,1.34,0,44888606.0
2020-09-28,0,0,0,1.37,0,46059380.0
2020-09-27,0,0,0,1.35,0,45239068.0
2020-09-26,0,0,0,1.35,0,45254680.0
2020-09-25,0,0,0,1.39,0,46315181.0
2020-09-24,0,0,0,1.38,0,46018855.0
2020-09-23,0,0,0,1.36,0,45573233.0
2020-09-22,0,0,0,1.46,0,48514310.0
2020-09-21,0,0,0,1.41,0,46916114.0
2020-09-20,0,0,0,1.47,0,48765324.0
2020-09-19,0,0,0,1.52,0,50245938.0
2020-09-18,0,0,0,1.47,0,48559882.0
2020-09-17,0,0,0,1.5,0,49737395.0
2020-09-16,0,0,0,1.5,0,49735320.0
2020-09-15,0,0,0,1.53,0,50469290.0
2020-09-14,0,0,0,1.53,0,50389898.0
2020-09-13,0,0,0,1.49,0,49229554.0
2020-09-12,0,0,0,1.45,0,48000510.0
2020-09-11,0,0,0,1.49,0,49045020.0
2020-09-10,0,0,0,1.46,0,48245863.0
2020-09-09,0,0,0,1.43,0,47083923.0
2020-09-08,0,0,0,1.48,0,48277422.0
2020-09-07,0,0,0,1.47,0,48035514.0
2020-09-06,0,0,0,1.54,0,50284443.0
2020-09-05,0,0,0,1.48,0,48248700.0
2020-09-04,0,0,0,1.48,0,48441511.0
2020-09-03,0,0,0,1.44,0,47138389.0
2020-09-02,0,0,0,1.61,0,52606932.0
