date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,26.82,0,26359348.0
2020-12-13,0,0,0,20.3,0,19954654.0
2020-12-12,0,0,0,23.6,0,23199389.0
2020-12-11,0,0,0,23.22,0,22822521.0
2020-12-10,0,0,0,24.46,0,24042531.0
2020-12-09,0,0,0,23.88,0,23468946.0
2020-12-08,0,0,0,22.9,0,22511380.0
2020-12-07,0,0,0,23.99,0,23573921.0
2020-12-06,0,0,0,23.88,0,23469818.0
2020-12-05,0,0,0,24.39,0,23971966.0
2020-12-04,0,0,0,23.19,0,22788790.0
2020-12-03,0,0,0,24.29,0,23873472.0
2020-12-02,0,0,0,24.44,0,24019377.0
2020-12-01,0,0,0,23.35,0,22947727.0
2020-11-30,0,0,0,23.47,0,23070458.0
2020-11-29,0,0,0,24.07,0,23659847.0
2020-11-28,0,0,0,23.51,0,23104373.0
2020-11-27,0,0,0,24.34,0,23924771.0
2020-11-26,0,0,0,23.6,0,23196962.0
2020-11-25,0,0,0,23.61,0,23201776.0
2020-11-24,0,0,0,23.37,0,22971134.0
2020-11-23,0,0,0,23.85,0,23436576.0
2020-11-22,0,0,0,22.85,0,22460212.0
2020-11-21,0,0,0,24.23,0,23815669.0
2020-11-20,0,0,0,23.41,0,23004481.0
2020-11-19,0,0,0,23.79,0,23380387.0
2020-11-18,0,0,0,23.78,0,23372472.0
2020-11-17,0,0,0,23.54,0,23134909.0
2020-11-16,0,0,0,23.65,0,23246012.0
2020-11-15,0,0,0,24.37,0,23947371.0
2020-11-14,0,0,0,22.95,0,22551588.0
2020-11-13,0,0,0,24.23,0,23812655.0
2020-11-12,0,0,0,23.35,0,22950800.0
2020-11-11,0,0,0,23.3,0,22899098.0
2020-11-10,0,0,0,24.9,0,24475186.0
2020-11-09,0,0,0,23.65,0,23246368.0
2020-11-08,0,0,0,24.18,0,23764600.0
2020-11-07,0,0,0,22.62,0,22232953.0
2020-11-06,0,0,0,24.83,0,24404341.0
2020-11-05,0,0,0,24.01,0,23601021.0
2020-11-04,0,0,0,22.49,0,22106481.0
2020-11-03,0,0,0,21.37,0,21005433.0
2020-11-02,0,0,0,23.53,0,23122164.0
2020-11-01,0,0,0,23.48,0,23079814.0
2020-10-31,0,0,0,23.51,0,23111284.0
2020-10-30,0,0,0,23.65,0,23241347.0
2020-10-29,0,0,0,21.51,0,21140944.0
2020-10-28,0,0,0,23.13,0,22728908.0
2020-10-27,0,0,0,23.68,0,23270318.0
2020-10-26,0,0,0,23.39,0,22985296.0
2020-10-25,0,0,0,23.14,0,22746482.0
2020-10-24,0,0,0,23.04,0,22640301.0
2020-10-23,0,0,0,22.63,0,22238661.0
2020-10-22,0,0,0,22.86,0,22464789.0
2020-10-21,0,0,0,23.37,0,22968030.0
2020-10-20,0,0,0,22.87,0,22474971.0
2020-10-19,0,0,0,23.17,0,22774474.0
2020-10-18,0,0,0,23.08,0,22679921.0
2020-10-17,0,0,0,23.7,0,23292718.0
2020-10-16,0,0,0,22.83,0,22434676.0
2020-10-15,0,0,0,23.39,0,22992220.0
2020-10-14,0,0,0,23.07,0,22675404.0
2020-10-13,0,0,0,22.93,0,22537560.0
2020-10-12,0,0,0,23.77,0,23366689.0
2020-10-11,0,0,0,23.89,0,23482999.0
2020-10-10,0,0,0,24.66,0,24239796.0
2020-10-09,0,0,0,25.21,0,24775421.0
2020-10-08,0,0,0,20.63,0,20273960.0
2020-10-07,0,0,0,20.88,0,20519136.0
2020-10-06,0,0,0,21.8,0,21430056.0
2020-10-05,0,0,0,22.68,0,22286240.0
2020-10-04,0,0,0,23.57,0,23164509.0
2020-10-03,0,0,0,22.9,0,22512076.0
2020-10-02,0,0,0,22.72,0,22332116.0
2020-10-01,0,0,0,19.96,0,19621378.0
2020-09-30,0,0,0,24.52,0,24099076.0
2020-09-29,0,0,0,24.17,0,23759758.0
2020-09-28,0,0,0,24.55,0,24124596.0
2020-09-27,0,0,0,24.69,0,24265322.0
2020-09-26,0,0,0,23.13,0,22733295.0
2020-09-25,0,0,0,24.7,0,24271866.0
2020-09-24,0,0,0,24.82,0,24397679.0
2020-09-23,0,0,0,22.35,0,21966257.0
2020-09-22,0,0,0,24.78,0,24355081.0
2020-09-21,0,0,0,23.99,0,23576675.0
2020-09-20,0,0,0,24.62,0,24201074.0
2020-09-19,0,0,0,24.39,0,23969053.0
2020-09-18,0,0,0,23.07,0,22676800.0
2020-09-17,0,0,0,24.61,0,24190245.0
2020-09-16,0,0,0,23.21,0,22810100.0
2020-09-15,0,0,0,22.08,0,21703073.0
2020-09-14,0,0,0,23.0,0,22601089.0
2020-09-13,0,0,0,24.34,0,23926888.0
2020-09-12,0,0,0,23.86,0,23447903.0
2020-09-11,0,0,0,25.17,0,24737098.0
2020-09-10,0,0,0,24.61,0,24184367.0
2020-09-09,0,0,0,24.91,0,24486149.0
2020-09-08,0,0,0,23.59,0,23181727.0
2020-09-07,0,0,0,24.42,0,23998986.0
2020-09-06,0,0,0,23.32,0,23998986.0
2020-09-05,0,0,0,21.23,0,23998986.0
2020-09-04,0,0,0,24.12,0,23998986.0
2020-09-03,0,0,0,21.71,0,23998986.0
2020-09-02,0,0,0,23.03,0,23998986.0
2020-09-01,0,0,0,24.61,0,23998986.0
2020-08-31,0,0,0,24.05,0,23998986.0
2020-08-30,0,0,0,25.44,0,23998986.0
2020-08-29,0,0,0,23.67,0,23998986.0
2020-08-28,0,0,0,24.8,0,23998986.0
2020-08-27,0,0,0,23.23,0,23998986.0
2020-08-26,0,0,0,24.54,0,23998986.0
2020-08-25,0,0,0,23.87,0,23998986.0
2020-08-24,0,0,0,23.32,0,23998986.0
2020-08-23,0,0,0,22.69,0,23998986.0
2020-08-22,0,0,0,23.01,0,23998986.0
2020-08-21,0,0,0,22.95,0,23998986.0
2020-08-20,0,0,0,23.84,0,23998986.0
2020-08-19,0,0,0,22.74,0,23998986.0
2020-08-18,0,0,0,23.37,0,23998986.0
2020-08-17,0,0,0,23.84,0,23998986.0
