date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.027468,0,2144639.0
2020-12-13,0,0,0,0.025418,0,1984301.0
2020-12-12,0,0,0,0.027711,0,2162896.0
2020-12-11,0,0,0,0.025701,0,2005765.0
2020-12-10,0,0,0,0.026906,0,2099583.0
2020-12-09,0,0,0,0.026846,0,2094506.0
2020-12-08,0,0,0,0.026155,0,2040352.0
2020-12-07,0,0,0,0.028613,0,2231867.0
2020-12-06,0,0,0,0.027929,0,2178200.0
2020-12-05,0,0,0,0.028218,0,2200415.0
2020-12-04,0,0,0,0.02986,0,2328176.0
2020-12-03,0,0,0,0.031306,0,2440683.0
2020-12-02,0,0,0,0.031146,0,2427842.0
2020-12-01,0,0,0,0.030096,0,2345722.0
2020-11-30,0,0,0,0.032631,0,2542907.0
2020-11-29,0,0,0,0.031577,0,2460454.0
2020-11-28,0,0,0,0.030618,0,2385373.0
2020-11-27,0,0,0,0.031907,0,2485381.0
2020-11-26,0,0,0,0.029585,0,2304073.0
2020-11-25,0,0,0,0.035216,0,2742309.0
2020-11-24,0,0,0,0.032384,0,2521391.0
2020-11-23,0,0,0,0.029862,0,2324673.0
2020-11-22,0,0,0,0.026306,0,2047578.0
2020-11-21,0,0,0,0.030335,0,2360844.0
2020-11-20,0,0,0,0.032633,0,2539152.0
2020-11-19,0,0,0,0.028661,0,2229595.0
2020-11-18,0,0,0,0.029283,0,2277392.0
2020-11-17,0,0,0,0.033478,0,2603079.0
2020-11-16,0,0,0,0.02788,0,2167352.0
2020-11-15,0,0,0,0.029344,0,2280778.0
2020-11-14,0,0,0,0.026368,0,2049131.0
2020-11-13,0,0,0,0.019789,0,1537564.0
2020-11-12,0,0,0,0.020332,0,1579412.0
2020-11-11,0,0,0,0.019867,0,1542834.0
2020-11-10,0,0,0,0.021674,0,1682823.0
2020-11-09,0,0,0,0.019333,0,1500717.0
2020-11-08,0,0,0,0.019983,0,1550786.0
2020-11-07,0,0,0,0.017809,0,1381748.0
2020-11-06,0,0,0,0.01707,0,1324157.0
2020-11-05,0,0,0,0.018507,0,1435268.0
2020-11-04,0,0,0,0.017808,0,1380713.0
2020-11-03,0,0,0,0.017379,0,1347169.0
2020-11-02,0,0,0,0.017857,0,1383910.0
2020-11-01,0,0,0,0.017803,0,1379397.0
2020-10-31,0,0,0,0.015251,0,1181414.0
2020-10-30,0,0,0,0.017028,0,1318732.0
2020-10-29,0,0,0,0.016028,0,1240995.0
2020-10-28,0,0,0,0.016406,0,1269855.0
2020-10-27,0,0,0,0.017307,0,1339319.0
2020-10-26,0,0,0,0.017339,0,1341465.0
2020-10-25,0,0,0,0.018981,0,1468086.0
2020-10-24,0,0,0,0.017798,0,1376276.0
2020-10-23,0,0,0,0.020518,0,1586248.0
2020-10-22,0,0,0,0.019604,0,1514598.0
2020-10-21,0,0,0,0.020024,0,1547016.0
2020-10-20,0,0,0,0.018054,0,1394656.0
2020-10-19,0,0,0,0.019589,0,1512701.0
2020-10-18,0,0,0,0.019578,0,1511316.0
2020-10-17,0,0,0,0.019634,0,1515255.0
2020-10-16,0,0,0,0.021791,0,1681319.0
2020-10-15,0,0,0,0.022999,0,1774078.0
2020-10-14,0,0,0,0.023925,0,1845110.0
2020-10-13,0,0,0,0.020328,0,1567397.0
2020-10-12,0,0,0,0.019483,0,1501857.0
2020-10-11,0,0,0,0.017515,0,1349756.0
2020-10-10,0,0,0,0.018246,0,1405723.0
2020-10-09,0,0,0,0.017671,0,1361146.0
2020-10-08,0,0,0,0.017125,0,1318765.0
2020-10-07,0,0,0,0.017354,0,1336101.0
2020-10-06,0,0,0,0.017395,0,1338885.0
2020-10-05,0,0,0,0.019406,0,1493354.0
2020-10-04,0,0,0,0.025289,0,1945620.0
2020-10-03,0,0,0,0.023262,0,1789247.0
2020-10-02,0,0,0,0.022177,0,1705363.0
2020-10-01,0,0,0,0.022569,0,1735056.0
2020-09-30,0,0,0,0.021392,0,1643988.0
2020-09-29,0,0,0,0.025606,0,1967394.0
2020-09-28,0,0,0,0.024987,0,1919338.0
2020-09-27,0,0,0,0.025252,0,1939244.0
2020-09-26,0,0,0,0.025225,0,1936681.0
2020-09-25,0,0,0,0.025184,0,1933129.0
2020-09-24,0,0,0,0.02495,0,1914759.0
2020-09-23,0,0,0,0.022569,0,1731601.0
2020-09-22,0,0,0,0.023614,0,1811589.0
2020-09-21,0,0,0,0.027511,0,2110046.0
2020-09-20,0,0,0,0.028782,0,2206971.0
2020-09-19,0,0,0,0.030361,0,2327471.0
2020-09-18,0,0,0,0.028462,0,2181347.0
2020-09-17,0,0,0,0.029777,0,2281500.0
2020-09-16,0,0,0,0.029393,0,2251461.0
2020-09-15,0,0,0,0.02917,0,2233675.0
2020-09-14,0,0,0,0.029681,0,2272428.0
2020-09-13,0,0,0,0.028006,0,2143872.0
2020-09-12,0,0,0,0.027556,0,2109134.0
2020-09-11,0,0,0,0.028408,0,2173959.0
2020-09-10,0,0,0,0.029156,0,2230660.0
2020-09-09,0,0,0,0.028577,0,2185884.0
2020-09-08,0,0,0,0.02991,0,2287303.0
2020-09-07,0,0,0,0.030696,0,2346896.0
2020-09-06,0,0,0,0.02946,0,2251905.0
2020-09-05,0,0,0,0.02799,0,2138996.0
2020-09-04,0,0,0,0.029357,0,2242941.0
2020-09-03,0,0,0,0.028809,0,2200471.0
2020-09-02,0,0,0,0.032762,0,2501806.0
2020-09-01,0,0,0,0.034285,0,2617479.0
2020-08-31,0,0,0,0.033764,0,2577069.0
2020-08-30,0,0,0,0.034675,0,2645865.0
2020-08-29,0,0,0,0.033821,0,2579976.0
2020-08-28,0,0,0,0.033271,0,2537278.0
2020-08-27,0,0,0,0.032115,0,2448446.0
2020-08-26,0,0,0,0.033705,0,2568910.0
2020-08-25,0,0,0,0.033468,0,2550485.0
2020-08-24,0,0,0,0.036144,0,2753891.0
2020-08-23,0,0,0,0.036283,0,2763905.0
2020-08-22,0,0,0,0.035188,0,2679781.0
2020-08-21,0,0,0,0.036268,0,2761236.0
2020-08-20,0,0,0,0.037348,0,2842676.0
2020-08-19,0,0,0,0.03563,0,2711124.0
2020-08-18,0,0,0,0.036699,0,2791577.0
2020-08-17,0,0,0,0.040152,0,3053233.0
2020-08-16,0,0,0,0.037552,0,2854475.0
2020-08-15,0,0,0,0.037765,0,2870236.0
2020-08-14,0,0,0,0.036874,0,2801545.0
2020-08-13,0,0,0,0.039517,0,3001063.0
2020-08-12,0,0,0,0.036149,0,2745005.0
2020-08-11,0,0,0,0.035678,0,2708853.0
2020-08-10,0,0,0,0.037926,0,2879196.0
2020-08-09,0,0,0,0.040773,0,3094893.0
2020-08-08,0,0,0,0.040818,0,3097907.0
2020-08-07,0,0,0,0.041747,0,3167931.0
2020-08-06,0,0,0,0.038676,0,2934465.0
2020-08-05,0,0,0,0.041023,0,3111930.0
2020-08-04,0,0,0,0.039316,0,2981803.0
2020-08-03,0,0,0,0.038654,0,2931019.0
2020-08-02,0,0,0,0.039082,0,2962783.0
2020-08-01,0,0,0,0.037811,0,2865776.0
2020-07-31,0,0,0,0.037756,0,2860950.0
2020-07-30,0,0,0,0.037162,0,2815316.0
2020-07-29,0,0,0,0.03689,0,2794142.0
2020-07-28,0,0,0,0.036584,0,2770300.0
2020-07-27,0,0,0,0.035608,0,2695854.0
2020-07-26,0,0,0,0.033493,0,2535156.0
2020-07-25,0,0,0,0.033692,0,2549609.0
2020-07-24,0,0,0,0.033272,0,2517189.0
2020-07-23,0,0,0,0.032873,0,2486430.0
2020-07-22,0,0,0,0.033638,0,2543885.0
2020-07-21,0,0,0,0.033225,0,2512026.0
2020-07-20,0,0,0,0.03232,0,2442934.0
2020-07-19,0,0,0,0.032868,0,2483851.0
2020-07-18,0,0,0,0.032395,0,2447545.0
2020-07-17,0,0,0,0.033099,0,2500228.0
2020-07-16,0,0,0,0.034706,0,2620954.0
2020-07-15,0,0,0,0.034437,0,2600046.0
2020-07-14,0,0,0,0.034662,0,2616491.0
2020-07-13,0,0,0,0.034489,0,2602754.0
2020-07-12,0,0,0,0.035955,0,2712809.0
2020-07-11,0,0,0,0.037165,0,2803469.0
2020-07-10,0,0,0,0.037333,0,2815483.0
2020-07-09,0,0,0,0.039098,0,2947833.0
2020-07-08,0,0,0,0.039264,0,2959646.0
2020-07-07,0,0,0,0.038599,0,2908908.0
2020-07-06,0,0,0,0.032923,0,2480758.0
2020-07-05,0,0,0,0.032678,0,2461810.0
2020-07-04,0,0,0,0.035229,0,2653511.0
2020-07-03,0,0,0,0.035312,0,2659419.0
2020-07-02,0,0,0,0.040962,0,3084502.0
2020-07-01,0,0,0,0.027226,0,2049825.0
2020-06-30,0,0,0,0.029576,0,2226308.0
2020-06-29,0,0,0,0.021662,0,1629796.0
2020-06-28,0,0,0,0.022104,0,1662996.0
2020-06-27,0,0,0,0.021423,0,1611716.0
2020-06-26,0,0,0,0.021468,0,1615120.0
2020-06-25,0,0,0,0.022291,0,1676670.0
2020-06-24,0,0,0,0.022111,0,1662837.0
2020-06-23,0,0,0,0.02263,0,1701804.0
2020-06-22,0,0,0,0.022904,0,1722382.0
2020-06-21,0,0,0,0.02256,0,1696540.0
2020-06-20,0,0,0,0.022458,0,1688809.0
2020-06-19,0,0,0,0.023265,0,1749517.0
2020-06-18,0,0,0,0.024066,0,1809746.0
2020-06-17,0,0,0,0.02417,0,1817486.0
2020-06-16,0,0,0,0.023434,0,1762132.0
2020-06-15,0,0,0,0.024331,0,1829539.0
2020-06-14,0,0,0,0.022775,0,1712553.0
2020-06-13,0,0,0,0.022448,0,1687927.0
2020-06-12,0,0,0,0.022368,0,1681879.0
2020-06-11,0,0,0,0.021823,0,1640915.0
2020-06-10,0,0,0,0.024048,0,1808194.0
2020-06-09,0,0,0,0.022659,0,1703710.0
2020-06-08,0,0,0,0.022793,0,1713810.0
2020-06-07,0,0,0,0.020992,0,1578382.0
2020-06-06,0,0,0,0.02162,0,1625576.0
2020-06-05,0,0,0,0.021132,0,1588824.0
2020-06-04,0,0,0,0.021511,0,1617290.0
2020-06-03,0,0,0,0.021598,0,1623811.0
2020-06-02,0,0,0,0.021204,0,1594185.0
2020-06-01,0,0,0,0.02225,0,1672834.0
2020-05-31,0,0,0,0.021088,0,1585460.0
2020-05-30,0,0,0,0.020259,0,1523099.0
2020-05-29,0,0,0,0.019707,0,1481509.0
2020-05-28,0,0,0,0.020242,0,1521760.0
2020-05-27,0,0,0,0.020446,0,1537006.0
2020-05-26,0,0,0,0.019124,0,1437604.0
2020-05-25,0,0,0,0.02042,0,1535012.0
2020-05-24,0,0,0,0.018177,0,1366443.0
2020-05-23,0,0,0,0.020236,0,1521157.0
2020-05-22,0,0,0,0.019247,0,1446794.0
2020-05-21,0,0,0,0.018478,0,1388968.0
2020-05-20,0,0,0,0.019236,0,1445919.0
2020-05-19,0,0,0,0.019151,0,1439508.0
2020-05-18,0,0,0,0.019549,0,1469385.0
2020-05-17,0,0,0,0.019385,0,1457025.0
2020-05-16,0,0,0,0.019879,0,1494057.0
2020-05-15,0,0,0,0.020942,0,1573957.0
2020-05-14,0,0,0,0.022116,0,1662144.0
2020-05-13,0,0,0,0.021524,0,1617660.0
2020-05-12,0,0,0,0.021004,0,1578578.0
2020-05-11,0,0,0,0.021213,0,1594225.0
2020-05-10,0,0,0,0.020202,0,1518200.0
2020-05-09,0,0,0,0.022624,0,1700247.0
2020-05-08,0,0,0,0.02353,0,1768241.0
2020-05-07,0,0,0,0.02263,0,1700555.0
2020-05-06,0,0,0,0.023059,0,1732779.0
2020-05-05,0,0,0,0.02241,0,1683940.0
2020-05-04,0,0,0,0.022351,0,1679464.0
2020-05-03,0,0,0,0.021898,0,1645364.0
2020-05-02,0,0,0,0.022679,0,1703993.0
2020-05-01,0,0,0,0.022535,0,1693117.0
2020-04-30,0,0,0,0.021681,0,1628949.0
2020-04-29,0,0,0,0.023021,0,1729588.0
2020-04-28,0,0,0,0.02133,0,1602456.0
2020-04-27,0,0,0,0.022021,0,1654357.0
2020-04-26,0,0,0,0.022409,0,1683466.0
2020-04-25,0,0,0,0.022108,0,1660848.0
2020-04-24,0,0,0,0.022814,0,1713879.0
2020-04-23,0,0,0,0.021808,0,1638208.0
2020-04-22,0,0,0,0.020903,0,1570203.0
2020-04-21,0,0,0,0.020018,0,1503680.0
2020-04-20,0,0,0,0.019977,0,1500592.0
2020-04-19,0,0,0,0.021517,0,1616242.0
2020-04-18,0,0,0,0.021745,0,1633356.0
2020-04-17,0,0,0,0.021794,0,1637000.0
2020-04-16,0,0,0,0.020667,0,1552253.0
2020-04-15,0,0,0,0.019698,0,1479450.0
2020-04-14,0,0,0,0.020479,0,1538055.0
2020-04-13,0,0,0,0.020829,0,1564301.0
2020-04-12,0,0,0,0.021853,0,1641221.0
2020-04-11,0,0,0,0.022662,0,1701869.0
2020-04-10,0,0,0,0.020725,0,1556384.0
2020-04-09,0,0,0,0.022055,0,1656229.0
2020-04-08,0,0,0,0.023783,0,1785959.0
2020-04-07,0,0,0,0.021142,0,1587580.0
2020-04-06,0,0,0,0.021442,0,1610062.0
2020-04-05,0,0,0,0.018538,0,1391968.0
