date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,3.22,0,451479995.0
2020-12-13,0,0,0,3.26,0,457881519.0
2020-12-12,0,0,0,3.19,0,447298441.0
2020-12-11,0,0,0,3.0,0,420365385.0
2020-12-10,0,0,0,3.14,0,440999331.0
2020-12-09,0,0,0,3.28,0,459657290.0
2020-12-08,0,0,0,3.24,0,454136241.0
2020-12-07,0,0,0,3.58,0,501472574.0
2020-12-06,0,0,0,3.68,0,515871739.0
2020-12-05,0,0,0,3.76,0,527186116.0
2020-12-04,0,0,0,3.53,0,494660642.0
2020-12-03,0,0,0,3.77,0,528763742.0
2020-12-02,0,0,0,3.76,0,527734078.0
2020-12-01,0,0,0,3.65,0,511781349.0
2020-11-30,0,0,0,3.9,0,547198537.0
2020-11-29,0,0,0,3.75,0,525867992.0
2020-11-28,0,0,0,3.76,0,526691206.0
2020-11-27,0,0,0,3.59,0,502844154.0
2020-11-26,0,0,0,3.67,0,515126274.0
2020-11-25,0,0,0,4.41,0,618230136.0
2020-11-24,0,0,0,4.32,0,605551022.0
2020-11-23,0,0,0,4.2,0,589556525.0
2020-11-22,0,0,0,3.87,0,543054691.0
2020-11-21,0,0,0,4.22,0,591815789.0
2020-11-20,0,0,0,3.53,0,495304060.0
2020-11-19,0,0,0,3.26,0,457687322.0
2020-11-18,0,0,0,3.33,0,466955146.0
2020-11-17,0,0,0,3.45,0,483767275.0
2020-11-16,0,0,0,3.42,0,480163798.0
2020-11-15,0,0,0,3.32,0,465276055.0
2020-11-14,0,0,0,3.42,0,479538135.0
2020-11-13,0,0,0,3.62,0,507212300.0
2020-11-12,0,0,0,3.49,0,488816476.0
2020-11-11,0,0,0,3.51,0,492762776.0
2020-11-10,0,0,0,3.21,0,450380537.0
2020-11-09,0,0,0,3.16,0,443610234.0
2020-11-08,0,0,0,3.18,0,446231777.0
2020-11-07,0,0,0,3.06,0,428893372.0
2020-11-06,0,0,0,3.3,0,463500904.0
2020-11-05,0,0,0,2.9,0,406383515.0
2020-11-04,0,0,0,2.77,0,388534898.0
2020-11-03,0,0,0,2.88,0,403687472.0
2020-11-02,0,0,0,2.99,0,419670560.0
2020-11-01,0,0,0,3.13,0,438974336.0
2020-10-31,0,0,0,2.92,0,409452509.0
2020-10-30,0,0,0,2.87,0,401958484.0
2020-10-29,0,0,0,2.89,0,404920490.0
2020-10-28,0,0,0,3.06,0,429104928.0
2020-10-27,0,0,0,3.21,0,450114703.0
2020-10-26,0,0,0,3.24,0,455073553.0
2020-10-25,0,0,0,3.35,0,469646433.0
2020-10-24,0,0,0,3.49,0,489441911.0
2020-10-23,0,0,0,3.52,0,493614490.0
2020-10-22,0,0,0,3.48,0,488308087.0
2020-10-21,0,0,0,3.28,0,459626377.0
2020-10-20,0,0,0,3.15,0,441172040.0
2020-10-19,0,0,0,3.35,0,469903960.0
2020-10-18,0,0,0,3.41,0,477720778.0
2020-10-17,0,0,0,3.26,0,457493735.0
2020-10-16,0,0,0,3.24,0,454973642.0
2020-10-15,0,0,0,3.43,0,481383390.0
2020-10-14,0,0,0,3.36,0,470959998.0
2020-10-13,0,0,0,3.53,0,495264035.0
2020-10-12,0,0,0,3.63,0,509726634.0
2020-10-11,0,0,0,3.65,0,512183559.0
2020-10-10,0,0,0,3.64,0,510158409.0
2020-10-09,0,0,0,3.49,0,489376462.0
2020-10-08,0,0,0,3.37,0,471977856.0
2020-10-07,0,0,0,3.26,0,456976416.0
2020-10-06,0,0,0,3.37,0,472029113.0
2020-10-05,0,0,0,3.82,0,535283270.0
2020-10-04,0,0,0,3.63,0,509136269.0
2020-10-03,0,0,0,3.73,0,523760494.0
2020-10-02,0,0,0,3.83,0,537462399.0
2020-10-01,0,0,0,4.02,0,563409784.0
2020-09-30,0,0,0,4.01,0,562114329.0
2020-09-29,0,0,0,4.09,0,574077913.0
2020-09-28,0,0,0,3.78,0,530563233.0
2020-09-27,0,0,0,3.09,0,432664994.0
2020-09-26,0,0,0,3.1,0,434663583.0
2020-09-25,0,0,0,3.12,0,437028993.0
2020-09-24,0,0,0,3.1,0,435162212.0
2020-09-23,0,0,0,2.74,0,384970624.0
2020-09-22,0,0,0,3.23,0,452822497.0
2020-09-21,0,0,0,2.58,0,361178417.0
2020-09-20,0,0,0,2.91,0,408334378.0
2020-09-19,0,0,0,3.07,0,430175487.0
2020-09-18,0,0,0,3.01,0,422636459.0
2020-09-17,0,0,0,3.27,0,458704014.0
2020-09-16,0,0,0,3.42,0,479525713.0
2020-09-15,0,0,0,3.48,0,487412463.0
2020-09-14,0,0,0,3.83,0,537727833.0
2020-09-13,0,0,0,3.82,0,535512004.0
2020-09-12,0,0,0,4.1,0,574788789.0
2020-09-11,0,0,0,3.83,0,536779836.0
2020-09-10,0,0,0,3.82,0,536352068.0
2020-09-09,0,0,0,3.84,0,538761689.0
2020-09-08,0,0,0,3.53,0,494461928.0
2020-09-07,0,0,0,3.6,0,505043537.0
2020-09-06,0,0,0,3.93,0,551042915.0
2020-09-05,0,0,0,3.76,0,526997724.0
2020-09-04,0,0,0,4.26,0,598011390.0
2020-09-03,0,0,0,3.57,0,500035724.0
2020-09-02,0,0,0,4.43,0,620803868.0
2020-09-01,0,0,0,5.0,0,701880219.0
2020-08-31,0,0,0,5.13,0,719929328.0
2020-08-30,0,0,0,5.51,0,773167792.0
2020-08-29,0,0,0,5.13,0,719589091.0
2020-08-28,0,0,0,5.37,0,752895276.0
2020-08-27,0,0,0,5.01,0,702954165.0
2020-08-26,0,0,0,5.51,0,772413365.0
2020-08-25,0,0,0,5.17,0,724722688.0
2020-08-24,0,0,0,5.86,0,821147618.0
2020-08-23,0,0,0,6.41,0,899503858.0
2020-08-22,0,0,0,6.04,0,847112018.0
2020-08-21,0,0,0,6.17,0,865540581.0
2020-08-20,0,0,0,5.72,0,802646437.0
2020-08-19,0,0,0,3.35,0,469243754.0
2020-08-18,0,0,0,2.71,0,380217135.0
2020-08-17,0,0,0,2.68,0,376190513.0
2020-08-16,0,0,0,2.79,0,391748382.0
2020-08-15,0,0,0,1.95,0,273224927.0
2020-08-14,0,0,0,2.02,0,283483338.0
2020-08-13,0,0,0,1.86,0,260260896.0
2020-08-12,0,0,0,1.71,0,240345463.0
2020-08-11,0,0,0,1.66,0,232505573.0
