date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.323836,0,6902838.0
2020-12-13,0,0,0,0.320018,0,6821459.0
2020-12-12,0,0,0,0.318558,0,6790333.0
2020-12-11,0,0,0,0.315097,0,6716568.0
2020-12-10,0,0,0,0.317878,0,6775837.0
2020-12-09,0,0,0,0.319525,0,6810957.0
2020-12-08,0,0,0,0.317213,0,6761664.0
2020-12-07,0,0,0,0.319269,0,6805502.0
2020-12-06,0,0,0,0.320428,0,6830196.0
2020-12-05,0,0,0,0.320225,0,6825874.0
2020-12-04,0,0,0,0.320108,0,6823387.0
2020-12-03,0,0,0,0.320318,0,6827850.0
2020-12-02,0,0,0,0.318378,0,6786512.0
2020-12-01,0,0,0,0.324723,0,6921758.0
2020-11-30,0,0,0,0.321694,0,6857185.0
2020-11-29,0,0,0,0.320337,0,6828258.0
2020-11-28,0,0,0,0.320364,0,6828844.0
2020-11-27,0,0,0,0.324829,0,6924012.0
2020-11-26,0,0,0,0.322773,0,6880193.0
2020-11-25,0,0,0,0.318054,0,6779591.0
2020-11-24,0,0,0,0.320108,0,6823385.0
2020-11-23,0,0,0,0.288599,0,6151736.0
2020-11-22,0,0,0,0.287693,0,6132425.0
2020-11-21,0,0,0,0.27665,0,5897028.0
2020-11-20,0,0,0,0.287322,0,6124515.0
2020-11-19,0,0,0,0.288581,0,6151346.0
2020-11-18,0,0,0,0.288471,0,6149002.0
2020-11-17,0,0,0,0.288595,0,6151656.0
2020-11-16,0,0,0,0.288846,0,6156997.0
2020-11-15,0,0,0,0.289172,0,6163944.0
2020-11-14,0,0,0,0.342993,0,7311198.0
2020-11-13,0,0,0,0.337505,0,7194215.0
2020-11-12,0,0,0,0.341108,0,7271007.0
2020-11-11,0,0,0,0.28864,0,6152603.0
2020-11-10,0,0,0,0.288658,0,6152998.0
2020-11-09,0,0,0,0.288544,0,6150557.0
2020-11-08,0,0,0,0.28882,0,6156447.0
2020-11-07,0,0,0,0.288742,0,6154793.0
2020-11-06,0,0,0,0.289675,0,6174679.0
2020-11-05,0,0,0,0.291094,0,6204916.0
2020-11-04,0,0,0,0.288667,0,6153177.0
2020-11-03,0,0,0,0.288485,0,6149310.0
2020-11-02,0,0,0,0.288506,0,6149747.0
2020-11-01,0,0,0,0.289956,0,6180655.0
2020-10-31,0,0,0,0.288651,0,6152854.0
