date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.007726,0,11522784.0
2020-12-13,0,0,0,0.007648,0,11404118.0
2020-12-12,0,0,0,0.007851,0,11706520.0
2020-12-11,0,0,0,0.007909,0,11791147.0
2020-12-10,0,0,0,0.007676,0,11441247.0
2020-12-09,0,0,0,0.007898,0,11771223.0
2020-12-08,0,0,0,0.007842,0,11686559.0
2020-12-07,0,0,0,0.00846,0,12605023.0
2020-12-06,0,0,0,0.008125,0,12105459.0
2020-12-05,0,0,0,0.00811,0,12081464.0
2020-12-04,0,0,0,0.008001,0,11917427.0
2020-12-03,0,0,0,0.007735,0,11518197.0
2020-12-02,0,0,0,0.007536,0,11221230.0
2020-12-01,0,0,0,0.007584,0,11291385.0
2020-11-30,0,0,0,0.007931,0,11806585.0
2020-11-29,0,0,0,0.007929,0,11800905.0
2020-11-28,0,0,0,0.007845,0,11675316.0
2020-11-27,0,0,0,0.007746,0,11526052.0
2020-11-26,0,0,0,0.007646,0,11375938.0
2020-11-25,0,0,0,0.009785,0,14556308.0
2020-11-24,0,0,0,0.009448,0,14052173.0
2020-11-23,0,0,0,0.008596,0,12784234.0
2020-11-22,0,0,0,0.008538,0,12695444.0
2020-11-21,0,0,0,0.008777,0,13048720.0
2020-11-20,0,0,0,0.007655,0,11380015.0
2020-11-19,0,0,0,0.007483,0,11121774.0
2020-11-18,0,0,0,0.007419,0,11025650.0
2020-11-17,0,0,0,0.007568,0,11244987.0
2020-11-16,0,0,0,0.007856,0,11672202.0
2020-11-15,0,0,0,0.007057,0,10482512.0
2020-11-14,0,0,0,0.007188,0,10677015.0
2020-11-13,0,0,0,0.007578,0,11253616.0
2020-11-12,0,0,0,0.007724,0,11470045.0
2020-11-11,0,0,0,0.007805,0,11588578.0
2020-11-10,0,0,0,0.008181,0,12145514.0
2020-11-09,0,0,0,0.007868,0,11679100.0
2020-11-08,0,0,0,0.007957,0,11808529.0
2020-11-07,0,0,0,0.007558,0,11215488.0
2020-11-06,0,0,0,0.007912,0,11739636.0
2020-11-05,0,0,0,0.007121,0,10564264.0
2020-11-04,0,0,0,0.006848,0,10158958.0
2020-11-03,0,0,0,0.007128,0,10572945.0
2020-11-02,0,0,0,0.007066,0,10478136.0
2020-11-01,0,0,0,0.008165,0,12107465.0
2020-10-31,0,0,0,0.008384,0,12430342.0
2020-10-30,0,0,0,0.008363,0,12396551.0
2020-10-29,0,0,0,0.009086,0,13465787.0
2020-10-28,0,0,0,0.009143,0,13549431.0
2020-10-27,0,0,0,0.009446,0,13996413.0
2020-10-26,0,0,0,0.009946,0,14734553.0
2020-10-25,0,0,0,0.011436,0,16939638.0
2020-10-24,0,0,0,0.012268,0,18168590.0
2020-10-23,0,0,0,0.010228,0,15145621.0
2020-10-22,0,0,0,0.009137,0,13524804.0
2020-10-21,0,0,0,0.008973,0,13281655.0
2020-10-20,0,0,0,0.009151,0,13545049.0
2020-10-19,0,0,0,0.009268,0,13715216.0
2020-10-18,0,0,0,0.009225,0,13649364.0
2020-10-17,0,0,0,0.009013,0,13332315.0
2020-10-16,0,0,0,0.008948,0,13235073.0
2020-10-15,0,0,0,0.009369,0,13856306.0
2020-10-14,0,0,0,0.009161,0,13547317.0
2020-10-13,0,0,0,0.009365,0,13847041.0
2020-10-12,0,0,0,0.00905,0,13378656.0
2020-10-11,0,0,0,0.009144,0,13512627.0
2020-10-10,0,0,0,0.009041,0,13359165.0
2020-10-09,0,0,0,0.009191,0,13578636.0
2020-10-08,0,0,0,0.009676,0,14292888.0
2020-10-07,0,0,0,0.009231,0,13632192.0
2020-10-06,0,0,0,0.009512,0,14041370.0
2020-10-05,0,0,0,0.01013,0,14953915.0
2020-10-04,0,0,0,0.010038,0,14816784.0
2020-10-03,0,0,0,0.010001,0,14761222.0
2020-10-02,0,0,0,0.010136,0,14960601.0
2020-10-01,0,0,0,0.010604,0,15649918.0
2020-09-30,0,0,0,0.010215,0,15074817.0
2020-09-29,0,0,0,0.010313,0,15219290.0
2020-09-28,0,0,0,0.010204,0,15057850.0
2020-09-27,0,0,0,0.010161,0,14993332.0
2020-09-26,0,0,0,0.010666,0,15737956.0
2020-09-25,0,0,0,0.010255,0,15130467.0
