date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.001296,0,2642034.0
2020-12-13,0,0,0,0.003373,0,6878671.0
2020-12-12,0,0,0,0.003593,0,7326441.0
2020-12-11,0,0,0,0.003467,0,7070317.0
2020-12-10,0,0,0,0.00191,0,3894267.0
2020-12-09,0,0,0,0.000976,0,1990772.0
2020-12-08,0,0,0,0.001143,0,2331832.0
2020-12-07,0,0,0,0.001968,0,4013729.0
2020-12-06,0,0,0,0.002202,0,4490798.0
2020-12-05,0,0,0,0.005728,0,11682214.0
2020-12-04,0,0,0,0.005539,0,11295166.0
2020-12-03,0,0,0,0.005872,0,11974739.0
2020-12-02,0,0,0,0.005747,0,11719456.0
2020-12-01,0,0,0,0.005635,0,11490996.0
2020-11-30,0,0,0,0.001279,0,2607505.0
2020-11-29,0,0,0,0.005486,0,11187268.0
2020-11-28,0,0,0,0.005234,0,10672933.0
2020-11-27,0,0,0,0.005042,0,10281719.0
2020-11-26,0,0,0,0.005048,0,10294800.0
2020-11-25,0,0,0,0.005542,0,11301288.0
2020-11-24,0,0,0,0.005759,0,11745477.0
2020-11-23,0,0,0,0.005669,0,11559932.0
2020-11-22,0,0,0,0.00543,0,11072532.0
2020-11-21,0,0,0,0.005423,0,11058704.0
2020-11-20,0,0,0,0.005223,0,10652045.0
2020-11-19,0,0,0,0.004918,0,10029354.0
2020-11-18,0,0,0,0.004954,0,10103479.0
2020-11-17,0,0,0,0.004936,0,10066017.0
2020-11-16,0,0,0,0.004553,0,9284382.0
2020-11-15,0,0,0,0.004529,0,9236052.0
2020-11-14,0,0,0,0.004607,0,9395949.0
2020-11-13,0,0,0,0.004732,0,9650452.0
2020-11-12,0,0,0,0.004109,0,8380453.0
2020-11-11,0,0,0,0.002657,0,5419210.0
2020-11-10,0,0,0,0.002756,0,5620031.0
2020-11-09,0,0,0,0.004445,0,9064305.0
2020-11-08,0,0,0,0.004514,0,9204903.0
2020-11-07,0,0,0,0.004333,0,8837385.0
2020-11-06,0,0,0,0.004527,0,9233030.0
2020-11-05,0,0,0,0.004329,0,8829212.0
2020-11-04,0,0,0,0.00406,0,8279643.0
2020-11-03,0,0,0,0.003956,0,8066759.0
2020-11-02,0,0,0,0.003882,0,7916052.0
2020-11-01,0,0,0,0.00397,0,8096114.0
2020-10-31,0,0,0,0.003931,0,8016484.0
2020-10-30,0,0,0,0.003878,0,7909096.0
