date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.43,0,21758918.0
2020-12-13,0,0,0,1.5,0,22875596.0
2020-12-12,0,0,0,1.46,0,22211051.0
2020-12-11,0,0,0,1.31,0,20058104.0
2020-12-10,0,0,0,1.52,0,23096914.0
2020-12-09,0,0,0,1.4,0,21305574.0
2020-12-08,0,0,0,1.41,0,21476580.0
2020-12-07,0,0,0,1.51,0,22947140.0
2020-12-06,0,0,0,1.46,0,22156999.0
2020-12-05,0,0,0,1.44,0,21885859.0
2020-12-04,0,0,0,1.41,0,21428539.0
2020-12-03,0,0,0,1.46,0,21909670.0
2020-12-02,0,0,0,1.2,0,18015091.0
2020-12-01,0,0,0,1.09,0,16404681.0
2020-11-30,0,0,0,1.09,0,16325802.0
2020-11-29,0,0,0,1.12,0,16777535.0
2020-11-28,0,0,0,1.12,0,16774693.0
2020-11-27,0,0,0,1.09,0,16383012.0
2020-11-26,0,0,0,1.05,0,15746451.0
2020-11-25,0,0,0,1.09,0,16246725.0
2020-11-24,0,0,0,1.09,0,16299005.0
2020-11-23,0,0,0,1.14,0,17002492.0
2020-11-22,0,0,0,1.08,0,16197120.0
2020-11-21,0,0,0,0.891859,0,13351251.0
2020-11-20,0,0,0,0.719335,0,10768550.0
2020-11-19,0,0,0,0.684387,0,10258581.0
2020-11-18,0,0,0,0.725123,0,10869202.0
2020-11-17,0,0,0,0.721761,0,10818801.0
2020-11-16,0,0,0,0.806832,0,12093972.0
2020-11-15,0,0,0,0.813662,0,12140939.0
2020-11-14,0,0,0,0.901794,0,13455982.0
2020-11-13,0,0,0,0.915755,0,13664307.0
2020-11-12,0,0,0,0.918709,0,13648670.0
2020-11-11,0,0,0,0.905883,0,13458114.0
2020-11-10,0,0,0,0.849388,0,12618804.0
2020-11-09,0,0,0,0.873757,0,12980839.0
2020-11-08,0,0,0,0.867157,0,12882794.0
2020-11-07,0,0,0,0.864494,0,12843222.0
2020-11-06,0,0,0,0.857349,0,12737077.0
2020-11-05,0,0,0,0.880172,0,13018937.0
2020-11-04,0,0,0,0.888367,0,13140142.0
2020-11-03,0,0,0,0.966249,0,14292134.0
2020-11-02,0,0,0,0.92103,0,13623276.0
2020-11-01,0,0,0,1.03,0,15218655.0
2020-10-31,0,0,0,1.04,0,15364665.0
2020-10-30,0,0,0,1.05,0,15517907.0
2020-10-29,0,0,0,1.1,0,16265594.0
2020-10-28,0,0,0,1.1,0,16143426.0
2020-10-27,0,0,0,1.15,0,16979127.0
2020-10-26,0,0,0,1.16,0,17031978.0
2020-10-25,0,0,0,1.15,0,16980112.0
2020-10-24,0,0,0,1.17,0,17157788.0
2020-10-23,0,0,0,1.14,0,16755817.0
2020-10-22,0,0,0,1.13,0,16620583.0
2020-10-21,0,0,0,1.12,0,16455042.0
2020-10-20,0,0,0,1.14,0,16655628.0
2020-10-19,0,0,0,1.15,0,16793540.0
2020-10-18,0,0,0,1.05,0,15389504.0
2020-10-17,0,0,0,1.1,0,16173617.0
2020-10-16,0,0,0,1.11,0,16318146.0
2020-10-15,0,0,0,1.05,0,15292592.0
2020-10-14,0,0,0,1.03,0,15064722.0
2020-10-13,0,0,0,1.06,0,15064722.0
2020-10-12,0,0,0,1.08,0,15064722.0
2020-10-11,0,0,0,1.06,0,15064722.0
2020-10-10,0,0,0,1.06,0,15064722.0
2020-10-09,0,0,0,1.06,0,15064722.0
2020-10-08,0,0,0,1.0,0,15064722.0
2020-10-07,0,0,0,1.06,0,15064722.0
2020-10-06,0,0,0,1.02,0,15064722.0
2020-10-05,0,0,0,1.09,0,15064722.0
2020-10-04,0,0,0,1.11,0,15064722.0
2020-10-03,0,0,0,1.11,0,15064722.0
2020-10-02,0,0,0,1.08,0,15064722.0
2020-10-01,0,0,0,1.16,0,15064722.0
2020-09-30,0,0,0,1.2,0,15064722.0
2020-09-29,0,0,0,1.16,0,15064722.0
2020-09-28,0,0,0,1.36,0,15064722.0
2020-09-27,0,0,0,1.39,0,15064722.0
2020-09-26,0,0,0,1.41,0,15064722.0
2020-09-25,0,0,0,1.4,0,15064722.0
2020-09-24,0,0,0,1.32,0,15064722.0
2020-09-23,0,0,0,1.14,0,15064722.0
2020-09-22,0,0,0,1.37,0,15064722.0
2020-09-21,0,0,0,1.13,0,15064722.0
2020-09-20,0,0,0,1.37,0,15064722.0
2020-09-19,0,0,0,1.51,0,15064722.0
2020-09-18,0,0,0,1.37,0,15064722.0
2020-09-17,0,0,0,1.77,0,15064722.0
2020-09-16,0,0,0,1.54,0,15064722.0
2020-09-15,0,0,0,1.74,0,15064722.0
2020-09-14,0,0,0,2.08,0,15064722.0
2020-09-13,0,0,0,1.91,0,15064722.0
