date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.015738,0,3777131.0
2020-12-13,0,0,0,0.015954,0,3829001.0
2020-12-12,0,0,0,0.016246,0,3899046.0
2020-12-11,0,0,0,0.015167,0,3640181.0
2020-12-10,0,0,0,0.01523,0,3655257.0
2020-12-09,0,0,0,0.01552,0,3724868.0
2020-12-08,0,0,0,0.015167,0,3640187.0
2020-12-07,0,0,0,0.016374,0,3929808.0
2020-12-06,0,0,0,0.016365,0,3927553.0
2020-12-05,0,0,0,0.016668,0,4000430.0
2020-12-04,0,0,0,0.016185,0,3884503.0
2020-12-03,0,0,0,0.017738,0,4257236.0
2020-12-02,0,0,0,0.017891,0,4293799.0
2020-12-01,0,0,0,0.017479,0,4194978.0
2020-11-30,0,0,0,0.017512,0,4202951.0
2020-11-29,0,0,0,0.017287,0,4148795.0
2020-11-28,0,0,0,0.018619,0,4468499.0
2020-11-27,0,0,0,0.019264,0,4623344.0
2020-11-26,0,0,0,0.016829,0,4039008.0
2020-11-25,0,0,0,0.018625,0,4470021.0
2020-11-24,0,0,0,0.018098,0,4343541.0
2020-11-23,0,0,0,0.017798,0,4271507.0
2020-11-22,0,0,0,0.016313,0,3915037.0
2020-11-21,0,0,0,0.017167,0,4120128.0
2020-11-20,0,0,0,0.015294,0,3670554.0
2020-11-19,0,0,0,0.015698,0,3767510.0
2020-11-18,0,0,0,0.015515,0,3723485.0
2020-11-17,0,0,0,0.016082,0,3859749.0
2020-11-16,0,0,0,0.016184,0,3884275.0
2020-11-15,0,0,0,0.016261,0,3902653.0
2020-11-14,0,0,0,0.016526,0,3966279.0
2020-11-13,0,0,0,0.015938,0,3825198.0
2020-11-12,0,0,0,0.014656,0,3517380.0
2020-11-11,0,0,0,0.015997,0,3839202.0
2020-11-10,0,0,0,0.017139,0,4113435.0
2020-11-09,0,0,0,0.016708,0,4009987.0
2020-11-08,0,0,0,0.01468,0,3523089.0
2020-11-07,0,0,0,0.01408,0,3379289.0
2020-11-06,0,0,0,0.015724,0,3773762.0
2020-11-05,0,0,0,0.013054,0,3132857.0
2020-11-04,0,0,0,0.013039,0,3129406.0
2020-11-03,0,0,0,0.013145,0,3154857.0
2020-11-02,0,0,0,0.013626,0,3270119.0
2020-11-01,0,0,0,0.014277,0,3426398.0
2020-10-31,0,0,0,0.013896,0,3335111.0
2020-10-30,0,0,0,0.013694,0,3286572.0
2020-10-29,0,0,0,0.014134,0,3392218.0
2020-10-28,0,0,0,0.01547,0,3712752.0
2020-10-27,0,0,0,0.015434,0,3704250.0
2020-10-26,0,0,0,0.01567,0,3760691.0
2020-10-25,0,0,0,0.016427,0,3942368.0
2020-10-24,0,0,0,0.016976,0,4074167.0
2020-10-23,0,0,0,0.016681,0,4003344.0
2020-10-22,0,0,0,0.018119,0,4348569.0
2020-10-21,0,0,0,0.015067,0,3615997.0
2020-10-20,0,0,0,0.015163,0,3639103.0
2020-10-19,0,0,0,0.016561,0,3974560.0
2020-10-18,0,0,0,0.017097,0,4103315.0
2020-10-17,0,0,0,0.016523,0,3965490.0
2020-10-16,0,0,0,0.016223,0,3893502.0
2020-10-15,0,0,0,0.018281,0,4387415.0
2020-10-14,0,0,0,0.018656,0,4477442.0
2020-10-13,0,0,0,0.020442,0,4906004.0
2020-10-12,0,0,0,0.018673,0,4481520.0
2020-10-11,0,0,0,0.017622,0,4229354.0
2020-10-10,0,0,0,0.017638,0,4233143.0
2020-10-09,0,0,0,0.017481,0,4195468.0
2020-10-08,0,0,0,0.015766,0,3783912.0
2020-10-07,0,0,0,0.015066,0,3615905.0
2020-10-06,0,0,0,0.014666,0,3519921.0
2020-10-05,0,0,0,0.016265,0,3903702.0
2020-10-04,0,0,0,0.015521,0,3724946.0
2020-10-03,0,0,0,0.015397,0,3695166.0
2020-10-02,0,0,0,0.015782,0,3787719.0
2020-10-01,0,0,0,0.015823,0,3797545.0
2020-09-30,0,0,0,0.016437,0,3944842.0
2020-09-29,0,0,0,0.016391,0,3933875.0
2020-09-28,0,0,0,0.01631,0,3914315.0
2020-09-27,0,0,0,0.01681,0,4034290.0
2020-09-26,0,0,0,0.017628,0,4230766.0
2020-09-25,0,0,0,0.015803,0,3792604.0
2020-09-24,0,0,0,0.015025,0,3605976.0
2020-09-23,0,0,0,0.013936,0,3344650.0
2020-09-22,0,0,0,0.015479,0,3714922.0
2020-09-21,0,0,0,0.015269,0,3664667.0
2020-09-20,0,0,0,0.017702,0,4248543.0
2020-09-19,0,0,0,0.01874,0,4497602.0
2020-09-18,0,0,0,0.017159,0,4118127.0
2020-09-17,0,0,0,0.018259,0,4382267.0
2020-09-16,0,0,0,0.018014,0,4323455.0
2020-09-15,0,0,0,0.018046,0,4331141.0
2020-09-14,0,0,0,0.020063,0,4815107.0
2020-09-13,0,0,0,0.019162,0,4598930.0
2020-09-12,0,0,0,0.021967,0,5271977.0
2020-09-11,0,0,0,0.021848,0,5243608.0
2020-09-10,0,0,0,0.020171,0,4841090.0
2020-09-09,0,0,0,0.018328,0,4398614.0
2020-09-08,0,0,0,0.017631,0,4231543.0
2020-09-07,0,0,0,0.018957,0,4549729.0
2020-09-06,0,0,0,0.02075,0,4980083.0
2020-09-05,0,0,0,0.016363,0,3927103.0
2020-09-04,0,0,0,0.020361,0,4886725.0
2020-09-03,0,0,0,0.021574,0,5177747.0
2020-09-02,0,0,0,0.026447,0,6347296.0
2020-09-01,0,0,0,0.029113,0,6987132.0
2020-08-31,0,0,0,0.031886,0,7652540.0
2020-08-30,0,0,0,0.031143,0,7474275.0
2020-08-29,0,0,0,0.031185,0,7484321.0
2020-08-28,0,0,0,0.029034,0,6968216.0
2020-08-27,0,0,0,0.027393,0,6574372.0
2020-08-26,0,0,0,0.029396,0,7054934.0
2020-08-25,0,0,0,0.028069,0,6736603.0
2020-08-24,0,0,0,0.030841,0,7401743.0
2020-08-23,0,0,0,0.027905,0,6697119.0
2020-08-22,0,0,0,0.029112,0,6986803.0
2020-08-21,0,0,0,0.026935,0,6464333.0
2020-08-20,0,0,0,0.030775,0,7385897.0
2020-08-19,0,0,0,0.027835,0,6680309.0
2020-08-18,0,0,0,0.031524,0,7565843.0
2020-08-17,0,0,0,0.033422,0,8021316.0
2020-08-16,0,0,0,0.034176,0,8202290.0
2020-08-15,0,0,0,0.035992,0,8638195.0
2020-08-14,0,0,0,0.037783,0,9067914.0
2020-08-13,0,0,0,0.037668,0,9040337.0
2020-08-12,0,0,0,0.036634,0,8792173.0
2020-08-11,0,0,0,0.03679,0,8829672.0
2020-08-10,0,0,0,0.035286,0,8468667.0
2020-08-09,0,0,0,0.032495,0,7798874.0
2020-08-08,0,0,0,0.034789,0,8349287.0
2020-08-07,0,0,0,0.030842,0,7402093.0
2020-08-06,0,0,0,0.032174,0,7721721.0
2020-08-05,0,0,0,0.030435,0,7304492.0
2020-08-04,0,0,0,0.028679,0,6882927.0
2020-08-03,0,0,0,0.028118,0,6748222.0
2020-08-02,0,0,0,0.027421,0,6581154.0
2020-08-01,0,0,0,0.02661,0,6386390.0
2020-07-31,0,0,0,0.027947,0,6707351.0
2020-07-30,0,0,0,0.030754,0,7380975.0
2020-07-29,0,0,0,0.028053,0,6732722.0
2020-07-28,0,0,0,0.026713,0,6411002.0
2020-07-27,0,0,0,0.025917,0,6219992.0
2020-07-26,0,0,0,0.027732,0,6655763.0
2020-07-25,0,0,0,0.024758,0,5942013.0
2020-07-24,0,0,0,0.025354,0,6085037.0
2020-07-23,0,0,0,0.024831,0,5959364.0
2020-07-22,0,0,0,0.024854,0,5965077.0
2020-07-21,0,0,0,0.025952,0,6228372.0
2020-07-20,0,0,0,0.029829,0,7158922.0
2020-07-19,0,0,0,0.022042,0,5290082.0
2020-07-18,0,0,0,0.019047,0,4571288.0
2020-07-17,0,0,0,0.018728,0,4494606.0
2020-07-16,0,0,0,0.018357,0,4405651.0
2020-07-15,0,0,0,0.018473,0,4433536.0
2020-07-14,0,0,0,0.019672,0,4721314.0
2020-07-13,0,0,0,0.020053,0,4812669.0
2020-07-12,0,0,0,0.020215,0,4851654.0
2020-07-11,0,0,0,0.020332,0,4879786.0
2020-07-10,0,0,0,0.019301,0,4632139.0
2020-07-09,0,0,0,0.019364,0,4647441.0
2020-07-08,0,0,0,0.019808,0,4753907.0
2020-07-07,0,0,0,0.019804,0,4753023.0
2020-07-06,0,0,0,0.018071,0,4337018.0
2020-07-05,0,0,0,0.017126,0,4110313.0
2020-07-04,0,0,0,0.018138,0,4353077.0
2020-07-03,0,0,0,0.017339,0,4161462.0
2020-07-02,0,0,0,0.018321,0,4397066.0
2020-07-01,0,0,0,0.02019,0,4845598.0
2020-06-30,0,0,0,0.02063,0,4951189.0
2020-06-29,0,0,0,0.019805,0,4753114.0
2020-06-28,0,0,0,0.019067,0,4576159.0
2020-06-27,0,0,0,0.017786,0,4268701.0
2020-06-26,0,0,0,0.017466,0,4191840.0
