date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.056375,0,121369404.0
2020-12-13,0,0,0,0.056779,0,122237520.0
2020-12-12,0,0,0,0.057593,0,123990778.0
2020-12-11,0,0,0,0.056836,0,122360017.0
2020-12-10,0,0,0,0.056072,0,120715408.0
2020-12-09,0,0,0,0.059858,0,128867797.0
2020-12-08,0,0,0,0.053547,0,115280458.0
2020-12-07,0,0,0,0.054935,0,118269172.0
2020-12-06,0,0,0,0.058503,0,125950074.0
2020-12-05,0,0,0,0.055001,0,118410314.0
2020-12-04,0,0,0,0.05713,0,122993315.0
2020-12-03,0,0,0,0.057087,0,122900519.0
2020-12-02,0,0,0,0.057999,0,124864502.0
2020-12-01,0,0,0,0.062786,0,135170691.0
2020-11-30,0,0,0,0.05869,0,126351460.0
2020-11-29,0,0,0,0.066024,0,142141409.0
2020-11-28,0,0,0,0.082675,0,177989825.0
2020-11-27,0,0,0,0.087031,0,187366030.0
2020-11-26,0,0,0,0.082533,0,177682670.0
2020-11-25,0,0,0,0.088719,0,191000125.0
2020-11-24,0,0,0,0.078627,0,169274976.0
2020-11-23,0,0,0,0.071305,0,153511694.0
2020-11-22,0,0,0,0.067907,0,146194818.0
2020-11-21,0,0,0,0.078842,0,169736821.0
2020-11-20,0,0,0,0.085202,0,183428437.0
2020-11-19,0,0,0,0.082209,0,176985122.0
2020-11-18,0,0,0,0.100607,0,216594322.0
2020-11-17,0,0,0,0.119043,0,256285251.0
2020-11-16,0,0,0,0.115211,0,248034239.0
2020-11-15,0,0,0,0.116522,0,250857182.0
2020-11-14,0,0,0,0.11606,0,249862422.0
2020-11-13,0,0,0,0.117423,0,252796260.0
2020-11-12,0,0,0,0.119799,0,257913228.0
2020-11-11,0,0,0,0.110698,0,238319259.0
2020-11-10,0,0,0,0.110751,0,238433119.0
2020-11-09,0,0,0,0.092678,0,199524495.0
2020-11-08,0,0,0,0.099828,0,214918081.0
2020-11-07,0,0,0,0.092739,0,199656089.0
2020-11-06,0,0,0,0.0941,0,202586476.0
2020-11-05,0,0,0,0.094556,0,203567863.0
2020-11-04,0,0,0,0.094762,0,204009776.0
2020-11-03,0,0,0,0.090734,0,195338791.0
2020-11-02,0,0,0,0.09113,0,196191600.0
2020-11-01,0,0,0,0.090502,0,194838966.0
2020-10-31,0,0,0,0.093623,0,201558776.0
2020-10-30,0,0,0,0.093109,0,200452361.0
2020-10-29,0,0,0,0.09429,0,202995386.0
2020-10-28,0,0,0,0.091981,0,198023895.0
2020-10-27,0,0,0,0.092779,0,199741682.0
2020-10-26,0,0,0,0.093203,0,200653457.0
2020-10-25,0,0,0,0.094234,0,202874582.0
2020-10-24,0,0,0,0.09353,0,201359011.0
2020-10-23,0,0,0,0.094906,0,204321786.0
2020-10-22,0,0,0,0.096399,0,207534517.0
2020-10-21,0,0,0,0.090306,0,194417661.0
2020-10-20,0,0,0,0.089569,0,192831192.0
2020-10-19,0,0,0,0.086869,0,187018713.0
2020-10-18,0,0,0,0.087205,0,187742512.0
2020-10-17,0,0,0,0.083544,0,179859834.0
2020-10-16,0,0,0,0.08015,0,172553675.0
2020-10-15,0,0,0,0.089541,0,192770858.0
2020-10-14,0,0,0,0.05259,0,113218648.0
2020-10-13,0,0,0,0.05,0,107644383.0
2020-10-12,0,0,0,0.041818,0,90029012.0
2020-10-11,0,0,0,0.042629,0,91775487.0
2020-10-10,0,0,0,0.037554,0,80849608.0
2020-10-09,0,0,0,0.039554,0,85153818.0
2020-10-08,0,0,0,0.036707,0,79026099.0
2020-10-07,0,0,0,0.040111,0,86354357.0
2020-10-06,0,0,0,0.038153,0,82139272.0
2020-10-05,0,0,0,0.035357,0,76119700.0
2020-10-04,0,0,0,0.030737,0,66172120.0
2020-10-03,0,0,0,0.033269,0,71624237.0
2020-10-02,0,0,0,0.033378,0,71858634.0
2020-10-01,0,0,0,0.032268,0,69469097.0
2020-09-30,0,0,0,0.028795,0,61992207.0
2020-09-29,0,0,0,0.029333,0,63150471.0
2020-09-28,0,0,0,0.031054,0,66854653.0
2020-09-27,0,0,0,0.033744,0,72645801.0
2020-09-26,0,0,0,0.033183,0,71439899.0
2020-09-25,0,0,0,0.030215,0,65049331.0
2020-09-24,0,0,0,0.029845,0,64253056.0
2020-09-23,0,0,0,0.027145,0,58440136.0
2020-09-22,0,0,0,0.028567,0,61500266.0
2020-09-21,0,0,0,0.026094,0,56176876.0
2020-09-20,0,0,0,0.02807,0,60430915.0
2020-09-19,0,0,0,0.026755,0,57599297.0
2020-09-18,0,0,0,0.026119,0,56230343.0
2020-09-17,0,0,0,0.02176,0,46847265.0
2020-09-16,0,0,0,0.021289,0,45831920.0
2020-09-15,0,0,0,0.024656,0,53082161.0
2020-09-14,0,0,0,0.024736,0,53254417.0
2020-09-13,0,0,0,0.02501,0,53844085.0
2020-09-12,0,0,0,0.02377,0,51174384.0
2020-09-11,0,0,0,0.02526,0,54381601.0
2020-09-10,0,0,0,0.024498,0,52740286.0
2020-09-09,0,0,0,0.023961,0,51585301.0
2020-09-08,0,0,0,0.023009,0,49535612.0
2020-09-07,0,0,0,0.022633,0,48725272.0
2020-09-06,0,0,0,0.022298,0,48005484.0
2020-09-05,0,0,0,0.021503,0,46293067.0
2020-09-04,0,0,0,0.021244,0,45735538.0
2020-09-03,0,0,0,0.021531,0,46353724.0
2020-09-02,0,0,0,0.018288,0,39371232.0
2020-09-01,0,0,0,0.019838,0,42709462.0
2020-08-31,0,0,0,0.017344,0,37340096.0
2020-08-30,0,0,0,0.020944,0,45090127.0
2020-08-29,0,0,0,0.016918,0,36422292.0
2020-08-28,0,0,0,0.019654,0,42312930.0
2020-08-27,0,0,0,0.017026,0,36655563.0
2020-08-26,0,0,0,0.018943,0,40780889.0
2020-08-25,0,0,0,0.019357,0,41673798.0
2020-08-24,0,0,0,0.018322,0,39445231.0
2020-08-23,0,0,0,0.012869,0,27705798.0
2020-08-22,0,0,0,0.017841,0,38409820.0
2020-08-21,0,0,0,0.016732,0,36022987.0
2020-08-20,0,0,0,0.014391,0,30982362.0
2020-08-19,0,0,0,0.014006,0,30152929.0
2020-08-18,0,0,0,0.013953,0,30038884.0
2020-08-17,0,0,0,0.013336,0,28710587.0
2020-08-16,0,0,0,0.013216,0,28452599.0
2020-08-15,0,0,0,0.013347,0,28734525.0
2020-08-14,0,0,0,0.01424,0,30656857.0
2020-08-13,0,0,0,0.014526,0,31271752.0
2020-08-12,0,0,0,0.014793,0,31847570.0
2020-08-11,0,0,0,0.014879,0,32032442.0
2020-08-10,0,0,0,0.014634,0,31506026.0
2020-08-09,0,0,0,0.014434,0,31073640.0
2020-08-08,0,0,0,0.016452,0,35419183.0
2020-08-07,0,0,0,0.015352,0,33051384.0
2020-08-06,0,0,0,0.01622,0,34918621.0
2020-08-05,0,0,0,0.01565,0,33691844.0
2020-08-04,0,0,0,0.015037,0,32373144.0
2020-08-03,0,0,0,0.01333,0,28697771.0
2020-08-02,0,0,0,0.017037,0,36678850.0
2020-08-01,0,0,0,0.017617,0,37926726.0
2020-07-31,0,0,0,0.01768,0,38061936.0
2020-07-30,0,0,0,0.018403,0,39618541.0
2020-07-29,0,0,0,0.018889,0,40666104.0
2020-07-28,0,0,0,0.018757,0,40380704.0
2020-07-27,0,0,0,0.018202,0,39186192.0
2020-07-26,0,0,0,0.018614,0,40073961.0
2020-07-25,0,0,0,0.018188,0,39155485.0
2020-07-24,0,0,0,0.020221,0,43533489.0
2020-07-23,0,0,0,0.020629,0,44411404.0
2020-07-22,0,0,0,0.020353,0,43817458.0
2020-07-21,0,0,0,0.017614,0,37921482.0
2020-07-20,0,0,0,0.014148,0,30458608.0
2020-07-19,0,0,0,0.016447,0,35409257.0
2020-07-18,0,0,0,0.014374,0,30945096.0
2020-07-17,0,0,0,0.013193,0,28402955.0
2020-07-16,0,0,0,0.016124,0,34712324.0
2020-07-15,0,0,0,0.015039,0,32376379.0
2020-07-14,0,0,0,0.014354,0,30902286.0
2020-07-13,0,0,0,0.013383,0,28812907.0
2020-07-12,0,0,0,0.013275,0,28580496.0
2020-07-11,0,0,0,0.012871,0,27710395.0
2020-07-10,0,0,0,0.012867,0,27701508.0
2020-07-09,0,0,0,0.012428,0,26755053.0
2020-07-08,0,0,0,0.012259,0,26392009.0
2020-07-07,0,0,0,0.01217,0,26200591.0
2020-07-06,0,0,0,0.011625,0,25027633.0
2020-07-05,0,0,0,0.011579,0,24928669.0
2020-07-04,0,0,0,0.013845,0,29807030.0
2020-07-03,0,0,0,0.01391,0,29945665.0
2020-07-02,0,0,0,0.012524,0,26961686.0
2020-07-01,0,0,0,0.011211,0,24135979.0
2020-06-30,0,0,0,0.01024,0,22044423.0
2020-06-29,0,0,0,0.012213,0,26293430.0
