date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.015533,0,5543068.0
2020-12-13,0,0,0,0.015736,0,5615578.0
2020-12-12,0,0,0,0.015755,0,5622373.0
2020-12-11,0,0,0,0.015195,0,5422620.0
2020-12-10,0,0,0,0.016111,0,5749520.0
2020-12-09,0,0,0,0.016718,0,5966120.0
2020-12-08,0,0,0,0.017045,0,6082715.0
2020-12-07,0,0,0,0.01762,0,6287990.0
2020-12-06,0,0,0,0.017271,0,6163237.0
2020-12-05,0,0,0,0.017959,0,6408905.0
2020-12-04,0,0,0,0.017354,0,6192898.0
2020-12-03,0,0,0,0.022282,0,7951700.0
2020-12-02,0,0,0,0.016897,0,6030052.0
2020-12-01,0,0,0,0.015521,0,5538918.0
2020-11-30,0,0,0,0.014963,0,5339562.0
2020-11-29,0,0,0,0.015017,0,5358933.0
2020-11-28,0,0,0,0.014504,0,5175999.0
2020-11-27,0,0,0,0.014643,0,5225542.0
2020-11-26,0,0,0,0.014055,0,5015586.0
2020-11-25,0,0,0,0.016521,0,5895571.0
2020-11-24,0,0,0,0.017967,0,6411610.0
2020-11-23,0,0,0,0.021907,0,7817594.0
2020-11-22,0,0,0,0.013245,0,4726498.0
2020-11-21,0,0,0,0.011808,0,4213979.0
2020-11-20,0,0,0,0.013529,0,4828134.0
2020-11-19,0,0,0,0.011852,0,4229430.0
2020-11-18,0,0,0,0.010724,0,3827012.0
2020-11-17,0,0,0,0.010715,0,3823718.0
2020-11-16,0,0,0,0.010553,0,3766136.0
2020-11-15,0,0,0,0.010603,0,3783782.0
2020-11-14,0,0,0,0.010626,0,3792064.0
2020-11-13,0,0,0,0.010568,0,3771459.0
2020-11-12,0,0,0,0.010553,0,3765899.0
2020-11-11,0,0,0,0.010466,0,3734738.0
2020-11-10,0,0,0,0.011288,0,4028224.0
2020-11-09,0,0,0,0.011376,0,4059548.0
2020-11-08,0,0,0,0.011093,0,3958588.0
2020-11-07,0,0,0,0.01131,0,4036101.0
2020-11-06,0,0,0,0.011277,0,4024345.0
2020-11-05,0,0,0,0.011597,0,4138651.0
2020-11-04,0,0,0,0.011463,0,4090758.0
2020-11-03,0,0,0,0.011096,0,3959682.0
2020-11-02,0,0,0,0.010745,0,3834448.0
