date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,19283.37,0,8345492.0
2020-12-13,0,0,0,19210.1,0,7795108.0
2020-12-12,0,0,0,18990.51,0,7706004.0
2020-12-11,0,0,0,18194.49,0,7382992.0
2020-12-10,0,0,0,18299.42,0,7425572.0
2020-12-09,0,0,0,18794.63,0,7626518.0
2020-12-08,0,0,0,18566.83,0,7534081.0
2020-12-07,0,0,0,19217.93,0,7797476.0
2020-12-06,0,0,0,19282.01,0,7751383.0
2020-12-05,0,0,0,19085.86,0,7672155.0
2020-12-04,0,0,0,18577.91,0,7467965.0
2020-12-03,0,0,0,19381.32,0,7790921.0
2020-12-02,0,0,0,19272.69,0,7747254.0
2020-12-01,0,0,0,18997.34,0,7636571.0
2020-11-30,0,0,0,19529.88,0,7850639.0
2020-11-29,0,0,0,18337.42,0,7371293.0
2020-11-28,0,0,0,17662.88,0,7100143.0
2020-11-27,0,0,0,17109.07,0,6877520.0
2020-11-26,0,0,0,17068.47,0,6848204.0
2020-11-25,0,0,0,18767.74,0,7248467.0
2020-11-24,0,0,0,19031.55,0,7350356.0
2020-11-23,0,0,0,18249.85,0,7048449.0
2020-11-22,0,0,0,18262.13,0,7053190.0
2020-11-21,0,0,0,18526.42,0,7155265.0
2020-11-20,0,0,0,18594.53,0,7181569.0
2020-11-19,0,0,0,17726.47,0,6846308.0
2020-11-18,0,0,0,17792.12,0,6871663.0
2020-11-17,0,0,0,17590.73,0,6793885.0
2020-11-16,0,0,0,16746.14,0,6451162.0
2020-11-15,0,0,0,15907.02,0,6127907.0
2020-11-14,0,0,0,15998.9,0,6163300.0
2020-11-13,0,0,0,16271.6,0,6268353.0
2020-11-12,0,0,0,16195.47,0,6239288.0
2020-11-11,0,0,0,15830.56,0,6098707.0
2020-11-10,0,0,0,15322.28,0,5902891.0
2020-11-09,0,0,0,15304.62,0,5896090.0
2020-11-08,0,0,0,15341.67,0,5910364.0
2020-11-07,0,0,0,14653.75,0,5645342.0
2020-11-06,0,0,0,15517.32,0,5978030.0
2020-11-05,0,0,0,15237.48,0,5874792.0
2020-11-04,0,0,0,14274.45,0,5379331.0
2020-11-03,0,0,0,13872.13,0,5227717.0
2020-11-02,0,0,0,13624.67,0,5134462.0
2020-11-01,0,0,0,13694.35,0,5160721.0
2020-10-31,0,0,0,13828.37,0,5211227.0
2020-10-30,0,0,0,13691.15,0,5160063.0
2020-10-29,0,0,0,13580.72,0,5118444.0
2020-10-28,0,0,0,13265.72,0,4999724.0
2020-10-27,0,0,0,13592.19,0,5122769.0
2020-10-26,0,0,0,12982.93,0,4893145.0
