date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,15.91,0,175051569.0
2020-12-13,0,0,0,15.78,0,173585502.0
2020-12-12,0,0,0,15.94,0,175371102.0
2020-12-11,0,0,0,14.92,0,164153732.0
2020-12-10,0,0,0,15.92,0,175106712.0
2020-12-09,0,0,0,15.47,0,170151926.0
2020-12-08,0,0,0,15.2,0,167153724.0
2020-12-07,0,0,0,16.13,0,177451705.0
2020-12-06,0,0,0,16.9,0,185858732.0
2020-12-05,0,0,0,16.67,0,183418061.0
2020-12-04,0,0,0,13.56,0,149210641.0
2020-12-03,0,0,0,14.97,0,164705134.0
2020-12-02,0,0,0,13.88,0,152628002.0
2020-12-01,0,0,0,15.22,0,167375369.0
2020-11-30,0,0,0,15.72,0,172898187.0
2020-11-29,0,0,0,15.18,0,166954833.0
2020-11-28,0,0,0,15.42,0,169663853.0
2020-11-27,0,0,0,14.57,0,160244412.0
2020-11-26,0,0,0,14.77,0,162488380.0
2020-11-25,0,0,0,16.46,0,181072631.0
2020-11-24,0,0,0,17.35,0,190824580.0
2020-11-23,0,0,0,16.16,0,177770812.0
2020-11-22,0,0,0,15.41,0,169560330.0
2020-11-21,0,0,0,15.29,0,168207935.0
2020-11-20,0,0,0,14.32,0,157511346.0
2020-11-19,0,0,0,13.87,0,152525020.0
2020-11-18,0,0,0,14.76,0,162320738.0
2020-11-17,0,0,0,14.32,0,157512840.0
2020-11-16,0,0,0,14.35,0,157848835.0
2020-11-15,0,0,0,11.46,0,126111161.0
2020-11-14,0,0,0,13.86,0,152474376.0
2020-11-13,0,0,0,13.86,0,152504321.0
2020-11-12,0,0,0,13.52,0,148765071.0
2020-11-11,0,0,0,13.74,0,151191383.0
2020-11-10,0,0,0,13.59,0,149478261.0
2020-11-09,0,0,0,12.9,0,141917632.0
2020-11-08,0,0,0,13.27,0,145999226.0
2020-11-07,0,0,0,13.05,0,143550770.0
2020-11-06,0,0,0,13.31,0,146367258.0
2020-11-05,0,0,0,13.65,0,150103621.0
2020-11-04,0,0,0,13.08,0,143928241.0
2020-11-03,0,0,0,13.58,0,149405977.0
2020-11-02,0,0,0,12.31,0,135426022.0
2020-11-01,0,0,0,12.53,0,137805446.0
2020-10-31,0,0,0,12.28,0,135112383.0
2020-10-30,0,0,0,12.39,0,136334870.0
2020-10-29,0,0,0,12.66,0,139295988.0
2020-10-28,0,0,0,12.43,0,136751944.0
2020-10-27,0,0,0,12.83,0,141096677.0
2020-10-26,0,0,0,12.67,0,139408758.0
2020-10-25,0,0,0,12.71,0,139862023.0
2020-10-24,0,0,0,13.11,0,144221537.0
2020-10-23,0,0,0,13.1,0,144045694.0
2020-10-22,0,0,0,13.09,0,143976919.0
2020-10-21,0,0,0,12.88,0,141648765.0
2020-10-20,0,0,0,12.78,0,140619282.0
2020-10-19,0,0,0,13.21,0,145268242.0
2020-10-18,0,0,0,13.17,0,144891765.0
2020-10-17,0,0,0,13.21,0,145276497.0
2020-10-16,0,0,0,13.06,0,143643994.0
2020-10-15,0,0,0,13.04,0,143488897.0
2020-10-14,0,0,0,13.5,0,148465445.0
2020-10-13,0,0,0,13.28,0,146058428.0
2020-10-12,0,0,0,13.62,0,149776768.0
2020-10-11,0,0,0,13.86,0,152507734.0
2020-10-10,0,0,0,13.7,0,150689378.0
2020-10-09,0,0,0,13.72,0,150928965.0
2020-10-08,0,0,0,13.77,0,151438810.0
2020-10-07,0,0,0,13.44,0,147798007.0
2020-10-06,0,0,0,13.38,0,147161807.0
2020-10-05,0,0,0,13.94,0,153371443.0
2020-10-04,0,0,0,13.93,0,153233456.0
2020-10-03,0,0,0,14.08,0,154834599.0
2020-10-02,0,0,0,13.76,0,151325757.0
2020-10-01,0,0,0,14.03,0,154314884.0
2020-09-30,0,0,0,14.2,0,156181855.0
2020-09-29,0,0,0,14.16,0,155715316.0
2020-09-28,0,0,0,14.44,0,158869721.0
2020-09-27,0,0,0,14.38,0,158189876.0
2020-09-26,0,0,0,14.69,0,161563256.0
2020-09-25,0,0,0,13.93,0,153231776.0
2020-09-24,0,0,0,14.11,0,155232718.0
2020-09-23,0,0,0,12.78,0,140525947.0
2020-09-22,0,0,0,13.66,0,150275948.0
2020-09-21,0,0,0,13.75,0,151291623.0
2020-09-20,0,0,0,14.84,0,163193447.0
2020-09-19,0,0,0,15.11,0,166175703.0
2020-09-18,0,0,0,15.02,0,165180404.0
2020-09-17,0,0,0,15.39,0,169339756.0
2020-09-16,0,0,0,15.78,0,173583736.0
2020-09-15,0,0,0,15.72,0,172926700.0
2020-09-14,0,0,0,16.4,0,180429306.0
2020-09-13,0,0,0,16.8,0,184850224.0
2020-09-12,0,0,0,17.78,0,195586432.0
2020-09-11,0,0,0,18.03,0,198279348.0
2020-09-10,0,0,0,16.83,0,185116819.0
2020-09-09,0,0,0,16.42,0,180618358.0
2020-09-08,0,0,0,15.7,0,172734529.0
2020-09-07,0,0,0,16.18,0,177968971.0
2020-09-06,0,0,0,16.26,0,178835868.0
2020-09-05,0,0,0,15.87,0,174544183.0
2020-09-04,0,0,0,17.05,0,187592558.0
2020-09-03,0,0,0,16.2,0,178238021.0
2020-09-02,0,0,0,20.56,0,226105061.0
2020-09-01,0,0,0,21.76,0,239324280.0
2020-08-31,0,0,0,21.87,0,240552867.0
2020-08-30,0,0,0,22.36,0,246005009.0
2020-08-29,0,0,0,22.66,0,249284166.0
2020-08-28,0,0,0,22.33,0,245662416.0
2020-08-27,0,0,0,21.52,0,236716372.0
2020-08-26,0,0,0,22.99,0,252839634.0
2020-08-25,0,0,0,21.82,0,240040963.0
2020-08-24,0,0,0,23.92,0,263126537.0
2020-08-23,0,0,0,24.29,0,267232100.0
2020-08-22,0,0,0,26.01,0,286163949.0
2020-08-21,0,0,0,28.73,0,316024456.0
2020-08-20,0,0,0,20.57,0,226250369.0
2020-08-19,0,0,0,19.94,0,219393100.0
2020-08-18,0,0,0,21.01,0,231107692.0
2020-08-17,0,0,0,21.88,0,240697709.0
2020-08-16,0,0,0,22.38,0,246228574.0
2020-08-15,0,0,0,22.36,0,246013950.0
2020-08-14,0,0,0,21.74,0,239121154.0
2020-08-13,0,0,0,21.1,0,232108854.0
2020-08-12,0,0,0,20.59,0,226513984.0
2020-08-11,0,0,0,20.45,0,224934434.0
2020-08-10,0,0,0,21.25,0,233700480.0
2020-08-09,0,0,0,20.99,0,230939709.0
2020-08-08,0,0,0,21.22,0,233382673.0
2020-08-07,0,0,0,20.81,0,228939220.0
2020-08-06,0,0,0,21.61,0,237660400.0
2020-08-05,0,0,0,21.1,0,232081558.0
2020-08-04,0,0,0,20.72,0,227942734.0
2020-08-03,0,0,0,20.41,0,224542186.0
2020-08-02,0,0,0,18.96,0,208561531.0
2020-08-01,0,0,0,20.69,0,227574300.0
2020-07-31,0,0,0,19.97,0,219677258.0
2020-07-30,0,0,0,20.39,0,224314668.0
2020-07-29,0,0,0,20.2,0,222188057.0
2020-07-28,0,0,0,21.43,0,235702457.0
2020-07-27,0,0,0,20.38,0,224217243.0
2020-07-26,0,0,0,22.27,0,244946093.0
2020-07-25,0,0,0,23.06,0,253682605.0
2020-07-24,0,0,0,23.13,0,254419505.0
2020-07-23,0,0,0,22.65,0,249179096.0
2020-07-22,0,0,0,23.87,0,262524458.0
2020-07-21,0,0,0,23.39,0,257267643.0
2020-07-20,0,0,0,19.39,0,213281253.0
2020-07-19,0,0,0,19.13,0,210387673.0
2020-07-18,0,0,0,19.42,0,213623005.0
2020-07-17,0,0,0,19.02,0,209186910.0
2020-07-16,0,0,0,19.18,0,210956106.0
2020-07-15,0,0,0,19.42,0,213672300.0
2020-07-14,0,0,0,19.99,0,219894727.0
2020-07-13,0,0,0,18.78,0,206610082.0
2020-07-12,0,0,0,19.42,0,213643500.0
2020-07-11,0,0,0,19.39,0,213294714.0
2020-07-10,0,0,0,19.21,0,211263469.0
2020-07-09,0,0,0,19.35,0,212861803.0
2020-07-08,0,0,0,20.27,0,222981981.0
2020-07-07,0,0,0,19.83,0,218134242.0
2020-07-06,0,0,0,19.01,0,209062161.0
2020-07-05,0,0,0,18.04,0,198484332.0
2020-07-04,0,0,0,18.7,0,205679536.0
2020-07-03,0,0,0,18.13,0,199453491.0
2020-07-02,0,0,0,16.89,0,185791242.0
2020-07-01,0,0,0,16.83,0,185170354.0
2020-06-30,0,0,0,16.44,0,180830517.0
2020-06-29,0,0,0,16.76,0,184369663.0
2020-06-28,0,0,0,15.86,0,174482513.0
2020-06-27,0,0,0,15.83,0,174117642.0
2020-06-26,0,0,0,17.37,0,191060364.0
2020-06-25,0,0,0,16.16,0,177744861.0
2020-06-24,0,0,0,16.84,0,185201266.0
2020-06-23,0,0,0,17.63,0,193875400.0
2020-06-22,0,0,0,18.12,0,199287693.0
2020-06-21,0,0,0,17.81,0,195892658.0
2020-06-20,0,0,0,17.55,0,193034435.0
2020-06-19,0,0,0,18.64,0,205063554.0
2020-06-18,0,0,0,16.23,0,178569816.0
2020-06-17,0,0,0,16.04,0,176397723.0
2020-06-16,0,0,0,15.69,0,172564553.0
2020-06-15,0,0,0,15.35,0,168800479.0
2020-06-14,0,0,0,15.58,0,171389878.0
2020-06-13,0,0,0,17.02,0,187190349.0
2020-06-12,0,0,0,14.8,0,162771832.0
2020-06-11,0,0,0,14.0,0,154006426.0
2020-06-10,0,0,0,15.71,0,172851599.0
2020-06-09,0,0,0,14.88,0,163706563.0
2020-06-08,0,0,0,14.82,0,163007691.0
2020-06-07,0,0,0,14.47,0,159166988.0
2020-06-06,0,0,0,14.28,0,157069974.0
2020-06-05,0,0,0,14.08,0,154890373.0
2020-06-04,0,0,0,14.28,0,157101487.0
2020-06-03,0,0,0,14.37,0,158075638.0
2020-06-02,0,0,0,13.4,0,147445383.0
2020-06-01,0,0,0,13.67,0,150421984.0
2020-05-31,0,0,0,12.57,0,138229034.0
2020-05-30,0,0,0,13.35,0,146811193.0
2020-05-29,0,0,0,12.91,0,142041559.0
2020-05-28,0,0,0,12.74,0,140143740.0
2020-05-27,0,0,0,12.6,0,138576128.0
2020-05-26,0,0,0,12.57,0,138284600.0
2020-05-25,0,0,0,12.49,0,137343137.0
2020-05-24,0,0,0,12.06,0,132694816.0
2020-05-23,0,0,0,12.65,0,139197570.0
2020-05-22,0,0,0,12.52,0,137730389.0
2020-05-21,0,0,0,12.33,0,135640895.0
2020-05-20,0,0,0,12.95,0,142463337.0
2020-05-19,0,0,0,12.85,0,141305160.0
2020-05-18,0,0,0,12.97,0,142692863.0
2020-05-17,0,0,0,12.82,0,141018369.0
2020-05-16,0,0,0,12.78,0,140610863.0
2020-05-15,0,0,0,12.72,0,139919259.0
2020-05-14,0,0,0,12.9,0,141894449.0
2020-05-13,0,0,0,13.11,0,144183622.0
2020-05-12,0,0,0,12.89,0,141840312.0
2020-05-11,0,0,0,13.59,0,149460699.0
2020-05-10,0,0,0,11.89,0,130793959.0
2020-05-09,0,0,0,12.95,0,142410935.0
2020-05-08,0,0,0,13.88,0,152671565.0
2020-05-07,0,0,0,11.21,0,123300686.0
2020-05-06,0,0,0,11.04,0,121408568.0
2020-05-05,0,0,0,11.11,0,122220583.0
2020-05-04,0,0,0,10.89,0,119779045.0
2020-05-03,0,0,0,10.89,0,119822711.0
2020-05-02,0,0,0,11.31,0,124457744.0
2020-05-01,0,0,0,11.04,0,121465837.0
2020-04-30,0,0,0,10.62,0,116816923.0
2020-04-29,0,0,0,11.06,0,121681238.0
2020-04-28,0,0,0,10.63,0,116977298.0
2020-04-27,0,0,0,10.52,0,115705474.0
2020-04-26,0,0,0,10.43,0,114709962.0
2020-04-25,0,0,0,10.22,0,112387827.0
2020-04-24,0,0,0,10.24,0,112590498.0
2020-04-23,0,0,0,10.02,0,110213264.0
2020-04-22,0,0,0,9.94,0,109361642.0
2020-04-21,0,0,0,9.72,0,106919643.0
2020-04-20,0,0,0,9.61,0,105665471.0
2020-04-19,0,0,0,10.07,0,110814639.0
2020-04-18,0,0,0,10.24,0,112653319.0
2020-04-17,0,0,0,10.01,0,110093690.0
2020-04-16,0,0,0,10.07,0,110791609.0
2020-04-15,0,0,0,9.61,0,105658246.0
2020-04-14,0,0,0,9.88,0,108719208.0
2020-04-13,0,0,0,9.93,0,109243488.0
2020-04-12,0,0,0,9.86,0,108439824.0
2020-04-11,0,0,0,9.87,0,108534212.0
2020-04-10,0,0,0,9.76,0,107347545.0
2020-04-09,0,0,0,10.59,0,116444024.0
2020-04-08,0,0,0,10.37,0,114016933.0
2020-04-07,0,0,0,10.18,0,112034545.0
2020-04-06,0,0,0,10.14,0,111525203.0
2020-04-05,0,0,0,9.76,0,107315050.0
2020-04-04,0,0,0,9.93,0,109273008.0
2020-04-03,0,0,0,9.92,0,109071586.0
2020-04-02,0,0,0,10.12,0,111294413.0
2020-04-01,0,0,0,10.16,0,111788115.0
2020-03-31,0,0,0,10.19,0,112051091.0
2020-03-30,0,0,0,10.08,0,110848137.0
2020-03-29,0,0,0,9.54,0,104893971.0
2020-03-28,0,0,0,10.07,0,110792848.0
2020-03-27,0,0,0,10.23,0,112543585.0
2020-03-26,0,0,0,10.22,0,112457954.0
2020-03-25,0,0,0,9.21,0,101360548.0
2020-03-24,0,0,0,8.62,0,94803393.0
2020-03-23,0,0,0,8.41,0,92457185.0
2020-03-22,0,0,0,7.8,0,85794847.0
2020-03-21,0,0,0,8.61,0,94735876.0
2020-03-20,0,0,0,8.17,0,89820645.0
2020-03-19,0,0,0,8.79,0,96651818.0
2020-03-18,0,0,0,7.82,0,86021255.0
2020-03-17,0,0,0,7.07,0,77813209.0
2020-03-16,0,0,0,6.7,0,73698333.0
2020-03-15,0,0,0,7.6,0,83602614.0
2020-03-14,0,0,0,7.47,0,82202503.0
2020-03-13,0,0,0,7.9,0,86904216.0
2020-03-12,0,0,0,6.65,0,73186677.0
2020-03-11,0,0,0,11.4,0,125371473.0
2020-03-10,0,0,0,11.64,0,128060531.0
2020-03-09,0,0,0,11.85,0,130332270.0
2020-03-08,0,0,0,11.08,0,121893567.0
2020-03-07,0,0,0,12.61,0,138739972.0
2020-03-06,0,0,0,12.71,0,139860979.0
2020-03-05,0,0,0,12.61,0,138675066.0
2020-03-04,0,0,0,12.65,0,139157975.0
2020-03-03,0,0,0,12.27,0,134964594.0
2020-03-02,0,0,0,12.54,0,137911249.0
2020-03-01,0,0,0,12.41,0,136465842.0
2020-02-29,0,0,0,11.18,0,122958784.0
2020-02-28,0,0,0,11.29,0,124214700.0
2020-02-27,0,0,0,11.52,0,126726726.0
2020-02-26,0,0,0,11.23,0,123483355.0
2020-02-25,0,0,0,12.71,0,139811502.0
2020-02-24,0,0,0,13.26,0,145830428.0
