date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.54,0,26116045.0
2020-12-13,0,0,0,2.54,0,26160159.0
2020-12-12,0,0,0,2.5,0,25720160.0
2020-12-11,0,0,0,2.25,0,23150644.0
2020-12-10,0,0,0,2.26,0,23254145.0
2020-12-09,0,0,0,2.3,0,23599509.0
2020-12-08,0,0,0,2.21,0,22702661.0
2020-12-07,0,0,0,2.46,0,25300821.0
2020-12-06,0,0,0,2.68,0,27588029.0
2020-12-05,0,0,0,2.67,0,27424301.0
2020-12-04,0,0,0,2.65,0,27215423.0
2020-12-03,0,0,0,3.02,0,30995601.0
2020-12-02,0,0,0,2.89,0,29742458.0
2020-12-01,0,0,0,3.28,0,33698500.0
2020-11-30,0,0,0,3.42,0,35111615.0
2020-11-29,0,0,0,3.19,0,32764402.0
2020-11-28,0,0,0,3.06,0,31498263.0
2020-11-27,0,0,0,3.14,0,32227985.0
2020-11-26,0,0,0,2.9,0,29809499.0
2020-11-25,0,0,0,3.13,0,32193830.0
2020-11-24,0,0,0,3.54,0,36439825.0
2020-11-23,0,0,0,3.17,0,32587890.0
2020-11-22,0,0,0,3.01,0,30948784.0
2020-11-21,0,0,0,3.21,0,32964861.0
2020-11-20,0,0,0,3.18,0,32698770.0
2020-11-19,0,0,0,3.26,0,33516578.0
2020-11-18,0,0,0,3.24,0,33269001.0
2020-11-17,0,0,0,3.4,0,34913615.0
2020-11-16,0,0,0,3.07,0,31530362.0
2020-11-15,0,0,0,3.15,0,32426011.0
2020-11-14,0,0,0,2.98,0,30590482.0
2020-11-13,0,0,0,3.64,0,37382451.0
2020-11-12,0,0,0,3.61,0,37099605.0
2020-11-11,0,0,0,3.65,0,37518784.0
2020-11-10,0,0,0,3.87,0,39794216.0
2020-11-09,0,0,0,3.98,0,40889850.0
2020-11-08,0,0,0,3.89,0,40036307.0
2020-11-07,0,0,0,3.57,0,36742848.0
2020-11-06,0,0,0,4.15,0,42712077.0
2020-11-05,0,0,0,3.71,0,38098695.0
2020-11-04,0,0,0,3.27,0,33635264.0
2020-11-03,0,0,0,2.85,0,29345706.0
2020-11-02,0,0,0,2.86,0,29358903.0
2020-11-01,0,0,0,2.91,0,29963818.0
2020-10-31,0,0,0,2.82,0,29014706.0
2020-10-30,0,0,0,2.8,0,28737211.0
2020-10-29,0,0,0,2.86,0,29375379.0
2020-10-28,0,0,0,3.11,0,32001832.0
2020-10-27,0,0,0,3.39,0,34874664.0
2020-10-26,0,0,0,3.45,0,35501265.0
2020-10-25,0,0,0,3.72,0,38238804.0
2020-10-24,0,0,0,3.6,0,37029566.0
2020-10-23,0,0,0,3.46,0,35595840.0
2020-10-22,0,0,0,3.85,0,39540921.0
2020-10-21,0,0,0,3.2,0,32869015.0
2020-10-20,0,0,0,2.7,0,27778610.0
2020-10-19,0,0,0,2.67,0,27434818.0
2020-10-18,0,0,0,2.58,0,26558289.0
2020-10-17,0,0,0,2.43,0,24930941.0
2020-10-16,0,0,0,2.44,0,25109874.0
2020-10-15,0,0,0,2.56,0,26367442.0
2020-10-14,0,0,0,2.55,0,26177960.0
2020-10-13,0,0,0,2.94,0,30249436.0
2020-10-12,0,0,0,3.09,0,31804976.0
2020-10-11,0,0,0,2.97,0,30568076.0
2020-10-10,0,0,0,2.53,0,25963859.0
2020-10-09,0,0,0,2.46,0,25256913.0
2020-10-08,0,0,0,2.31,0,23733393.0
2020-10-07,0,0,0,2.19,0,22546177.0
2020-10-06,0,0,0,2.39,0,24592274.0
2020-10-05,0,0,0,2.87,0,29469112.0
2020-10-04,0,0,0,2.81,0,28906717.0
2020-10-03,0,0,0,2.61,0,26792477.0
2020-10-02,0,0,0,2.89,0,29755831.0
2020-10-01,0,0,0,3.02,0,31003641.0
2020-09-30,0,0,0,2.93,0,30099203.0
2020-09-29,0,0,0,1.81,0,18621506.0
2020-09-28,0,0,0,1.83,0,18834124.0
2020-09-27,0,0,0,1.74,0,17848296.0
2020-09-26,0,0,0,1.99,0,20467274.0
2020-09-25,0,0,0,2.06,0,21154909.0
2020-09-24,0,0,0,2.21,0,22687306.0
2020-09-23,0,0,0,2.1,0,21614348.0
2020-09-22,0,0,0,2.18,0,22377992.0
2020-09-21,0,0,0,2.19,0,22496889.0
2020-09-20,0,0,0,2.48,0,25443587.0
2020-09-19,0,0,0,2.52,0,25953909.0
2020-09-18,0,0,0,2.48,0,25502020.0
2020-09-17,0,0,0,2.62,0,26934421.0
2020-09-16,0,0,0,1.99,0,20481524.0
2020-09-15,0,0,0,1.91,0,19673610.0
2020-09-14,0,0,0,1.96,0,20145405.0
2020-09-13,0,0,0,1.87,0,19180606.0
2020-09-12,0,0,0,1.95,0,20069744.0
2020-09-11,0,0,0,1.98,0,20307306.0
2020-09-10,0,0,0,1.85,0,19053076.0
2020-09-09,0,0,0,2.24,0,23048009.0
2020-09-08,0,0,0,2.25,0,23171214.0
2020-09-07,0,0,0,2.26,0,23261907.0
2020-09-06,0,0,0,2.29,0,23544360.0
2020-09-05,0,0,0,2.12,0,21828388.0
2020-09-04,0,0,0,2.96,0,30428210.0
2020-09-03,0,0,0,2.99,0,30719192.0
2020-09-02,0,0,0,3.15,0,32412912.0
2020-09-01,0,0,0,3.88,0,39861344.0
2020-08-31,0,0,0,3.7,0,37999902.0
2020-08-30,0,0,0,3.25,0,33369370.0
2020-08-29,0,0,0,3.04,0,31293012.0
2020-08-28,0,0,0,2.94,0,30218160.0
2020-08-27,0,0,0,2.79,0,28663776.0
2020-08-26,0,0,0,2.69,0,27639477.0
2020-08-25,0,0,0,2.78,0,28555501.0
2020-08-24,0,0,0,2.93,0,30123030.0
2020-08-23,0,0,0,2.91,0,29903541.0
2020-08-22,0,0,0,3.13,0,32194606.0
2020-08-21,0,0,0,3.18,0,32662551.0
2020-08-20,0,0,0,3.53,0,36256773.0
2020-08-19,0,0,0,3.38,0,34785277.0
2020-08-18,0,0,0,3.34,0,34300772.0
2020-08-17,0,0,0,3.46,0,35550376.0
2020-08-16,0,0,0,3.32,0,34108186.0
2020-08-15,0,0,0,3.48,0,35819615.0
2020-08-14,0,0,0,3.56,0,36550583.0
2020-08-13,0,0,0,3.3,0,33872072.0
2020-08-12,0,0,0,3.23,0,33181075.0
2020-08-11,0,0,0,3.1,0,31859268.0
2020-08-10,0,0,0,3.26,0,33464343.0
2020-08-09,0,0,0,3.07,0,31527969.0
2020-08-08,0,0,0,3.39,0,34853552.0
2020-08-07,0,0,0,3.3,0,33952265.0
2020-08-06,0,0,0,3.12,0,32044740.0
2020-08-05,0,0,0,3.3,0,33952552.0
2020-08-04,0,0,0,3.48,0,35760568.0
2020-08-03,0,0,0,3.58,0,36754485.0
2020-08-02,0,0,0,3.43,0,35242355.0
2020-08-01,0,0,0,3.0,0,30841174.0
2020-07-31,0,0,0,3.22,0,33050898.0
2020-07-30,0,0,0,3.0,0,30826638.0
2020-07-29,0,0,0,2.85,0,29274833.0
2020-07-28,0,0,0,2.94,0,30177109.0
2020-07-27,0,0,0,3.06,0,31406629.0
2020-07-26,0,0,0,3.09,0,31780236.0
2020-07-25,0,0,0,3.3,0,33923689.0
2020-07-24,0,0,0,3.05,0,31368212.0
2020-07-23,0,0,0,2.15,0,22134409.0
2020-07-22,0,0,0,2.13,0,21865568.0
2020-07-21,0,0,0,2.01,0,20713428.0
2020-07-20,0,0,0,2.0,0,20526124.0
2020-07-19,0,0,0,1.92,0,19759235.0
2020-07-18,0,0,0,1.88,0,19301686.0
2020-07-17,0,0,0,1.86,0,19156083.0
2020-07-16,0,0,0,1.87,0,19180272.0
2020-07-15,0,0,0,1.91,0,19646011.0
2020-07-14,0,0,0,1.92,0,19742846.0
2020-07-13,0,0,0,1.84,0,18907368.0
2020-07-12,0,0,0,1.87,0,19181769.0
2020-07-11,0,0,0,1.84,0,18929166.0
2020-07-10,0,0,0,1.86,0,19093648.0
2020-07-09,0,0,0,2.11,0,21741547.0
2020-07-08,0,0,0,2.13,0,21871685.0
2020-07-07,0,0,0,2.15,0,22068196.0
2020-07-06,0,0,0,2.11,0,21643500.0
2020-07-05,0,0,0,1.93,0,19858135.0
2020-07-04,0,0,0,1.92,0,19719911.0
2020-07-03,0,0,0,1.83,0,18786614.0
2020-07-02,0,0,0,1.88,0,19311155.0
2020-07-01,0,0,0,1.91,0,19668364.0
2020-06-30,0,0,0,1.74,0,17892730.0
2020-06-29,0,0,0,1.79,0,18353833.0
2020-06-28,0,0,0,1.81,0,18559101.0
2020-06-27,0,0,0,1.76,0,18112912.0
2020-06-26,0,0,0,1.97,0,20267467.0
2020-06-25,0,0,0,1.82,0,18682057.0
2020-06-24,0,0,0,1.85,0,18975967.0
2020-06-23,0,0,0,1.99,0,20459541.0
2020-06-22,0,0,0,1.99,0,20446896.0
2020-06-21,0,0,0,1.77,0,18158745.0
2020-06-20,0,0,0,1.76,0,18132197.0
2020-06-19,0,0,0,1.89,0,19446607.0
2020-06-18,0,0,0,1.92,0,19771437.0
2020-06-17,0,0,0,1.96,0,20155439.0
2020-06-16,0,0,0,1.97,0,20247343.0
2020-06-15,0,0,0,1.98,0,20331980.0
2020-06-14,0,0,0,2.22,0,22823523.0
2020-06-13,0,0,0,2.03,0,20841871.0
2020-06-12,0,0,0,2.13,0,21905911.0
2020-06-11,0,0,0,2.21,0,22675924.0
2020-06-10,0,0,0,2.13,0,21866725.0
2020-06-09,0,0,0,2.23,0,22939039.0
2020-06-08,0,0,0,2.44,0,25119402.0
2020-06-07,0,0,0,2.26,0,23185146.0
2020-06-06,0,0,0,2.44,0,25121308.0
2020-06-05,0,0,0,2.44,0,25099672.0
2020-06-04,0,0,0,2.46,0,25296478.0
