date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.033895,0,30346833.0
2020-12-13,0,0,0,0.036302,0,32501406.0
2020-12-12,0,0,0,0.036628,0,32793299.0
2020-12-11,0,0,0,0.036683,0,32842849.0
2020-12-10,0,0,0,0.036259,0,32462976.0
2020-12-09,0,0,0,0.030238,0,27072258.0
2020-12-08,0,0,0,0.030364,0,27185526.0
2020-12-07,0,0,0,0.032623,0,29207765.0
2020-12-06,0,0,0,0.033265,0,29782468.0
2020-12-05,0,0,0,0.033183,0,29709443.0
2020-12-04,0,0,0,0.028975,0,25941617.0
2020-12-03,0,0,0,0.034058,0,30492501.0
2020-12-02,0,0,0,0.029233,0,26172511.0
2020-12-01,0,0,0,0.028702,0,25697630.0
2020-11-30,0,0,0,0.031231,0,27961733.0
2020-11-29,0,0,0,0.037898,0,33930540.0
2020-11-28,0,0,0,0.043069,0,38559810.0
2020-11-27,0,0,0,0.045566,0,40795667.0
2020-11-26,0,0,0,0.04742,0,42455382.0
2020-11-25,0,0,0,0.038835,0,34769329.0
2020-11-24,0,0,0,0.054733,0,49003043.0
2020-11-23,0,0,0,0.059079,0,52894058.0
2020-11-22,0,0,0,0.054789,0,49053003.0
2020-11-21,0,0,0,0.064533,0,57777139.0
2020-11-20,0,0,0,0.092131,0,82486193.0
2020-11-19,0,0,0,0.081735,0,73178257.0
2020-11-18,0,0,0,0.074195,0,66427793.0
2020-11-17,0,0,0,0.088616,0,79339228.0
2020-11-16,0,0,0,0.095762,0,85736819.0
2020-11-15,0,0,0,0.082148,0,73547732.0
2020-11-14,0,0,0,0.075657,0,67736662.0
2020-11-13,0,0,0,0.044164,0,39540726.0
2020-11-12,0,0,0,0.034873,0,31222537.0
2020-11-11,0,0,0,0.03283,0,29392606.0
2020-11-10,0,0,0,0.035496,0,31779737.0
2020-11-09,0,0,0,0.033151,0,29680663.0
2020-11-08,0,0,0,0.038407,0,34386284.0
2020-11-07,0,0,0,0.031934,0,28590657.0
2020-11-06,0,0,0,0.041342,0,37013760.0
2020-11-05,0,0,0,0.041671,0,37308046.0
2020-11-04,0,0,0,0.044791,0,40101490.0
2020-11-03,0,0,0,0.041074,0,36773602.0
2020-11-02,0,0,0,0.036229,0,32436176.0
2020-11-01,0,0,0,0.038889,0,34817304.0
2020-10-31,0,0,0,0.046207,0,41369361.0
2020-10-30,0,0,0,0.036749,0,32901558.0
2020-10-29,0,0,0,0.043779,0,39196233.0
