date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.032845,0,14527719.0
2020-12-13,0,0,0,0.031626,0,13956937.0
2020-12-12,0,0,0,0.032088,0,14133786.0
2020-12-11,0,0,0,0.029908,0,13146929.0
2020-12-10,0,0,0,0.030453,0,13353884.0
2020-12-09,0,0,0,0.030632,0,13397743.0
2020-12-08,0,0,0,0.030581,0,13344474.0
2020-12-07,0,0,0,0.032623,0,14201296.0
2020-12-06,0,0,0,0.031893,0,13791725.0
2020-12-05,0,0,0,0.032583,0,14090004.0
2020-12-04,0,0,0,0.032147,0,13890036.0
2020-12-03,0,0,0,0.032667,0,14080330.0
2020-12-02,0,0,0,0.032462,0,13956364.0
2020-12-01,0,0,0,0.031751,0,13615360.0
2020-11-30,0,0,0,0.034139,0,14602183.0
2020-11-29,0,0,0,0.030065,0,12827942.0
2020-11-28,0,0,0,0.028376,0,12077359.0
2020-11-27,0,0,0,0.027289,0,11583838.0
2020-11-26,0,0,0,0.027433,0,11614989.0
2020-11-25,0,0,0,0.029601,0,12501416.0
2020-11-24,0,0,0,0.030875,0,13005099.0
2020-11-23,0,0,0,0.030808,0,12943529.0
2020-11-22,0,0,0,0.029896,0,12527992.0
2020-11-21,0,0,0,0.029236,0,12219771.0
2020-11-20,0,0,0,0.029213,0,12178598.0
2020-11-19,0,0,0,0.027927,0,11611587.0
2020-11-18,0,0,0,0.027619,0,11452643.0
2020-11-17,0,0,0,0.027183,0,11241615.0
2020-11-16,0,0,0,0.02797,0,11536267.0
2020-11-15,0,0,0,0.026286,0,10808664.0
2020-11-14,0,0,0,0.027219,0,11167276.0
2020-11-13,0,0,0,0.027719,0,11340988.0
2020-11-12,0,0,0,0.027903,0,11387233.0
2020-11-11,0,0,0,0.026529,0,10798097.0
2020-11-10,0,0,0,0.026118,0,10603288.0
2020-11-09,0,0,0,0.025126,0,10174257.0
2020-11-08,0,0,0,0.026001,0,10498017.0
2020-11-07,0,0,0,0.024625,0,9912962.0
2020-11-06,0,0,0,0.026374,0,10585087.0
2020-11-05,0,0,0,0.027058,0,10827563.0
2020-11-04,0,0,0,0.025385,0,10127042.0
2020-11-03,0,0,0,0.023164,0,9213335.0
2020-11-02,0,0,0,0.02363,0,9370613.0
2020-11-01,0,0,0,0.025539,0,10097415.0
2020-10-31,0,0,0,0.020584,0,8114690.0
2020-10-30,0,0,0,0.019365,0,7611813.0
2020-10-29,0,0,0,0.021222,0,8317717.0
2020-10-28,0,0,0,0.021413,0,8367885.0
2020-10-27,0,0,0,0.021027,0,8193156.0
2020-10-26,0,0,0,0.019893,0,6521659.0
2020-10-25,0,0,0,0.018819,0,6169683.0
2020-10-24,0,0,0,0.01893,0,6205926.0
2020-10-23,0,0,0,0.017947,0,5883836.0
2020-10-22,0,0,0,0.01766,0,5789665.0
2020-10-21,0,0,0,0.01833,0,6009211.0
2020-10-20,0,0,0,0.017162,0,5626357.0
2020-10-19,0,0,0,0.017492,0,5734397.0
2020-10-18,0,0,0,0.017312,0,5675699.0
2020-10-17,0,0,0,0.016239,0,5323608.0
2020-10-16,0,0,0,0.016688,0,5470981.0
2020-10-15,0,0,0,0.016396,0,5375386.0
2020-10-14,0,0,0,0.015981,0,5239157.0
2020-10-13,0,0,0,0.016184,0,5305596.0
2020-10-12,0,0,0,0.015953,0,5229853.0
2020-10-11,0,0,0,0.014301,0,4688492.0
2020-10-10,0,0,0,0.014949,0,4900874.0
2020-10-09,0,0,0,0.014478,0,4746485.0
2020-10-08,0,0,0,0.013361,0,4380249.0
2020-10-07,0,0,0,0.011923,0,3908903.0
2020-10-06,0,0,0,0.010987,0,3601996.0
2020-10-05,0,0,0,0.012087,0,3962669.0
2020-10-04,0,0,0,0.010687,0,3503498.0
2020-10-03,0,0,0,0.011007,0,3608656.0
2020-10-02,0,0,0,0.010756,0,3526181.0
