date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.300242,0,3675361.0
2020-12-13,0,0,0,0.300602,0,3679774.0
2020-12-12,0,0,0,0.300937,0,3683865.0
2020-12-11,0,0,0,0.29948,0,3666038.0
2020-12-10,0,0,0,0.299367,0,3664653.0
2020-12-09,0,0,0,0.300201,0,3674856.0
2020-12-08,0,0,0,0.293119,0,3588164.0
2020-12-07,0,0,0,0.294381,0,3603615.0
2020-12-06,0,0,0,0.290147,0,3551781.0
2020-12-05,0,0,0,0.290919,0,3561232.0
2020-12-04,0,0,0,0.289152,0,3539611.0
2020-12-03,0,0,0,0.290741,0,3559061.0
2020-12-02,0,0,0,0.290595,0,3557268.0
2020-12-01,0,0,0,0.290044,0,3550527.0
2020-11-30,0,0,0,0.27882,0,3413130.0
2020-11-29,0,0,0,0.280571,0,3434558.0
2020-11-28,0,0,0,0.279815,0,3425305.0
2020-11-27,0,0,0,0.279796,0,3425081.0
2020-11-26,0,0,0,0.280527,0,3434023.0
2020-11-25,0,0,0,0.278603,0,3410471.0
2020-11-24,0,0,0,0.288136,0,3527164.0
2020-11-23,0,0,0,0.288034,0,3525915.0
2020-11-22,0,0,0,0.289129,0,3539330.0
2020-11-21,0,0,0,0.291463,0,3567899.0
2020-11-20,0,0,0,0.291354,0,3566560.0
2020-11-19,0,0,0,0.285431,0,3494058.0
2020-11-18,0,0,0,0.283557,0,3471120.0
2020-11-17,0,0,0,0.283155,0,3466201.0
2020-11-16,0,0,0,0.279688,0,3423757.0
2020-11-15,0,0,0,0.266115,0,3257606.0
2020-11-14,0,0,0,0.26688,0,3266963.0
2020-11-13,0,0,0,0.269117,0,3294348.0
2020-11-12,0,0,0,0.264435,0,3237031.0
2020-11-11,0,0,0,0.26073,0,3191686.0
2020-11-10,0,0,0,0.26071,0,3191441.0
2020-11-09,0,0,0,0.280409,0,3432575.0
2020-11-08,0,0,0,0.28336,0,3468703.0
2020-11-07,0,0,0,0.286115,0,3502429.0
2020-11-06,0,0,0,0.296162,0,3625415.0
2020-11-05,0,0,0,0.297506,0,3641868.0
2020-11-04,0,0,0,0.284384,0,3481236.0
2020-11-03,0,0,0,0.290187,0,3458146.0
2020-11-02,0,0,0,0.295405,0,3520336.0
2020-11-01,0,0,0,0.296959,0,3635179.0
2020-10-31,0,0,0,0.293735,0,3595703.0
2020-10-30,0,0,0,0.298605,0,3655329.0
2020-10-29,0,0,0,0.289928,0,3549110.0
2020-10-28,0,0,0,0.279432,0,3420626.0
2020-10-27,0,0,0,0.279336,0,3419450.0
2020-10-26,0,0,0,0.279252,0,3418418.0
2020-10-25,0,0,0,0.280389,0,3432341.0
2020-10-24,0,0,0,0.27968,0,3423652.0
2020-10-23,0,0,0,0.279681,0,3423668.0
2020-10-22,0,0,0,0.279312,0,3419156.0
2020-10-21,0,0,0,0.279513,0,3421614.0
2020-10-20,0,0,0,0.279831,0,3425508.0
2020-10-19,0,0,0,0.279466,0,3425508.0
2020-10-18,0,0,0,0.279533,0,3425508.0
2020-10-17,0,0,0,0.2801,0,3425508.0
2020-10-16,0,0,0,0.279241,0,3425508.0
