date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.051252,0,3575502.0
2020-12-13,0,0,0,0.058377,0,4064478.0
2020-12-12,0,0,0,0.056694,0,3939781.0
2020-12-11,0,0,0,0.043325,0,3004929.0
2020-12-10,0,0,0,0.04389,0,3038245.0
2020-12-09,0,0,0,0.04522,0,3124116.0
2020-12-08,0,0,0,0.038679,0,2666843.0
2020-12-07,0,0,0,0.037832,0,2602999.0
2020-12-06,0,0,0,0.036197,0,2485804.0
2020-12-05,0,0,0,0.03766,0,2581102.0
2020-12-04,0,0,0,0.0422,0,2886558.0
2020-12-03,0,0,0,0.020124,0,1373844.0
2020-12-02,0,0,0,0.021213,0,1445436.0
2020-12-01,0,0,0,0.018841,0,1281111.0
2020-11-30,0,0,0,0.019601,0,1330098.0
2020-11-29,0,0,0,0.017104,0,1158256.0
2020-11-28,0,0,0,0.018606,0,1257447.0
2020-11-27,0,0,0,0.016814,0,1134071.0
2020-11-26,0,0,0,0.018412,0,1239382.0
2020-11-25,0,0,0,0.017899,0,1202420.0
2020-11-24,0,0,0,0.019413,0,1301502.0
2020-11-23,0,0,0,0.019619,0,1312536.0
2020-11-22,0,0,0,0.018923,0,1263277.0
2020-11-21,0,0,0,0.019018,0,1266919.0
2020-11-20,0,0,0,0.018995,0,1262763.0
2020-11-19,0,0,0,0.017923,0,1188926.0
2020-11-18,0,0,0,0.020307,0,1344200.0
2020-11-17,0,0,0,0.019439,0,1283986.0
2020-11-16,0,0,0,0.016121,0,1062528.0
2020-11-15,0,0,0,0.016935,0,1113758.0
2020-11-14,0,0,0,0.018468,0,1211973.0
2020-11-13,0,0,0,0.019086,0,1249826.0
2020-11-12,0,0,0,0.01826,0,1193102.0
2020-11-11,0,0,0,0.017743,0,1156736.0
2020-11-10,0,0,0,0.01665,0,1083079.0
2020-11-09,0,0,0,0.016022,0,1039953.0
2020-11-08,0,0,0,0.015483,0,1002771.0
2020-11-07,0,0,0,0.014706,0,950342.0
2020-11-06,0,0,0,0.014956,0,964393.0
2020-11-05,0,0,0,0.016184,0,1041276.0
2020-11-04,0,0,0,0.015755,0,1011459.0
2020-11-03,0,0,0,0.015037,0,963161.0
2020-11-02,0,0,0,0.012304,0,786334.0
2020-11-01,0,0,0,0.011467,0,731260.0
2020-10-31,0,0,0,0.011494,0,731359.0
2020-10-30,0,0,0,0.010312,0,654654.0
2020-10-29,0,0,0,0.009976,0,631946.0
2020-10-28,0,0,0,0.009603,0,606934.0
2020-10-27,0,0,0,0.009558,0,602733.0
2020-10-26,0,0,0,0.008399,0,528442.0
2020-10-25,0,0,0,0.009119,0,572438.0
2020-10-24,0,0,0,0.009153,0,573236.0
2020-10-23,0,0,0,0.009651,0,603099.0
2020-10-22,0,0,0,0.010891,0,676578.0
2020-10-21,0,0,0,0.009318,0,578860.0
2020-10-20,0,0,0,0.007882,0,489178.0
2020-10-19,0,0,0,0.007279,0,450685.0
2020-10-18,0,0,0,0.007136,0,440861.0
2020-10-17,0,0,0,0.006948,0,428201.0
2020-10-16,0,0,0,0.007571,0,465543.0
2020-10-15,0,0,0,0.007492,0,459620.0
2020-10-14,0,0,0,0.006874,0,420717.0
2020-10-13,0,0,0,0.006767,0,413189.0
2020-10-12,0,0,0,0.007197,0,438337.0
2020-10-11,0,0,0,0.006861,0,416542.0
2020-10-10,0,0,0,0.006307,0,381992.0
2020-10-09,0,0,0,0.006548,0,395665.0
2020-10-08,0,0,0,0.006352,0,382853.0
2020-10-07,0,0,0,0.006333,0,380832.0
2020-10-06,0,0,0,0.006004,0,360199.0
2020-10-05,0,0,0,0.006295,0,376745.0
2020-10-04,0,0,0,0.006518,0,389131.0
2020-10-03,0,0,0,0.006012,0,358036.0
2020-10-02,0,0,0,0.006128,0,364062.0
2020-10-01,0,0,0,0.006243,0,370031.0
2020-09-30,0,0,0,0.006022,0,356057.0
