date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.00246,0,2513478.0
2020-12-13,0,0,0,0.00246,0,2513002.0
2020-12-12,0,0,0,0.002252,0,2300874.0
2020-12-11,0,0,0,0.002243,0,2291598.0
2020-12-10,0,0,0,0.002243,0,2291518.0
2020-12-09,0,0,0,0.002262,0,2311206.0
2020-12-08,0,0,0,0.002342,0,2392974.0
2020-12-07,0,0,0,0.002612,0,2668164.0
2020-12-06,0,0,0,0.002295,0,2344810.0
2020-12-05,0,0,0,0.00237,0,2420926.0
2020-12-04,0,0,0,0.002387,0,2438742.0
2020-12-03,0,0,0,0.002304,0,2353458.0
2020-12-02,0,0,0,0.002234,0,2282179.0
2020-12-01,0,0,0,0.002247,0,2296100.0
2020-11-30,0,0,0,0.002291,0,2340353.0
2020-11-29,0,0,0,0.002256,0,2304794.0
2020-11-28,0,0,0,0.002269,0,2317992.0
2020-11-27,0,0,0,0.002209,0,2256999.0
2020-11-26,0,0,0,0.002186,0,2233518.0
2020-11-25,0,0,0,0.00245,0,2502957.0
2020-11-24,0,0,0,0.002513,0,2567193.0
2020-11-23,0,0,0,0.002354,0,2404919.0
2020-11-22,0,0,0,0.002349,0,2400059.0
2020-11-21,0,0,0,0.002299,0,2348963.0
2020-11-20,0,0,0,0.002224,0,2271791.0
2020-11-19,0,0,0,0.00216,0,2206793.0
2020-11-18,0,0,0,0.002166,0,2213037.0
2020-11-17,0,0,0,0.002217,0,2265503.0
2020-11-16,0,0,0,0.00212,0,2165569.0
2020-11-15,0,0,0,0.002029,0,2072942.0
2020-11-14,0,0,0,0.002039,0,2082902.0
2020-11-13,0,0,0,0.002077,0,2121691.0
2020-11-12,0,0,0,0.002376,0,2427216.0
2020-11-11,0,0,0,0.002032,0,2076040.0
2020-11-10,0,0,0,0.00223,0,2278515.0
2020-11-09,0,0,0,0.002006,0,2049063.0
2020-11-08,0,0,0,0.002029,0,2072827.0
2020-11-07,0,0,0,0.001927,0,1969131.0
2020-11-06,0,0,0,0.001984,0,2027355.0
2020-11-05,0,0,0,0.002005,0,2048552.0
2020-11-04,0,0,0,0.001748,0,1785665.0
2020-11-03,0,0,0,0.001847,0,1886764.0
2020-11-02,0,0,0,0.002041,0,2085009.0
2020-11-01,0,0,0,0.00217,0,2216735.0
2020-10-31,0,0,0,0.002107,0,2152419.0
2020-10-30,0,0,0,0.002148,0,2194727.0
2020-10-29,0,0,0,0.002264,0,2312702.0
2020-10-28,0,0,0,0.00231,0,2360141.0
2020-10-27,0,0,0,0.002416,0,2468776.0
2020-10-26,0,0,0,0.002251,0,2299662.0
2020-10-25,0,0,0,0.002426,0,2478150.0
2020-10-24,0,0,0,0.002387,0,2438917.0
2020-10-23,0,0,0,0.002453,0,2506665.0
2020-10-22,0,0,0,0.002699,0,2757568.0
2020-10-21,0,0,0,0.002245,0,2293159.0
2020-10-20,0,0,0,0.002138,0,2184522.0
2020-10-19,0,0,0,0.002234,0,2282415.0
2020-10-18,0,0,0,0.002396,0,2448441.0
2020-10-17,0,0,0,0.002266,0,2315511.0
2020-10-16,0,0,0,0.002233,0,2281490.0
2020-10-15,0,0,0,0.002467,0,2520425.0
2020-10-14,0,0,0,0.002693,0,2751577.0
2020-10-13,0,0,0,0.002645,0,2702632.0
2020-10-12,0,0,0,0.002322,0,2372437.0
2020-10-11,0,0,0,0.002346,0,2396495.0
2020-10-10,0,0,0,0.002364,0,2415051.0
2020-10-09,0,0,0,0.002375,0,2426142.0
2020-10-08,0,0,0,0.002283,0,2332891.0
2020-10-07,0,0,0,0.002293,0,2343121.0
2020-10-06,0,0,0,0.002305,0,2355260.0
2020-10-05,0,0,0,0.002212,0,2259926.0
2020-10-04,0,0,0,0.002309,0,2359462.0
2020-10-03,0,0,0,0.002359,0,2409774.0
2020-10-02,0,0,0,0.00231,0,2360544.0
2020-10-01,0,0,0,0.002549,0,2604622.0
2020-09-30,0,0,0,0.002663,0,2720275.0
2020-09-29,0,0,0,0.002648,0,2705037.0
2020-09-28,0,0,0,0.002675,0,2733158.0
2020-09-27,0,0,0,0.002658,0,2715943.0
2020-09-26,0,0,0,0.002694,0,2752079.0
2020-09-25,0,0,0,0.002618,0,2674426.0
2020-09-24,0,0,0,0.002532,0,2587233.0
2020-09-23,0,0,0,0.002425,0,2477570.0
2020-09-22,0,0,0,0.002718,0,2776740.0
2020-09-21,0,0,0,0.002856,0,2918349.0
2020-09-20,0,0,0,0.003182,0,3251115.0
2020-09-19,0,0,0,0.003277,0,3348242.0
2020-09-18,0,0,0,0.003126,0,3193717.0
2020-09-17,0,0,0,0.003114,0,3181162.0
2020-09-16,0,0,0,0.003083,0,3149800.0
2020-09-15,0,0,0,0.003034,0,3099399.0
2020-09-14,0,0,0,0.00363,0,3709185.0
2020-09-13,0,0,0,0.003717,0,3797207.0
2020-09-12,0,0,0,0.003901,0,3985487.0
2020-09-11,0,0,0,0.003681,0,3760405.0
2020-09-10,0,0,0,0.003668,0,3747162.0
2020-09-09,0,0,0,0.00374,0,3821245.0
2020-09-08,0,0,0,0.003799,0,3880886.0
2020-09-07,0,0,0,0.003629,0,3707223.0
2020-09-06,0,0,0,0.003796,0,3877821.0
2020-09-05,0,0,0,0.003608,0,3686322.0
2020-09-04,0,0,0,0.004278,0,4370447.0
2020-09-03,0,0,0,0.003701,0,3781728.0
2020-09-02,0,0,0,0.004952,0,5059101.0
2020-09-01,0,0,0,0.00553,0,5650217.0
2020-08-31,0,0,0,0.005532,0,5652136.0
2020-08-30,0,0,0,0.005605,0,5726412.0
2020-08-29,0,0,0,0.005513,0,5632124.0
2020-08-28,0,0,0,0.005567,0,5687630.0
2020-08-27,0,0,0,0.005641,0,5762976.0
2020-08-26,0,0,0,0.005822,0,5948358.0
2020-08-25,0,0,0,0.006564,0,6706450.0
2020-08-24,0,0,0,0.00748,0,7642223.0
2020-08-23,0,0,0,0.007805,0,7973761.0
2020-08-22,0,0,0,0.006799,0,6946741.0
2020-08-21,0,0,0,0.006066,0,6197155.0
2020-08-20,0,0,0,0.00486,0,4965093.0
2020-08-19,0,0,0,0.004825,0,4929683.0
2020-08-18,0,0,0,0.004662,0,4762830.0
2020-08-17,0,0,0,0.003663,0,3741926.0
2020-08-16,0,0,0,0.003755,0,3836795.0
2020-08-15,0,0,0,0.003604,0,3682569.0
2020-08-14,0,0,0,0.00384,0,3922967.0
2020-08-13,0,0,0,0.003945,0,4030809.0
2020-08-12,0,0,0,0.004541,0,4639449.0
2020-08-11,0,0,0,0.004607,0,4706689.0
2020-08-10,0,0,0,0.002928,0,2991666.0
2020-08-09,0,0,0,0.002514,0,2568258.0
2020-08-08,0,0,0,0.002296,0,2346290.0
2020-08-07,0,0,0,0.002234,0,2282476.0
2020-08-06,0,0,0,0.00247,0,2523575.0
2020-08-05,0,0,0,0.002202,0,2249482.0
2020-08-04,0,0,0,0.002101,0,2146948.0
2020-08-03,0,0,0,0.002065,0,2109673.0
2020-08-02,0,0,0,0.002082,0,2127487.0
2020-08-01,0,0,0,0.002132,0,2178036.0
2020-07-31,0,0,0,0.002178,0,2225396.0
2020-07-30,0,0,0,0.00215,0,2196416.0
2020-07-29,0,0,0,0.002136,0,2182780.0
2020-07-28,0,0,0,0.002046,0,2090577.0
2020-07-27,0,0,0,0.002017,0,2060316.0
2020-07-26,0,0,0,0.002134,0,2179917.0
2020-07-25,0,0,0,0.002129,0,2175253.0
2020-07-24,0,0,0,0.002118,0,2164209.0
2020-07-23,0,0,0,0.002108,0,2153864.0
2020-07-22,0,0,0,0.0021,0,2145041.0
2020-07-21,0,0,0,0.002026,0,2070414.0
2020-07-20,0,0,0,0.002081,0,2126552.0
2020-07-19,0,0,0,0.002028,0,2071685.0
2020-07-18,0,0,0,0.001985,0,2028115.0
2020-07-17,0,0,0,0.00206,0,2104438.0
2020-07-16,0,0,0,0.001992,0,2035169.0
2020-07-15,0,0,0,0.002107,0,2152897.0
2020-07-14,0,0,0,0.002022,0,2065702.0
2020-07-13,0,0,0,0.002009,0,2052246.0
2020-07-12,0,0,0,0.002082,0,2127555.0
2020-07-11,0,0,0,0.002143,0,2189705.0
2020-07-10,0,0,0,0.00216,0,2206524.0
2020-07-09,0,0,0,0.001998,0,2041516.0
2020-07-08,0,0,0,0.001978,0,2021241.0
2020-07-07,0,0,0,0.001948,0,1990185.0
2020-07-06,0,0,0,0.001927,0,1968583.0
2020-07-05,0,0,0,0.001874,0,1914708.0
2020-07-04,0,0,0,0.001915,0,1956244.0
2020-07-03,0,0,0,0.001906,0,1947161.0
2020-07-02,0,0,0,0.001806,0,1844854.0
2020-07-01,0,0,0,0.001921,0,1962663.0
2020-06-30,0,0,0,0.001942,0,1983786.0
2020-06-29,0,0,0,0.001942,0,1984331.0
