date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.003267,0,4619308.0
2020-12-13,0,0,0,0.0032,0,4524311.0
2020-12-12,0,0,0,0.003172,0,4484721.0
2020-12-11,0,0,0,0.00308,0,4354389.0
2020-12-10,0,0,0,0.00315,0,4454056.0
2020-12-09,0,0,0,0.003278,0,4634162.0
2020-12-08,0,0,0,0.003276,0,4631157.0
2020-12-07,0,0,0,0.003481,0,4922284.0
2020-12-06,0,0,0,0.003488,0,4930926.0
2020-12-05,0,0,0,0.003493,0,4938216.0
2020-12-04,0,0,0,0.003332,0,4711541.0
2020-12-03,0,0,0,0.003216,0,4547577.0
2020-12-02,0,0,0,0.003337,0,4718348.0
2020-12-01,0,0,0,0.003357,0,4746482.0
2020-11-30,0,0,0,0.003494,0,4940260.0
2020-11-29,0,0,0,0.003385,0,4785638.0
2020-11-28,0,0,0,0.003279,0,4636360.0
2020-11-27,0,0,0,0.00335,0,4737022.0
2020-11-26,0,0,0,0.003326,0,4702340.0
2020-11-25,0,0,0,0.003742,0,5291058.0
2020-11-24,0,0,0,0.003441,0,4864767.0
2020-11-23,0,0,0,0.003172,0,4485109.0
2020-11-22,0,0,0,0.003105,0,4390295.0
2020-11-21,0,0,0,0.00304,0,4298825.0
2020-11-20,0,0,0,0.002975,0,4205758.0
2020-11-19,0,0,0,0.00302,0,4269415.0
2020-11-18,0,0,0,0.002896,0,4094823.0
2020-11-17,0,0,0,0.003139,0,4438454.0
2020-11-16,0,0,0,0.003139,0,4437682.0
2020-11-15,0,0,0,0.003084,0,4360316.0
2020-11-14,0,0,0,0.003092,0,4372215.0
2020-11-13,0,0,0,0.003156,0,4462039.0
2020-11-12,0,0,0,0.00312,0,4411751.0
2020-11-11,0,0,0,0.003088,0,4366222.0
2020-11-10,0,0,0,0.003079,0,4352784.0
2020-11-09,0,0,0,0.003187,0,4505961.0
2020-11-08,0,0,0,0.003179,0,4495217.0
2020-11-07,0,0,0,0.003122,0,4414733.0
2020-11-06,0,0,0,0.003338,0,4719736.0
2020-11-05,0,0,0,0.003511,0,4964730.0
2020-11-04,0,0,0,0.003194,0,4515419.0
2020-11-03,0,0,0,0.003121,0,4413219.0
