date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.050872,0,4045425.0
2020-12-13,0,0,0,0.051939,0,4130263.0
2020-12-12,0,0,0,0.053929,0,4288546.0
2020-12-11,0,0,0,0.037377,0,2972272.0
2020-12-10,0,0,0,0.048644,0,3868263.0
2020-12-09,0,0,0,0.051663,0,4108306.0
2020-12-08,0,0,0,0.051338,0,4082509.0
2020-12-07,0,0,0,0.053679,0,4268669.0
2020-12-06,0,0,0,0.035155,0,2795544.0
2020-12-05,0,0,0,0.053044,0,4218124.0
2020-12-04,0,0,0,0.036922,0,2936071.0
2020-12-03,0,0,0,0.053257,0,4235068.0
2020-12-02,0,0,0,0.041811,0,3324858.0
2020-12-01,0,0,0,0.03727,0,2963791.0
2020-11-30,0,0,0,0.046354,0,3686130.0
2020-11-29,0,0,0,0.040946,0,3256083.0
2020-11-28,0,0,0,0.046195,0,3673502.0
2020-11-27,0,0,0,0.042337,0,3366676.0
2020-11-26,0,0,0,0.046409,0,3690485.0
2020-11-25,0,0,0,0.077876,0,6192787.0
2020-11-24,0,0,0,0.043238,0,3438355.0
2020-11-23,0,0,0,0.077258,0,6143656.0
2020-11-22,0,0,0,0.06245,0,4966111.0
2020-11-21,0,0,0,0.099235,0,7891311.0
2020-11-20,0,0,0,0.095444,0,7589821.0
2020-11-19,0,0,0,0.102455,0,8147371.0
2020-11-18,0,0,0,0.086141,0,6850072.0
2020-11-17,0,0,0,0.102556,0,8139986.0
2020-11-16,0,0,0,0.089954,0,7139762.0
2020-11-15,0,0,0,0.045282,0,3594069.0
2020-11-14,0,0,0,0.227039,0,18020445.0
2020-11-13,0,0,0,0.158767,0,12601540.0
2020-11-12,0,0,0,0.182107,0,14454665.0
2020-11-11,0,0,0,0.196418,0,15570968.0
2020-11-10,0,0,0,0.193824,0,15559128.0
2020-11-09,0,0,0,0.195044,0,15657046.0
2020-11-08,0,0,0,0.164517,0,13206529.0
2020-11-07,0,0,0,0.188705,0,15148197.0
2020-11-06,0,0,0,0.202528,0,16257813.0
2020-11-05,0,0,0,0.204087,0,16382962.0
2020-11-04,0,0,0,0.183591,0,14737637.0
2020-11-03,0,0,0,0.183341,0,14717604.0
2020-11-02,0,0,0,0.189676,0,15321920.0
2020-11-01,0,0,0,0.195445,0,15787963.0
2020-10-31,0,0,0,0.193018,0,15591867.0
2020-10-30,0,0,0,0.185269,0,14965960.0
2020-10-29,0,0,0,0.187955,0,15182908.0
2020-10-28,0,0,0,0.190528,0,15390709.0
2020-10-27,0,0,0,0.182028,0,14704114.0
2020-10-26,0,0,0,0.177454,0,14334667.0
2020-10-25,0,0,0,0.158369,0,12792952.0
2020-10-24,0,0,0,0.157116,0,12691759.0
2020-10-23,0,0,0,0.173039,0,13977993.0
2020-10-22,0,0,0,0.171602,0,13861942.0
2020-10-21,0,0,0,0.163609,0,13216213.0
2020-10-20,0,0,0,0.152051,0,12282597.0
2020-10-19,0,0,0,0.15053,0,12159723.0
2020-10-18,0,0,0,0.148516,0,11997008.0
2020-10-17,0,0,0,0.146396,0,11825819.0
