date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.009431,0,3391446.0
2020-12-13,0,0,0,0.008422,0,3028532.0
2020-12-12,0,0,0,0.007522,0,2704983.0
2020-12-11,0,0,0,0.007223,0,2597376.0
2020-12-10,0,0,0,0.007306,0,2627058.0
2020-12-09,0,0,0,0.007426,0,2670376.0
2020-12-08,0,0,0,0.007514,0,2702162.0
2020-12-07,0,0,0,0.008639,0,3106479.0
2020-12-06,0,0,0,0.008122,0,2920564.0
2020-12-05,0,0,0,0.008807,0,3166980.0
2020-12-04,0,0,0,0.009004,0,3237936.0
2020-12-03,0,0,0,0.009721,0,3495806.0
2020-12-02,0,0,0,0.009988,0,3591525.0
2020-12-01,0,0,0,0.010154,0,3651516.0
2020-11-30,0,0,0,0.010599,0,3811322.0
2020-11-29,0,0,0,0.010907,0,3922133.0
2020-11-28,0,0,0,0.010454,0,3759102.0
2020-11-27,0,0,0,0.010094,0,3629834.0
2020-11-26,0,0,0,0.010274,0,3694392.0
2020-11-25,0,0,0,0.011802,0,4244081.0
2020-11-24,0,0,0,0.011657,0,4191750.0
2020-11-23,0,0,0,0.011755,0,4227234.0
2020-11-22,0,0,0,0.012125,0,4360181.0
2020-11-21,0,0,0,0.013049,0,4692530.0
2020-11-20,0,0,0,0.011918,0,4285755.0
2020-11-19,0,0,0,0.011047,0,3972464.0
2020-11-18,0,0,0,0.011572,0,4161123.0
2020-11-17,0,0,0,0.011116,0,3997368.0
2020-11-16,0,0,0,0.0117,0,4207470.0
2020-11-15,0,0,0,0.009733,0,3499964.0
2020-11-14,0,0,0,0.010122,0,3640026.0
2020-11-13,0,0,0,0.009954,0,3579420.0
2020-11-12,0,0,0,0.009115,0,3277640.0
2020-11-11,0,0,0,0.010364,0,3726949.0
2020-11-10,0,0,0,0.010857,0,3904275.0
2020-11-09,0,0,0,0.01012,0,3639078.0
2020-11-08,0,0,0,0.009906,0,3562362.0
2020-11-07,0,0,0,0.009493,0,3413853.0
2020-11-06,0,0,0,0.011674,0,4198121.0
2020-11-05,0,0,0,0.008089,0,2908971.0
2020-11-04,0,0,0,0.008197,0,2947767.0
2020-11-03,0,0,0,0.00823,0,2959659.0
2020-11-02,0,0,0,0.008672,0,3118398.0
2020-11-01,0,0,0,0.008776,0,3155776.0
2020-10-31,0,0,0,0.008681,0,3121614.0
2020-10-30,0,0,0,0.008819,0,3171327.0
2020-10-29,0,0,0,0.00928,0,3337149.0
2020-10-28,0,0,0,0.00969,0,3484550.0
2020-10-27,0,0,0,0.009146,0,3288767.0
2020-10-26,0,0,0,0.007845,0,2820999.0
2020-10-25,0,0,0,0.008601,0,3092809.0
2020-10-24,0,0,0,0.009045,0,3252458.0
2020-10-23,0,0,0,0.009182,0,3301743.0
2020-10-22,0,0,0,0.009076,0,3263783.0
2020-10-21,0,0,0,0.009361,0,3366340.0
2020-10-20,0,0,0,0.009533,0,3428091.0
2020-10-19,0,0,0,0.010216,0,3673517.0
2020-10-18,0,0,0,0.009761,0,3510003.0
2020-10-17,0,0,0,0.009427,0,3390030.0
2020-10-16,0,0,0,0.009397,0,3379291.0
2020-10-15,0,0,0,0.009771,0,3513673.0
2020-10-14,0,0,0,0.009829,0,3534651.0
2020-10-13,0,0,0,0.010055,0,3615703.0
2020-10-12,0,0,0,0.010169,0,3656668.0
2020-10-11,0,0,0,0.010246,0,3684386.0
2020-10-10,0,0,0,0.010054,0,3615333.0
2020-10-09,0,0,0,0.010511,0,3779840.0
2020-10-08,0,0,0,0.009715,0,3493476.0
2020-10-07,0,0,0,0.009495,0,3414485.0
2020-10-06,0,0,0,0.010071,0,3621561.0
2020-10-05,0,0,0,0.010901,0,3920003.0
2020-10-04,0,0,0,0.012037,0,4328340.0
2020-10-03,0,0,0,0.010903,0,3920792.0
2020-10-02,0,0,0,0.009367,0,3368258.0
2020-10-01,0,0,0,0.012291,0,4419941.0
2020-09-30,0,0,0,0.011331,0,4074664.0
2020-09-29,0,0,0,0.012893,0,4636420.0
2020-09-28,0,0,0,0.011888,0,4274822.0
2020-09-27,0,0,0,0.011638,0,4184854.0
2020-09-26,0,0,0,0.011933,0,4291216.0
2020-09-25,0,0,0,0.011762,0,4229611.0
2020-09-24,0,0,0,0.01119,0,4024093.0
2020-09-23,0,0,0,0.010759,0,3868755.0
2020-09-22,0,0,0,0.011273,0,4053871.0
2020-09-21,0,0,0,0.011286,0,4058316.0
2020-09-20,0,0,0,0.012568,0,4519286.0
2020-09-19,0,0,0,0.012752,0,4585590.0
2020-09-18,0,0,0,0.011806,0,4245560.0
2020-09-17,0,0,0,0.012583,0,4524881.0
2020-09-16,0,0,0,0.011951,0,4297728.0
2020-09-15,0,0,0,0.01198,0,4307978.0
2020-09-14,0,0,0,0.012916,0,4644726.0
2020-09-13,0,0,0,0.011775,0,4234113.0
2020-09-12,0,0,0,0.012124,0,4359782.0
2020-09-11,0,0,0,0.012377,0,4450841.0
2020-09-10,0,0,0,0.013264,0,4769663.0
2020-09-09,0,0,0,0.012585,0,4525524.0
2020-09-08,0,0,0,0.012355,0,4442978.0
2020-09-07,0,0,0,0.012126,0,4360675.0
2020-09-06,0,0,0,0.013958,0,5019399.0
2020-09-05,0,0,0,0.013216,0,4752616.0
2020-09-04,0,0,0,0.014786,0,5317091.0
2020-09-03,0,0,0,0.013776,0,4953678.0
2020-09-02,0,0,0,0.016182,0,5819063.0
2020-09-01,0,0,0,0.01647,0,5922526.0
2020-08-31,0,0,0,0.013886,0,4993573.0
2020-08-30,0,0,0,0.012177,0,4378745.0
2020-08-29,0,0,0,0.012073,0,4341423.0
2020-08-28,0,0,0,0.01176,0,4228797.0
2020-08-27,0,0,0,0.011424,0,4107973.0
2020-08-26,0,0,0,0.011943,0,4294714.0
2020-08-25,0,0,0,0.012839,0,4616856.0
2020-08-24,0,0,0,0.012242,0,4402070.0
2020-08-23,0,0,0,0.012123,0,4359382.0
2020-08-22,0,0,0,0.011792,0,4240561.0
2020-08-21,0,0,0,0.011441,0,4114006.0
2020-08-20,0,0,0,0.012586,0,4526023.0
2020-08-19,0,0,0,0.011511,0,4139421.0
2020-08-18,0,0,0,0.01221,0,4390631.0
2020-08-17,0,0,0,0.012615,0,4536399.0
2020-08-16,0,0,0,0.012977,0,4666395.0
2020-08-15,0,0,0,0.011879,0,4271734.0
2020-08-14,0,0,0,0.011998,0,4314315.0
2020-08-13,0,0,0,0.012017,0,4321480.0
2020-08-12,0,0,0,0.011582,0,4164871.0
2020-08-11,0,0,0,0.010702,0,3848597.0
2020-08-10,0,0,0,0.011052,0,3974371.0
2020-08-09,0,0,0,0.011219,0,4034349.0
2020-08-08,0,0,0,0.010229,0,3678462.0
2020-08-07,0,0,0,0.009974,0,3586542.0
2020-08-06,0,0,0,0.009538,0,3429801.0
2020-08-05,0,0,0,0.009278,0,3336448.0
2020-08-04,0,0,0,0.009295,0,3342377.0
2020-08-03,0,0,0,0.00911,0,3276049.0
2020-08-02,0,0,0,0.008957,0,3220819.0
2020-08-01,0,0,0,0.009416,0,3385822.0
2020-07-31,0,0,0,0.00951,0,3419632.0
2020-07-30,0,0,0,0.00988,0,3552865.0
2020-07-29,0,0,0,0.009756,0,3508315.0
2020-07-28,0,0,0,0.009818,0,3530536.0
2020-07-27,0,0,0,0.009227,0,3317914.0
2020-07-26,0,0,0,0.010697,0,3846566.0
2020-07-25,0,0,0,0.011226,0,4036934.0
2020-07-24,0,0,0,0.011349,0,4081008.0
2020-07-23,0,0,0,0.010919,0,3926620.0
2020-07-22,0,0,0,0.011147,0,4008397.0
2020-07-21,0,0,0,0.010965,0,3942870.0
2020-07-20,0,0,0,0.010063,0,3618789.0
2020-07-19,0,0,0,0.009918,0,3566335.0
2020-07-18,0,0,0,0.009793,0,3521397.0
2020-07-17,0,0,0,0.009788,0,3519822.0
2020-07-16,0,0,0,0.009767,0,3512163.0
2020-07-15,0,0,0,0.010015,0,3601293.0
2020-07-14,0,0,0,0.010068,0,3620349.0
2020-07-13,0,0,0,0.010027,0,3605724.0
2020-07-12,0,0,0,0.01076,0,3869292.0
2020-07-11,0,0,0,0.010258,0,3688744.0
2020-07-10,0,0,0,0.010303,0,3704880.0
2020-07-09,0,0,0,0.00945,0,3398106.0
2020-07-08,0,0,0,0.00962,0,3459377.0
2020-07-07,0,0,0,0.009346,0,3360853.0
2020-07-06,0,0,0,0.009311,0,3348156.0
2020-07-05,0,0,0,0.008606,0,3094809.0
2020-07-04,0,0,0,0.009114,0,3277501.0
2020-07-03,0,0,0,0.00889,0,3196893.0
2020-07-02,0,0,0,0.008739,0,3142569.0
2020-07-01,0,0,0,0.008852,0,3183073.0
