date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.06,0,52871703.0
2020-12-13,0,0,0,1.07,0,53549922.0
2020-12-12,0,0,0,1.05,0,52551706.0
2020-12-11,0,0,0,1.02,0,51236009.0
2020-12-10,0,0,0,1.05,0,52435129.0
2020-12-09,0,0,0,1.09,0,54742487.0
2020-12-08,0,0,0,1.07,0,53749127.0
2020-12-07,0,0,0,1.18,0,59093933.0
2020-12-06,0,0,0,1.15,0,57495749.0
2020-12-05,0,0,0,1.17,0,58726907.0
2020-12-04,0,0,0,1.12,0,56119488.0
2020-12-03,0,0,0,1.25,0,62448476.0
2020-12-02,0,0,0,1.21,0,60384731.0
2020-12-01,0,0,0,1.2,0,60082161.0
2020-11-30,0,0,0,1.06,0,53049604.0
2020-11-29,0,0,0,1.02,0,51099004.0
2020-11-28,0,0,0,1.02,0,50815227.0
2020-11-27,0,0,0,0.99813,0,49906479.0
2020-11-26,0,0,0,1.03,0,51372556.0
2020-11-25,0,0,0,1.15,0,57692000.0
2020-11-24,0,0,0,1.23,0,61569118.0
2020-11-23,0,0,0,1.28,0,63842410.0
2020-11-22,0,0,0,1.19,0,59251974.0
2020-11-21,0,0,0,1.26,0,62790132.0
2020-11-20,0,0,0,1.14,0,56840887.0
2020-11-19,0,0,0,1.11,0,55513385.0
2020-11-18,0,0,0,1.13,0,56446597.0
2020-11-17,0,0,0,1.24,0,61853154.0
2020-11-16,0,0,0,1.28,0,63965661.0
2020-11-15,0,0,0,1.19,0,59473723.0
2020-11-14,0,0,0,1.03,0,51682497.0
2020-11-13,0,0,0,1.07,0,53375319.0
2020-11-12,0,0,0,1.04,0,51846527.0
2020-11-11,0,0,0,1.1,0,55118929.0
2020-11-10,0,0,0,1.18,0,58891477.0
2020-11-09,0,0,0,1.03,0,51369501.0
2020-11-08,0,0,0,1.12,0,55840029.0
2020-11-07,0,0,0,1.08,0,54003057.0
2020-11-06,0,0,0,0.99503,0,49751502.0
2020-11-05,0,0,0,0.862862,0,43143082.0
2020-11-04,0,0,0,0.833643,0,41682143.0
2020-11-03,0,0,0,0.854815,0,42740752.0
2020-11-02,0,0,0,0.937602,0,46880076.0
2020-11-01,0,0,0,0.984292,0,49214609.0
2020-10-31,0,0,0,0.977144,0,48857180.0
2020-10-30,0,0,0,0.992901,0,49645072.0
2020-10-29,0,0,0,1.03,0,51316630.0
2020-10-28,0,0,0,1.01,0,50287208.0
2020-10-27,0,0,0,1.1,0,55220306.0
2020-10-26,0,0,0,1.03,0,51713899.0
2020-10-25,0,0,0,1.1,0,54836190.0
2020-10-24,0,0,0,1.06,0,52841560.0
2020-10-23,0,0,0,1.07,0,53542854.0
2020-10-22,0,0,0,1.11,0,55636985.0
2020-10-21,0,0,0,1.11,0,55306417.0
2020-10-20,0,0,0,1.04,0,52239779.0
