date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,9.8,0,34320644.0
2020-12-13,0,0,0,10.34,0,36087577.0
2020-12-12,0,0,0,10.35,0,36096440.0
2020-12-11,0,0,0,10.18,0,35404005.0
2020-12-10,0,0,0,11.59,0,40224910.0
2020-12-09,0,0,0,12.2,0,42321763.0
2020-12-08,0,0,0,10.83,0,37520285.0
2020-12-07,0,0,0,14.63,0,50298759.0
2020-12-06,0,0,0,11.89,0,40811458.0
2020-12-05,0,0,0,11.78,0,40274194.0
2020-12-04,0,0,0,10.62,0,36306922.0
2020-12-03,0,0,0,10.61,0,35973911.0
2020-12-02,0,0,0,9.47,0,32096298.0
2020-12-01,0,0,0,9.17,0,31067183.0
2020-11-30,0,0,0,9.82,0,33276673.0
2020-11-29,0,0,0,10.78,0,36396795.0
2020-11-28,0,0,0,10.95,0,36807848.0
2020-11-27,0,0,0,10.32,0,34663179.0
2020-11-26,0,0,0,10.99,0,36834602.0
2020-11-25,0,0,0,12.56,0,42043512.0
2020-11-24,0,0,0,10.27,0,34137557.0
2020-11-23,0,0,0,9.04,0,30012354.0
2020-11-22,0,0,0,9.36,0,30975577.0
2020-11-21,0,0,0,9.98,0,33027347.0
2020-11-20,0,0,0,9.52,0,31489100.0
2020-11-19,0,0,0,7.21,0,23664137.0
2020-11-18,0,0,0,7.98,0,26056782.0
2020-11-17,0,0,0,8.85,0,28844867.0
2020-11-16,0,0,0,8.13,0,26484143.0
2020-11-15,0,0,0,8.29,0,26852243.0
2020-11-14,0,0,0,8.29,0,26783231.0
2020-11-13,0,0,0,9.17,0,29608995.0
2020-11-12,0,0,0,8.97,0,28864481.0
2020-11-11,0,0,0,9.51,0,30492822.0
2020-11-10,0,0,0,9.96,0,31755033.0
2020-11-09,0,0,0,9.52,0,30351187.0
2020-11-08,0,0,0,10.03,0,31928364.0
2020-11-07,0,0,0,9.51,0,30294298.0
2020-11-06,0,0,0,10.39,0,33053837.0
2020-11-05,0,0,0,8.58,0,27126501.0
2020-11-04,0,0,0,8.74,0,27552344.0
2020-11-03,0,0,0,8.87,0,27922910.0
2020-11-02,0,0,0,9.07,0,28368350.0
2020-11-01,0,0,0,10.29,0,32005617.0
2020-10-31,0,0,0,10.44,0,32359752.0
2020-10-30,0,0,0,9.39,0,29104025.0
2020-10-29,0,0,0,9.06,0,28041306.0
2020-10-28,0,0,0,9.25,0,28551721.0
2020-10-27,0,0,0,11.41,0,34932956.0
2020-10-26,0,0,0,11.6,0,35532342.0
2020-10-25,0,0,0,12.72,0,38894146.0
2020-10-24,0,0,0,13.56,0,41230557.0
2020-10-23,0,0,0,14.0,0,42541059.0
2020-10-22,0,0,0,14.72,0,44300053.0
2020-10-21,0,0,0,14.02,0,42178643.0
2020-10-20,0,0,0,11.49,0,34586618.0
2020-10-19,0,0,0,13.27,0,39869262.0
2020-10-18,0,0,0,13.61,0,40768030.0
2020-10-17,0,0,0,11.16,0,33363375.0
2020-10-16,0,0,0,11.14,0,33241955.0
2020-10-15,0,0,0,11.59,0,34572299.0
2020-10-14,0,0,0,12.55,0,36956503.0
2020-10-13,0,0,0,13.02,0,38302455.0
2020-10-12,0,0,0,13.3,0,39104691.0
2020-10-11,0,0,0,13.75,0,40273005.0
2020-10-10,0,0,0,15.02,0,44000885.0
2020-10-09,0,0,0,12.73,0,37285544.0
2020-10-08,0,0,0,12.59,0,36438309.0
2020-10-07,0,0,0,11.4,0,32906712.0
2020-10-06,0,0,0,11.53,0,33272499.0
2020-10-05,0,0,0,15.09,0,43281290.0
2020-10-04,0,0,0,15.36,0,44012539.0
2020-10-03,0,0,0,16.43,0,47004339.0
2020-10-02,0,0,0,14.32,0,40977931.0
2020-10-01,0,0,0,17.31,0,49335228.0
