date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,22.98,0,75289669.0
2020-12-13,0,0,0,23.76,0,77847514.0
2020-12-12,0,0,0,22.67,0,74252228.0
2020-12-11,0,0,0,24.35,0,79758898.0
2020-12-10,0,0,0,28.21,0,92406782.0
2020-12-09,0,0,0,24.87,0,81463704.0
2020-12-08,0,0,0,26.03,0,85278088.0
2020-12-07,0,0,0,28.06,0,91932945.0
2020-12-06,0,0,0,26.8,0,87790125.0
2020-12-05,0,0,0,29.46,0,96516572.0
2020-12-04,0,0,0,28.12,0,92123819.0
2020-12-03,0,0,0,28.62,0,93754167.0
2020-12-02,0,0,0,34.03,0,111466876.0
2020-12-01,0,0,0,30.51,0,99951569.0
2020-11-30,0,0,0,34.82,0,114080093.0
2020-11-29,0,0,0,36.73,0,120330736.0
2020-11-28,0,0,0,32.78,0,107396150.0
2020-11-27,0,0,0,34.83,0,114094584.0
2020-11-26,0,0,0,33.99,0,111357301.0
2020-11-25,0,0,0,42.92,0,140589664.0
2020-11-24,0,0,0,44.53,0,209811587.0
2020-11-23,0,0,0,46.29,0,218116420.0
2020-11-22,0,0,0,48.87,0,230284934.0
2020-11-21,0,0,0,59.59,0,280765295.0
2020-11-20,0,0,0,50.39,0,237416263.0
2020-11-19,0,0,0,40.6,0,191301418.0
2020-11-18,0,0,0,44.56,0,209950714.0
2020-11-17,0,0,0,44.92,0,211628340.0
2020-11-16,0,0,0,50.39,0,237432463.0
2020-11-15,0,0,0,39.07,0,184068467.0
2020-11-14,0,0,0,37.55,0,176923982.0
2020-11-13,0,0,0,41.04,0,193372353.0
2020-11-12,0,0,0,41.19,0,194069094.0
2020-11-11,0,0,0,38.0,0,179031202.0
2020-11-10,0,0,0,37.52,0,176760708.0
2020-11-09,0,0,0,58.3,0,274714496.0
2020-11-08,0,0,0,47.76,0,225012660.0
2020-11-07,0,0,0,43.87,0,206716965.0
2020-11-06,0,0,0,41.59,0,195962985.0
2020-11-05,0,0,0,33.14,0,156135958.0
2020-11-04,0,0,0,16.29,0,76765306.0
2020-11-03,0,0,0,16.42,0,77387462.0
2020-11-02,0,0,0,16.48,0,77664502.0
2020-11-01,0,0,0,19.93,0,93915455.0
2020-10-31,0,0,0,17.41,0,82039240.0
2020-10-30,0,0,0,17.49,0,82403481.0
2020-10-29,0,0,0,20.99,0,98876166.0
2020-10-28,0,0,0,23.95,0,112864880.0
2020-10-27,0,0,0,25.61,0,120657293.0
2020-10-26,0,0,0,26.13,0,123129359.0
2020-10-25,0,0,0,27.34,0,128828912.0
2020-10-24,0,0,0,31.02,0,146153038.0
2020-10-23,0,0,0,30.08,0,141738418.0
2020-10-22,0,0,0,42.91,0,1200754.0
2020-10-21,0,0,0,36.41,0,1018912.0
2020-10-20,0,0,0,42.96,0,1202340.0
2020-10-19,0,0,0,45.58,0,1275697.0
2020-10-18,0,0,0,48.24,0,1350064.0
2020-10-17,0,0,0,46.25,0,1294387.0
2020-10-16,0,0,0,44.58,0,1247692.0
2020-10-15,0,0,0,41.5,0,1161426.0
2020-10-14,0,0,0,41.65,0,1165545.0
2020-10-13,0,0,0,41.44,0,1159772.0
2020-10-12,0,0,0,41.83,0,1170772.0
2020-10-11,0,0,0,39.71,0,1111313.0
2020-10-10,0,0,0,39.22,0,1097551.0
2020-10-09,0,0,0,47.06,0,1317083.0
2020-10-08,0,0,0,57.47,0,1608449.0
2020-10-07,0,0,0,53.46,0,1496232.0
2020-10-06,0,0,0,39.2,0,1097084.0
2020-10-05,0,0,0,30.11,0,842635.0
2020-10-04,0,0,0,35.87,0,1003934.0
2020-10-03,0,0,0,24.15,0,675833.0
2020-10-02,0,0,0,43.48,0,1216932.0
2020-10-01,0,0,0,53.16,0,1487704.0
2020-09-30,0,0,0,74.46,0,2083698.0
2020-09-29,0,0,0,78.91,0,2208256.0
2020-09-28,0,0,0,272.13,0,7615966.0
2020-09-27,0,0,0,175.82,0,4920635.0
2020-09-26,0,0,0,177.71,0,4973353.0
2020-09-25,0,0,0,184.05,0,4973353.0
2020-09-24,0,0,0,180.89,0,4973353.0
2020-09-23,0,0,0,170.13,0,4973353.0
2020-09-22,0,0,0,186.12,0,4973353.0
2020-09-21,0,0,0,193.57,0,4973353.0
2020-09-20,0,0,0,230.87,0,4973353.0
2020-09-19,0,0,0,244.66,0,4973353.0
2020-09-18,0,0,0,226.7,0,4973353.0
2020-09-17,0,0,0,234.09,0,4973353.0
2020-09-16,0,0,0,255.28,0,4973353.0
2020-09-15,0,0,0,294.04,0,4973353.0
2020-09-14,0,0,0,246.6,0,4973353.0
2020-09-13,0,0,0,246.13,0,4973353.0
2020-09-12,0,0,0,245.57,0,4973353.0
2020-09-11,0,0,0,232.96,0,4973353.0
2020-09-10,0,0,0,239.51,0,4973353.0
2020-09-09,0,0,0,239.33,0,4973353.0
2020-09-08,0,0,0,209.19,0,4973353.0
2020-09-07,0,0,0,241.43,0,4973353.0
2020-09-06,0,0,0,223.3,0,4973353.0
2020-09-05,0,0,0,216.39,0,4973353.0
2020-09-04,0,0,0,209.77,0,4973353.0
2020-09-03,0,0,0,268.6,0,4973353.0
2020-09-02,0,0,0,272.73,0,4973353.0
2020-09-01,0,0,0,222.48,0,4973353.0
2020-08-31,0,0,0,214.37,0,4973353.0
2020-08-30,0,0,0,220.81,0,4973353.0
2020-08-29,0,0,0,185.42,0,4973353.0
2020-08-28,0,0,0,144.54,0,4973353.0
2020-08-27,0,0,0,142.97,0,4973353.0
2020-08-26,0,0,0,132.19,0,4973353.0
2020-08-25,0,0,0,142.25,0,4973353.0
2020-08-24,0,0,0,133.23,0,4973353.0
2020-08-23,0,0,0,140.75,0,4973353.0
2020-08-22,0,0,0,138.23,0,4973353.0
2020-08-21,0,0,0,135.33,0,4973353.0
2020-08-20,0,0,0,174.92,0,4973353.0
2020-08-19,0,0,0,141.1,0,4973353.0
2020-08-18,0,0,0,148.32,0,4973353.0
2020-08-17,0,0,0,179.06,0,4973353.0
2020-08-16,0,0,0,194.14,0,4973353.0
2020-08-15,0,0,0,192.32,0,4973353.0
2020-08-14,0,0,0,168.42,0,4973353.0
2020-08-13,0,0,0,160.2,0,4973353.0
2020-08-12,0,0,0,190.62,0,4973353.0
2020-08-11,0,0,0,207.6,0,4973353.0
