date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,9.31,0,42634667.0
2020-12-13,0,0,0,9.48,0,43452390.0
2020-12-12,0,0,0,9.25,0,42382635.0
2020-12-11,0,0,0,9.04,0,41402810.0
2020-12-10,0,0,0,9.18,0,42058009.0
2020-12-09,0,0,0,9.7,0,44425567.0
2020-12-08,0,0,0,9.28,0,42514133.0
2020-12-07,0,0,0,10.17,0,46571387.0
2020-12-06,0,0,0,10.95,0,50148888.0
2020-12-05,0,0,0,10.31,0,47225952.0
2020-12-04,0,0,0,9.64,0,44170654.0
2020-12-03,0,0,0,11.14,0,51033707.0
2020-12-02,0,0,0,11.55,0,52911915.0
2020-12-01,0,0,0,10.97,0,50248396.0
2020-11-30,0,0,0,10.17,0,46576222.0
2020-11-29,0,0,0,9.79,0,44835723.0
2020-11-28,0,0,0,9.91,0,45377230.0
2020-11-27,0,0,0,9.59,0,43916290.0
2020-11-26,0,0,0,9.41,0,43108614.0
2020-11-25,0,0,0,10.73,0,49149955.0
2020-11-24,0,0,0,11.73,0,53715562.0
2020-11-23,0,0,0,11.26,0,51599605.0
2020-11-22,0,0,0,10.27,0,47039781.0
2020-11-21,0,0,0,11.08,0,50739642.0
2020-11-20,0,0,0,10.48,0,47993762.0
2020-11-19,0,0,0,10.1,0,46275365.0
2020-11-18,0,0,0,9.73,0,44554966.0
2020-11-17,0,0,0,9.85,0,45124265.0
2020-11-16,0,0,0,9.25,0,42369442.0
2020-11-15,0,0,0,10.2,0,46736735.0
