date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.4,0,6548410.0
2020-12-13,0,0,0,2.42,0,6607099.0
2020-12-12,0,0,0,2.45,0,6669748.0
2020-12-11,0,0,0,2.35,0,6407458.0
2020-12-10,0,0,0,2.52,0,6872472.0
2020-12-09,0,0,0,2.69,0,7323935.0
2020-12-08,0,0,0,2.75,0,7496899.0
2020-12-07,0,0,0,2.98,0,8121553.0
2020-12-06,0,0,0,2.98,0,8114806.0
2020-12-05,0,0,0,2.74,0,7485985.0
2020-12-04,0,0,0,2.63,0,7171449.0
2020-12-03,0,0,0,2.93,0,7977906.0
2020-12-02,0,0,0,3.05,0,8316979.0
2020-12-01,0,0,0,2.71,0,7394979.0
2020-11-30,0,0,0,2.44,0,6658646.0
2020-11-29,0,0,0,2.44,0,6651386.0
2020-11-28,0,0,0,2.45,0,6688593.0
2020-11-27,0,0,0,2.37,0,6454129.0
2020-11-26,0,0,0,2.34,0,6375188.0
2020-11-25,0,0,0,2.66,0,7266283.0
2020-11-24,0,0,0,2.59,0,7069949.0
2020-11-23,0,0,0,2.49,0,6792312.0
2020-11-22,0,0,0,2.38,0,6482039.0
2020-11-21,0,0,0,2.38,0,6481264.0
2020-11-20,0,0,0,2.32,0,6334512.0
2020-11-19,0,0,0,2.29,0,6241451.0
2020-11-18,0,0,0,2.31,0,6295149.0
2020-11-17,0,0,0,2.5,0,6806501.0
2020-11-16,0,0,0,2.56,0,6982137.0
2020-11-15,0,0,0,2.53,0,6904493.0
2020-11-14,0,0,0,2.55,0,6950092.0
2020-11-13,0,0,0,2.45,0,6691507.0
2020-11-12,0,0,0,2.4,0,6542149.0
2020-11-11,0,0,0,2.52,0,6542149.0
2020-11-10,0,0,0,2.34,0,6542149.0
2020-11-09,0,0,0,2.39,0,6542149.0
2020-11-08,0,0,0,2.45,0,6542149.0
2020-11-07,0,0,0,2.36,0,6542149.0
2020-11-06,0,0,0,2.36,0,6542149.0
2020-11-05,0,0,0,2.24,0,6542149.0
2020-11-04,0,0,0,2.16,0,6542149.0
2020-11-03,0,0,0,2.23,0,6542149.0
2020-11-02,0,0,0,2.4,0,6542149.0
2020-11-01,0,0,0,2.46,0,6542149.0
2020-10-31,0,0,0,2.52,0,6542149.0
2020-10-30,0,0,0,2.4,0,6542149.0
2020-10-29,0,0,0,2.59,0,6542149.0
2020-10-28,0,0,0,2.68,0,6542149.0
2020-10-27,0,0,0,2.84,0,6542149.0
2020-10-26,0,0,0,2.99,0,6542149.0
2020-10-25,0,0,0,3.29,0,6542149.0
2020-10-24,0,0,0,3.23,0,6542149.0
2020-10-23,0,0,0,3.05,0,6542149.0
2020-10-22,0,0,0,2.97,0,6542149.0
2020-10-21,0,0,0,2.99,0,6542149.0
2020-10-20,0,0,0,3.01,0,6542149.0
2020-10-19,0,0,0,3.19,0,6542149.0
2020-10-18,0,0,0,3.2,0,6542149.0
2020-10-17,0,0,0,3.23,0,6542149.0
2020-10-16,0,0,0,3.24,0,6542149.0
2020-10-15,0,0,0,3.32,0,6542149.0
2020-10-14,0,0,0,3.36,0,6542149.0
2020-10-13,0,0,0,3.42,0,6542149.0
2020-10-12,0,0,0,3.53,0,6542149.0
2020-10-11,0,0,0,3.44,0,6542149.0
2020-10-10,0,0,0,3.67,0,6542149.0
2020-10-09,0,0,0,3.87,0,6542149.0
2020-10-08,0,0,0,3.84,0,6542149.0
2020-10-07,0,0,0,3.29,0,6542149.0
2020-10-06,0,0,0,3.32,0,6542149.0
2020-10-05,0,0,0,3.57,0,6542149.0
2020-10-04,0,0,0,3.67,0,6542149.0
2020-10-03,0,0,0,3.81,0,6542149.0
2020-10-02,0,0,0,3.78,0,6542149.0
2020-10-01,0,0,0,4.05,0,6542149.0
2020-09-30,0,0,0,4.43,0,6542149.0
2020-09-29,0,0,0,4.35,0,6542149.0
2020-09-28,0,0,0,3.85,0,6542149.0
2020-09-27,0,0,0,3.39,0,6542149.0
2020-09-26,0,0,0,3.39,0,6542149.0
2020-09-25,0,0,0,3.41,0,6542149.0
2020-09-24,0,0,0,3.43,0,6542149.0
2020-09-23,0,0,0,3.27,0,6542149.0
2020-09-22,0,0,0,3.42,0,6542149.0
2020-09-21,0,0,0,3.64,0,6542149.0
2020-09-20,0,0,0,4.13,0,6542149.0
2020-09-19,0,0,0,4.34,0,6542149.0
2020-09-18,0,0,0,4.32,0,6542149.0
2020-09-17,0,0,0,4.37,0,6542149.0
2020-09-16,0,0,0,4.41,0,6542149.0
2020-09-15,0,0,0,4.72,0,6542149.0
2020-09-14,0,0,0,5.14,0,6542149.0
2020-09-13,0,0,0,5.24,0,6542149.0
2020-09-12,0,0,0,4.87,0,6542149.0
2020-09-11,0,0,0,5.27,0,6542149.0
2020-09-10,0,0,0,6.64,0,6542149.0
2020-09-09,0,0,0,6.74,0,6542149.0
2020-09-08,0,0,0,6.51,0,6542149.0
2020-09-07,0,0,0,4.8,0,6542149.0
2020-09-06,0,0,0,4.96,0,6542149.0
2020-09-05,0,0,0,5.11,0,6542149.0
2020-09-04,0,0,0,5.67,0,6542149.0
2020-09-03,0,0,0,5.5,0,6542149.0
2020-09-02,0,0,0,6.28,0,6542149.0
2020-09-01,0,0,0,6.82,0,6542149.0
2020-08-31,0,0,0,7.14,0,6542149.0
2020-08-30,0,0,0,6.93,0,6542149.0
2020-08-29,0,0,0,6.9,0,6542149.0
