date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.001216,0,6260503.0
2020-12-13,0,0,0,0.001234,0,6357266.0
2020-12-12,0,0,0,0.001237,0,6368724.0
2020-12-11,0,0,0,0.001154,0,5942252.0
2020-12-10,0,0,0,0.001162,0,5984682.0
2020-12-09,0,0,0,0.001219,0,6278026.0
2020-12-08,0,0,0,0.001192,0,6139383.0
2020-12-07,0,0,0,0.001233,0,6348547.0
2020-12-06,0,0,0,0.001237,0,6369586.0
2020-12-05,0,0,0,0.001238,0,6378046.0
2020-12-04,0,0,0,0.001263,0,6503291.0
2020-12-03,0,0,0,0.001255,0,6465497.0
2020-12-02,0,0,0,0.001295,0,6670258.0
2020-12-01,0,0,0,0.001217,0,6268902.0
2020-11-30,0,0,0,0.001277,0,6575769.0
2020-11-29,0,0,0,0.001242,0,6395450.0
2020-11-28,0,0,0,0.001208,0,6220211.0
2020-11-27,0,0,0,0.00118,0,6077693.0
2020-11-26,0,0,0,0.001236,0,6366050.0
2020-11-25,0,0,0,0.001333,0,6867850.0
2020-11-24,0,0,0,0.001353,0,6967421.0
2020-11-23,0,0,0,0.00128,0,6592527.0
2020-11-22,0,0,0,0.001274,0,6563775.0
2020-11-21,0,0,0,0.001293,0,6656763.0
2020-11-20,0,0,0,0.00121,0,6231052.0
2020-11-19,0,0,0,0.001253,0,6453973.0
2020-11-18,0,0,0,0.001264,0,6511710.0
2020-11-17,0,0,0,0.001338,0,6888836.0
2020-11-16,0,0,0,0.001252,0,6449636.0
2020-11-15,0,0,0,0.001272,0,6550447.0
2020-11-14,0,0,0,0.00123,0,6334639.0
2020-11-13,0,0,0,0.001325,0,6825039.0
2020-11-12,0,0,0,0.001315,0,6770618.0
2020-11-11,0,0,0,0.00132,0,6798952.0
2020-11-10,0,0,0,0.001312,0,6755743.0
2020-11-09,0,0,0,0.001254,0,6456601.0
2020-11-08,0,0,0,0.001299,0,6689791.0
2020-11-07,0,0,0,0.001307,0,6730048.0
2020-11-06,0,0,0,0.001261,0,6493141.0
2020-11-05,0,0,0,0.001212,0,6243095.0
2020-11-04,0,0,0,0.001183,0,6094259.0
2020-11-03,0,0,0,0.001212,0,6243474.0
2020-11-02,0,0,0,0.001363,0,7019776.0
2020-11-01,0,0,0,0.00144,0,7415294.0
2020-10-31,0,0,0,0.001435,0,7390579.0
2020-10-30,0,0,0,0.001418,0,7304217.0
2020-10-29,0,0,0,0.001397,0,7193304.0
2020-10-28,0,0,0,0.001413,0,7276008.0
2020-10-27,0,0,0,0.001585,0,8164362.0
2020-10-26,0,0,0,0.001472,0,7536295.0
2020-10-25,0,0,0,0.001466,0,7503160.0
2020-10-24,0,0,0,0.0014,0,7164899.0
2020-10-23,0,0,0,0.001314,0,6727795.0
2020-10-22,0,0,0,0.001292,0,6615798.0
2020-10-21,0,0,0,0.001348,0,6899703.0
2020-10-20,0,0,0,0.00131,0,6704162.0
2020-10-19,0,0,0,0.001288,0,6591250.0
2020-10-18,0,0,0,0.001368,0,7002606.0
2020-10-17,0,0,0,0.001195,0,6119626.0
2020-10-16,0,0,0,0.001204,0,6161731.0
2020-10-15,0,0,0,0.001336,0,6841841.0
2020-10-14,0,0,0,0.001318,0,6744874.0
2020-10-13,0,0,0,0.001304,0,6675342.0
2020-10-12,0,0,0,0.001281,0,6559641.0
2020-10-11,0,0,0,0.001295,0,6631982.0
2020-10-10,0,0,0,0.001243,0,6363675.0
2020-10-09,0,0,0,0.001274,0,6520031.0
2020-10-08,0,0,0,0.001254,0,6422216.0
2020-10-07,0,0,0,0.001258,0,6442285.0
2020-10-06,0,0,0,0.001261,0,6456626.0
2020-10-05,0,0,0,0.001348,0,6902059.0
2020-10-04,0,0,0,0.001373,0,7029507.0
2020-10-03,0,0,0,0.00136,0,6961561.0
2020-10-02,0,0,0,0.001322,0,6767946.0
2020-10-01,0,0,0,0.00143,0,7319545.0
2020-09-30,0,0,0,0.001434,0,7341937.0
2020-09-29,0,0,0,0.001459,0,7471442.0
2020-09-28,0,0,0,0.001498,0,7669408.0
2020-09-27,0,0,0,0.001525,0,7805236.0
2020-09-26,0,0,0,0.001558,0,7978247.0
2020-09-25,0,0,0,0.001494,0,7647080.0
2020-09-24,0,0,0,0.00149,0,7628495.0
2020-09-23,0,0,0,0.001428,0,7308469.0
2020-09-22,0,0,0,0.001427,0,7304258.0
2020-09-21,0,0,0,0.001413,0,7233507.0
2020-09-20,0,0,0,0.001608,0,8232098.0
2020-09-19,0,0,0,0.001689,0,8647668.0
2020-09-18,0,0,0,0.001583,0,8102117.0
2020-09-17,0,0,0,0.001653,0,8461886.0
2020-09-16,0,0,0,0.001605,0,8216225.0
2020-09-15,0,0,0,0.001569,0,8031471.0
2020-09-14,0,0,0,0.001669,0,8544773.0
2020-09-13,0,0,0,0.001633,0,8360489.0
2020-09-12,0,0,0,0.001753,0,8974753.0
2020-09-11,0,0,0,0.001629,0,8338158.0
2020-09-10,0,0,0,0.001713,0,8771474.0
2020-09-09,0,0,0,0.001654,0,8467031.0
2020-09-08,0,0,0,0.00161,0,8239733.0
2020-09-07,0,0,0,0.001573,0,8051503.0
2020-09-06,0,0,0,0.001655,0,8474281.0
2020-09-05,0,0,0,0.00177,0,9063564.0
2020-09-04,0,0,0,0.001896,0,9704252.0
2020-09-03,0,0,0,0.002074,0,10616954.0
2020-09-02,0,0,0,0.002418,0,12376464.0
2020-09-01,0,0,0,0.002528,0,12943819.0
2020-08-31,0,0,0,0.002525,0,12925307.0
2020-08-30,0,0,0,0.00254,0,13002299.0
2020-08-29,0,0,0,0.002513,0,12862729.0
2020-08-28,0,0,0,0.002548,0,13043101.0
2020-08-27,0,0,0,0.002356,0,12058900.0
2020-08-26,0,0,0,0.002467,0,12628421.0
2020-08-25,0,0,0,0.002501,0,12801739.0
2020-08-24,0,0,0,0.00258,0,13208395.0
2020-08-23,0,0,0,0.002506,0,12828062.0
2020-08-22,0,0,0,0.002427,0,12425641.0
2020-08-21,0,0,0,0.002407,0,12321190.0
2020-08-20,0,0,0,0.002421,0,12396044.0
2020-08-19,0,0,0,0.002317,0,11863881.0
2020-08-18,0,0,0,0.002542,0,13015700.0
2020-08-17,0,0,0,0.002483,0,12712239.0
2020-08-16,0,0,0,0.002618,0,13401296.0
2020-08-15,0,0,0,0.002438,0,12478920.0
2020-08-14,0,0,0,0.002168,0,11097753.0
2020-08-13,0,0,0,0.002158,0,11046983.0
2020-08-12,0,0,0,0.002143,0,10973031.0
2020-08-11,0,0,0,0.002084,0,10667733.0
2020-08-10,0,0,0,0.002209,0,11311155.0
2020-08-09,0,0,0,0.002148,0,10997769.0
2020-08-08,0,0,0,0.002192,0,11224136.0
2020-08-07,0,0,0,0.002016,0,10319656.0
2020-08-06,0,0,0,0.002121,0,10858631.0
2020-08-05,0,0,0,0.002011,0,10297428.0
2020-08-04,0,0,0,0.002018,0,10328715.0
2020-08-03,0,0,0,0.002005,0,10264530.0
2020-08-02,0,0,0,0.001991,0,10194457.0
2020-08-01,0,0,0,0.002047,0,10478329.0
2020-07-31,0,0,0,0.002042,0,10456129.0
2020-07-30,0,0,0,0.002054,0,10514241.0
2020-07-29,0,0,0,0.002055,0,10520337.0
2020-07-28,0,0,0,0.002055,0,10518411.0
2020-07-27,0,0,0,0.002089,0,10696655.0
2020-07-26,0,0,0,0.002236,0,11447965.0
2020-07-25,0,0,0,0.002235,0,11441248.0
2020-07-24,0,0,0,0.002185,0,11183944.0
2020-07-23,0,0,0,0.002336,0,11960735.0
2020-07-22,0,0,0,0.002432,0,12450961.0
2020-07-21,0,0,0,0.002539,0,12996597.0
2020-07-20,0,0,0,0.002429,0,12435133.0
2020-07-19,0,0,0,0.002094,0,10722306.0
2020-07-18,0,0,0,0.002084,0,10666759.0
2020-07-17,0,0,0,0.002101,0,10754845.0
2020-07-16,0,0,0,0.002072,0,10607316.0
2020-07-15,0,0,0,0.002165,0,11086062.0
2020-07-14,0,0,0,0.002169,0,11106085.0
2020-07-13,0,0,0,0.002224,0,11385192.0
2020-07-12,0,0,0,0.002239,0,11463965.0
2020-07-11,0,0,0,0.002258,0,11559802.0
2020-07-10,0,0,0,0.002178,0,11151819.0
2020-07-09,0,0,0,0.002199,0,11256916.0
2020-07-08,0,0,0,0.002242,0,11479196.0
2020-07-07,0,0,0,0.002302,0,11785036.0
2020-07-06,0,0,0,0.002293,0,11738445.0
2020-07-05,0,0,0,0.002194,0,11231731.0
2020-07-04,0,0,0,0.00228,0,11670942.0
2020-07-03,0,0,0,0.002004,0,10258132.0
2020-07-02,0,0,0,0.002032,0,10402449.0
2020-07-01,0,0,0,0.00219,0,11212012.0
2020-06-30,0,0,0,0.002055,0,10520468.0
2020-06-29,0,0,0,0.002159,0,11055316.0
2020-06-28,0,0,0,0.002036,0,10425357.0
2020-06-27,0,0,0,0.002046,0,10472630.0
2020-06-26,0,0,0,0.002443,0,12504389.0
2020-06-25,0,0,0,0.002498,0,12789883.0
2020-06-24,0,0,0,0.002614,0,13383075.0
2020-06-23,0,0,0,0.00254,0,13001203.0
2020-06-22,0,0,0,0.002542,0,13011148.0
2020-06-21,0,0,0,0.002511,0,12856585.0
2020-06-20,0,0,0,0.0027,0,13823437.0
2020-06-19,0,0,0,0.002731,0,13980753.0
2020-06-18,0,0,0,0.002716,0,13905189.0
2020-06-17,0,0,0,0.003173,0,16242762.0
2020-06-16,0,0,0,0.003094,0,15839028.0
2020-06-15,0,0,0,0.002969,0,15199237.0
2020-06-14,0,0,0,0.002772,0,14188510.0
2020-06-13,0,0,0,0.002843,0,14553475.0
2020-06-12,0,0,0,0.002916,0,14927664.0
2020-06-11,0,0,0,0.002628,0,13455854.0
2020-06-10,0,0,0,0.002393,0,12250260.0
2020-06-09,0,0,0,0.002093,0,10715343.0
2020-06-08,0,0,0,0.002155,0,11030312.0
2020-06-07,0,0,0,0.002107,0,10788067.0
2020-06-06,0,0,0,0.002056,0,10525780.0
2020-06-05,0,0,0,0.002449,0,12535315.0
2020-06-04,0,0,0,0.002571,0,13163909.0
2020-06-03,0,0,0,0.001947,0,9966721.0
2020-06-02,0,0,0,0.001786,0,9143211.0
2020-06-01,0,0,0,0.001613,0,8258548.0
2020-05-31,0,0,0,0.001554,0,7953774.0
2020-05-30,0,0,0,0.001602,0,8200281.0
2020-05-29,0,0,0,0.001579,0,8083498.0
2020-05-28,0,0,0,0.001573,0,8051511.0
2020-05-27,0,0,0,0.001644,0,8418514.0
2020-05-26,0,0,0,0.001595,0,8163558.0
2020-05-25,0,0,0,0.001284,0,6574374.0
2020-05-24,0,0,0,0.001273,0,6516908.0
2020-05-23,0,0,0,0.001334,0,6829254.0
2020-05-22,0,0,0,0.001355,0,6938313.0
2020-05-21,0,0,0,0.001339,0,6856096.0
2020-05-20,0,0,0,0.0014,0,7168340.0
2020-05-19,0,0,0,0.001366,0,6991943.0
2020-05-18,0,0,0,0.001087,0,5562870.0
2020-05-17,0,0,0,0.001056,0,5403770.0
2020-05-16,0,0,0,0.001066,0,5455886.0
2020-05-15,0,0,0,0.00107,0,5478821.0
2020-05-14,0,0,0,0.001081,0,5535391.0
2020-05-13,0,0,0,0.001081,0,5534714.0
2020-05-12,0,0,0,0.001077,0,5513830.0
2020-05-11,0,0,0,0.001055,0,5403387.0
2020-05-10,0,0,0,0.001052,0,5383263.0
2020-05-09,0,0,0,0.001156,0,5915846.0
2020-05-08,0,0,0,0.001139,0,5832358.0
2020-05-07,0,0,0,0.001096,0,5610980.0
2020-05-06,0,0,0,0.0011,0,5629961.0
2020-05-05,0,0,0,0.001069,0,5472524.0
2020-05-04,0,0,0,0.001057,0,5410025.0
2020-05-03,0,0,0,0.00109,0,5578489.0
2020-05-02,0,0,0,0.001158,0,5928699.0
2020-05-01,0,0,0,0.001131,0,5791806.0
2020-04-30,0,0,0,0.001143,0,5853059.0
2020-04-29,0,0,0,0.001116,0,5714499.0
2020-04-28,0,0,0,0.001061,0,5432930.0
2020-04-27,0,0,0,0.001065,0,5453349.0
2020-04-26,0,0,0,0.001062,0,5437554.0
2020-04-25,0,0,0,0.001027,0,5258097.0
2020-04-24,0,0,0,0.00107,0,5478805.0
2020-04-23,0,0,0,0.001002,0,5130914.0
2020-04-22,0,0,0,0.000995,0,5093670.0
2020-04-21,0,0,0,0.000995,0,5095715.0
2020-04-20,0,0,0,0.000993,0,5081401.0
2020-04-19,0,0,0,0.001033,0,4936180.0
