date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.195744,0,4956451.0
2020-12-13,0,0,0,0.204387,0,5175288.0
2020-12-12,0,0,0,0.203008,0,5140370.0
2020-12-11,0,0,0,0.201722,0,5107802.0
2020-12-10,0,0,0,0.223185,0,5651262.0
2020-12-09,0,0,0,0.21846,0,5531625.0
2020-12-08,0,0,0,0.215284,0,5360134.0
2020-12-07,0,0,0,0.218504,0,5440312.0
2020-12-06,0,0,0,0.216015,0,5378340.0
2020-12-05,0,0,0,0.208695,0,5196066.0
2020-12-04,0,0,0,0.205519,0,5116990.0
2020-12-03,0,0,0,0.220312,0,5485314.0
2020-12-02,0,0,0,0.231524,0,5764472.0
2020-12-01,0,0,0,0.240086,0,5977648.0
2020-11-30,0,0,0,0.250106,0,6227136.0
2020-11-29,0,0,0,0.254856,0,6345383.0
2020-11-28,0,0,0,0.224821,0,5597594.0
2020-11-27,0,0,0,0.223145,0,5555858.0
2020-11-26,0,0,0,0.230492,0,5738784.0
2020-11-25,0,0,0,0.2402,0,5980490.0
2020-11-24,0,0,0,0.271203,0,6752408.0
2020-11-23,0,0,0,0.300535,0,7482693.0
2020-11-22,0,0,0,0.281025,0,6996949.0
2020-11-21,0,0,0,0.2575,0,6411220.0
2020-11-20,0,0,0,0.258442,0,6434679.0
2020-11-19,0,0,0,0.243305,0,6057793.0
2020-11-18,0,0,0,0.232795,0,5796114.0
2020-11-17,0,0,0,0.225645,0,5618096.0
2020-11-16,0,0,0,0.205045,0,5105194.0
2020-11-15,0,0,0,0.209331,0,5211906.0
2020-11-14,0,0,0,0.21895,0,5451405.0
2020-11-13,0,0,0,0.228454,0,5688027.0
2020-11-12,0,0,0,0.227673,0,5668595.0
2020-11-11,0,0,0,0.228041,0,5677754.0
2020-11-10,0,0,0,0.21333,0,5311482.0
2020-11-09,0,0,0,0.215899,0,5375432.0
2020-11-08,0,0,0,0.230913,0,5749251.0
2020-11-07,0,0,0,0.235674,0,5867810.0
2020-11-06,0,0,0,0.24185,0,6021559.0
2020-11-05,0,0,0,0.238978,0,5950051.0
2020-11-04,0,0,0,0.20398,0,5078675.0
2020-11-03,0,0,0,0.200614,0,4994889.0
2020-11-02,0,0,0,0.210938,0,5251925.0
2020-11-01,0,0,0,0.227196,0,5656706.0
2020-10-31,0,0,0,0.210494,0,5240868.0
2020-10-30,0,0,0,0.267018,0,6648203.0
2020-10-29,0,0,0,0.296691,0,7386995.0
2020-10-28,0,0,0,0.312379,0,7777592.0
2020-10-27,0,0,0,0.336243,0,8237255.0
2020-10-26,0,0,0,0.363202,0,8897708.0
2020-10-25,0,0,0,0.364784,0,8936450.0
2020-10-24,0,0,0,0.295718,0,7244481.0
2020-10-23,0,0,0,0.286032,0,7007199.0
2020-10-22,0,0,0,0.299108,0,7327527.0
2020-10-21,0,0,0,0.296938,0,7274361.0
2020-10-20,0,0,0,0.292231,0,7159060.0
2020-10-19,0,0,0,0.315715,0,7734369.0
2020-10-18,0,0,0,0.321561,0,7877597.0
2020-10-17,0,0,0,0.282651,0,6924362.0
2020-10-16,0,0,0,0.305624,0,7487170.0
2020-10-15,0,0,0,0.316574,0,7755406.0
2020-10-14,0,0,0,0.375321,0,9194594.0
2020-10-13,0,0,0,0.283837,0,6953094.0
2020-10-12,0,0,0,0.449487,0,10966038.0
2020-10-11,0,0,0,0.447003,0,10905453.0
2020-10-10,0,0,0,0.485156,0,11836249.0
2020-10-09,0,0,0,0.642548,0,15676119.0
2020-10-08,0,0,0,0.645898,0,15757859.0
2020-10-07,0,0,0,1.21,0,29468411.0
2020-10-06,0,0,0,0.796052,0,19421134.0
2020-10-05,0,0,0,0.821805,0,20049422.0
2020-10-04,0,0,0,0.856413,0,20893751.0
2020-10-03,0,0,0,0.860006,0,20981406.0
2020-10-02,0,0,0,0.773434,0,18869315.0
2020-10-01,0,0,0,0.853127,0,20813570.0
2020-09-30,0,0,0,0.88115,0,21497250.0
2020-09-29,0,0,0,0.887566,0,20917103.0
2020-09-28,0,0,0,0.897364,0,21147998.0
2020-09-27,0,0,0,1.04,0,24393872.0
2020-09-26,0,0,0,1.05,0,24785114.0
2020-09-25,0,0,0,0.842565,0,19856561.0
2020-09-24,0,0,0,0.885017,0,20857017.0
2020-09-23,0,0,0,0.856322,0,20180783.0
2020-09-22,0,0,0,0.81554,0,19219661.0
2020-09-21,0,0,0,0.818877,0,19298317.0
2020-09-20,0,0,0,0.996766,0,23490600.0
2020-09-19,0,0,0,1.0,0,23595984.0
2020-09-18,0,0,0,0.708016,0,16685668.0
2020-09-17,0,0,0,0.762022,0,17958420.0
2020-09-16,0,0,0,0.84726,0,19967205.0
2020-09-15,0,0,0,0.908464,0,21409590.0
2020-09-14,0,0,0,0.927691,0,21862704.0
2020-09-13,0,0,0,0.897106,0,21141928.0
2020-09-12,0,0,0,1.09,0,25778714.0
2020-09-11,0,0,0,1.23,0,28955521.0
2020-09-10,0,0,0,1.13,0,26654240.0
2020-09-09,0,0,0,1.25,0,29574701.0
2020-09-08,0,0,0,1.26,0,29780511.0
2020-09-07,0,0,0,1.37,0,32210764.0
2020-09-06,0,0,0,1.5,0,35241738.0
2020-09-05,0,0,0,1.0,0,23607931.0
2020-09-04,0,0,0,1.48,0,34933102.0
2020-09-03,0,0,0,1.61,0,38049857.0
