date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.185703,0,14777437.0
2020-12-13,0,0,0,0.189529,0,15081879.0
2020-12-12,0,0,0,0.187164,0,14893703.0
2020-12-11,0,0,0,0.183783,0,14624594.0
2020-12-10,0,0,0,0.186629,0,14851127.0
2020-12-09,0,0,0,0.193479,0,15396186.0
2020-12-08,0,0,0,0.196088,0,15603821.0
2020-12-07,0,0,0,0.211079,0,16796731.0
2020-12-06,0,0,0,0.210907,0,16783063.0
2020-12-05,0,0,0,0.213986,0,17028077.0
2020-12-04,0,0,0,0.209717,0,16688374.0
2020-12-03,0,0,0,0.226017,0,17985422.0
2020-12-02,0,0,0,0.19722,0,15693891.0
2020-12-01,0,0,0,0.195149,0,15529082.0
2020-11-30,0,0,0,0.202412,0,16107050.0
2020-11-29,0,0,0,0.200394,0,15946467.0
2020-11-28,0,0,0,0.198186,0,15770738.0
2020-11-27,0,0,0,0.197022,0,15678155.0
2020-11-26,0,0,0,0.198384,0,15786500.0
2020-11-25,0,0,0,0.223808,0,17809649.0
2020-11-24,0,0,0,0.236769,0,18841016.0
2020-11-23,0,0,0,0.220634,0,17557056.0
2020-11-22,0,0,0,0.198126,0,15766008.0
2020-11-21,0,0,0,0.214316,0,17054347.0
2020-11-20,0,0,0,0.198087,0,15762897.0
2020-11-19,0,0,0,0.180357,0,14351985.0
2020-11-18,0,0,0,0.175305,0,13950009.0
2020-11-17,0,0,0,0.184899,0,14713400.0
2020-11-16,0,0,0,0.176409,0,14037848.0
2020-11-15,0,0,0,0.176829,0,14071299.0
2020-11-14,0,0,0,0.17611,0,14014080.0
2020-11-13,0,0,0,0.176716,0,14062276.0
2020-11-12,0,0,0,0.184906,0,14714012.0
2020-11-11,0,0,0,0.186066,0,14806318.0
2020-11-10,0,0,0,0.186141,0,14812265.0
2020-11-09,0,0,0,0.175737,0,13984374.0
2020-11-08,0,0,0,0.179045,0,14247574.0
2020-11-07,0,0,0,0.174981,0,13924225.0
2020-11-06,0,0,0,0.180094,0,14331104.0
2020-11-05,0,0,0,0.174079,0,13852451.0
2020-11-04,0,0,0,0.164961,0,13126841.0
2020-11-03,0,0,0,0.162279,0,12913427.0
2020-11-02,0,0,0,0.171417,0,13640561.0
2020-11-01,0,0,0,0.184019,0,14643375.0
2020-10-31,0,0,0,0.184953,0,14717705.0
2020-10-30,0,0,0,0.183604,0,14610365.0
2020-10-29,0,0,0,0.186519,0,14842336.0
2020-10-28,0,0,0,0.189782,0,15102019.0
2020-10-27,0,0,0,0.203267,0,16175050.0
2020-10-26,0,0,0,0.207631,0,16522321.0
2020-10-25,0,0,0,0.204965,0,16310204.0
2020-10-24,0,0,0,0.207939,0,16546824.0
2020-10-23,0,0,0,0.206516,0,16433662.0
2020-10-22,0,0,0,0.213876,0,17019336.0
2020-10-21,0,0,0,0.209331,0,16657649.0
2020-10-20,0,0,0,0.204271,0,16255004.0
2020-10-19,0,0,0,0.215798,0,17172219.0
2020-10-18,0,0,0,0.218838,0,17414165.0
2020-10-17,0,0,0,0.223229,0,17763530.0
2020-10-16,0,0,0,0.221106,0,17594611.0
2020-10-15,0,0,0,0.227949,0,18139158.0
2020-10-14,0,0,0,0.231517,0,18423054.0
2020-10-13,0,0,0,0.234389,0,18651637.0
2020-10-12,0,0,0,0.235428,0,18734318.0
2020-10-11,0,0,0,0.239348,0,19046282.0
2020-10-10,0,0,0,0.240527,0,19140095.0
2020-10-09,0,0,0,0.24206,0,19262092.0
2020-10-08,0,0,0,0.239498,0,19058188.0
2020-10-07,0,0,0,0.235311,0,18725030.0
2020-10-06,0,0,0,0.231604,0,18430020.0
2020-10-05,0,0,0,0.234184,0,18635288.0
2020-10-04,0,0,0,0.238237,0,18957852.0
2020-10-03,0,0,0,0.24226,0,19277970.0
2020-10-02,0,0,0,0.241345,0,19205197.0
2020-10-01,0,0,0,0.243207,0,19353304.0
2020-09-30,0,0,0,0.247496,0,19694618.0
2020-09-29,0,0,0,0.2509,0,19965472.0
2020-09-28,0,0,0,0.252418,0,20086299.0
2020-09-27,0,0,0,0.249828,0,19880228.0
2020-09-26,0,0,0,0.256,0,20371361.0
2020-09-25,0,0,0,0.244484,0,19454926.0
2020-09-24,0,0,0,0.246346,0,19603136.0
2020-09-23,0,0,0,0.240203,0,19114311.0
2020-09-22,0,0,0,0.250105,0,19902211.0
2020-09-21,0,0,0,0.241899,0,19249282.0
2020-09-20,0,0,0,0.255454,0,20327889.0
2020-09-19,0,0,0,0.265008,0,21088138.0
2020-09-18,0,0,0,0.265519,0,21128786.0
2020-09-17,0,0,0,0.260167,0,20702965.0
2020-09-16,0,0,0,0.269906,0,21477920.0
2020-09-15,0,0,0,0.262471,0,20886306.0
2020-09-14,0,0,0,0.269115,0,21414959.0
2020-09-13,0,0,0,0.266385,0,21197743.0
2020-09-12,0,0,0,0.275749,0,21942864.0
2020-09-11,0,0,0,0.275188,0,21898217.0
