date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.004914,0,28930229.0
2020-12-13,0,0,0,0.004886,0,28768153.0
2020-12-12,0,0,0,0.004893,0,28809087.0
2020-12-11,0,0,0,0.004762,0,28037574.0
2020-12-10,0,0,0,0.005051,0,29737093.0
2020-12-09,0,0,0,0.004974,0,29285762.0
2020-12-08,0,0,0,0.004976,0,29298503.0
2020-12-07,0,0,0,0.005275,0,31061177.0
2020-12-06,0,0,0,0.005038,0,29663062.0
2020-12-05,0,0,0,0.005158,0,30367480.0
2020-12-04,0,0,0,0.004962,0,29216639.0
2020-12-03,0,0,0,0.005349,0,31495676.0
2020-12-02,0,0,0,0.0055,0,32385095.0
2020-12-01,0,0,0,0.005475,0,32236525.0
2020-11-30,0,0,0,0.005022,0,29567214.0
2020-11-29,0,0,0,0.004989,0,29374860.0
2020-11-28,0,0,0,0.004995,0,29409188.0
2020-11-27,0,0,0,0.00481,0,28319415.0
2020-11-26,0,0,0,0.004929,0,29019432.0
2020-11-25,0,0,0,0.005456,0,32125970.0
2020-11-24,0,0,0,0.005249,0,30904794.0
2020-11-23,0,0,0,0.004757,0,28008180.0
2020-11-22,0,0,0,0.004686,0,27591491.0
2020-11-21,0,0,0,0.004808,0,28306732.0
2020-11-20,0,0,0,0.004602,0,27097649.0
2020-11-19,0,0,0,0.004496,0,26470082.0
2020-11-18,0,0,0,0.00455,0,26790015.0
2020-11-17,0,0,0,0.004664,0,27461115.0
2020-11-16,0,0,0,0.004732,0,27859069.0
2020-11-15,0,0,0,0.004728,0,27837124.0
2020-11-14,0,0,0,0.00481,0,28323602.0
2020-11-13,0,0,0,0.004898,0,28837752.0
2020-11-12,0,0,0,0.004872,0,28683033.0
2020-11-11,0,0,0,0.004932,0,29038714.0
2020-11-10,0,0,0,0.004667,0,27476427.0
2020-11-09,0,0,0,0.004582,0,26977439.0
2020-11-08,0,0,0,0.004693,0,27633545.0
2020-11-07,0,0,0,0.004516,0,26587359.0
2020-11-06,0,0,0,0.004599,0,27079657.0
2020-11-05,0,0,0,0.004424,0,26050341.0
2020-11-04,0,0,0,0.004261,0,25090844.0
2020-11-03,0,0,0,0.004307,0,25359036.0
2020-11-02,0,0,0,0.004432,0,26097063.0
2020-11-01,0,0,0,0.004581,0,26972245.0
2020-10-31,0,0,0,0.004588,0,27014965.0
2020-10-30,0,0,0,0.004563,0,26866373.0
2020-10-29,0,0,0,0.004681,0,27558551.0
2020-10-28,0,0,0,0.00471,0,27730437.0
2020-10-27,0,0,0,0.00478,0,28142447.0
2020-10-26,0,0,0,0.004645,0,27348899.0
2020-10-25,0,0,0,0.004755,0,27999574.0
2020-10-24,0,0,0,0.004961,0,29208564.0
2020-10-23,0,0,0,0.004784,0,28165975.0
2020-10-22,0,0,0,0.004709,0,27727694.0
2020-10-21,0,0,0,0.00453,0,26671175.0
2020-10-20,0,0,0,0.004484,0,26402443.0
2020-10-19,0,0,0,0.004562,0,26862106.0
2020-10-18,0,0,0,0.004587,0,27010136.0
2020-10-17,0,0,0,0.004585,0,26997015.0
2020-10-16,0,0,0,0.004509,0,26548507.0
2020-10-15,0,0,0,0.004662,0,27446489.0
2020-10-14,0,0,0,0.004608,0,27130118.0
2020-10-13,0,0,0,0.004731,0,27853323.0
2020-10-12,0,0,0,0.004828,0,28425861.0
2020-10-11,0,0,0,0.004815,0,28349462.0
2020-10-10,0,0,0,0.004971,0,29267698.0
2020-10-09,0,0,0,0.004939,0,29082824.0
2020-10-08,0,0,0,0.004655,0,27410450.0
2020-10-07,0,0,0,0.004443,0,26162609.0
2020-10-06,0,0,0,0.004344,0,25574151.0
2020-10-05,0,0,0,0.004458,0,26247282.0
2020-10-04,0,0,0,0.004498,0,26483098.0
2020-10-03,0,0,0,0.004471,0,26322731.0
2020-10-02,0,0,0,0.004533,0,26688997.0
2020-10-01,0,0,0,0.004711,0,27737179.0
2020-09-30,0,0,0,0.004758,0,28014573.0
2020-09-29,0,0,0,0.004751,0,27975361.0
2020-09-28,0,0,0,0.004717,0,27772713.0
2020-09-27,0,0,0,0.004666,0,27474713.0
2020-09-26,0,0,0,0.004735,0,27877475.0
2020-09-25,0,0,0,0.004672,0,27506452.0
2020-09-24,0,0,0,0.004526,0,26646418.0
2020-09-23,0,0,0,0.004311,0,25380449.0
2020-09-22,0,0,0,0.004516,0,26590909.0
2020-09-21,0,0,0,0.004526,0,26646446.0
2020-09-20,0,0,0,0.004902,0,28864293.0
2020-09-19,0,0,0,0.00503,0,29618932.0
2020-09-18,0,0,0,0.004997,0,29419336.0
2020-09-17,0,0,0,0.004925,0,28999521.0
2020-09-16,0,0,0,0.004921,0,28972311.0
2020-09-15,0,0,0,0.004955,0,29171854.0
2020-09-14,0,0,0,0.005113,0,30104256.0
2020-09-13,0,0,0,0.005082,0,29921223.0
2020-09-12,0,0,0,0.005489,0,32320224.0
2020-09-11,0,0,0,0.005559,0,32733489.0
2020-09-10,0,0,0,0.00538,0,31676311.0
2020-09-09,0,0,0,0.00496,0,29203986.0
2020-09-08,0,0,0,0.004826,0,28414932.0
2020-09-07,0,0,0,0.004792,0,28216734.0
2020-09-06,0,0,0,0.004891,0,28795425.0
2020-09-05,0,0,0,0.004753,0,27987652.0
2020-09-04,0,0,0,0.005161,0,30385695.0
2020-09-03,0,0,0,0.005022,0,29571458.0
2020-09-02,0,0,0,0.005606,0,33009960.0
2020-09-01,0,0,0,0.005863,0,34518859.0
2020-08-31,0,0,0,0.005903,0,34756573.0
2020-08-30,0,0,0,0.005939,0,34967659.0
2020-08-29,0,0,0,0.005943,0,34992771.0
2020-08-28,0,0,0,0.005948,0,35020551.0
2020-08-27,0,0,0,0.005651,0,33273090.0
2020-08-26,0,0,0,0.005925,0,34885294.0
2020-08-25,0,0,0,0.005924,0,34878744.0
2020-08-24,0,0,0,0.006139,0,36145929.0
2020-08-23,0,0,0,0.006062,0,35690725.0
2020-08-22,0,0,0,0.00613,0,36093805.0
2020-08-21,0,0,0,0.00609,0,35856689.0
2020-08-20,0,0,0,0.00605,0,35621513.0
2020-08-19,0,0,0,0.005932,0,34925162.0
2020-08-18,0,0,0,0.006066,0,35717211.0
2020-08-17,0,0,0,0.006361,0,37455100.0
2020-08-16,0,0,0,0.006222,0,36637444.0
2020-08-15,0,0,0,0.006139,0,36146946.0
2020-08-14,0,0,0,0.00606,0,35678851.0
2020-08-13,0,0,0,0.00621,0,36566036.0
2020-08-12,0,0,0,0.006261,0,36863641.0
2020-08-11,0,0,0,0.006185,0,36417345.0
2020-08-10,0,0,0,0.006116,0,36010097.0
2020-08-09,0,0,0,0.005865,0,34533272.0
2020-08-08,0,0,0,0.005571,0,32801006.0
2020-08-07,0,0,0,0.005492,0,32335519.0
2020-08-06,0,0,0,0.005536,0,32597790.0
2020-08-05,0,0,0,0.005438,0,32017004.0
2020-08-04,0,0,0,0.005444,0,29691498.0
2020-08-03,0,0,0,0.005512,0,30063109.0
2020-08-02,0,0,0,0.005429,0,29611047.0
2020-08-01,0,0,0,0.005717,0,31178659.0
2020-07-31,0,0,0,0.005712,0,31152660.0
2020-07-30,0,0,0,0.00601,0,32775680.0
2020-07-29,0,0,0,0.005804,0,31656472.0
2020-07-28,0,0,0,0.005459,0,29770851.0
2020-07-27,0,0,0,0.00535,0,29177685.0
2020-07-26,0,0,0,0.005445,0,29696152.0
2020-07-25,0,0,0,0.00562,0,30650717.0
2020-07-24,0,0,0,0.005575,0,30406623.0
2020-07-23,0,0,0,0.005631,0,30707972.0
2020-07-22,0,0,0,0.005731,0,31254979.0
2020-07-21,0,0,0,0.005609,0,30590408.0
2020-07-20,0,0,0,0.005586,0,30464243.0
2020-07-19,0,0,0,0.005596,0,30517563.0
2020-07-18,0,0,0,0.005429,0,29609467.0
2020-07-17,0,0,0,0.005365,0,29259375.0
2020-07-16,0,0,0,0.005368,0,29276833.0
2020-07-15,0,0,0,0.005473,0,29849370.0
2020-07-14,0,0,0,0.005524,0,30126917.0
2020-07-13,0,0,0,0.005613,0,30612384.0
2020-07-12,0,0,0,0.005769,0,31462818.0
2020-07-11,0,0,0,0.005877,0,32049716.0
2020-07-10,0,0,0,0.005701,0,31093016.0
