date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,59.79,0,12145464.0
2020-12-13,0,0,0,60.35,0,12260507.0
2020-12-12,0,0,0,60.51,0,12292602.0
2020-12-11,0,0,0,58.15,0,11812590.0
2020-12-10,0,0,0,60.16,0,12220521.0
2020-12-09,0,0,0,60.86,0,12361311.0
2020-12-08,0,0,0,60.35,0,12257389.0
2020-12-07,0,0,0,62.48,0,12691440.0
2020-12-06,0,0,0,62.12,0,12617270.0
2020-12-05,0,0,0,62.06,0,12603954.0
2020-12-04,0,0,0,61.66,0,12522786.0
2020-12-03,0,0,0,61.24,0,12438272.0
2020-12-02,0,0,0,61.67,0,12523619.0
2020-12-01,0,0,0,63.82,0,12959862.0
2020-11-30,0,0,0,64.34,0,13065807.0
2020-11-29,0,0,0,62.63,0,12718307.0
2020-11-28,0,0,0,62.05,0,12600616.0
2020-11-27,0,0,0,61.61,0,12511199.0
2020-11-26,0,0,0,64.47,0,13091560.0
2020-11-25,0,0,0,69.26,0,14064689.0
2020-11-24,0,0,0,72.39,0,14698688.0
2020-11-23,0,0,0,71.24,0,14465923.0
2020-11-22,0,0,0,68.86,0,13981474.0
2020-11-21,0,0,0,72.67,0,14754192.0
2020-11-20,0,0,0,71.08,0,14431751.0
2020-11-19,0,0,0,67.44,0,13691834.0
2020-11-18,0,0,0,69.78,0,14166596.0
2020-11-17,0,0,0,75.34,0,15296003.0
2020-11-16,0,0,0,69.4,0,14089362.0
2020-11-15,0,0,0,69.92,0,14195230.0
2020-11-14,0,0,0,75.2,0,15265614.0
2020-11-13,0,0,0,78.27,0,15889029.0
2020-11-12,0,0,0,76.7,0,15570517.0
2020-11-11,0,0,0,77.06,0,15642619.0
2020-11-10,0,0,0,69.61,0,14130382.0
2020-11-09,0,0,0,74.32,0,15084813.0
2020-11-08,0,0,0,80.19,0,16276072.0
2020-11-07,0,0,0,77.37,0,15704900.0
2020-11-06,0,0,0,77.92,0,15816216.0
2020-11-05,0,0,0,75.17,0,15256823.0
2020-11-04,0,0,0,76.31,0,15486907.0
2020-11-03,0,0,0,75.52,0,15326359.0
2020-11-02,0,0,0,77.35,0,15697571.0
2020-11-01,0,0,0,77.15,0,15656994.0
2020-10-31,0,0,0,77.98,0,15825693.0
2020-10-30,0,0,0,78.92,0,16015049.0
2020-10-29,0,0,0,78.67,0,15965212.0
2020-10-28,0,0,0,77.07,0,15639689.0
2020-10-27,0,0,0,78.06,0,15840362.0
2020-10-26,0,0,0,78.53,0,15935775.0
2020-10-25,0,0,0,78.16,0,15859021.0
2020-10-24,0,0,0,81.21,0,16477299.0
2020-10-23,0,0,0,79.57,0,16144015.0
2020-10-22,0,0,0,79.41,0,16112017.0
2020-10-21,0,0,0,78.33,0,15893259.0
2020-10-20,0,0,0,74.26,0,15065808.0
2020-10-19,0,0,0,74.99,0,15213966.0
2020-10-18,0,0,0,74.64,0,15141807.0
2020-10-17,0,0,0,73.49,0,14908435.0
2020-10-16,0,0,0,74.01,0,15013479.0
2020-10-15,0,0,0,74.56,0,15126346.0
2020-10-14,0,0,0,73.71,0,14952408.0
2020-10-13,0,0,0,72.42,0,14690928.0
2020-10-12,0,0,0,70.92,0,14386146.0
2020-10-11,0,0,0,57.04,0,11570930.0
2020-10-10,0,0,0,59.3,0,12028218.0
2020-10-09,0,0,0,53.08,0,10767439.0
2020-10-08,0,0,0,58.71,0,11908028.0
2020-10-07,0,0,0,59.3,0,12027673.0
2020-10-06,0,0,0,59.06,0,11979581.0
2020-10-05,0,0,0,62.17,0,12608293.0
2020-10-04,0,0,0,61.96,0,12565876.0
2020-10-03,0,0,0,63.76,0,12930991.0
2020-10-02,0,0,0,64.52,0,13085548.0
2020-10-01,0,0,0,65.74,0,13332691.0
2020-09-30,0,0,0,65.32,0,13246519.0
2020-09-29,0,0,0,65.68,0,13319159.0
2020-09-28,0,0,0,67.94,0,13776994.0
2020-09-27,0,0,0,64.98,0,13176650.0
2020-09-26,0,0,0,68.97,0,13985900.0
2020-09-25,0,0,0,71.15,0,14426051.0
2020-09-24,0,0,0,72.95,0,14791425.0
2020-09-23,0,0,0,71.31,0,14459795.0
2020-09-22,0,0,0,75.8,0,15369218.0
2020-09-21,0,0,0,73.4,0,14881247.0
2020-09-20,0,0,0,78.16,0,15847561.0
2020-09-19,0,0,0,79.87,0,16193179.0
2020-09-18,0,0,0,80.36,0,16292115.0
2020-09-17,0,0,0,80.82,0,16384648.0
2020-09-16,0,0,0,81.79,0,16580658.0
2020-09-15,0,0,0,78.85,0,15985759.0
2020-09-14,0,0,0,78.04,0,15819204.0
2020-09-13,0,0,0,77.91,0,15793389.0
2020-09-12,0,0,0,80.52,0,16321918.0
2020-09-11,0,0,0,79.88,0,16192874.0
2020-09-10,0,0,0,81.76,0,16571997.0
2020-09-09,0,0,0,80.47,0,16311352.0
2020-09-08,0,0,0,79.9,0,16195903.0
2020-09-07,0,0,0,84.15,0,17056233.0
2020-09-06,0,0,0,83.95,0,17016038.0
2020-09-05,0,0,0,82.26,0,16672502.0
2020-09-04,0,0,0,86.61,0,17553287.0
2020-09-03,0,0,0,85.0,0,17227216.0
2020-09-02,0,0,0,90.88,0,18418711.0
2020-09-01,0,0,0,91.18,0,18478661.0
2020-08-31,0,0,0,99.3,0,20123082.0
2020-08-30,0,0,0,74.98,0,15194552.0
2020-08-29,0,0,0,74.4,0,15077503.0
2020-08-28,0,0,0,74.06,0,15006907.0
2020-08-27,0,0,0,73.45,0,14883222.0
2020-08-26,0,0,0,75.7,0,15338304.0
2020-08-25,0,0,0,73.3,0,14851379.0
2020-08-24,0,0,0,74.97,0,15189626.0
2020-08-23,0,0,0,75.59,0,15315972.0
2020-08-22,0,0,0,76.08,0,15413894.0
2020-08-21,0,0,0,75.4,0,15277121.0
2020-08-20,0,0,0,77.8,0,15761378.0
2020-08-19,0,0,0,77.17,0,15634133.0
2020-08-18,0,0,0,78.96,0,15996381.0
2020-08-17,0,0,0,79.58,0,16122502.0
2020-08-16,0,0,0,76.33,0,15463099.0
2020-08-15,0,0,0,79.1,0,16024569.0
2020-08-14,0,0,0,75.42,0,15277118.0
2020-08-13,0,0,0,78.14,0,15829521.0
2020-08-12,0,0,0,72.53,0,14691328.0
2020-08-11,0,0,0,71.09,0,14399611.0
2020-08-10,0,0,0,73.22,0,14831546.0
2020-08-09,0,0,0,74.24,0,15036722.0
2020-08-08,0,0,0,77.56,0,15708319.0
2020-08-07,0,0,0,70.65,0,14310084.0
2020-08-06,0,0,0,72.32,0,14647537.0
2020-08-05,0,0,0,70.08,0,14194047.0
2020-08-04,0,0,0,68.41,0,13853714.0
2020-08-03,0,0,0,69.09,0,13991590.0
2020-08-02,0,0,0,67.81,0,13732729.0
2020-08-01,0,0,0,70.79,0,14336566.0
2020-07-31,0,0,0,70.39,0,14253292.0
2020-07-30,0,0,0,69.66,0,14105945.0
2020-07-29,0,0,0,69.86,0,14146031.0
2020-07-28,0,0,0,69.06,0,13983633.0
2020-07-27,0,0,0,63.05,0,12767446.0
2020-07-26,0,0,0,60.82,0,12315261.0
2020-07-25,0,0,0,59.08,0,11962093.0
2020-07-24,0,0,0,58.07,0,11757317.0
2020-07-23,0,0,0,57.94,0,11730032.0
2020-07-22,0,0,0,59.63,0,12073199.0
2020-07-21,0,0,0,57.73,0,11687090.0
2020-07-20,0,0,0,57.22,0,11584058.0
2020-07-19,0,0,0,59.26,0,11997713.0
2020-07-18,0,0,0,56.91,0,11521721.0
2020-07-17,0,0,0,57.06,0,11551168.0
2020-07-16,0,0,0,55.69,0,11274472.0
2020-07-15,0,0,0,58.87,0,11916764.0
2020-07-14,0,0,0,58.83,0,11907880.0
2020-07-13,0,0,0,58.86,0,11914853.0
2020-07-12,0,0,0,62.39,0,12629163.0
2020-07-11,0,0,0,59.63,0,12069043.0
2020-07-10,0,0,0,63.1,0,12772194.0
2020-07-09,0,0,0,62.58,0,12666822.0
2020-07-08,0,0,0,63.67,0,12887085.0
2020-07-07,0,0,0,62.95,0,12740285.0
2020-07-06,0,0,0,64.68,0,13091081.0
2020-07-05,0,0,0,62.03,0,12553559.0
2020-07-04,0,0,0,61.98,0,12542658.0
2020-07-03,0,0,0,61.88,0,12522239.0
2020-07-02,0,0,0,62.36,0,12619350.0
2020-07-01,0,0,0,62.07,0,12560854.0
2020-06-30,0,0,0,55.6,0,11250533.0
2020-06-29,0,0,0,63.56,0,12861726.0
2020-06-28,0,0,0,57.99,0,11734599.0
2020-06-27,0,0,0,57.6,0,11655890.0
2020-06-26,0,0,0,57.72,0,11679149.0
2020-06-25,0,0,0,57.98,0,11730640.0
2020-06-24,0,0,0,60.12,0,12164427.0
2020-06-23,0,0,0,60.92,0,12326311.0
2020-06-22,0,0,0,58.79,0,11893774.0
2020-06-21,0,0,0,59.46,0,12029114.0
2020-06-20,0,0,0,58.99,0,11933347.0
2020-06-19,0,0,0,58.96,0,11927180.0
2020-06-18,0,0,0,61.66,0,12473441.0
2020-06-17,0,0,0,62.25,0,12592277.0
2020-06-16,0,0,0,62.23,0,12589180.0
2020-06-15,0,0,0,62.03,0,12546853.0
2020-06-14,0,0,0,60.94,0,12326480.0
2020-06-13,0,0,0,61.72,0,12484117.0
2020-06-12,0,0,0,60.44,0,12225506.0
2020-06-11,0,0,0,60.18,0,12172715.0
2020-06-10,0,0,0,63.06,0,12754923.0
2020-06-09,0,0,0,65.09,0,13164447.0
2020-06-08,0,0,0,68.89,0,13932543.0
2020-06-07,0,0,0,69.8,0,14117748.0
2020-06-06,0,0,0,69.33,0,14020395.0
2020-06-05,0,0,0,69.1,0,13974627.0
2020-06-04,0,0,0,64.13,0,12968137.0
2020-06-03,0,0,0,63.26,0,12792452.0
2020-06-02,0,0,0,62.48,0,12635694.0
2020-06-01,0,0,0,67.21,0,13590990.0
2020-05-31,0,0,0,61.11,0,12356393.0
2020-05-30,0,0,0,62.21,0,12579892.0
2020-05-29,0,0,0,57.06,0,11537970.0
2020-05-28,0,0,0,57.15,0,11555262.0
2020-05-27,0,0,0,55.39,0,11200056.0
2020-05-26,0,0,0,54.1,0,10939067.0
2020-05-25,0,0,0,53.25,0,10766691.0
2020-05-24,0,0,0,54.59,0,11037017.0
2020-05-23,0,0,0,56.84,0,11490978.0
2020-05-22,0,0,0,55.97,0,11315423.0
2020-05-21,0,0,0,57.91,0,11706502.0
2020-05-20,0,0,0,59.05,0,11937528.0
2020-05-19,0,0,0,59.29,0,11985462.0
2020-05-18,0,0,0,62.02,0,12537533.0
2020-05-17,0,0,0,60.88,0,12305646.0
2020-05-16,0,0,0,60.28,0,12184370.0
2020-05-15,0,0,0,58.83,0,11891656.0
2020-05-14,0,0,0,62.34,0,12601177.0
2020-05-13,0,0,0,59.2,0,11966316.0
2020-05-12,0,0,0,57.12,0,11546125.0
2020-05-11,0,0,0,55.43,0,11204137.0
2020-05-10,0,0,0,55.39,0,11195203.0
2020-05-09,0,0,0,64.08,0,12950212.0
2020-05-08,0,0,0,60.95,0,12318845.0
2020-05-07,0,0,0,61.59,0,12447685.0
2020-05-06,0,0,0,57.02,0,11522572.0
2020-05-05,0,0,0,58.46,0,11813584.0
2020-05-04,0,0,0,58.82,0,11886232.0
2020-05-03,0,0,0,58.68,0,11858003.0
2020-05-02,0,0,0,57.53,0,11625824.0
2020-05-01,0,0,0,56.62,0,11441352.0
2020-04-30,0,0,0,59.4,0,12002254.0
2020-04-29,0,0,0,61.27,0,12380856.0
2020-04-28,0,0,0,55.9,0,11294456.0
2020-04-27,0,0,0,56.32,0,11379099.0
2020-04-26,0,0,0,52.91,0,10691130.0
2020-04-25,0,0,0,54.05,0,10920997.0
2020-04-24,0,0,0,42.26,0,8538783.0
2020-04-23,0,0,0,57.87,0,11691764.0
2020-04-22,0,0,0,54.72,0,11054509.0
2020-04-21,0,0,0,55.34,0,11180818.0
2020-04-20,0,0,0,54.33,0,10976067.0
2020-04-19,0,0,0,55.26,0,11162949.0
2020-04-18,0,0,0,55.44,0,11199704.0
2020-04-17,0,0,0,54.48,0,11004320.0
2020-04-16,0,0,0,54.99,0,11107621.0
