date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.149059,0,5596999.0
2020-12-13,0,0,0,0.131989,0,4956048.0
2020-12-12,0,0,0,0.125194,0,4700891.0
2020-12-11,0,0,0,0.130781,0,4910706.0
2020-12-10,0,0,0,0.112987,0,4242530.0
2020-12-09,0,0,0,0.119231,0,4477005.0
2020-12-08,0,0,0,0.142206,0,5339689.0
2020-12-07,0,0,0,0.123169,0,4624887.0
2020-12-06,0,0,0,0.100446,0,3771658.0
2020-12-05,0,0,0,0.116785,0,4385170.0
2020-12-04,0,0,0,0.101099,0,3796163.0
2020-12-03,0,0,0,0.084409,0,3169488.0
2020-12-02,0,0,0,0.10758,0,4039506.0
2020-12-01,0,0,0,0.104758,0,3933545.0
2020-11-30,0,0,0,0.120574,0,4527442.0
2020-11-29,0,0,0,0.094929,0,3564489.0
2020-11-28,0,0,0,0.092643,0,3478654.0
2020-11-27,0,0,0,0.0975,0,3661024.0
2020-11-26,0,0,0,0.081845,0,3073179.0
2020-11-25,0,0,0,0.110139,0,4132307.0
2020-11-24,0,0,0,0.106217,0,3985167.0
2020-11-23,0,0,0,0.070812,0,2656781.0
2020-11-22,0,0,0,0.089811,0,3369624.0
2020-11-21,0,0,0,0.061777,0,2317828.0
2020-11-20,0,0,0,0.070106,0,2630320.0
2020-11-19,0,0,0,0.073852,0,2770857.0
2020-11-18,0,0,0,0.0735,0,2757645.0
2020-11-17,0,0,0,0.09124,0,3423222.0
2020-11-16,0,0,0,0.102802,0,3857037.0
2020-11-15,0,0,0,0.097351,0,3651536.0
2020-11-14,0,0,0,0.129242,0,4847745.0
2020-11-13,0,0,0,0.096934,0,3635905.0
2020-11-12,0,0,0,0.121738,0,4566281.0
2020-11-11,0,0,0,0.092658,0,3475527.0
2020-11-10,0,0,0,0.11423,0,4284665.0
2020-11-09,0,0,0,0.132218,0,4959354.0
2020-11-08,0,0,0,0.090185,0,3382757.0
2020-11-07,0,0,0,0.091004,0,3413473.0
2020-11-06,0,0,0,0.094825,0,3556783.0
2020-11-05,0,0,0,0.097789,0,3667968.0
2020-11-04,0,0,0,0.090185,0,3382756.0
2020-11-03,0,0,0,0.089662,0,3363120.0
2020-11-02,0,0,0,0.081226,0,3046724.0
2020-11-01,0,0,0,0.081073,0,3040955.0
2020-10-31,0,0,0,0.081022,0,3039056.0
2020-10-30,0,0,0,0.08054,0,3020975.0
2020-10-29,0,0,0,0.086498,0,3244465.0
2020-10-28,0,0,0,0.094586,0,3547836.0
2020-10-27,0,0,0,0.118752,0,4454252.0
2020-10-26,0,0,0,0.09191,0,3447451.0
2020-10-25,0,0,0,0.120196,0,4508440.0
2020-10-24,0,0,0,0.131288,0,4924468.0
2020-10-23,0,0,0,0.100078,0,3753823.0
2020-10-22,0,0,0,0.084117,0,3155144.0
2020-10-21,0,0,0,0.121406,0,4553816.0
2020-10-20,0,0,0,0.110702,0,4152326.0
2020-10-19,0,0,0,0.102891,0,3859348.0
2020-10-18,0,0,0,0.113354,0,4251810.0
2020-10-17,0,0,0,0.116176,0,4357635.0
2020-10-16,0,0,0,0.10158,0,3810180.0
2020-10-15,0,0,0,0.108725,0,4078176.0
2020-10-14,0,0,0,0.104651,0,3925344.0
2020-10-13,0,0,0,0.109143,0,4093832.0
2020-10-12,0,0,0,0.127556,0,4784508.0
2020-10-11,0,0,0,0.120165,0,4507279.0
2020-10-10,0,0,0,0.119541,0,4483878.0
2020-10-09,0,0,0,0.132751,0,4979370.0
2020-10-08,0,0,0,0.120006,0,4501317.0
2020-10-07,0,0,0,0.121791,0,4568241.0
2020-10-06,0,0,0,0.117925,0,4423266.0
2020-10-05,0,0,0,0.11614,0,4356296.0
2020-10-04,0,0,0,0.136823,0,5132078.0
2020-10-03,0,0,0,0.126581,0,4747941.0
2020-10-02,0,0,0,0.121286,0,4549298.0
2020-10-01,0,0,0,0.119522,0,4483157.0
2020-09-30,0,0,0,0.121751,0,4566776.0
2020-09-29,0,0,0,0.117918,0,4422972.0
2020-09-28,0,0,0,0.137009,0,5139061.0
2020-09-27,0,0,0,0.137191,0,5145904.0
2020-09-26,0,0,0,0.141995,0,5326104.0
2020-09-25,0,0,0,0.142689,0,5352140.0
2020-09-24,0,0,0,0.136744,0,5129131.0
2020-09-23,0,0,0,0.130273,0,4886420.0
2020-09-22,0,0,0,0.134494,0,5044729.0
2020-09-21,0,0,0,0.151957,0,5699745.0
2020-09-20,0,0,0,0.190424,0,7142613.0
2020-09-19,0,0,0,0.155817,0,5844530.0
2020-09-18,0,0,0,0.156513,0,5870649.0
2020-09-17,0,0,0,0.159157,0,5969832.0
2020-09-16,0,0,0,0.169538,0,6359207.0
2020-09-15,0,0,0,0.180065,0,6754055.0
2020-09-14,0,0,0,0.154656,0,5800986.0
2020-09-13,0,0,0,0.164964,0,6187653.0
2020-09-12,0,0,0,0.159145,0,5969372.0
2020-09-11,0,0,0,0.161015,0,6039519.0
2020-09-10,0,0,0,0.152618,0,5724544.0
2020-09-09,0,0,0,0.152063,0,5703719.0
2020-09-08,0,0,0,0.145042,0,5440368.0
2020-09-07,0,0,0,0.152218,0,5709549.0
2020-09-06,0,0,0,0.159031,0,5965078.0
