date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.000396,0,2770989.0
2020-12-13,0,0,0,0.000391,0,2736228.0
2020-12-12,0,0,0,0.000389,0,2717371.0
2020-12-11,0,0,0,0.000387,0,2707207.0
2020-12-10,0,0,0,0.000369,0,2577914.0
2020-12-09,0,0,0,0.000387,0,2708286.0
2020-12-08,0,0,0,0.000369,0,2581068.0
2020-12-07,0,0,0,0.000397,0,2775390.0
2020-12-06,0,0,0,0.000401,0,2803724.0
2020-12-05,0,0,0,0.000383,0,2675527.0
2020-12-04,0,0,0,0.000377,0,2639624.0
2020-12-03,0,0,0,0.000392,0,2740094.0
2020-12-02,0,0,0,0.000375,0,2623911.0
2020-12-01,0,0,0,0.000377,0,2633643.0
2020-11-30,0,0,0,0.000392,0,2739830.0
2020-11-29,0,0,0,0.000373,0,2612042.0
2020-11-28,0,0,0,0.000375,0,2621476.0
2020-11-27,0,0,0,0.00038,0,2657453.0
2020-11-26,0,0,0,0.000379,0,2653939.0
2020-11-25,0,0,0,0.000405,0,2833918.0
2020-11-24,0,0,0,0.000399,0,2792471.0
2020-11-23,0,0,0,0.000393,0,2750325.0
2020-11-22,0,0,0,0.00039,0,2724648.0
2020-11-21,0,0,0,0.000406,0,2839321.0
2020-11-20,0,0,0,0.000388,0,2716905.0
2020-11-19,0,0,0,0.000394,0,2758870.0
2020-11-18,0,0,0,0.000401,0,2806344.0
2020-11-17,0,0,0,0.000397,0,2778349.0
2020-11-16,0,0,0,0.000441,0,3084676.0
2020-11-15,0,0,0,0.000397,0,2775112.0
2020-11-14,0,0,0,0.000422,0,2948671.0
2020-11-13,0,0,0,0.00043,0,3009486.0
2020-11-12,0,0,0,0.000429,0,2999350.0
2020-11-11,0,0,0,0.000407,0,2848609.0
2020-11-10,0,0,0,0.000414,0,2892954.0
2020-11-09,0,0,0,0.000412,0,2883876.0
2020-11-08,0,0,0,0.000396,0,2771543.0
2020-11-07,0,0,0,0.000375,0,2622731.0
2020-11-06,0,0,0,0.000383,0,2682132.0
2020-11-05,0,0,0,0.00036,0,2515214.0
2020-11-04,0,0,0,0.000363,0,2541779.0
2020-11-03,0,0,0,0.000368,0,2575434.0
2020-11-02,0,0,0,0.000366,0,2561363.0
2020-11-01,0,0,0,0.000404,0,2826140.0
2020-10-31,0,0,0,0.000392,0,2742433.0
2020-10-30,0,0,0,0.000386,0,2702357.0
2020-10-29,0,0,0,0.000425,0,2973743.0
2020-10-28,0,0,0,0.000422,0,2952726.0
2020-10-27,0,0,0,0.000435,0,3043329.0
2020-10-26,0,0,0,0.000446,0,3122581.0
2020-10-25,0,0,0,0.00046,0,3219836.0
2020-10-24,0,0,0,0.000469,0,3283449.0
2020-10-23,0,0,0,0.000464,0,3247626.0
2020-10-22,0,0,0,0.000469,0,3280908.0
2020-10-21,0,0,0,0.000456,0,3188381.0
2020-10-20,0,0,0,0.000445,0,3115664.0
2020-10-19,0,0,0,0.000482,0,3374273.0
2020-10-18,0,0,0,0.000479,0,3349893.0
2020-10-17,0,0,0,0.000471,0,3296752.0
2020-10-16,0,0,0,0.000467,0,3269898.0
2020-10-15,0,0,0,0.00048,0,3360081.0
2020-10-14,0,0,0,0.000488,0,3416802.0
2020-10-13,0,0,0,0.000498,0,3483252.0
2020-10-12,0,0,0,0.000482,0,3372670.0
2020-10-11,0,0,0,0.000492,0,3443871.0
2020-10-10,0,0,0,0.000483,0,3381379.0
2020-10-09,0,0,0,0.000478,0,3340360.0
2020-10-08,0,0,0,0.00047,0,3284576.0
2020-10-07,0,0,0,0.000468,0,3275788.0
2020-10-06,0,0,0,0.000485,0,3393901.0
2020-10-05,0,0,0,0.000493,0,3451325.0
2020-10-04,0,0,0,0.000488,0,3411000.0
2020-10-03,0,0,0,0.000486,0,3396139.0
2020-10-02,0,0,0,0.000485,0,3388937.0
2020-10-01,0,0,0,0.000482,0,3370785.0
2020-09-30,0,0,0,0.000472,0,3298952.0
2020-09-29,0,0,0,0.000476,0,3332273.0
2020-09-28,0,0,0,0.000483,0,3378829.0
2020-09-27,0,0,0,0.000487,0,3404428.0
2020-09-26,0,0,0,0.000497,0,3475676.0
2020-09-25,0,0,0,0.000466,0,3257262.0
2020-09-24,0,0,0,0.000472,0,3298634.0
2020-09-23,0,0,0,0.000473,0,3311903.0
2020-09-22,0,0,0,0.000474,0,3316907.0
2020-09-21,0,0,0,0.000481,0,3364369.0
2020-09-20,0,0,0,0.000497,0,3476998.0
2020-09-19,0,0,0,0.000502,0,3512162.0
2020-09-18,0,0,0,0.000495,0,3459576.0
2020-09-17,0,0,0,0.000505,0,3531100.0
2020-09-16,0,0,0,0.000502,0,3511639.0
2020-09-15,0,0,0,0.000508,0,3554851.0
2020-09-14,0,0,0,0.000538,0,3764379.0
2020-09-13,0,0,0,0.000544,0,3802977.0
2020-09-12,0,0,0,0.000591,0,4134205.0
2020-09-11,0,0,0,0.000596,0,4170209.0
2020-09-10,0,0,0,0.000634,0,4437975.0
2020-09-09,0,0,0,0.000532,0,3723133.0
2020-09-08,0,0,0,0.000494,0,3458555.0
2020-09-07,0,0,0,0.0005,0,3498724.0
2020-09-06,0,0,0,0.000498,0,3485919.0
2020-09-05,0,0,0,0.000496,0,3467539.0
2020-09-04,0,0,0,0.000577,0,4035756.0
2020-09-03,0,0,0,0.000526,0,3676441.0
2020-09-02,0,0,0,0.000747,0,5222779.0
2020-09-01,0,0,0,0.000791,0,5531265.0
2020-08-31,0,0,0,0.0008,0,5593183.0
2020-08-30,0,0,0,0.000787,0,5503570.0
2020-08-29,0,0,0,0.000781,0,5463391.0
2020-08-28,0,0,0,0.000769,0,5377495.0
2020-08-27,0,0,0,0.000765,0,5351761.0
2020-08-26,0,0,0,0.00077,0,5383364.0
2020-08-25,0,0,0,0.000743,0,5197485.0
2020-08-24,0,0,0,0.000777,0,5435369.0
2020-08-23,0,0,0,0.000784,0,5486501.0
2020-08-22,0,0,0,0.000794,0,5555788.0
2020-08-21,0,0,0,0.000796,0,5564208.0
2020-08-20,0,0,0,0.000804,0,5620418.0
2020-08-19,0,0,0,0.000782,0,5469074.0
2020-08-18,0,0,0,0.000818,0,5719204.0
2020-08-17,0,0,0,0.000876,0,6125792.0
2020-08-16,0,0,0,0.000859,0,6010805.0
2020-08-15,0,0,0,0.000863,0,6035365.0
2020-08-14,0,0,0,0.000901,0,6302414.0
2020-08-13,0,0,0,0.00093,0,6502528.0
2020-08-12,0,0,0,0.000809,0,5655668.0
2020-08-11,0,0,0,0.00083,0,5802390.0
2020-08-10,0,0,0,0.000794,0,5552182.0
2020-08-09,0,0,0,0.000786,0,5497857.0
2020-08-08,0,0,0,0.000783,0,5476966.0
2020-08-07,0,0,0,0.000769,0,5377073.0
2020-08-06,0,0,0,0.000858,0,6001392.0
2020-08-05,0,0,0,0.000744,0,5206151.0
2020-08-04,0,0,0,0.000724,0,5066131.0
2020-08-03,0,0,0,0.000723,0,5057490.0
2020-08-02,0,0,0,0.000725,0,5067887.0
2020-08-01,0,0,0,0.000751,0,5253660.0
2020-07-31,0,0,0,0.000731,0,5113959.0
2020-07-30,0,0,0,0.00073,0,5109368.0
2020-07-29,0,0,0,0.000735,0,5143817.0
2020-07-28,0,0,0,0.000728,0,5093301.0
2020-07-27,0,0,0,0.000736,0,5145172.0
2020-07-26,0,0,0,0.00076,0,5315595.0
2020-07-25,0,0,0,0.00076,0,5318765.0
2020-07-24,0,0,0,0.000747,0,5225558.0
2020-07-23,0,0,0,0.000771,0,5395568.0
2020-07-22,0,0,0,0.000767,0,5361716.0
2020-07-21,0,0,0,0.000751,0,5253359.0
2020-07-20,0,0,0,0.000726,0,5078752.0
2020-07-19,0,0,0,0.000747,0,5224222.0
2020-07-18,0,0,0,0.000745,0,5212590.0
2020-07-17,0,0,0,0.000742,0,5192747.0
2020-07-16,0,0,0,0.000741,0,5179904.0
2020-07-15,0,0,0,0.000759,0,5308051.0
2020-07-14,0,0,0,0.000762,0,5326704.0
2020-07-13,0,0,0,0.000789,0,5516565.0
2020-07-12,0,0,0,0.000796,0,5569457.0
2020-07-11,0,0,0,0.000792,0,5537313.0
2020-07-10,0,0,0,0.000796,0,5565269.0
2020-07-09,0,0,0,0.000791,0,5532713.0
2020-07-08,0,0,0,0.000743,0,5195779.0
2020-07-07,0,0,0,0.000729,0,5098136.0
2020-07-06,0,0,0,0.000732,0,5123404.0
2020-07-05,0,0,0,0.000733,0,5125310.0
2020-07-04,0,0,0,0.00073,0,5108280.0
2020-07-03,0,0,0,0.000702,0,4912719.0
2020-07-02,0,0,0,0.000714,0,4990917.0
2020-07-01,0,0,0,0.000752,0,5258330.0
2020-06-30,0,0,0,0.000731,0,5109820.0
2020-06-29,0,0,0,0.000743,0,5198415.0
2020-06-28,0,0,0,0.000743,0,5194439.0
2020-06-27,0,0,0,0.000751,0,5251284.0
2020-06-26,0,0,0,0.000767,0,5366051.0
2020-06-25,0,0,0,0.000785,0,5493236.0
2020-06-24,0,0,0,0.000788,0,5511175.0
2020-06-23,0,0,0,0.000876,0,6128789.0
2020-06-22,0,0,0,0.000839,0,5866146.0
2020-06-21,0,0,0,0.000906,0,6340039.0
2020-06-20,0,0,0,0.000737,0,5151929.0
2020-06-19,0,0,0,0.000733,0,5127734.0
2020-06-18,0,0,0,0.000689,0,4822582.0
2020-06-17,0,0,0,0.000715,0,5001003.0
2020-06-16,0,0,0,0.000712,0,4978609.0
2020-06-15,0,0,0,0.000722,0,5047183.0
2020-06-14,0,0,0,0.000713,0,4983744.0
2020-06-13,0,0,0,0.000749,0,5239863.0
2020-06-12,0,0,0,0.000746,0,5219226.0
2020-06-11,0,0,0,0.000709,0,4956066.0
2020-06-10,0,0,0,0.000705,0,4929022.0
2020-06-09,0,0,0,0.000695,0,4864203.0
2020-06-08,0,0,0,0.000699,0,4888302.0
2020-06-07,0,0,0,0.00069,0,4824427.0
2020-06-06,0,0,0,0.000696,0,4865745.0
2020-06-05,0,0,0,0.000689,0,4819893.0
2020-06-04,0,0,0,0.000714,0,4992708.0
2020-06-03,0,0,0,0.000712,0,4981661.0
2020-06-02,0,0,0,0.000702,0,4910062.0
2020-06-01,0,0,0,0.000709,0,4959231.0
2020-05-31,0,0,0,0.0007,0,4898016.0
2020-05-30,0,0,0,0.000717,0,5012892.0
2020-05-29,0,0,0,0.000721,0,5045404.0
2020-05-28,0,0,0,0.000711,0,4976607.0
2020-05-27,0,0,0,0.000699,0,4889548.0
2020-05-26,0,0,0,0.00069,0,4826237.0
2020-05-25,0,0,0,0.000708,0,4954504.0
2020-05-24,0,0,0,0.000694,0,4856372.0
2020-05-23,0,0,0,0.000757,0,5295471.0
2020-05-22,0,0,0,0.00069,0,4823199.0
2020-05-21,0,0,0,0.000637,0,4452910.0
2020-05-20,0,0,0,0.000681,0,4763218.0
2020-05-19,0,0,0,0.000662,0,4632663.0
2020-05-18,0,0,0,0.00067,0,4687906.0
2020-05-17,0,0,0,0.00068,0,4758967.0
2020-05-16,0,0,0,0.000668,0,4669501.0
2020-05-15,0,0,0,0.000638,0,4463105.0
2020-05-14,0,0,0,0.000641,0,4483309.0
2020-05-13,0,0,0,0.00067,0,4684245.0
2020-05-12,0,0,0,0.000653,0,4567080.0
2020-05-11,0,0,0,0.000656,0,4585518.0
2020-05-10,0,0,0,0.000651,0,4553323.0
2020-05-09,0,0,0,0.000727,0,5084793.0
2020-05-08,0,0,0,0.000713,0,4990069.0
2020-05-07,0,0,0,0.000685,0,4790795.0
2020-05-06,0,0,0,0.000703,0,4918965.0
2020-05-05,0,0,0,0.0007,0,4896446.0
2020-05-04,0,0,0,0.000703,0,4917531.0
2020-05-03,0,0,0,0.000721,0,5045963.0
2020-05-02,0,0,0,0.000745,0,5212996.0
2020-05-01,0,0,0,0.000745,0,5213858.0
2020-04-30,0,0,0,0.00075,0,5243111.0
2020-04-29,0,0,0,0.000762,0,5332905.0
2020-04-28,0,0,0,0.000726,0,5079319.0
2020-04-27,0,0,0,0.000739,0,5165623.0
2020-04-26,0,0,0,0.000778,0,5442055.0
