date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.005582,0,3827738.0
2020-12-13,0,0,0,0.005551,0,3804441.0
2020-12-12,0,0,0,0.005454,0,3735271.0
2020-12-11,0,0,0,0.005598,0,3831943.0
2020-12-10,0,0,0,0.005479,0,3748969.0
2020-12-09,0,0,0,0.005381,0,3680066.0
2020-12-08,0,0,0,0.005315,0,3633557.0
2020-12-07,0,0,0,0.005567,0,3803976.0
2020-12-06,0,0,0,0.005801,0,3961570.0
2020-12-05,0,0,0,0.005744,0,3919624.0
2020-12-04,0,0,0,0.005628,0,3838532.0
2020-12-03,0,0,0,0.006027,0,4109359.0
2020-12-02,0,0,0,0.005954,0,4058043.0
2020-12-01,0,0,0,0.006017,0,4099710.0
2020-11-30,0,0,0,0.006673,0,4544963.0
2020-11-29,0,0,0,0.006181,0,4207223.0
2020-11-28,0,0,0,0.006024,0,4097900.0
2020-11-27,0,0,0,0.005988,0,4070894.0
2020-11-26,0,0,0,0.005993,0,4072400.0
2020-11-25,0,0,0,0.006931,0,4708398.0
2020-11-24,0,0,0,0.008408,0,5709268.0
2020-11-23,0,0,0,0.004955,0,3363355.0
2020-11-22,0,0,0,0.005328,0,3614158.0
2020-11-21,0,0,0,0.005593,0,3791253.0
2020-11-20,0,0,0,0.005773,0,3910962.0
2020-11-19,0,0,0,0.005345,0,3619262.0
2020-11-18,0,0,0,0.0057,0,3857766.0
2020-11-17,0,0,0,0.005654,0,3824321.0
2020-11-16,0,0,0,0.005183,0,3504473.0
2020-11-15,0,0,0,0.005265,0,3557688.0
2020-11-14,0,0,0,0.004981,0,3363174.0
2020-11-13,0,0,0,0.005385,0,3633717.0
2020-11-12,0,0,0,0.004883,0,3292947.0
2020-11-11,0,0,0,0.005022,0,3384587.0
2020-11-10,0,0,0,0.005046,0,3398616.0
2020-11-09,0,0,0,0.004907,0,3303190.0
2020-11-08,0,0,0,0.004953,0,3332493.0
2020-11-07,0,0,0,0.00445,0,2991876.0
2020-11-06,0,0,0,0.004514,0,3033038.0
2020-11-05,0,0,0,0.004674,0,3139180.0
2020-11-04,0,0,0,0.00438,0,2939917.0
2020-11-03,0,0,0,0.00487,0,3268027.0
2020-11-02,0,0,0,0.00461,0,3092315.0
2020-11-01,0,0,0,0.00467,0,3131757.0
2020-10-31,0,0,0,0.005099,0,3417914.0
2020-10-30,0,0,0,0.004741,0,3176910.0
2020-10-29,0,0,0,0.004838,0,3240368.0
2020-10-28,0,0,0,0.004778,0,3199117.0
2020-10-27,0,0,0,0.00491,0,3286373.0
2020-10-26,0,0,0,0.004575,0,3061277.0
2020-10-25,0,0,0,0.00508,0,3397263.0
2020-10-24,0,0,0,0.004852,0,3242642.0
2020-10-23,0,0,0,0.005042,0,3368085.0
2020-10-22,0,0,0,0.004797,0,3201619.0
2020-10-21,0,0,0,0.004617,0,3080931.0
2020-10-20,0,0,0,0.005005,0,3339572.0
2020-10-19,0,0,0,0.005636,0,3758966.0
2020-10-18,0,0,0,0.005512,0,3674019.0
2020-10-17,0,0,0,0.006361,0,4237071.0
2020-10-16,0,0,0,0.00385,0,2562610.0
2020-10-15,0,0,0,0.003908,0,2600166.0
2020-10-14,0,0,0,0.003772,0,2508086.0
2020-10-13,0,0,0,0.003771,0,2505850.0
2020-10-12,0,0,0,0.004044,0,2686195.0
2020-10-11,0,0,0,0.003984,0,2644219.0
2020-10-10,0,0,0,0.003841,0,2547411.0
2020-10-09,0,0,0,0.003983,0,2640508.0
2020-10-08,0,0,0,0.00382,0,2531373.0
2020-10-07,0,0,0,0.003521,0,2331570.0
2020-10-06,0,0,0,0.003499,0,2316565.0
2020-10-05,0,0,0,0.003778,0,2499574.0
2020-10-04,0,0,0,0.003627,0,2398339.0
2020-10-03,0,0,0,0.003587,0,2370108.0
2020-10-02,0,0,0,0.003807,0,2514784.0
2020-10-01,0,0,0,0.003929,0,2594328.0
2020-09-30,0,0,0,0.00399,0,2633475.0
2020-09-29,0,0,0,0.004013,0,2646758.0
2020-09-28,0,0,0,0.00407,0,2683137.0
2020-09-27,0,0,0,0.004095,0,2697777.0
2020-09-26,0,0,0,0.003978,0,2618859.0
2020-09-25,0,0,0,0.004277,0,2814178.0
2020-09-24,0,0,0,0.004412,0,2901238.0
2020-09-23,0,0,0,0.004611,0,3030761.0
2020-09-22,0,0,0,0.00453,0,2977255.0
2020-09-21,0,0,0,0.004598,0,3020542.0
2020-09-20,0,0,0,0.005246,0,3444170.0
2020-09-19,0,0,0,0.004879,0,3201194.0
2020-09-18,0,0,0,0.00503,0,3297949.0
2020-09-17,0,0,0,0.006018,0,3943485.0
2020-09-16,0,0,0,0.005373,0,3518303.0
2020-09-15,0,0,0,0.005396,0,3531353.0
2020-09-14,0,0,0,0.005232,0,3421793.0
2020-09-13,0,0,0,0.005164,0,3375017.0
2020-09-12,0,0,0,0.005435,0,3549373.0
2020-09-11,0,0,0,0.005199,0,3393065.0
2020-09-10,0,0,0,0.005589,0,3645130.0
2020-09-09,0,0,0,0.005423,0,3535519.0
2020-09-08,0,0,0,0.005773,0,3760784.0
2020-09-07,0,0,0,0.007752,0,5046924.0
2020-09-06,0,0,0,0.007754,0,5044628.0
2020-09-05,0,0,0,0.007673,0,4988697.0
2020-09-04,0,0,0,0.008067,0,5241636.0
2020-09-03,0,0,0,0.007537,0,4895622.0
2020-09-02,0,0,0,0.008987,0,5835354.0
2020-09-01,0,0,0,0.008966,0,5818583.0
2020-08-31,0,0,0,0.008824,0,5723931.0
2020-08-30,0,0,0,0.009059,0,5872693.0
2020-08-29,0,0,0,0.009004,0,5832791.0
