date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,3.03,0,6512057.0
2020-12-13,0,0,0,3.1,0,6666849.0
2020-12-12,0,0,0,2.83,0,6073343.0
2020-12-11,0,0,0,2.83,0,6080884.0
2020-12-10,0,0,0,2.92,0,6272773.0
2020-12-09,0,0,0,3.01,0,6461558.0
2020-12-08,0,0,0,3.2,0,6873808.0
2020-12-07,0,0,0,3.75,0,8056577.0
2020-12-06,0,0,0,2.95,0,6336008.0
2020-12-05,0,0,0,3.46,0,7442273.0
2020-12-04,0,0,0,3.7,0,7949558.0
2020-12-03,0,0,0,4.0,0,8588348.0
2020-12-02,0,0,0,3.52,0,7575176.0
2020-12-01,0,0,0,3.21,0,6906588.0
2020-11-30,0,0,0,3.78,0,8116180.0
2020-11-29,0,0,0,3.6,0,7744797.0
2020-11-28,0,0,0,3.11,0,6675313.0
2020-11-27,0,0,0,2.78,0,5967203.0
2020-11-26,0,0,0,4.6,0,9891109.0
2020-11-25,0,0,0,5.81,0,12497310.0
2020-11-24,0,0,0,5.63,0,12105197.0
2020-11-23,0,0,0,4.36,0,9371265.0
2020-11-22,0,0,0,5.06,0,10872015.0
2020-11-21,0,0,0,4.69,0,10078496.0
2020-11-20,0,0,0,4.91,0,10545030.0
2020-11-19,0,0,0,4.98,0,10707565.0
2020-11-18,0,0,0,3.58,0,7691563.0
2020-11-17,0,0,0,4.41,0,9474500.0
2020-11-16,0,0,0,4.51,0,9690928.0
2020-11-15,0,0,0,3.82,0,8211691.0
2020-11-14,0,0,0,4.37,0,9398747.0
2020-11-13,0,0,0,4.46,0,9595471.0
2020-11-12,0,0,0,4.26,0,9161581.0
2020-11-11,0,0,0,4.53,0,9744762.0
2020-11-10,0,0,0,4.22,0,9061531.0
2020-11-09,0,0,0,3.61,0,7751961.0
2020-11-08,0,0,0,4.19,0,9017680.0
2020-11-07,0,0,0,3.68,0,7909969.0
2020-11-06,0,0,0,4.35,0,9356093.0
2020-11-05,0,0,0,3.64,0,7820123.0
2020-11-04,0,0,0,3.26,0,7012880.0
2020-11-03,0,0,0,2.5,0,5384114.0
2020-11-02,0,0,0,2.81,0,6033801.0
2020-11-01,0,0,0,2.63,0,5655461.0
2020-10-31,0,0,0,2.79,0,5997644.0
2020-10-30,0,0,0,2.52,0,5418971.0
2020-10-29,0,0,0,2.58,0,5548952.0
2020-10-28,0,0,0,2.61,0,5614873.0
2020-10-27,0,0,0,2.43,0,5220047.0
2020-10-26,0,0,0,2.74,0,5885573.0
2020-10-25,0,0,0,2.31,0,4962654.0
2020-10-24,0,0,0,2.87,0,6159766.0
2020-10-23,0,0,0,2.8,0,6015342.0
2020-10-22,0,0,0,2.56,0,5510576.0
2020-10-21,0,0,0,2.68,0,5762168.0
2020-10-20,0,0,0,2.43,0,5214752.0
2020-10-19,0,0,0,2.35,0,5050323.0
2020-10-18,0,0,0,2.7,0,5800024.0
2020-10-17,0,0,0,2.55,0,5474028.0
2020-10-16,0,0,0,2.56,0,5496090.0
2020-10-15,0,0,0,3.19,0,6852413.0
2020-10-14,0,0,0,3.05,0,6550952.0
2020-10-13,0,0,0,3.02,0,6500940.0
2020-10-12,0,0,0,3.1,0,6662556.0
2020-10-11,0,0,0,2.77,0,5954136.0
2020-10-10,0,0,0,2.7,0,5795153.0
2020-10-09,0,0,0,2.77,0,5958213.0
2020-10-08,0,0,0,2.62,0,5627353.0
2020-10-07,0,0,0,3.29,0,7061882.0
2020-10-06,0,0,0,2.79,0,5993549.0
2020-10-05,0,0,0,2.75,0,5908587.0
2020-10-04,0,0,0,2.29,0,4926397.0
2020-10-03,0,0,0,3.06,0,6578748.0
2020-10-02,0,0,0,2.62,0,5635721.0
2020-10-01,0,0,0,2.81,0,6043376.0
2020-09-30,0,0,0,2.74,0,5883956.0
2020-09-29,0,0,0,2.75,0,5910937.0
2020-09-28,0,0,0,2.8,0,6010163.0
2020-09-27,0,0,0,3.15,0,6763401.0
2020-09-26,0,0,0,2.7,0,5798703.0
2020-09-25,0,0,0,2.6,0,5580991.0
2020-09-24,0,0,0,2.88,0,6201706.0
2020-09-23,0,0,0,2.39,0,5132930.0
2020-09-22,0,0,0,2.52,0,5420929.0
2020-09-21,0,0,0,2.73,0,5874209.0
2020-09-20,0,0,0,2.89,0,6209570.0
2020-09-19,0,0,0,2.82,0,6065285.0
2020-09-18,0,0,0,3.09,0,6645098.0
2020-09-17,0,0,0,2.95,0,6330825.0
2020-09-16,0,0,0,2.99,0,6426607.0
2020-09-15,0,0,0,2.74,0,5892059.0
2020-09-14,0,0,0,2.95,0,6330821.0
2020-09-13,0,0,0,2.71,0,5817719.0
2020-09-12,0,0,0,3.03,0,6509475.0
2020-09-11,0,0,0,3.22,0,6918591.0
2020-09-10,0,0,0,2.68,0,5751340.0
