date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,8.94,0,174095626.0
2020-12-13,0,0,0,9.09,0,176930384.0
2020-12-12,0,0,0,9.02,0,175538174.0
2020-12-11,0,0,0,8.65,0,168495986.0
2020-12-10,0,0,0,8.97,0,174572001.0
2020-12-09,0,0,0,9.31,0,181277372.0
2020-12-08,0,0,0,9.13,0,177834824.0
2020-12-07,0,0,0,9.45,0,184063379.0
2020-12-06,0,0,0,9.14,0,178040390.0
2020-12-05,0,0,0,9.63,0,187594564.0
2020-12-04,0,0,0,9.36,0,182265458.0
2020-12-03,0,0,0,9.68,0,188476446.0
2020-12-02,0,0,0,9.41,0,183308310.0
2020-12-01,0,0,0,9.52,0,185393838.0
2020-11-30,0,0,0,9.46,0,184258280.0
2020-11-29,0,0,0,9.51,0,185215150.0
2020-11-28,0,0,0,9.83,0,191439915.0
2020-11-27,0,0,0,9.62,0,187274375.0
2020-11-26,0,0,0,9.33,0,181597129.0
2020-11-25,0,0,0,9.81,0,190999191.0
2020-11-24,0,0,0,10.61,0,206535655.0
2020-11-23,0,0,0,10.4,0,202536443.0
2020-11-22,0,0,0,8.54,0,166365407.0
2020-11-21,0,0,0,8.35,0,162507711.0
2020-11-20,0,0,0,8.07,0,157121930.0
2020-11-19,0,0,0,8.07,0,157118045.0
2020-11-18,0,0,0,9.2,0,179191342.0
2020-11-17,0,0,0,11.0,0,214157352.0
2020-11-16,0,0,0,10.51,0,204643653.0
2020-11-15,0,0,0,9.86,0,191896578.0
2020-11-14,0,0,0,11.72,0,228283239.0
2020-11-13,0,0,0,12.08,0,235271283.0
2020-11-12,0,0,0,10.28,0,200145560.0
2020-11-11,0,0,0,9.18,0,178804204.0
2020-11-10,0,0,0,7.52,0,146381953.0
2020-11-09,0,0,0,7.52,0,146397476.0
2020-11-08,0,0,0,7.55,0,146990351.0
2020-11-07,0,0,0,7.25,0,141119111.0
2020-11-06,0,0,0,7.44,0,144805991.0
2020-11-05,0,0,0,7.45,0,145054892.0
2020-11-04,0,0,0,6.75,0,131447524.0
2020-11-03,0,0,0,6.68,0,130104741.0
2020-11-02,0,0,0,6.02,0,117157644.0
2020-11-01,0,0,0,6.1,0,118798603.0
2020-10-31,0,0,0,5.33,0,103858350.0
2020-10-30,0,0,0,4.51,0,87854816.0
2020-10-29,0,0,0,4.17,0,81178117.0
2020-10-28,0,0,0,4.06,0,79011171.0
2020-10-27,0,0,0,3.96,0,77021371.0
2020-10-26,0,0,0,3.88,0,75481385.0
2020-10-25,0,0,0,4.03,0,78512572.0
2020-10-24,0,0,0,4.01,0,78137059.0
2020-10-23,0,0,0,3.74,0,72842413.0
2020-10-22,0,0,0,3.68,0,71686478.0
2020-10-21,0,0,0,3.64,0,70913942.0
2020-10-20,0,0,0,3.29,0,64029786.0
2020-10-19,0,0,0,3.24,0,63041390.0
2020-10-18,0,0,0,3.16,0,61459311.0
2020-10-17,0,0,0,3.2,0,62400760.0
2020-10-16,0,0,0,3.25,0,63365554.0
2020-10-15,0,0,0,3.25,0,63310263.0
2020-10-14,0,0,0,3.29,0,64074981.0
2020-10-13,0,0,0,3.14,0,61085165.0
2020-10-12,0,0,0,3.16,0,61548346.0
2020-10-11,0,0,0,3.15,0,61394812.0
2020-10-10,0,0,0,3.15,0,61239103.0
2020-10-09,0,0,0,3.08,0,60009855.0
2020-10-08,0,0,0,2.96,0,57679274.0
2020-10-07,0,0,0,2.92,0,56777360.0
2020-10-06,0,0,0,2.8,0,54549872.0
2020-10-05,0,0,0,2.83,0,55079280.0
2020-10-04,0,0,0,2.8,0,54568244.0
2020-10-03,0,0,0,2.78,0,54149195.0
2020-10-02,0,0,0,2.74,0,53339136.0
2020-10-01,0,0,0,2.69,0,52377044.0
2020-09-30,0,0,0,2.7,0,52617914.0
2020-09-29,0,0,0,2.73,0,53237033.0
2020-09-28,0,0,0,2.67,0,51974196.0
2020-09-27,0,0,0,2.69,0,52371666.0
2020-09-26,0,0,0,2.68,0,52197188.0
2020-09-25,0,0,0,2.68,0,52127678.0
2020-09-24,0,0,0,2.68,0,52258627.0
2020-09-23,0,0,0,2.57,0,49986050.0
2020-09-22,0,0,0,2.61,0,50889283.0
2020-09-21,0,0,0,2.58,0,50261859.0
2020-09-20,0,0,0,2.66,0,51703322.0
2020-09-19,0,0,0,2.67,0,51912234.0
2020-09-18,0,0,0,2.63,0,51291786.0
2020-09-17,0,0,0,2.66,0,51864514.0
2020-09-16,0,0,0,2.76,0,53680880.0
2020-09-15,0,0,0,2.78,0,54081001.0
2020-09-14,0,0,0,2.88,0,56002173.0
2020-09-13,0,0,0,2.65,0,51665660.0
2020-09-12,0,0,0,2.59,0,50432967.0
2020-09-11,0,0,0,2.56,0,49890839.0
2020-09-10,0,0,0,2.59,0,50403542.0
2020-09-09,0,0,0,2.56,0,49886695.0
2020-09-08,0,0,0,2.49,0,48418224.0
2020-09-07,0,0,0,2.44,0,47578976.0
2020-09-06,0,0,0,2.41,0,46833486.0
2020-09-05,0,0,0,2.38,0,46413500.0
2020-09-04,0,0,0,2.47,0,48095809.0
2020-09-03,0,0,0,2.4,0,46714727.0
2020-09-02,0,0,0,2.63,0,51234905.0
2020-09-01,0,0,0,2.82,0,54872160.0
2020-08-31,0,0,0,2.78,0,54148748.0
