date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,4.2e-05,0,4243179.0
2020-12-13,0,0,0,4.1e-05,0,4194351.0
2020-12-12,0,0,0,4e-05,0,4059924.0
2020-12-11,0,0,0,4e-05,0,4110425.0
2020-12-10,0,0,0,3.7e-05,0,3778440.0
2020-12-09,0,0,0,4.3e-05,0,4352922.0
2020-12-08,0,0,0,4.3e-05,0,4344153.0
2020-12-07,0,0,0,4.3e-05,0,4363991.0
2020-12-06,0,0,0,3.5e-05,0,3543241.0
2020-12-05,0,0,0,3.5e-05,0,3562999.0
2020-12-04,0,0,0,4.1e-05,0,4200453.0
2020-12-03,0,0,0,4.1e-05,0,4133015.0
2020-12-02,0,0,0,4.3e-05,0,4391916.0
2020-12-01,0,0,0,4.3e-05,0,4407563.0
2020-11-30,0,0,0,4.4e-05,0,4433274.0
2020-11-29,0,0,0,4.3e-05,0,4380945.0
2020-11-28,0,0,0,4.1e-05,0,4141989.0
2020-11-27,0,0,0,3.8e-05,0,3832196.0
2020-11-26,0,0,0,4.2e-05,0,4323239.0
2020-11-25,0,0,0,4.3e-05,0,4397889.0
2020-11-24,0,0,0,4.3e-05,0,4386331.0
2020-11-23,0,0,0,4.4e-05,0,4444653.0
2020-11-22,0,0,0,4.3e-05,0,4374447.0
2020-11-21,0,0,0,4.4e-05,0,4475569.0
2020-11-20,0,0,0,4.3e-05,0,4404876.0
2020-11-19,0,0,0,4.2e-05,0,4291870.0
2020-11-18,0,0,0,4.3e-05,0,4387440.0
2020-11-17,0,0,0,4.3e-05,0,4363156.0
2020-11-16,0,0,0,4.4e-05,0,4457113.0
2020-11-15,0,0,0,4.3e-05,0,4348779.0
2020-11-14,0,0,0,4.4e-05,0,4475200.0
2020-11-13,0,0,0,4e-05,0,4035100.0
2020-11-12,0,0,0,4.2e-05,0,4315071.0
2020-11-11,0,0,0,4.3e-05,0,4365121.0
2020-11-10,0,0,0,4.3e-05,0,4405652.0
2020-11-09,0,0,0,4.3e-05,0,4421571.0
2020-11-08,0,0,0,4.3e-05,0,4431444.0
2020-11-07,0,0,0,4.2e-05,0,4318995.0
2020-11-06,0,0,0,4.7e-05,0,4777566.0
2020-11-05,0,0,0,4.7e-05,0,4786435.0
2020-11-04,0,0,0,4.7e-05,0,4786572.0
2020-11-03,0,0,0,4.1e-05,0,4161141.0
2020-11-02,0,0,0,4.1e-05,0,4150117.0
2020-11-01,0,0,0,4.1e-05,0,4218794.0
2020-10-31,0,0,0,4.2e-05,0,4261503.0
2020-10-30,0,0,0,4.2e-05,0,4256934.0
2020-10-29,0,0,0,4.2e-05,0,4251464.0
2020-10-28,0,0,0,4.2e-05,0,4255915.0
2020-10-27,0,0,0,4.2e-05,0,4270097.0
2020-10-26,0,0,0,4.2e-05,0,4285108.0
2020-10-25,0,0,0,4.2e-05,0,4273482.0
2020-10-24,0,0,0,4.2e-05,0,4296314.0
2020-10-23,0,0,0,4.3e-05,0,4338276.0
2020-10-22,0,0,0,4.3e-05,0,4357500.0
2020-10-21,0,0,0,4.2e-05,0,4304227.0
2020-10-20,0,0,0,4.3e-05,0,4355033.0
2020-10-19,0,0,0,4.3e-05,0,4336943.0
2020-10-18,0,0,0,4.2e-05,0,4327571.0
2020-10-17,0,0,0,4.3e-05,0,4414751.0
2020-10-16,0,0,0,4.3e-05,0,4418732.0
2020-10-15,0,0,0,4.3e-05,0,4416583.0
2020-10-14,0,0,0,4.4e-05,0,4455741.0
2020-10-13,0,0,0,4.4e-05,0,4461538.0
2020-10-12,0,0,0,4.4e-05,0,4480049.0
2020-10-11,0,0,0,4.4e-05,0,4452438.0
2020-10-10,0,0,0,4.1e-05,0,4219491.0
2020-10-09,0,0,0,4.1e-05,0,4190482.0
2020-10-08,0,0,0,4.1e-05,0,4208408.0
2020-10-07,0,0,0,4.2e-05,0,4294523.0
2020-10-06,0,0,0,4.4e-05,0,4529441.0
2020-10-05,0,0,0,4.2e-05,0,4265126.0
2020-10-04,0,0,0,4.2e-05,0,4275932.0
2020-10-03,0,0,0,4.2e-05,0,4280929.0
2020-10-02,0,0,0,4.2e-05,0,4276788.0
2020-10-01,0,0,0,4.2e-05,0,4305805.0
2020-09-30,0,0,0,4.3e-05,0,4419558.0
2020-09-29,0,0,0,4.3e-05,0,4426144.0
2020-09-28,0,0,0,4.2e-05,0,4267011.0
2020-09-27,0,0,0,4.4e-05,0,4445832.0
