date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,19278.18,0,2217208654.0
2020-12-13,0,0,0,19163.82,0,2204055978.0
2020-12-12,0,0,0,18781.91,0,2160131277.0
2020-12-11,0,0,0,18054.93,0,2095471438.0
2020-12-10,0,0,0,18250.66,0,2136456509.0
2020-12-09,0,0,0,18531.15,0,2181894715.0
2020-12-08,0,0,0,18327.37,0,2175532279.0
2020-12-07,0,0,0,19176.63,0,2290706061.0
2020-12-06,0,0,0,19383.04,0,2334556266.0
2020-12-05,0,0,0,19150.38,0,2306533639.0
2020-12-04,0,0,0,18665.34,0,2248114074.0
2020-12-03,0,0,0,19460.82,0,2333225039.0
2020-12-02,0,0,0,19214.0,0,2303632752.0
2020-12-01,0,0,0,18828.38,0,2257399044.0
2020-11-30,0,0,0,19619.04,0,2390214222.0
2020-11-29,0,0,0,18167.78,0,2231572045.0
2020-11-28,0,0,0,17734.59,0,2178363397.0
2020-11-27,0,0,0,17060.39,0,2095550255.0
2020-11-26,0,0,0,17123.87,0,2103348252.0
2020-11-25,0,0,0,18690.25,0,2320980155.0
2020-11-24,0,0,0,19146.87,0,2377686828.0
2020-11-23,0,0,0,18358.94,0,2285715719.0
2020-11-22,0,0,0,18398.17,0,2286162966.0
2020-11-21,0,0,0,18601.53,0,2311431779.0
2020-11-20,0,0,0,18623.14,0,2314118069.0
2020-11-19,0,0,0,17788.12,0,2210357252.0
2020-11-18,0,0,0,17793.18,0,2210986516.0
2020-11-17,0,0,0,17654.39,0,2193740325.0
2020-11-16,0,0,0,16665.2,0,2070822758.0
2020-11-15,0,0,0,15887.32,0,1974163274.0
2020-11-14,0,0,0,16039.94,0,1993128660.0
2020-11-13,0,0,0,16232.42,0,2012178426.0
2020-11-12,0,0,0,16226.76,0,2002555322.0
2020-11-11,0,0,0,15696.94,0,1937170498.0
2020-11-10,0,0,0,15243.55,0,1881216944.0
2020-11-09,0,0,0,15294.62,0,1887519843.0
2020-11-08,0,0,0,15451.87,0,1906925822.0
2020-11-07,0,0,0,14823.49,0,1829377020.0
2020-11-06,0,0,0,15533.68,0,1917021744.0
2020-11-05,0,0,0,15509.62,0,1909712140.0
2020-11-04,0,0,0,14066.75,0,1720098483.0
2020-11-03,0,0,0,13913.53,0,1701362248.0
2020-11-02,0,0,0,13432.18,0,1588795003.0
2020-11-01,0,0,0,13649.2,0,1606961708.0
2020-10-31,0,0,0,13715.4,0,1614754749.0
2020-10-30,0,0,0,13503.27,0,1582357110.0
2020-10-29,0,0,0,13413.61,0,1567852212.0
2020-10-28,0,0,0,13225.86,0,1555165526.0
2020-10-27,0,0,0,13617.29,0,1555415940.0
2020-10-26,0,0,0,13054.63,0,1491146975.0
2020-10-25,0,0,0,13030.18,0,1446022505.0
2020-10-24,0,0,0,13106.41,0,1454481668.0
2020-10-23,0,0,0,12914.28,0,1433160677.0
2020-10-22,0,0,0,12941.4,0,1436170036.0
2020-10-21,0,0,0,12861.89,0,1380539969.0
2020-10-20,0,0,0,11919.94,0,1272882545.0
2020-10-19,0,0,0,11735.53,0,1240286231.0
2020-10-18,0,0,0,11486.04,0,1207545502.0
2020-10-17,0,0,0,11360.86,0,1194385021.0
2020-10-16,0,0,0,11318.26,0,1189907184.0
2020-10-15,0,0,0,11491.65,0,1208135588.0
2020-10-14,0,0,0,11430.97,0,1201756410.0
2020-10-13,0,0,0,11428.22,0,1144360094.0
2020-10-12,0,0,0,11542.79,0,1132756183.0
2020-10-11,0,0,0,11379.34,0,1089757802.0
2020-10-10,0,0,0,11306.53,0,1082559562.0
2020-10-09,0,0,0,11071.43,0,1060049777.0
2020-10-08,0,0,0,10908.86,0,1038486424.0
2020-10-07,0,0,0,10670.39,0,1005119079.0
2020-10-06,0,0,0,10612.54,0,999669303.0
2020-10-05,0,0,0,10798.55,0,1007321545.0
2020-10-04,0,0,0,10667.02,0,995052319.0
2020-10-03,0,0,0,10556.77,0,984767740.0
2020-10-02,0,0,0,10573.44,0,978923923.0
2020-10-01,0,0,0,10621.46,0,983369956.0
2020-09-30,0,0,0,10779.26,0,991871034.0
2020-09-29,0,0,0,10843.73,0,997803250.0
2020-09-28,0,0,0,10761.22,0,979454391.0
2020-09-27,0,0,0,10782.93,0,932424625.0
2020-09-26,0,0,0,10756.71,0,930157481.0
2020-09-25,0,0,0,10693.95,0,914040370.0
2020-09-24,0,0,0,10738.43,0,876966943.0
2020-09-23,0,0,0,10264.76,0,808451368.0
2020-09-22,0,0,0,10539.12,0,820579122.0
2020-09-21,0,0,0,10551.35,0,814147904.0
2020-09-20,0,0,0,10967.94,0,844927646.0
2020-09-19,0,0,0,11145.55,0,847580772.0
2020-09-18,0,0,0,10949.36,0,804478048.0
2020-09-17,0,0,0,10991.92,0,708608948.0
2020-09-16,0,0,0,11031.11,0,644073532.0
2020-09-15,0,0,0,10823.35,0,631943067.0
2020-09-14,0,0,0,10700.85,0,608318325.0
2020-09-13,0,0,0,10367.3,0,589357083.0
2020-09-12,0,0,0,10473.92,0,581280007.0
2020-09-11,0,0,0,10398.09,0,554725435.0
2020-09-10,0,0,0,10381.27,0,532504332.0
2020-09-09,0,0,0,10264.38,0,507271257.0
2020-09-08,0,0,0,10146.91,0,482645257.0
2020-09-07,0,0,0,10370.37,0,481404806.0
2020-09-06,0,0,0,10299.87,0,459600487.0
2020-09-05,0,0,0,10272.64,0,449604309.0
2020-09-04,0,0,0,10548.82,0,437175780.0
2020-09-03,0,0,0,10564.66,0,437832317.0
2020-09-02,0,0,0,11495.74,0,449530258.0
2020-09-01,0,0,0,11750.63,0,447751610.0
2020-08-31,0,0,0,11845.59,0,417623883.0
2020-08-30,0,0,0,11740.33,0,387508326.0
2020-08-29,0,0,0,12299.79,0,398720103.0
2020-08-28,0,0,0,11675.8,0,378492183.0
2020-08-27,0,0,0,11479.18,0,360643818.0
2020-08-26,0,0,0,11626.01,0,361538431.0
2020-08-25,0,0,0,11449.23,0,356041214.0
2020-08-24,0,0,0,11749.63,0,361859481.0
2020-08-23,0,0,0,11622.21,0,357935397.0
2020-08-22,0,0,0,11692.23,0,360091924.0
2020-08-21,0,0,0,11430.2,0,352022049.0
2020-08-20,0,0,0,11771.51,0,362533371.0
2020-08-19,0,0,0,11767.34,0,362404938.0
2020-08-18,0,0,0,12125.71,0,348716536.0
2020-08-17,0,0,0,12180.55,0,345423898.0
2020-08-16,0,0,0,12036.5,0,320283421.0
2020-08-15,0,0,0,11646.02,0,299370628.0
2020-08-14,0,0,0,11953.82,0,276825515.0
2020-08-13,0,0,0,11906.39,0,251282957.0
2020-08-12,0,0,0,11637.43,0,238626946.0
2020-08-11,0,0,0,11503.52,0,232431824.0
2020-08-10,0,0,0,12008.02,0,232063264.0
2020-08-09,0,0,0,11745.58,0,193471228.0
2020-08-08,0,0,0,11724.59,0,191965555.0
2020-08-07,0,0,0,11562.45,0,189310771.0
2020-08-06,0,0,0,11783.52,0,192930382.0
2020-08-05,0,0,0,11551.9,0,182764007.0
2020-08-04,0,0,0,11144.51,0,172976964.0
2020-08-03,0,0,0,11126.89,0,172703517.0
2020-08-02,0,0,0,10876.97,0,168824481.0
2020-08-01,0,0,0,11930.54,0,185177098.0
2020-07-31,0,0,0,11919.18,0,185000837.0
2020-07-30,0,0,0,11226.7,0,174252614.0
2020-07-29,0,0,0,11218.18,0,174120378.0
2020-07-28,0,0,0,10894.48,0,169096132.0
2020-07-27,0,0,0,11039.95,0,169147631.0
2020-07-26,0,0,0,9940.04,0,149822119.0
2020-07-25,0,0,0,9707.1,0,145350706.0
2020-07-24,0,0,0,9514.07,0,142460396.0
2020-07-23,0,0,0,9666.25,0,142807143.0
2020-07-22,0,0,0,9533.76,0,132501876.0
2020-07-21,0,0,0,9356.65,0,114422582.0
2020-07-20,0,0,0,9125.05,0,111590340.0
2020-07-19,0,0,0,9154.0,0,111944353.0
2020-07-18,0,0,0,9132.39,0,106441201.0
2020-07-17,0,0,0,9133.3,0,105082754.0
