date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,7.8e-05,0,24480280.0
2020-12-13,0,0,0,8e-05,0,25116748.0
2020-12-12,0,0,0,8.1e-05,0,25259296.0
2020-12-11,0,0,0,7.8e-05,0,24336983.0
2020-12-10,0,0,0,7.8e-05,0,24516576.0
2020-12-09,0,0,0,7.9e-05,0,24827482.0
2020-12-08,0,0,0,8.2e-05,0,25807340.0
2020-12-07,0,0,0,9e-05,0,28168257.0
2020-12-06,0,0,0,7.6e-05,0,23916916.0
2020-12-05,0,0,0,7.5e-05,0,23525744.0
2020-12-04,0,0,0,7.3e-05,0,22941863.0
2020-12-03,0,0,0,7.6e-05,0,23887574.0
2020-12-02,0,0,0,7.8e-05,0,24612748.0
2020-12-01,0,0,0,7.8e-05,0,24412913.0
2020-11-30,0,0,0,8e-05,0,25020709.0
2020-11-29,0,0,0,7.8e-05,0,24428968.0
2020-11-28,0,0,0,8.2e-05,0,25776763.0
2020-11-27,0,0,0,7.9e-05,0,24915588.0
2020-11-26,0,0,0,7.9e-05,0,24921762.0
2020-11-25,0,0,0,8.9e-05,0,27988926.0
2020-11-24,0,0,0,9.4e-05,0,29469865.0
2020-11-23,0,0,0,9.4e-05,0,29329207.0
2020-11-22,0,0,0,9.2e-05,0,28884418.0
2020-11-21,0,0,0,9.9e-05,0,31087871.0
2020-11-20,0,0,0,9.6e-05,0,30114518.0
2020-11-19,0,0,0,9.6e-05,0,30122043.0
2020-11-18,0,0,0,9.8e-05,0,30757089.0
2020-11-17,0,0,0,9.5e-05,0,29904735.0
2020-11-16,0,0,0,9.4e-05,0,29426600.0
2020-11-15,0,0,0,8.9e-05,0,27994203.0
2020-11-14,0,0,0,8.8e-05,0,27724088.0
2020-11-13,0,0,0,8.7e-05,0,27350237.0
2020-11-12,0,0,0,8.6e-05,0,27010245.0
2020-11-11,0,0,0,8.9e-05,0,27872298.0
2020-11-10,0,0,0,9e-05,0,28282617.0
2020-11-09,0,0,0,8.9e-05,0,27951432.0
2020-11-08,0,0,0,9.2e-05,0,28845950.0
2020-11-07,0,0,0,8.8e-05,0,27673395.0
2020-11-06,0,0,0,9.7e-05,0,30426613.0
2020-11-05,0,0,0,9e-05,0,28137700.0
2020-11-04,0,0,0,8.8e-05,0,27536760.0
2020-11-03,0,0,0,9.3e-05,0,29067139.0
2020-11-02,0,0,0,9e-05,0,28293089.0
2020-11-01,0,0,0,9.6e-05,0,30154359.0
2020-10-31,0,0,0,8.3e-05,0,25999630.0
2020-10-30,0,0,0,8e-05,0,25093242.0
2020-10-29,0,0,0,8.2e-05,0,25657882.0
2020-10-28,0,0,0,8.1e-05,0,25537262.0
2020-10-27,0,0,0,8.2e-05,0,25709688.0
2020-10-26,0,0,0,8.1e-05,0,25293164.0
2020-10-25,0,0,0,8.3e-05,0,25949944.0
2020-10-24,0,0,0,8.3e-05,0,26001984.0
2020-10-23,0,0,0,8.2e-05,0,25741185.0
2020-10-22,0,0,0,8.3e-05,0,26079171.0
2020-10-21,0,0,0,8.2e-05,0,25786325.0
2020-10-20,0,0,0,7.9e-05,0,24881206.0
2020-10-19,0,0,0,7.8e-05,0,24565211.0
2020-10-18,0,0,0,7.7e-05,0,24044931.0
2020-10-17,0,0,0,7.6e-05,0,23931534.0
2020-10-16,0,0,0,7.8e-05,0,24570345.0
2020-10-15,0,0,0,7.9e-05,0,24629996.0
2020-10-14,0,0,0,7.7e-05,0,23991337.0
2020-10-13,0,0,0,8.1e-05,0,25255626.0
2020-10-12,0,0,0,8.1e-05,0,25496512.0
2020-10-11,0,0,0,8.1e-05,0,25488775.0
2020-10-10,0,0,0,8.1e-05,0,25383726.0
2020-10-09,0,0,0,8.2e-05,0,25740482.0
2020-10-08,0,0,0,8e-05,0,25179788.0
2020-10-07,0,0,0,8e-05,0,24943851.0
2020-10-06,0,0,0,8e-05,0,25061996.0
2020-10-05,0,0,0,8.3e-05,0,25925878.0
2020-10-04,0,0,0,8.3e-05,0,26061276.0
2020-10-03,0,0,0,8.3e-05,0,26157902.0
2020-10-02,0,0,0,8e-05,0,25169388.0
2020-10-01,0,0,0,8.3e-05,0,26108896.0
2020-09-30,0,0,0,8.7e-05,0,27430617.0
2020-09-29,0,0,0,8.1e-05,0,25440549.0
2020-09-28,0,0,0,8.1e-05,0,25375747.0
2020-09-27,0,0,0,8.5e-05,0,26692690.0
2020-09-26,0,0,0,8.9e-05,0,27890634.0
2020-09-25,0,0,0,8.3e-05,0,25973027.0
2020-09-24,0,0,0,8.3e-05,0,25929562.0
2020-09-23,0,0,0,7.9e-05,0,24823414.0
2020-09-22,0,0,0,8.2e-05,0,25692532.0
2020-09-21,0,0,0,8.4e-05,0,26255196.0
2020-09-20,0,0,0,8.7e-05,0,27336919.0
2020-09-19,0,0,0,9.2e-05,0,28796443.0
2020-09-18,0,0,0,9.2e-05,0,28969205.0
2020-09-17,0,0,0,9.8e-05,0,30831358.0
2020-09-16,0,0,0,9.8e-05,0,30884422.0
2020-09-15,0,0,0,0.000107,0,33603817.0
2020-09-14,0,0,0,0.000106,0,33197781.0
2020-09-13,0,0,0,0.000105,0,32988264.0
2020-09-12,0,0,0,0.000119,0,37446507.0
2020-09-11,0,0,0,0.000118,0,37059331.0
2020-09-10,0,0,0,0.000123,0,38437951.0
2020-09-09,0,0,0,0.000113,0,35515109.0
2020-09-08,0,0,0,0.000117,0,36635397.0
2020-09-07,0,0,0,0.00011,0,34527177.0
2020-09-06,0,0,0,0.000113,0,35439481.0
2020-09-05,0,0,0,0.000107,0,33563514.0
2020-09-04,0,0,0,0.000109,0,34255111.0
2020-09-03,0,0,0,0.000126,0,39377243.0
2020-09-02,0,0,0,0.00013,0,40789367.0
2020-09-01,0,0,0,0.000123,0,38525179.0
2020-08-31,0,0,0,0.000131,0,41145441.0
2020-08-30,0,0,0,0.00012,0,37542455.0
2020-08-29,0,0,0,0.000112,0,35029713.0
2020-08-28,0,0,0,0.000114,0,35799666.0
2020-08-27,0,0,0,0.000103,0,32235774.0
2020-08-26,0,0,0,0.000107,0,33592740.0
2020-08-25,0,0,0,0.000102,0,31948718.0
2020-08-24,0,0,0,0.00011,0,34562447.0
2020-08-23,0,0,0,0.000109,0,34236829.0
2020-08-22,0,0,0,0.000106,0,33253562.0
2020-08-21,0,0,0,0.000104,0,32674566.0
2020-08-20,0,0,0,0.000111,0,34758049.0
2020-08-19,0,0,0,0.000108,0,34013873.0
2020-08-18,0,0,0,0.000119,0,37430279.0
2020-08-17,0,0,0,0.000137,0,43081705.0
2020-08-16,0,0,0,0.000118,0,37021716.0
2020-08-15,0,0,0,0.000119,0,37304205.0
2020-08-14,0,0,0,0.000113,0,35560442.0
2020-08-13,0,0,0,0.00012,0,37758721.0
2020-08-12,0,0,0,0.000123,0,38561322.0
2020-08-11,0,0,0,0.000117,0,36818725.0
2020-08-10,0,0,0,0.000112,0,35160385.0
2020-08-09,0,0,0,0.00012,0,37582702.0
2020-08-08,0,0,0,0.000129,0,40307479.0
2020-08-07,0,0,0,0.0001,0,31207969.0
2020-08-06,0,0,0,8.2e-05,0,25686577.0
2020-08-05,0,0,0,7.8e-05,0,24608293.0
2020-08-04,0,0,0,7.9e-05,0,24732954.0
2020-08-03,0,0,0,7.8e-05,0,24549333.0
2020-08-02,0,0,0,7.8e-05,0,24426589.0
2020-08-01,0,0,0,8.4e-05,0,26329385.0
2020-07-31,0,0,0,8e-05,0,25014713.0
2020-07-30,0,0,0,8e-05,0,25029152.0
2020-07-29,0,0,0,7.8e-05,0,24413704.0
2020-07-28,0,0,0,8e-05,0,24942029.0
2020-07-27,0,0,0,7.5e-05,0,23622308.0
2020-07-26,0,0,0,8e-05,0,24954928.0
2020-07-25,0,0,0,8e-05,0,25120573.0
2020-07-24,0,0,0,8.4e-05,0,26230446.0
2020-07-23,0,0,0,8e-05,0,24944917.0
2020-07-22,0,0,0,7.9e-05,0,24823654.0
2020-07-21,0,0,0,7.7e-05,0,24171993.0
2020-07-20,0,0,0,7.7e-05,0,24285028.0
2020-07-19,0,0,0,7.3e-05,0,22985761.0
2020-07-18,0,0,0,7.3e-05,0,23025384.0
