date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.00961,0,31717191.0
2020-12-13,0,0,0,0.009675,0,31933339.0
2020-12-12,0,0,0,0.009581,0,31622740.0
2020-12-11,0,0,0,0.009324,0,30773313.0
2020-12-10,0,0,0,0.009347,0,30851167.0
2020-12-09,0,0,0,0.009566,0,31571090.0
2020-12-08,0,0,0,0.009293,0,30671500.0
2020-12-07,0,0,0,0.009553,0,31529934.0
2020-12-06,0,0,0,0.009657,0,31872593.0
2020-12-05,0,0,0,0.009724,0,32095620.0
2020-12-04,0,0,0,0.009663,0,31893827.0
2020-12-03,0,0,0,0.009567,0,31576192.0
2020-12-02,0,0,0,0.009601,0,31688361.0
2020-12-01,0,0,0,0.0097,0,32016248.0
2020-11-30,0,0,0,0.009683,0,31959833.0
2020-11-29,0,0,0,0.009176,0,28449054.0
2020-11-28,0,0,0,0.008946,0,27738508.0
2020-11-27,0,0,0,0.008794,0,27265988.0
2020-11-26,0,0,0,0.008389,0,26010651.0
2020-11-25,0,0,0,0.009351,0,28993044.0
2020-11-24,0,0,0,0.006721,0,20837237.0
2020-11-23,0,0,0,0.007539,0,23375498.0
2020-11-22,0,0,0,0.007343,0,22767070.0
2020-11-21,0,0,0,0.007231,0,22419633.0
2020-11-20,0,0,0,0.007218,0,22378883.0
2020-11-19,0,0,0,0.006887,0,21352072.0
2020-11-18,0,0,0,0.006493,0,20131314.0
2020-11-17,0,0,0,0.006325,0,19611391.0
2020-11-16,0,0,0,0.005873,0,18208860.0
2020-11-15,0,0,0,0.007117,0,22065313.0
2020-11-14,0,0,0,0.006844,0,21221171.0
2020-11-13,0,0,0,0.008099,0,25110158.0
2020-11-12,0,0,0,0.008586,0,26621016.0
2020-11-11,0,0,0,0.009009,0,27930866.0
2020-11-10,0,0,0,0.008943,0,27727840.0
2020-11-09,0,0,0,0.008783,0,27231488.0
2020-11-08,0,0,0,0.008796,0,27272397.0
2020-11-07,0,0,0,0.008781,0,27226976.0
2020-11-06,0,0,0,0.008861,0,27472121.0
2020-11-05,0,0,0,0.008691,0,26946634.0
2020-11-04,0,0,0,0.008762,0,27167447.0
2020-11-03,0,0,0,0.008645,0,26804207.0
2020-11-02,0,0,0,0.008755,0,27143349.0
2020-11-01,0,0,0,0.008881,0,27536184.0
2020-10-31,0,0,0,0.008934,0,27699128.0
2020-10-30,0,0,0,0.009014,0,27046676.0
2020-10-29,0,0,0,0.00878,0,26344103.0
2020-10-28,0,0,0,0.008659,0,25982095.0
2020-10-27,0,0,0,0.008897,0,26695703.0
2020-10-26,0,0,0,0.008994,0,26985978.0
2020-10-25,0,0,0,0.008875,0,26630381.0
2020-10-24,0,0,0,0.008913,0,26744470.0
2020-10-23,0,0,0,0.008828,0,26488671.0
2020-10-22,0,0,0,0.008924,0,26776880.0
2020-10-21,0,0,0,0.008851,0,26556783.0
2020-10-20,0,0,0,0.009191,0,27578972.0
2020-10-19,0,0,0,0.009355,0,28069364.0
2020-10-18,0,0,0,0.009514,0,28547297.0
2020-10-17,0,0,0,0.009396,0,28193618.0
2020-10-16,0,0,0,0.0094,0,28206020.0
2020-10-15,0,0,0,0.009706,0,29123299.0
2020-10-14,0,0,0,0.009822,0,29469705.0
2020-10-13,0,0,0,0.009798,0,29398966.0
2020-10-12,0,0,0,0.009444,0,28335944.0
2020-10-11,0,0,0,0.009997,0,29996947.0
2020-10-10,0,0,0,0.009785,0,29359690.0
2020-10-09,0,0,0,0.00943,0,28295476.0
2020-10-08,0,0,0,0.009228,0,27689307.0
2020-10-07,0,0,0,0.009292,0,27879235.0
2020-10-06,0,0,0,0.00915,0,27453309.0
2020-10-05,0,0,0,0.009277,0,27835688.0
2020-10-04,0,0,0,0.009352,0,28060111.0
2020-10-03,0,0,0,0.009064,0,27196915.0
2020-10-02,0,0,0,0.008913,0,26744197.0
2020-10-01,0,0,0,0.009105,0,27318204.0
2020-09-30,0,0,0,0.009063,0,25380204.0
2020-09-29,0,0,0,0.009364,0,26224742.0
