date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.65503,0,6550299.0
2020-12-13,0,0,0,0.657422,0,6574217.0
2020-12-12,0,0,0,0.636419,0,6364185.0
2020-12-11,0,0,0,0.611569,0,6115687.0
2020-12-10,0,0,0,0.625508,0,6255079.0
2020-12-09,0,0,0,0.638921,0,6389213.0
2020-12-08,0,0,0,0.222655,0,2226545.0
2020-12-07,0,0,0,0.239589,0,2395894.0
2020-12-06,0,0,0,0.541484,0,5414845.0
2020-12-05,0,0,0,0.216155,0,2161547.0
2020-12-04,0,0,0,0.185378,0,1853784.0
2020-12-03,0,0,0,1.23,0,12279382.0
2020-12-02,0,0,0,1.19,0,11939133.0
2020-12-01,0,0,0,1.17,0,11718889.0
2020-11-30,0,0,0,1.23,0,12257334.0
2020-11-29,0,0,0,1.15,0,11465395.0
2020-11-28,0,0,0,1.08,0,10774741.0
2020-11-27,0,0,0,0.135158,0,1351581.0
2020-11-26,0,0,0,1.03,0,10319841.0
2020-11-25,0,0,0,1.13,0,11349807.0
2020-11-24,0,0,0,1.2,0,11954373.0
2020-11-23,0,0,0,1.2,0,11983802.0
2020-11-22,0,0,0,1.11,0,11101113.0
2020-11-21,0,0,0,0.111835,0,1118352.0
2020-11-20,0,0,0,0.111749,0,1117495.0
2020-11-19,0,0,0,0.184581,0,1845812.0
2020-11-18,0,0,0,0.186002,0,1860025.0
2020-11-17,0,0,0,0.123672,0,1236717.0
2020-11-16,0,0,0,0.940033,0,9400332.0
2020-11-15,0,0,0,0.912233,0,9122326.0
2020-11-14,0,0,0,0.16228,0,1622802.0
2020-11-13,0,0,0,0.230082,0,2300818.0
2020-11-12,0,0,0,0.951035,0,9510349.0
2020-11-11,0,0,0,0.949371,0,9493710.0
2020-11-10,0,0,0,0.214057,0,2140571.0
2020-11-09,0,0,0,0.226929,0,2269287.0
2020-11-08,0,0,0,0.932684,0,9326845.0
2020-11-07,0,0,0,0.215312,0,2153118.0
2020-11-06,0,0,0,0.233774,0,2337743.0
2020-11-05,0,0,0,0.247723,0,2477231.0
2020-11-04,0,0,0,0.247334,0,2473338.0
2020-11-03,0,0,0,0.249703,0,2497026.0
2020-11-02,0,0,0,0.245553,0,2455529.0
2020-11-01,0,0,0,0.267865,0,2678647.0
2020-10-31,0,0,0,0.275624,0,2756243.0
2020-10-30,0,0,0,0.270927,0,2709269.0
2020-10-29,0,0,0,0.224415,0,2244151.0
2020-10-28,0,0,0,0.814417,0,8144167.0
2020-10-27,0,0,0,0.227764,0,2277645.0
2020-10-26,0,0,0,0.825197,0,8251965.0
2020-10-25,0,0,0,0.84662,0,8466196.0
2020-10-24,0,0,0,0.85852,0,8585203.0
2020-10-23,0,0,0,0.235297,0,2352973.0
2020-10-22,0,0,0,0.229496,0,2294963.0
2020-10-21,0,0,0,0.233392,0,2333916.0
2020-10-20,0,0,0,0.760099,0,7600991.0
2020-10-19,0,0,0,0.777674,0,7776735.0
2020-10-18,0,0,0,0.772318,0,7723175.0
2020-10-17,0,0,0,0.754625,0,7546250.0
2020-10-16,0,0,0,0.749651,0,7496510.0
2020-10-15,0,0,0,0.771055,0,7710553.0
2020-10-14,0,0,0,0.774088,0,7740882.0
2020-10-13,0,0,0,0.77708,0,7770800.0
2020-10-12,0,0,0,0.161775,0,1617749.0
2020-10-11,0,0,0,0.768497,0,7684972.0
2020-10-10,0,0,0,0.170575,0,1705751.0
2020-10-09,0,0,0,0.748657,0,7486574.0
2020-10-08,0,0,0,0.721038,0,7210384.0
2020-10-07,0,0,0,0.707827,0,7078267.0
2020-10-06,0,0,0,0.705448,0,7054477.0
2020-10-05,0,0,0,0.730531,0,7305315.0
2020-10-04,0,0,0,0.173127,0,1731265.0
2020-10-03,0,0,0,0.715028,0,7150277.0
2020-10-02,0,0,0,0.714782,0,7147817.0
2020-10-01,0,0,0,0.72754,0,7275399.0
2020-09-30,0,0,0,0.741052,0,7410520.0
2020-09-29,0,0,0,0.117996,0,1179964.0
2020-09-28,0,0,0,0.739175,0,7391747.0
2020-09-27,0,0,0,0.743862,0,7438618.0
2020-09-26,0,0,0,0.740152,0,7401525.0
2020-09-25,0,0,0,0.733702,0,7337024.0
2020-09-24,0,0,0,0.213605,0,2136050.0
2020-09-23,0,0,0,0.184431,0,1844314.0
2020-09-22,0,0,0,0.178582,0,1785818.0
2020-09-21,0,0,0,0.14316,0,1431604.0
2020-09-20,0,0,0,0.149566,0,1495662.0
2020-09-19,0,0,0,0.149566,0,1495662.0
2020-09-18,0,0,0,0.149566,0,1495662.0
2020-09-17,0,0,0,0.149566,0,1495662.0
2020-09-16,0,0,0,0.150222,0,1502222.0
2020-09-15,0,0,0,0.178357,0,1783574.0
2020-09-14,0,0,0,0.252727,0,2527267.0
2020-09-13,0,0,0,0.204505,0,2045046.0
2020-09-12,0,0,0,0.208518,0,2085177.0
2020-09-11,0,0,0,0.217324,0,2173244.0
2020-09-10,0,0,0,0.199741,0,1997411.0
2020-09-09,0,0,0,0.269199,0,2691995.0
2020-09-08,0,0,0,0.333189,0,3331889.0
2020-09-07,0,0,0,0.191267,0,1912667.0
2020-09-06,0,0,0,0.191267,0,1912667.0
2020-09-05,0,0,0,0.191267,0,1912667.0
2020-09-04,0,0,0,0.198197,0,1981971.0
2020-09-03,0,0,0,0.387721,0,3877215.0
2020-09-02,0,0,0,0.387721,0,3877215.0
2020-09-01,0,0,0,0.387721,0,3877215.0
2020-08-31,0,0,0,0.386255,0,3862546.0
2020-08-30,0,0,0,0.463192,0,4631918.0
2020-08-29,0,0,0,0.45706,0,4570604.0
2020-08-28,0,0,0,1.61,0,16093100.0
2020-08-27,0,0,0,1.58,0,15833741.0
2020-08-26,0,0,0,0.582057,0,5820572.0
2020-08-25,0,0,0,0.802087,0,8020868.0
2020-08-24,0,0,0,0.697219,0,6972188.0
2020-08-23,0,0,0,0.418229,0,4182290.0
2020-08-22,0,0,0,0.319039,0,3190392.0
2020-08-21,0,0,0,0.319039,0,3190392.0
2020-08-20,0,0,0,0.319039,0,3190392.0
2020-08-19,0,0,0,0.319364,0,3193640.0
2020-08-18,0,0,0,0.320818,0,3208176.0
2020-08-17,0,0,0,0.129336,0,1293356.0
2020-08-16,0,0,0,0.272154,0,2721542.0
2020-08-15,0,0,0,0.272154,0,2721542.0
2020-08-14,0,0,0,0.269365,0,2693655.0
2020-08-13,0,0,0,0.448367,0,4483672.0
2020-08-12,0,0,0,0.45153,0,4515303.0
2020-08-11,0,0,0,0.435379,0,4353795.0
2020-08-10,0,0,0,0.701246,0,7012462.0
2020-08-09,0,0,0,0.687511,0,6875114.0
2020-08-08,0,0,0,0.435036,0,4350358.0
2020-08-07,0,0,0,0.564436,0,5644358.0
2020-08-06,0,0,0,1.08,0,10841227.0
2020-08-05,0,0,0,1.08,0,10841227.0
2020-08-04,0,0,0,1.08,0,10841227.0
2020-08-03,0,0,0,1.08,0,10841227.0
2020-08-02,0,0,0,1.08,0,10841227.0
2020-08-01,0,0,0,1.08,0,10841227.0
2020-07-31,0,0,0,1.06,0,10585027.0
2020-07-30,0,0,0,0.922951,0,9229512.0
2020-07-29,0,0,0,0.922951,0,9229512.0
2020-07-28,0,0,0,0.922951,0,9229512.0
2020-07-27,0,0,0,0.922951,0,9229512.0
2020-07-26,0,0,0,0.821078,0,8210778.0
2020-07-25,0,0,0,1.06,0,10645515.0
2020-07-24,0,0,0,1.05,0,10538281.0
2020-07-23,0,0,0,1.05,0,10538281.0
2020-07-22,0,0,0,1.07,0,10722440.0
2020-07-21,0,0,0,1.04,0,10422141.0
2020-07-20,0,0,0,1.02,0,10191231.0
2020-07-19,0,0,0,1.1,0,11001219.0
2020-07-18,0,0,0,1.19,0,11869785.0
2020-07-17,0,0,0,1.19,0,11869785.0
2020-07-16,0,0,0,1.19,0,11873373.0
2020-07-15,0,0,0,1.03,0,10283675.0
2020-07-14,0,0,0,1.03,0,10283675.0
2020-07-13,0,0,0,1.03,0,10305570.0
2020-07-12,0,0,0,1.2,0,12032105.0
2020-07-11,0,0,0,1.19,0,11909978.0
2020-07-10,0,0,0,1.2,0,12019910.0
2020-07-09,0,0,0,1.2,0,12025255.0
2020-07-08,0,0,0,1.17,0,11729414.0
2020-07-07,0,0,0,1.2,0,11995552.0
2020-07-06,0,0,0,1.21,0,12085391.0
2020-07-05,0,0,0,1.28,0,12842542.0
2020-07-04,0,0,0,1.34,0,13425359.0
2020-07-03,0,0,0,1.39,0,13875845.0
2020-07-02,0,0,0,1.39,0,13875845.0
2020-07-01,0,0,0,1.39,0,13875845.0
2020-06-30,0,0,0,1.39,0,13875845.0
2020-06-29,0,0,0,1.38,0,13812822.0
2020-06-28,0,0,0,1.59,0,15923912.0
2020-06-27,0,0,0,1.59,0,15923912.0
2020-06-26,0,0,0,1.59,0,15923912.0
2020-06-25,0,0,0,1.59,0,15923912.0
2020-06-24,0,0,0,1.59,0,15923912.0
2020-06-23,0,0,0,1.59,0,15923912.0
2020-06-22,0,0,0,1.59,0,15923912.0
2020-06-21,0,0,0,1.59,0,15923912.0
2020-06-20,0,0,0,1.59,0,15923912.0
2020-06-19,0,0,0,1.59,0,15923912.0
2020-06-18,0,0,0,1.59,0,15923912.0
2020-06-17,0,0,0,1.6,0,16007184.0
2020-06-16,0,0,0,1.06,0,10592024.0
2020-06-15,0,0,0,1.06,0,10592024.0
2020-06-14,0,0,0,1.06,0,10592024.0
2020-06-13,0,0,0,1.07,0,10671901.0
2020-06-12,0,0,0,1.73,0,17287282.0
2020-06-11,0,0,0,1.73,0,17287282.0
2020-06-10,0,0,0,1.73,0,17287282.0
2020-06-09,0,0,0,1.73,0,17287282.0
2020-06-08,0,0,0,1.73,0,17287282.0
2020-06-07,0,0,0,1.73,0,17287282.0
2020-06-06,0,0,0,1.73,0,17287282.0
2020-06-05,0,0,0,1.73,0,17287282.0
2020-06-04,0,0,0,1.75,0,17474676.0
2020-06-03,0,0,0,1.68,0,16790176.0
2020-06-02,0,0,0,1.68,0,16790176.0
2020-06-01,0,0,0,1.68,0,16790176.0
2020-05-31,0,0,0,1.65,0,16499641.0
2020-05-30,0,0,0,1.54,0,15427581.0
2020-05-29,0,0,0,1.54,0,15427581.0
2020-05-28,0,0,0,1.54,0,15427581.0
2020-05-27,0,0,0,1.54,0,15427581.0
2020-05-26,0,0,0,1.54,0,15427581.0
2020-05-25,0,0,0,1.54,0,15427581.0
2020-05-24,0,0,0,1.54,0,15427581.0
2020-05-23,0,0,0,1.54,0,15427581.0
2020-05-22,0,0,0,1.54,0,15427581.0
2020-05-21,0,0,0,1.54,0,15427581.0
2020-05-20,0,0,0,1.54,0,15427581.0
2020-05-19,0,0,0,1.54,0,15427581.0
2020-05-18,0,0,0,1.54,0,15427581.0
2020-05-17,0,0,0,1.54,0,15427581.0
2020-05-16,0,0,0,1.54,0,15427581.0
2020-05-15,0,0,0,1.54,0,15427581.0
2020-05-14,0,0,0,1.54,0,15427581.0
2020-05-13,0,0,0,1.54,0,15427581.0
2020-05-12,0,0,0,1.54,0,15427581.0
2020-05-11,0,0,0,1.54,0,15427581.0
2020-05-10,0,0,0,1.54,0,15427581.0
2020-05-09,0,0,0,1.54,0,15427581.0
2020-05-08,0,0,0,1.57,0,15709689.0
2020-05-07,0,0,0,0.999885,0,9998847.0
2020-05-06,0,0,0,0.999885,0,9998847.0
2020-05-05,0,0,0,0.999885,0,9998847.0
2020-05-04,0,0,0,0.999885,0,9998847.0
2020-05-03,0,0,0,0.999885,0,9998847.0
2020-05-02,0,0,0,0.999885,0,9998847.0
2020-05-01,0,0,0,0.998286,0,9982858.0
2020-04-30,0,0,0,1.52,0,15156258.0
2020-04-29,0,0,0,1.54,0,15406626.0
2020-04-28,0,0,0,1.37,0,13703054.0
2020-04-27,0,0,0,1.41,0,14073420.0
2020-04-26,0,0,0,1.49,0,14899592.0
2020-04-25,0,0,0,1.31,0,13088225.0
2020-04-24,0,0,0,1.35,0,13549517.0
2020-04-23,0,0,0,1.34,0,13355525.0
2020-04-22,0,0,0,1.5,0,15034180.0
2020-04-21,0,0,0,1.23,0,12329224.0
2020-04-20,0,0,0,1.24,0,12383186.0
2020-04-19,0,0,0,1.28,0,12795406.0
2020-04-18,0,0,0,1.28,0,12795406.0
2020-04-17,0,0,0,1.28,0,12795406.0
2020-04-16,0,0,0,1.29,0,12867012.0
2020-04-15,0,0,0,0.957428,0,9574285.0
2020-04-14,0,0,0,0.971571,0,9715713.0
2020-04-13,0,0,0,1.15,0,11479039.0
2020-04-12,0,0,0,1.15,0,11479039.0
2020-04-11,0,0,0,1.15,0,11479039.0
2020-04-10,0,0,0,1.15,0,11479039.0
2020-04-09,0,0,0,1.15,0,11479039.0
2020-04-08,0,0,0,1.15,0,11479039.0
2020-04-07,0,0,0,1.15,0,11479039.0
2020-04-06,0,0,0,1.15,0,11479039.0
2020-04-05,0,0,0,1.15,0,11479039.0
2020-04-04,0,0,0,1.15,0,11479039.0
2020-04-03,0,0,0,1.15,0,11479039.0
2020-04-02,0,0,0,1.15,0,11479039.0
2020-04-01,0,0,0,1.15,0,11479039.0
2020-03-31,0,0,0,1.15,0,11479039.0
2020-03-30,0,0,0,1.15,0,11479039.0
2020-03-29,0,0,0,1.15,0,11479039.0
2020-03-28,0,0,0,1.15,0,11479039.0
2020-03-27,0,0,0,1.19,0,11912670.0
2020-03-26,0,0,0,1.22,0,12216689.0
2020-03-25,0,0,0,1.22,0,12216689.0
2020-03-24,0,0,0,1.2,0,11994564.0
2020-03-23,0,0,0,1.13,0,11336546.0
2020-03-22,0,0,0,0.908661,0,9086610.0
2020-03-21,0,0,0,0.908661,0,9086610.0
2020-03-20,0,0,0,0.908661,0,9086610.0
2020-03-19,0,0,0,0.908661,0,9086610.0
2020-03-18,0,0,0,0.908661,0,9086610.0
2020-03-17,0,0,0,0.909035,0,9090350.0
2020-03-16,0,0,0,0.9705,0,9704997.0
2020-03-15,0,0,0,0.9705,0,9704997.0
2020-03-14,0,0,0,0.947671,0,9476706.0
2020-03-13,0,0,0,1.03,0,10348084.0
2020-03-12,0,0,0,1.03,0,10348084.0
2020-03-11,0,0,0,1.57,0,15740662.0
2020-03-10,0,0,0,1.32,0,13188907.0
