date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,128.98,0,68146398.0
2020-12-13,0,0,0,127.18,0,67192250.0
2020-12-12,0,0,0,131.75,0,69598626.0
2020-12-11,0,0,0,135.47,0,71564319.0
2020-12-10,0,0,0,135.01,0,71319870.0
2020-12-09,0,0,0,139.01,0,73429027.0
2020-12-08,0,0,0,140.36,0,74141065.0
2020-12-07,0,0,0,146.56,0,77411231.0
2020-12-06,0,0,0,148.39,0,78224591.0
2020-12-05,0,0,0,149.03,0,78561330.0
2020-12-04,0,0,0,145.25,0,76568490.0
2020-12-03,0,0,0,152.98,0,80434566.0
2020-12-02,0,0,0,150.09,0,78914505.0
2020-12-01,0,0,0,146.08,0,76802259.0
2020-11-30,0,0,0,162.52,0,85438681.0
2020-11-29,0,0,0,153.72,0,80814419.0
2020-11-28,0,0,0,153.34,0,80615163.0
2020-11-27,0,0,0,149.84,0,78622109.0
2020-11-26,0,0,0,151.8,0,79651075.0
2020-11-25,0,0,0,164.07,0,86090542.0
2020-11-24,0,0,0,168.69,0,88509758.0
2020-11-23,0,0,0,158.76,0,83291570.0
2020-11-22,0,0,0,154.31,0,80952350.0
2020-11-21,0,0,0,157.96,0,82865813.0
2020-11-20,0,0,0,145.58,0,76373075.0
2020-11-19,0,0,0,140.36,0,73635036.0
2020-11-18,0,0,0,140.16,0,73530590.0
2020-11-17,0,0,0,140.23,0,73562143.0
2020-11-16,0,0,0,136.62,0,71670688.0
2020-11-15,0,0,0,135.8,0,71239450.0
2020-11-14,0,0,0,134.87,0,70754321.0
2020-11-13,0,0,0,140.37,0,73635576.0
2020-11-12,0,0,0,135.33,0,70995373.0
2020-11-11,0,0,0,135.62,0,71091101.0
2020-11-10,0,0,0,132.7,0,69554919.0
2020-11-09,0,0,0,133.19,0,69809171.0
2020-11-08,0,0,0,135.96,0,71155949.0
2020-11-07,0,0,0,133.02,0,69618705.0
2020-11-06,0,0,0,133.82,0,70030032.0
2020-11-05,0,0,0,131.86,0,68998368.0
2020-11-04,0,0,0,131.56,0,68834217.0
2020-11-03,0,0,0,133.01,0,69593738.0
2020-11-02,0,0,0,134.24,0,70221510.0
2020-11-01,0,0,0,133.62,0,69897377.0
2020-10-31,0,0,0,132.01,0,69055309.0
2020-10-30,0,0,0,134.28,0,70242956.0
2020-10-29,0,0,0,135.41,0,70831924.0
2020-10-28,0,0,0,134.81,0,70517348.0
2020-10-27,0,0,0,137.17,0,71754179.0
2020-10-26,0,0,0,136.68,0,71498008.0
2020-10-25,0,0,0,140.29,0,73387683.0
2020-10-24,0,0,0,143.24,0,74927008.0
2020-10-23,0,0,0,145.0,0,75845071.0
2020-10-22,0,0,0,145.8,0,76264277.0
2020-10-21,0,0,0,142.25,0,74408138.0
2020-10-20,0,0,0,137.71,0,72030783.0
2020-10-19,0,0,0,138.9,0,72654741.0
2020-10-18,0,0,0,137.55,0,71795104.0
2020-10-17,0,0,0,136.61,0,71303080.0
2020-10-16,0,0,0,136.16,0,71071986.0
2020-10-15,0,0,0,135.08,0,70505673.0
2020-10-14,0,0,0,134.42,0,70159997.0
2020-10-13,0,0,0,137.56,0,71802881.0
2020-10-12,0,0,0,138.58,0,72333273.0
2020-10-11,0,0,0,138.72,0,72407176.0
2020-10-10,0,0,0,139.4,0,72762809.0
2020-10-09,0,0,0,136.73,0,71368087.0
2020-10-08,0,0,0,135.84,0,70902926.0
2020-10-07,0,0,0,134.86,0,70389019.0
2020-10-06,0,0,0,136.63,0,71315945.0
2020-10-05,0,0,0,136.7,0,71350988.0
2020-10-04,0,0,0,135.85,0,70910502.0
2020-10-03,0,0,0,135.81,0,70887475.0
2020-10-02,0,0,0,135.14,0,70538433.0
2020-10-01,0,0,0,134.94,0,70435407.0
2020-09-30,0,0,0,135.19,0,70565904.0
2020-09-29,0,0,0,134.78,0,70347095.0
2020-09-28,0,0,0,130.8,0,68270469.0
2020-09-27,0,0,0,130.84,0,68295371.0
2020-09-26,0,0,0,132.38,0,69098054.0
2020-09-25,0,0,0,130.9,0,68325456.0
2020-09-24,0,0,0,133.76,0,69815674.0
2020-09-23,0,0,0,132.07,0,68936149.0
2020-09-22,0,0,0,133.66,0,69763244.0
2020-09-21,0,0,0,129.91,0,67806909.0
2020-09-20,0,0,0,136.4,0,71099360.0
2020-09-19,0,0,0,134.02,0,69859496.0
2020-09-18,0,0,0,139.04,0,72476817.0
2020-09-17,0,0,0,133.22,0,69444782.0
2020-09-16,0,0,0,126.13,0,65748686.0
2020-09-15,0,0,0,134.78,0,70159144.0
2020-09-14,0,0,0,136.18,0,70888823.0
2020-09-13,0,0,0,138.46,0,72076131.0
2020-09-12,0,0,0,150.45,0,78152730.0
2020-09-11,0,0,0,153.81,0,79710233.0
2020-09-10,0,0,0,160.59,0,83219775.0
2020-09-09,0,0,0,166.5,0,86280646.0
2020-09-08,0,0,0,157.5,0,81618310.0
2020-09-07,0,0,0,159.14,0,82470229.0
2020-09-06,0,0,0,159.31,0,82555365.0
2020-09-05,0,0,0,158.1,0,81925835.0
2020-09-04,0,0,0,164.67,0,85331940.0
2020-09-03,0,0,0,162.95,0,84441109.0
2020-09-02,0,0,0,176.46,0,91420467.0
2020-09-01,0,0,0,177.25,0,91832931.0
2020-08-31,0,0,0,175.65,0,90988911.0
2020-08-30,0,0,0,177.11,0,91743927.0
2020-08-29,0,0,0,181.85,0,94199951.0
2020-08-28,0,0,0,178.32,0,92370022.0
2020-08-27,0,0,0,170.87,0,88495311.0
2020-08-26,0,0,0,173.56,0,89888773.0
2020-08-25,0,0,0,173.76,0,89980992.0
2020-08-24,0,0,0,178.54,0,92454207.0
2020-08-23,0,0,0,176.67,0,91484601.0
2020-08-22,0,0,0,172.31,0,89226196.0
2020-08-21,0,0,0,172.68,0,89414986.0
2020-08-20,0,0,0,176.76,0,91526009.0
2020-08-19,0,0,0,176.14,0,91204823.0
2020-08-18,0,0,0,179.12,0,92750092.0
2020-08-17,0,0,0,180.93,0,93685343.0
2020-08-16,0,0,0,178.06,0,92197790.0
2020-08-15,0,0,0,176.03,0,91145253.0
2020-08-14,0,0,0,174.8,0,90496329.0
2020-08-13,0,0,0,177.55,0,91923436.0
2020-08-12,0,0,0,176.72,0,91494687.0
2020-08-11,0,0,0,176.71,0,91488621.0
2020-08-10,0,0,0,177.05,0,91647844.0
2020-08-09,0,0,0,175.82,0,91007763.0
2020-08-08,0,0,0,176.33,0,91268361.0
2020-08-07,0,0,0,168.0,0,86961401.0
2020-08-06,0,0,0,175.62,0,90902419.0
2020-08-05,0,0,0,175.52,0,90849957.0
2020-08-04,0,0,0,176.36,0,91287988.0
2020-08-03,0,0,0,168.95,0,87452048.0
2020-08-02,0,0,0,174.23,0,90122348.0
2020-08-01,0,0,0,184.61,0,95489547.0
2020-07-31,0,0,0,182.5,0,94379825.0
2020-07-30,0,0,0,183.47,0,94885321.0
2020-07-29,0,0,0,185.37,0,95863644.0
2020-07-28,0,0,0,178.81,0,92463995.0
2020-07-27,0,0,0,175.56,0,90786978.0
2020-07-26,0,0,0,177.37,0,91719192.0
2020-07-25,0,0,0,176.98,0,91521661.0
2020-07-24,0,0,0,177.17,0,91619106.0
2020-07-23,0,0,0,176.93,0,91494718.0
2020-07-22,0,0,0,176.57,0,91309513.0
2020-07-21,0,0,0,176.9,0,91474319.0
2020-07-20,0,0,0,173.34,0,89636057.0
2020-07-19,0,0,0,178.63,0,92367998.0
2020-07-18,0,0,0,174.69,0,90325258.0
2020-07-17,0,0,0,182.72,0,94480263.0
2020-07-16,0,0,0,171.68,0,88769053.0
