date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,152.68,0,2715576730.0
2020-12-13,0,0,0,151.91,0,2701686453.0
2020-12-12,0,0,0,146.72,0,2609305918.0
2020-12-11,0,0,0,141.56,0,2517280714.0
2020-12-10,0,0,0,133.9,0,2380943694.0
2020-12-09,0,0,0,132.63,0,2358284725.0
2020-12-08,0,0,0,135.71,0,2412988339.0
2020-12-07,0,0,0,138.92,0,2469986961.0
2020-12-06,0,0,0,134.65,0,2393871508.0
2020-12-05,0,0,0,133.36,0,2370812026.0
2020-12-04,0,0,0,127.02,0,2257939159.0
2020-12-03,0,0,0,133.02,0,2364465850.0
2020-12-02,0,0,0,127.9,0,2273362578.0
2020-12-01,0,0,0,125.93,0,2238232239.0
2020-11-30,0,0,0,129.71,0,2305391516.0
2020-11-29,0,0,0,123.99,0,2203590271.0
2020-11-28,0,0,0,122.0,0,2168139715.0
2020-11-27,0,0,0,117.31,0,2084661130.0
2020-11-26,0,0,0,119.35,0,2120770730.0
2020-11-25,0,0,0,129.15,0,2294350361.0
2020-11-24,0,0,0,135.2,0,2401704916.0
2020-11-23,0,0,0,129.89,0,2307354111.0
2020-11-22,0,0,0,123.33,0,2190908439.0
2020-11-21,0,0,0,128.07,0,2274996618.0
2020-11-20,0,0,0,120.94,0,2148312674.0
2020-11-19,0,0,0,118.39,0,2102747263.0
2020-11-18,0,0,0,123.64,0,2196081381.0
2020-11-17,0,0,0,125.43,0,2227736548.0
2020-11-16,0,0,0,117.98,0,2095339297.0
2020-11-15,0,0,0,114.62,0,2035536334.0
2020-11-14,0,0,0,116.58,0,2070171638.0
2020-11-13,0,0,0,114.11,0,2026292098.0
2020-11-12,0,0,0,112.05,0,1989513997.0
2020-11-11,0,0,0,113.37,0,2012820354.0
2020-11-10,0,0,0,115.33,0,2047676366.0
2020-11-09,0,0,0,115.66,0,2053335347.0
2020-11-08,0,0,0,120.33,0,2136196488.0
2020-11-07,0,0,0,111.31,0,1975955901.0
2020-11-06,0,0,0,119.48,0,2120829317.0
2020-11-05,0,0,0,119.81,0,2126591386.0
2020-11-04,0,0,0,115.96,0,2058026558.0
2020-11-03,0,0,0,120.73,0,2142700536.0
2020-11-02,0,0,0,118.73,0,2107114150.0
2020-11-01,0,0,0,126.56,0,2245789060.0
2020-10-31,0,0,0,126.34,0,2241757323.0
2020-10-30,0,0,0,122.95,0,2181584418.0
2020-10-29,0,0,0,124.28,0,2205096185.0
2020-10-28,0,0,0,126.35,0,2241666918.0
2020-10-27,0,0,0,133.73,0,2372429877.0
2020-10-26,0,0,0,132.02,0,2342031000.0
2020-10-25,0,0,0,130.8,0,2320219987.0
2020-10-24,0,0,0,129.0,0,2288098062.0
2020-10-23,0,0,0,127.3,0,2257830131.0
2020-10-22,0,0,0,127.07,0,2253432539.0
2020-10-21,0,0,0,121.75,0,2159175080.0
2020-10-20,0,0,0,117.95,0,2091194829.0
2020-10-19,0,0,0,125.4,0,2223439642.0
2020-10-18,0,0,0,123.63,0,2191912428.0
2020-10-17,0,0,0,120.04,0,2128299210.0
2020-10-16,0,0,0,120.19,0,2130963707.0
2020-10-15,0,0,0,129.83,0,2301802474.0
2020-10-14,0,0,0,128.7,0,2281643783.0
