date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.58,0,3169697.0
2020-12-13,0,0,0,3.03,0,3713649.0
2020-12-12,0,0,0,3.02,0,3698622.0
2020-12-11,0,0,0,2.87,0,3516028.0
2020-12-10,0,0,0,2.87,0,3525787.0
2020-12-09,0,0,0,2.94,0,3606863.0
2020-12-08,0,0,0,2.96,0,3635998.0
2020-12-07,0,0,0,3.23,0,3966890.0
2020-12-06,0,0,0,3.17,0,3885949.0
2020-12-05,0,0,0,3.13,0,3844274.0
2020-12-04,0,0,0,3.28,0,4028096.0
2020-12-03,0,0,0,3.19,0,3911175.0
2020-12-02,0,0,0,3.42,0,4193097.0
2020-12-01,0,0,0,3.22,0,3943972.0
2020-11-30,0,0,0,4.86,0,5957533.0
2020-11-29,0,0,0,3.15,0,3867353.0
2020-11-28,0,0,0,3.35,0,4111409.0
2020-11-27,0,0,0,3.06,0,3747572.0
2020-11-26,0,0,0,3.41,0,4183392.0
2020-11-25,0,0,0,3.5,0,4289710.0
2020-11-24,0,0,0,3.11,0,3812161.0
2020-11-23,0,0,0,3.8,0,4654531.0
2020-11-22,0,0,0,3.77,0,4618935.0
2020-11-21,0,0,0,4.33,0,5311316.0
2020-11-20,0,0,0,3.74,0,4583089.0
2020-11-19,0,0,0,4.32,0,5289285.0
2020-11-18,0,0,0,4.29,0,5260731.0
2020-11-17,0,0,0,4.22,0,5174753.0
2020-11-16,0,0,0,4.03,0,4936261.0
2020-11-15,0,0,0,3.96,0,4857405.0
2020-11-14,0,0,0,4.35,0,5334993.0
2020-11-13,0,0,0,4.67,0,5726007.0
2020-11-12,0,0,0,4.4,0,5385850.0
2020-11-11,0,0,0,4.5,0,5510272.0
2020-11-10,0,0,0,4.45,0,5445545.0
2020-11-09,0,0,0,4.45,0,5447461.0
2020-11-08,0,0,0,4.47,0,5481139.0
2020-11-07,0,0,0,4.34,0,5315525.0
2020-11-06,0,0,0,4.53,0,5544021.0
2020-11-05,0,0,0,4.38,0,5362452.0
2020-11-04,0,0,0,4.21,0,5156947.0
2020-11-03,0,0,0,3.99,0,4891276.0
2020-11-02,0,0,0,4.04,0,4942200.0
2020-11-01,0,0,0,4.75,0,5815751.0
2020-10-31,0,0,0,3.77,0,4620317.0
2020-10-30,0,0,0,4.87,0,5957120.0
2020-10-29,0,0,0,4.16,0,5096448.0
2020-10-28,0,0,0,4.83,0,5911354.0
2020-10-27,0,0,0,5.35,0,6551370.0
2020-10-26,0,0,0,4.95,0,6064180.0
2020-10-25,0,0,0,4.75,0,5816280.0
2020-10-24,0,0,0,5.12,0,6267537.0
2020-10-23,0,0,0,5.07,0,6209360.0
2020-10-22,0,0,0,5.02,0,6149957.0
2020-10-21,0,0,0,4.85,0,5940325.0
2020-10-20,0,0,0,4.91,0,6010198.0
2020-10-19,0,0,0,4.7,0,5753417.0
2020-10-18,0,0,0,3.73,0,4561177.0
2020-10-17,0,0,0,3.78,0,4622296.0
2020-10-16,0,0,0,4.01,0,4906245.0
2020-10-15,0,0,0,4.5,0,5503104.0
2020-10-14,0,0,0,4.45,0,5446258.0
2020-10-13,0,0,0,4.24,0,5183841.0
2020-10-12,0,0,0,4.26,0,5213857.0
2020-10-11,0,0,0,4.99,0,6106362.0
2020-10-10,0,0,0,5.04,0,6168362.0
2020-10-09,0,0,0,5.66,0,5877954.0
2020-10-08,0,0,0,5.7,0,5915316.0
2020-10-07,0,0,0,4.78,0,4957340.0
2020-10-06,0,0,0,3.97,0,4121490.0
2020-10-05,0,0,0,3.54,0,3675432.0
2020-10-04,0,0,0,3.14,0,3253851.0
2020-10-03,0,0,0,2.36,0,2450313.0
2020-10-02,0,0,0,2.77,0,2874316.0
2020-10-01,0,0,0,2.89,0,2996632.0
2020-09-30,0,0,0,2.6,0,2695505.0
2020-09-29,0,0,0,2.44,0,2526643.0
2020-09-28,0,0,0,2.6,0,2686229.0
2020-09-27,0,0,0,2.91,0,3009166.0
2020-09-26,0,0,0,2.6,0,2679681.0
2020-09-25,0,0,0,2.56,0,2643099.0
2020-09-24,0,0,0,2.59,0,2666259.0
2020-09-23,0,0,0,2.68,0,2753471.0
2020-09-22,0,0,0,2.98,0,3070022.0
2020-09-21,0,0,0,2.91,0,2988107.0
2020-09-20,0,0,0,3.2,0,3293781.0
2020-09-19,0,0,0,3.08,0,3159903.0
2020-09-18,0,0,0,3.21,0,3293278.0
2020-09-17,0,0,0,3.68,0,3775613.0
2020-09-16,0,0,0,4.04,0,4145152.0
2020-09-15,0,0,0,3.49,0,3579624.0
2020-09-14,0,0,0,3.56,0,3650251.0
2020-09-13,0,0,0,3.32,0,3406521.0
2020-09-12,0,0,0,3.1,0,3172893.0
2020-09-11,0,0,0,3.76,0,3849670.0
2020-09-10,0,0,0,3.64,0,3726920.0
2020-09-09,0,0,0,3.65,0,3741616.0
2020-09-08,0,0,0,3.32,0,3401689.0
2020-09-07,0,0,0,3.45,0,3530004.0
2020-09-06,0,0,0,3.57,0,3652214.0
2020-09-05,0,0,0,3.65,0,3734587.0
2020-09-04,0,0,0,3.86,0,3947509.0
2020-09-03,0,0,0,3.77,0,3854072.0
2020-09-02,0,0,0,4.23,0,4327203.0
2020-09-01,0,0,0,4.64,0,4743340.0
2020-08-31,0,0,0,5.83,0,5950380.0
2020-08-30,0,0,0,4.86,0,4959932.0
2020-08-29,0,0,0,4.61,0,4708785.0
2020-08-28,0,0,0,5.61,0,5726324.0
2020-08-27,0,0,0,4.21,0,4291699.0
2020-08-26,0,0,0,5.98,0,6098441.0
2020-08-25,0,0,0,5.45,0,5550861.0
2020-08-24,0,0,0,4.02,0,4093098.0
2020-08-23,0,0,0,4.26,0,4338116.0
2020-08-22,0,0,0,4.19,0,4269648.0
2020-08-21,0,0,0,4.33,0,4400579.0
2020-08-20,0,0,0,4.55,0,4623882.0
2020-08-19,0,0,0,3.87,0,3929687.0
2020-08-18,0,0,0,3.94,0,4002117.0
2020-08-17,0,0,0,4.56,0,4630044.0
2020-08-16,0,0,0,4.31,0,4374591.0
2020-08-15,0,0,0,4.74,0,4809054.0
2020-08-14,0,0,0,3.84,0,3895602.0
2020-08-13,0,0,0,4.04,0,4097225.0
2020-08-12,0,0,0,4.08,0,4137618.0
2020-08-11,0,0,0,3.83,0,3887126.0
2020-08-10,0,0,0,4.01,0,4060316.0
2020-08-09,0,0,0,4.1,0,4149933.0
2020-08-08,0,0,0,4.1,0,4151889.0
2020-08-07,0,0,0,4.71,0,4770938.0
2020-08-06,0,0,0,4.56,0,4618110.0
2020-08-05,0,0,0,4.67,0,4728046.0
2020-08-04,0,0,0,4.3,0,4351987.0
2020-08-03,0,0,0,4.58,0,4628515.0
2020-08-02,0,0,0,4.57,0,4615289.0
2020-08-01,0,0,0,5.25,0,5299735.0
2020-07-31,0,0,0,5.05,0,5093282.0
2020-07-30,0,0,0,4.77,0,4812855.0
2020-07-29,0,0,0,4.2,0,4232565.0
2020-07-28,0,0,0,4.57,0,4607757.0
2020-07-27,0,0,0,4.81,0,4843155.0
2020-07-26,0,0,0,4.61,0,4644487.0
2020-07-25,0,0,0,4.43,0,4454414.0
2020-07-24,0,0,0,4.53,0,4555322.0
2020-07-23,0,0,0,4.14,0,4162888.0
2020-07-22,0,0,0,4.79,0,4813224.0
2020-07-21,0,0,0,4.4,0,4421935.0
2020-07-20,0,0,0,4.51,0,4531212.0
2020-07-19,0,0,0,3.96,0,4716131.0
2020-07-18,0,0,0,4.07,0,4834992.0
2020-07-17,0,0,0,3.76,0,4465537.0
2020-07-16,0,0,0,4.13,0,4912078.0
2020-07-15,0,0,0,4.25,0,5013906.0
2020-07-14,0,0,0,4.93,0,5807535.0
2020-07-13,0,0,0,4.41,0,5198087.0
2020-07-12,0,0,0,3.78,0,4450245.0
2020-07-11,0,0,0,5.38,0,6334393.0
2020-07-10,0,0,0,4.84,0,4724583.0
2020-07-09,0,0,0,4.71,0,4596819.0
2020-07-08,0,0,0,4.43,0,4321697.0
2020-07-07,0,0,0,4.08,0,3983385.0
2020-07-06,0,0,0,4.11,0,4011677.0
2020-07-05,0,0,0,5.11,0,4979725.0
2020-07-04,0,0,0,5.62,0,5476318.0
2020-07-03,0,0,0,3.79,0,3685524.0
2020-07-02,0,0,0,3.48,0,3384296.0
2020-07-01,0,0,0,3.55,0,3448611.0
2020-06-30,0,0,0,3.37,0,3274715.0
2020-06-29,0,0,0,2.53,0,2456630.0
2020-06-28,0,0,0,3.79,0,3674428.0
2020-06-27,0,0,0,3.76,0,3638517.0
2020-06-26,0,0,0,3.53,0,3420412.0
2020-06-25,0,0,0,3.61,0,3492253.0
2020-06-24,0,0,0,3.41,0,3299716.0
2020-06-23,0,0,0,5.97,0,5776330.0
2020-06-22,0,0,0,3.79,0,3661951.0
2020-06-21,0,0,0,3.94,0,3809136.0
2020-06-20,0,0,0,2.59,0,2498520.0
2020-06-19,0,0,0,4.28,0,4138309.0
2020-06-18,0,0,0,4.55,0,4395498.0
2020-06-17,0,0,0,4.11,0,3971069.0
2020-06-16,0,0,0,2.8,0,2702868.0
2020-06-15,0,0,0,4.28,0,4125469.0
2020-06-14,0,0,0,4.02,0,3871059.0
2020-06-13,0,0,0,4.05,0,3897140.0
2020-06-12,0,0,0,4.16,0,3999885.0
2020-06-11,0,0,0,3.96,0,3812344.0
2020-06-10,0,0,0,4.91,0,4722632.0
2020-06-09,0,0,0,5.01,0,4812890.0
2020-06-08,0,0,0,4.81,0,4626295.0
2020-06-07,0,0,0,4.89,0,4696771.0
2020-06-06,0,0,0,4.76,0,4572159.0
2020-06-05,0,0,0,5.04,0,4840317.0
2020-06-04,0,0,0,4.82,0,4623192.0
2020-06-03,0,0,0,6.29,0,6034916.0
2020-06-02,0,0,0,5.23,0,5021938.0
2020-06-01,0,0,0,5.53,0,5303263.0
2020-05-31,0,0,0,5.32,0,5106192.0
2020-05-30,0,0,0,5.27,0,5054511.0
2020-05-29,0,0,0,5.15,0,4938828.0
2020-05-28,0,0,0,6.67,0,6389909.0
2020-05-27,0,0,0,5.48,0,5250485.0
2020-05-26,0,0,0,6.13,0,5871783.0
2020-05-25,0,0,0,6.28,0,6013569.0
2020-05-24,0,0,0,6.22,0,5919932.0
2020-05-23,0,0,0,5.38,0,5117987.0
2020-05-22,0,0,0,6.71,0,6383679.0
2020-05-21,0,0,0,6.34,0,6031552.0
2020-05-20,0,0,0,6.95,0,6608327.0
2020-05-19,0,0,0,6.73,0,6392448.0
2020-05-18,0,0,0,7.09,0,6737702.0
2020-05-17,0,0,0,7.93,0,7530755.0
2020-05-16,0,0,0,5.62,0,5338727.0
2020-05-15,0,0,0,8.0,0,7598533.0
2020-05-14,0,0,0,5.64,0,5355876.0
2020-05-13,0,0,0,8.24,0,7817811.0
2020-05-12,0,0,0,7.62,0,7234152.0
2020-05-11,0,0,0,4.76,0,3976517.0
2020-05-10,0,0,0,5.48,0,4580261.0
2020-05-09,0,0,0,5.94,0,4966856.0
2020-05-08,0,0,0,7.59,0,6337333.0
2020-05-07,0,0,0,7.59,0,6343005.0
2020-05-06,0,0,0,5.01,0,4189527.0
2020-05-05,0,0,0,4.9,0,4095174.0
2020-05-04,0,0,0,4.83,0,4033385.0
2020-05-03,0,0,0,5.23,0,4372442.0
2020-05-02,0,0,0,5.53,0,4622258.0
2020-05-01,0,0,0,5.47,0,4569510.0
2020-04-30,0,0,0,6.48,0,5417526.0
2020-04-29,0,0,0,6.81,0,5687439.0
2020-04-28,0,0,0,5.05,0,4217323.0
2020-04-27,0,0,0,6.04,0,5047278.0
2020-04-26,0,0,0,5.59,0,4671278.0
2020-04-25,0,0,0,3.16,0,2642748.0
2020-04-24,0,0,0,3.08,0,2571459.0
2020-04-23,0,0,0,3.23,0,2701096.0
2020-04-22,0,0,0,3.23,0,2694610.0
2020-04-21,0,0,0,3.16,0,2640369.0
2020-04-20,0,0,0,3.17,0,2651357.0
2020-04-19,0,0,0,3.42,0,2855256.0
2020-04-18,0,0,0,3.48,0,2909710.0
2020-04-17,0,0,0,3.47,0,2900205.0
2020-04-16,0,0,0,3.48,0,2904554.0
2020-04-15,0,0,0,3.58,0,2991188.0
2020-04-14,0,0,0,3.68,0,3074845.0
2020-04-13,0,0,0,4.39,0,3671482.0
2020-04-12,0,0,0,4.8,0,4009255.0
2020-04-11,0,0,0,4.54,0,3795039.0
2020-04-10,0,0,0,4.73,0,3955348.0
2020-04-09,0,0,0,5.01,0,4183057.0
2020-04-08,0,0,0,5.0,0,4180925.0
2020-04-07,0,0,0,4.96,0,4144992.0
2020-04-06,0,0,0,5.01,0,4189599.0
2020-04-05,0,0,0,4.67,0,3901453.0
2020-04-04,0,0,0,4.01,0,3346961.0
2020-04-03,0,0,0,4.65,0,3886612.0
2020-04-02,0,0,0,4.81,0,4014482.0
2020-04-01,0,0,0,4.67,0,3897549.0
2020-03-31,0,0,0,4.37,0,3649194.0
2020-03-30,0,0,0,4.08,0,3405157.0
2020-03-29,0,0,0,4.12,0,3441934.0
