date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.34,0,11997995.0
2020-12-13,0,0,0,2.35,0,11971599.0
2020-12-12,0,0,0,2.31,0,11721449.0
2020-12-11,0,0,0,2.25,0,11415744.0
2020-12-10,0,0,0,2.27,0,11398777.0
2020-12-09,0,0,0,2.3,0,11488227.0
2020-12-08,0,0,0,2.29,0,11432324.0
2020-12-07,0,0,0,2.37,0,11786023.0
2020-12-06,0,0,0,2.39,0,11834395.0
2020-12-05,0,0,0,2.01,0,9888329.0
2020-12-04,0,0,0,3.56,0,17485648.0
2020-12-03,0,0,0,3.67,0,18014279.0
2020-12-02,0,0,0,3.63,0,17770839.0
2020-12-01,0,0,0,3.58,0,17409283.0
2020-11-30,0,0,0,3.72,0,18033148.0
2020-11-29,0,0,0,3.55,0,17100454.0
2020-11-28,0,0,0,3.49,0,16714050.0
2020-11-27,0,0,0,3.39,0,16155007.0
2020-11-26,0,0,0,3.67,0,17425624.0
2020-11-25,0,0,0,3.92,0,18502377.0
2020-11-24,0,0,0,3.83,0,17968421.0
2020-11-23,0,0,0,3.77,0,17602442.0
2020-11-22,0,0,0,3.95,0,18329948.0
2020-11-21,0,0,0,3.83,0,17699362.0
2020-11-20,0,0,0,3.8,0,17456493.0
2020-11-19,0,0,0,3.76,0,17148645.0
2020-11-18,0,0,0,3.84,0,17460302.0
2020-11-17,0,0,0,3.59,0,16208760.0
2020-11-16,0,0,0,3.54,0,15906868.0
2020-11-15,0,0,0,3.32,0,14867853.0
2020-11-14,0,0,0,3.4,0,15094297.0
2020-11-13,0,0,0,3.5,0,15460744.0
2020-11-12,0,0,0,3.34,0,14643464.0
2020-11-11,0,0,0,3.33,0,14515747.0
2020-11-10,0,0,0,3.28,0,14200481.0
2020-11-09,0,0,0,3.28,0,14139169.0
2020-11-08,0,0,0,3.19,0,13657236.0
2020-11-07,0,0,0,2.98,0,12640003.0
2020-11-06,0,0,0,3.08,0,12983905.0
2020-11-05,0,0,0,3.1,0,13004314.0
2020-11-04,0,0,0,2.91,0,12052374.0
2020-11-03,0,0,0,2.99,0,12331514.0
2020-11-02,0,0,0,2.86,0,11713528.0
2020-11-01,0,0,0,2.87,0,11700067.0
2020-10-31,0,0,0,2.87,0,11673118.0
2020-10-30,0,0,0,2.82,0,11449381.0
2020-10-29,0,0,0,2.83,0,11413910.0
2020-10-28,0,0,0,2.82,0,11298608.0
2020-10-27,0,0,0,2.88,0,11374796.0
2020-10-26,0,0,0,2.89,0,11334514.0
2020-10-25,0,0,0,2.8,0,10918226.0
2020-10-24,0,0,0,2.89,0,11172706.0
2020-10-23,0,0,0,2.84,0,10891441.0
2020-10-22,0,0,0,2.84,0,10744562.0
2020-10-21,0,0,0,2.85,0,8962694.0
2020-10-20,0,0,0,2.69,0,8473562.0
2020-10-19,0,0,0,2.68,0,8446934.0
2020-10-18,0,0,0,2.62,0,8242773.0
2020-10-17,0,0,0,2.62,0,8247874.0
2020-10-16,0,0,0,2.62,0,8237767.0
2020-10-15,0,0,0,2.6,0,8193211.0
2020-10-14,0,0,0,2.64,0,8303086.0
2020-10-13,0,0,0,2.62,0,8241457.0
2020-10-12,0,0,0,2.67,0,8403741.0
2020-10-11,0,0,0,2.65,0,8349746.0
2020-10-10,0,0,0,2.63,0,8270450.0
2020-10-09,0,0,0,2.6,0,8169703.0
2020-10-08,0,0,0,2.54,0,7984384.0
2020-10-07,0,0,0,2.51,0,7904724.0
2020-10-06,0,0,0,2.52,0,7925075.0
2020-10-05,0,0,0,2.52,0,7918456.0
2020-10-04,0,0,0,2.55,0,8040307.0
2020-10-03,0,0,0,2.37,0,7450829.0
2020-10-02,0,0,0,2.42,0,7624548.0
2020-10-01,0,0,0,2.39,0,7528742.0
2020-09-30,0,0,0,2.41,0,7584027.0
2020-09-29,0,0,0,2.44,0,7673916.0
2020-09-28,0,0,0,2.45,0,7673916.0
