date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,504.27,0,25271359.0
2020-12-13,0,0,0,521.59,0,26139159.0
2020-12-12,0,0,0,426.36,0,21366847.0
2020-12-11,0,0,0,394.64,0,19777501.0
2020-12-10,0,0,0,408.54,0,20473753.0
2020-12-09,0,0,0,510.32,0,25574740.0
2020-12-08,0,0,0,494.9,0,24801967.0
2020-12-07,0,0,0,530.48,0,26584741.0
2020-12-06,0,0,0,627.32,0,31437730.0
2020-12-05,0,0,0,684.0,0,34278541.0
2020-12-04,0,0,0,633.73,0,31759092.0
2020-12-03,0,0,0,688.08,0,34482919.0
2020-12-02,0,0,0,772.97,0,38737064.0
2020-12-01,0,0,0,631.25,0,31634749.0
2020-11-30,0,0,0,662.18,0,33185194.0
2020-11-29,0,0,0,635.2,0,31833119.0
2020-11-28,0,0,0,684.97,0,34327234.0
2020-11-27,0,0,0,682.29,0,34192886.0
2020-11-26,0,0,0,633.68,0,31756613.0
2020-11-25,0,0,0,843.68,0,42280649.0
2020-11-24,0,0,0,927.21,0,46466718.0
2020-11-23,0,0,0,1079.35,0,54091236.0
2020-11-22,0,0,0,946.75,0,47446047.0
2020-11-21,0,0,0,843.51,0,42272208.0
2020-11-20,0,0,0,835.07,0,41849291.0
2020-11-19,0,0,0,659.81,0,33066346.0
2020-11-18,0,0,0,616.42,0,30891860.0
2020-11-17,0,0,0,649.94,0,32571555.0
2020-11-16,0,0,0,580.76,0,29104858.0
2020-11-15,0,0,0,469.11,0,23509329.0
2020-11-14,0,0,0,560.91,0,28109870.0
2020-11-13,0,0,0,491.41,0,24627018.0
2020-11-12,0,0,0,547.59,0,27442546.0
2020-11-11,0,0,0,643.56,0,32251966.0
2020-11-10,0,0,0,524.87,0,26303864.0
2020-11-09,0,0,0,436.62,0,21881223.0
2020-11-08,0,0,0,443.37,0,22219558.0
2020-11-07,0,0,0,416.6,0,20877913.0
2020-11-06,0,0,0,435.36,0,21817722.0
2020-11-05,0,0,0,398.58,0,19974584.0
2020-11-04,0,0,0,371.75,0,18630351.0
2020-11-03,0,0,0,389.29,0,19509292.0
2020-11-02,0,0,0,371.98,0,18641764.0
2020-11-01,0,0,0,393.18,0,19703964.0
2020-10-31,0,0,0,395.0,0,19795357.0
2020-10-30,0,0,0,342.94,0,17186493.0
2020-10-29,0,0,0,391.41,0,19615479.0
2020-10-28,0,0,0,421.14,0,21105178.0
2020-10-27,0,0,0,402.22,0,20156984.0
2020-10-26,0,0,0,408.02,0,20447807.0
2020-10-25,0,0,0,431.55,0,21627087.0
2020-10-24,0,0,0,443.33,0,22217467.0
2020-10-23,0,0,0,355.03,0,17792245.0
2020-10-22,0,0,0,336.15,0,16845932.0
2020-10-21,0,0,0,339.93,0,17035509.0
2020-10-20,0,0,0,336.78,0,16877616.0
2020-10-19,0,0,0,375.55,0,18632238.0
2020-10-18,0,0,0,365.79,0,18147871.0
2020-10-17,0,0,0,362.38,0,17978904.0
2020-10-16,0,0,0,370.42,0,18377706.0
2020-10-15,0,0,0,378.2,0,18763624.0
2020-10-14,0,0,0,411.2,0,20400941.0
2020-10-13,0,0,0,428.99,0,21283551.0
