date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.004962,0,7615458.0
2020-12-13,0,0,0,0.00493,0,7566690.0
2020-12-12,0,0,0,0.004615,0,7082480.0
2020-12-11,0,0,0,0.005003,0,7678003.0
2020-12-10,0,0,0,0.005141,0,7890666.0
2020-12-09,0,0,0,0.006466,0,9924134.0
2020-12-08,0,0,0,0.00687,0,10542745.0
2020-12-07,0,0,0,0.007333,0,11253463.0
2020-12-06,0,0,0,0.007176,0,11013042.0
2020-12-05,0,0,0,0.006888,0,10571802.0
2020-12-04,0,0,0,0.006871,0,10544783.0
2020-12-03,0,0,0,0.005985,0,9185009.0
2020-12-02,0,0,0,0.005003,0,7678103.0
2020-12-01,0,0,0,0.005081,0,7798485.0
2020-11-30,0,0,0,0.005155,0,7910996.0
2020-11-29,0,0,0,0.005808,0,8913329.0
2020-11-28,0,0,0,0.006193,0,9503942.0
2020-11-27,0,0,0,0.005723,0,8783869.0
2020-11-26,0,0,0,0.005448,0,8361732.0
2020-11-25,0,0,0,0.008536,0,13099894.0
2020-11-24,0,0,0,0.010694,0,16412834.0
2020-11-23,0,0,0,0.00704,0,10803875.0
2020-11-22,0,0,0,0.006805,0,10443878.0
2020-11-21,0,0,0,0.006845,0,10505690.0
2020-11-20,0,0,0,0.006084,0,9337531.0
2020-11-19,0,0,0,0.007099,0,10895047.0
2020-11-18,0,0,0,0.007831,0,12018099.0
2020-11-17,0,0,0,0.005364,0,8231645.0
2020-11-16,0,0,0,0.004227,0,6487623.0
2020-11-15,0,0,0,0.004143,0,6487623.0
2020-11-14,0,0,0,0.004745,0,6487623.0
2020-11-13,0,0,0,0.004309,0,6487623.0
2020-11-12,0,0,0,0.005102,0,6487623.0
2020-11-11,0,0,0,0.002551,0,6487623.0
2020-11-10,0,0,0,0.001912,0,6487623.0
2020-11-09,0,0,0,0.001702,0,6487623.0
2020-11-08,0,0,0,0.001254,0,6487623.0
2020-11-07,0,0,0,0.001651,0,6487623.0
2020-11-06,0,0,0,0.00081,0,6487623.0
2020-11-05,0,0,0,0.001028,0,6487623.0
2020-11-04,0,0,0,0.001207,0,6487623.0
2020-11-03,0,0,0,0.00196,0,6487623.0
2020-11-02,0,0,0,0.00166,0,6487623.0
2020-11-01,0,0,0,0.006288,0,6487623.0
2020-10-31,0,0,0,0.006288,0,6487623.0
2020-10-30,0,0,0,0.033573,0,6487623.0
2020-10-29,0,0,0,0.048097,0,6487623.0
2020-10-28,0,0,0,0.057575,0,6487623.0
2020-10-27,0,0,0,0.064977,0,6487623.0
2020-10-26,0,0,0,0.063217,0,6487623.0
2020-10-25,0,0,0,0.067348,0,6487623.0
2020-10-24,0,0,0,0.065988,0,6487623.0
2020-10-23,0,0,0,0.064513,0,6487623.0
2020-10-22,0,0,0,0.073333,0,6487623.0
2020-10-21,0,0,0,0.073236,0,6487623.0
2020-10-20,0,0,0,0.072141,0,6487623.0
2020-10-19,0,0,0,0.075607,0,6487623.0
2020-10-18,0,0,0,0.072076,0,6487623.0
2020-10-17,0,0,0,0.111589,0,6487623.0
2020-10-16,0,0,0,0.112776,0,6487623.0
2020-10-15,0,0,0,0.130155,0,6487623.0
2020-10-14,0,0,0,0.13136,0,6487623.0
2020-10-13,0,0,0,0.141521,0,6487623.0
2020-10-12,0,0,0,0.153614,0,6487623.0
2020-10-11,0,0,0,0.150468,0,6487623.0
2020-10-10,0,0,0,0.165428,0,6487623.0
2020-10-09,0,0,0,0.155221,0,6487623.0
2020-10-08,0,0,0,0.097847,0,6487623.0
2020-10-07,0,0,0,0.093035,0,6487623.0
2020-10-06,0,0,0,0.097295,0,6487623.0
