date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.149696,0,35349919.0
2020-12-13,0,0,0,0.145494,0,34357677.0
2020-12-12,0,0,0,0.153316,0,36204657.0
2020-12-11,0,0,0,0.087563,0,20677465.0
2020-12-10,0,0,0,0.094,0,22197496.0
2020-12-09,0,0,0,0.109531,0,25865233.0
2020-12-08,0,0,0,0.101211,0,23900343.0
2020-12-07,0,0,0,0.11242,0,26547243.0
2020-12-06,0,0,0,0.118181,0,27907804.0
2020-12-05,0,0,0,0.123027,0,29052144.0
2020-12-04,0,0,0,0.107647,0,25420175.0
2020-12-03,0,0,0,0.116918,0,27609446.0
2020-12-02,0,0,0,0.129057,0,30476116.0
2020-12-01,0,0,0,0.155262,0,36664212.0
2020-11-30,0,0,0,0.116531,0,27518130.0
2020-11-29,0,0,0,0.125972,0,29747695.0
2020-11-28,0,0,0,0.094219,0,22249197.0
2020-11-27,0,0,0,0.061197,0,14451230.0
2020-11-26,0,0,0,0.061315,0,14479264.0
2020-11-25,0,0,0,0.06489,0,15323348.0
2020-11-24,0,0,0,0.065355,0,15433167.0
2020-11-23,0,0,0,0.065897,0,15561190.0
2020-11-22,0,0,0,0.069786,0,16479531.0
2020-11-21,0,0,0,0.072523,0,17125992.0
2020-11-20,0,0,0,0.076611,0,18091236.0
2020-11-19,0,0,0,0.068967,0,16286132.0
2020-11-18,0,0,0,0.068218,0,16109295.0
2020-11-17,0,0,0,0.068899,0,16270022.0
2020-11-16,0,0,0,0.076647,0,18099720.0
2020-11-15,0,0,0,0.072625,0,17150076.0
2020-11-14,0,0,0,0.069284,0,16361005.0
2020-11-13,0,0,0,0.087501,0,20662990.0
2020-11-12,0,0,0,0.081399,0,19221810.0
2020-11-11,0,0,0,0.074512,0,17595588.0
2020-11-10,0,0,0,0.069727,0,16465543.0
2020-11-09,0,0,0,0.067394,0,15914707.0
2020-11-08,0,0,0,0.066217,0,15636888.0
2020-11-07,0,0,0,0.062765,0,14821536.0
2020-11-06,0,0,0,0.062595,0,14781437.0
2020-11-05,0,0,0,0.06454,0,15240856.0
2020-11-04,0,0,0,0.078656,0,18574280.0
2020-11-03,0,0,0,0.056845,0,13423726.0
2020-11-02,0,0,0,0.047553,0,11229465.0
2020-11-01,0,0,0,0.047113,0,11125384.0
2020-10-31,0,0,0,0.046518,0,10984951.0
2020-10-30,0,0,0,0.04531,0,10699799.0
2020-10-29,0,0,0,0.046232,0,10917348.0
2020-10-28,0,0,0,0.049039,0,11580309.0
2020-10-27,0,0,0,0.048742,0,11510255.0
2020-10-26,0,0,0,0.049485,0,11685609.0
2020-10-25,0,0,0,0.050789,0,11993656.0
2020-10-24,0,0,0,0.053351,0,12598595.0
2020-10-23,0,0,0,0.055104,0,13012483.0
2020-10-22,0,0,0,0.049622,0,11717879.0
2020-10-21,0,0,0,0.049533,0,11697026.0
2020-10-20,0,0,0,0.055953,0,13213032.0
2020-10-19,0,0,0,0.05941,0,14029263.0
2020-10-18,0,0,0,0.058556,0,13827573.0
