date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,0,0,0,5.37,0,1094780229.0
2020-09-29,0,0,0,5.3,0,1078728559.0
2020-09-28,0,0,0,4.84,0,985917173.0
2020-09-27,0,0,0,4.73,0,962891592.0
2020-09-26,0,0,0,4.61,0,938263489.0
2020-09-25,0,0,0,4.79,0,975192527.0
2020-09-24,0,0,0,4.49,0,913859878.0
2020-09-23,0,0,0,3.85,0,782819109.0
2020-09-22,0,0,0,4.22,0,858325548.0
2020-09-21,0,0,0,4.1,0,833058273.0
2020-09-20,0,0,0,4.67,0,948752097.0
2020-09-19,0,0,0,4.94,0,1005082804.0
2020-09-18,0,0,0,4.97,0,1009745533.0
2020-09-17,0,0,0,5.07,0,1030478402.0
2020-09-16,0,0,0,5.14,0,1044035462.0
2020-09-15,0,0,0,4.88,0,991224564.0
2020-09-14,0,0,0,5.39,0,1094614866.0
2020-09-13,0,0,0,5.28,0,1072247337.0
2020-09-12,0,0,0,5.61,0,1138856161.0
2020-09-11,0,0,0,5.36,0,1087807791.0
2020-09-10,0,0,0,5.32,0,1079024494.0
2020-09-09,0,0,0,5.33,0,1082052005.0
2020-09-08,0,0,0,4.96,0,1005060876.0
2020-09-07,0,0,0,5.05,0,1024866109.0
2020-09-06,0,0,0,5.19,0,1051132158.0
2020-09-05,0,0,0,4.93,0,998759947.0
2020-09-04,0,0,0,5.51,0,1116443921.0
2020-09-03,0,0,0,4.98,0,1009114810.0
2020-09-02,0,0,0,6.65,0,1347620013.0
2020-09-01,0,0,0,7.25,0,1467228913.0
2020-08-31,0,0,0,7.21,0,1459951910.0
2020-08-30,0,0,0,7.64,0,1545358355.0
2020-08-29,0,0,0,7.31,0,1478593135.0
2020-08-28,0,0,0,7.58,0,1533822158.0
2020-08-27,0,0,0,7.29,0,1473858750.0
2020-08-26,0,0,0,7.74,0,1565794555.0
2020-08-25,0,0,0,8.43,0,1705161435.0
2020-08-24,0,0,0,8.15,0,1647064219.0
2020-08-23,0,0,0,8.52,0,1722597379.0
2020-08-22,0,0,0,6.44,0,1300413970.0
2020-08-21,0,0,0,5.63,0,1137817406.0
2020-08-20,0,0,0,6.3,0,1272604137.0
2020-08-19,0,0,0,5.67,0,1144404908.0
2020-08-18,0,0,0,5.84,0,1178637975.0
2020-08-17,0,0,0,5.94,0,1198330581.0
2020-08-16,0,0,0,6.22,0,1255317475.0
2020-08-15,0,0,0,6.09,0,1228918286.0
2020-08-14,0,0,0,6.09,0,1229057707.0
2020-08-13,0,0,0,6.15,0,1239998020.0
2020-08-12,0,0,0,5.98,0,1204762283.0
2020-08-11,0,0,0,4.93,0,993681758.0
2020-08-10,0,0,0,5.47,0,1099103996.0
2020-08-09,0,0,0,5.28,0,1007594783.0
2020-08-08,0,0,0,4.43,0,845078255.0
2020-08-07,0,0,0,4.02,0,766657283.0
2020-08-06,0,0,0,4.18,0,796328704.0
2020-08-05,0,0,0,4.16,0,793181052.0
2020-08-04,0,0,0,4.01,0,764691242.0
2020-08-03,0,0,0,3.85,0,735071854.0
2020-08-02,0,0,0,3.89,0,742120863.0
2020-08-01,0,0,0,4.06,0,774869372.0
2020-07-31,0,0,0,3.79,0,723161289.0
2020-07-30,0,0,0,3.72,0,709252878.0
2020-07-29,0,0,0,3.64,0,694190097.0
2020-07-28,0,0,0,3.75,0,715169173.0
2020-07-27,0,0,0,3.59,0,684354568.0
2020-07-26,0,0,0,3.81,0,725576114.0
2020-07-25,0,0,0,3.91,0,744642888.0
2020-07-24,0,0,0,3.82,0,728020472.0
2020-07-23,0,0,0,3.96,0,754265670.0
2020-07-22,0,0,0,4.01,0,765255628.0
2020-07-21,0,0,0,4.0,0,762103236.0
2020-07-20,0,0,0,3.88,0,740025065.0
2020-07-19,0,0,0,4.19,0,798958573.0
2020-07-18,0,0,0,4.36,0,832076368.0
2020-07-17,0,0,0,4.14,0,789673952.0
2020-07-16,0,0,0,4.08,0,777612221.0
2020-07-15,0,0,0,4.04,0,769689603.0
2020-07-14,0,0,0,3.96,0,754206194.0
2020-07-13,0,0,0,3.88,0,739058366.0
2020-07-12,0,0,0,4.02,0,765785223.0
2020-07-11,0,0,0,3.94,0,751731837.0
2020-07-10,0,0,0,4.06,0,774380058.0
2020-07-09,0,0,0,3.8,0,724761234.0
2020-07-08,0,0,0,3.55,0,677214672.0
2020-07-07,0,0,0,3.24,0,617985797.0
2020-07-06,0,0,0,3.02,0,575771549.0
2020-07-05,0,0,0,2.93,0,557810085.0
2020-07-04,0,0,0,2.77,0,528789699.0
2020-07-03,0,0,0,2.69,0,513492592.0
2020-07-02,0,0,0,2.68,0,511481982.0
2020-07-01,0,0,0,2.66,0,506522963.0
2020-06-30,0,0,0,2.6,0,494914742.0
2020-06-29,0,0,0,2.65,0,504404467.0
2020-06-28,0,0,0,2.51,0,479393978.0
2020-06-27,0,0,0,2.44,0,465501287.0
2020-06-26,0,0,0,2.62,0,499490311.0
2020-06-25,0,0,0,2.62,0,500453596.0
2020-06-24,0,0,0,2.68,0,511788992.0
2020-06-23,0,0,0,2.77,0,528843399.0
2020-06-22,0,0,0,2.68,0,511258277.0
2020-06-21,0,0,0,2.61,0,497158696.0
2020-06-20,0,0,0,2.61,0,498494918.0
2020-06-19,0,0,0,2.59,0,494035576.0
2020-06-18,0,0,0,2.66,0,506338629.0
2020-06-17,0,0,0,2.7,0,515083561.0
2020-06-16,0,0,0,2.72,0,519336038.0
2020-06-15,0,0,0,2.71,0,517414544.0
2020-06-14,0,0,0,2.77,0,528500752.0
2020-06-13,0,0,0,2.88,0,549119484.0
2020-06-12,0,0,0,2.86,0,546035453.0
2020-06-11,0,0,0,2.77,0,528456327.0
2020-06-10,0,0,0,3.12,0,594319514.0
2020-06-09,0,0,0,3.13,0,596711681.0
2020-06-08,0,0,0,3.15,0,600388435.0
2020-06-07,0,0,0,3.03,0,577194965.0
2020-06-06,0,0,0,3.06,0,583074783.0
2020-06-05,0,0,0,3.11,0,592857482.0
2020-06-04,0,0,0,3.11,0,593369965.0
2020-06-03,0,0,0,2.9,0,553810728.0
2020-06-02,0,0,0,2.75,0,525166648.0
2020-06-01,0,0,0,2.85,0,543592368.0
2020-05-31,0,0,0,2.73,0,521429073.0
2020-05-30,0,0,0,2.81,0,536251437.0
2020-05-29,0,0,0,2.68,0,510982118.0
2020-05-28,0,0,0,2.66,0,507163100.0
2020-05-27,0,0,0,2.61,0,496907619.0
2020-05-26,0,0,0,2.58,0,491668490.0
2020-05-25,0,0,0,2.61,0,498279354.0
2020-05-24,0,0,0,2.53,0,481680258.0
2020-05-23,0,0,0,2.6,0,496493577.0
2020-05-22,0,0,0,2.65,0,505396358.0
2020-05-21,0,0,0,2.52,0,480641634.0
2020-05-20,0,0,0,2.7,0,514539982.0
2020-05-19,0,0,0,2.6,0,496347565.0
2020-05-18,0,0,0,2.59,0,494560780.0
2020-05-17,0,0,0,2.54,0,484630823.0
2020-05-16,0,0,0,2.55,0,486687214.0
2020-05-15,0,0,0,2.48,0,472155938.0
2020-05-14,0,0,0,2.52,0,480409249.0
2020-05-13,0,0,0,2.54,0,484786652.0
2020-05-12,0,0,0,2.48,0,473588943.0
2020-05-11,0,0,0,2.4,0,457418777.0
2020-05-10,0,0,0,2.52,0,480206232.0
2020-05-09,0,0,0,2.76,0,526072745.0
2020-05-08,0,0,0,2.82,0,538112562.0
2020-05-07,0,0,0,2.73,0,520243504.0
2020-05-06,0,0,0,2.67,0,509759411.0
2020-05-05,0,0,0,2.71,0,516182577.0
2020-05-04,0,0,0,2.77,0,528852463.0
2020-05-03,0,0,0,2.78,0,529569641.0
2020-05-02,0,0,0,2.88,0,548927141.0
2020-05-01,0,0,0,2.85,0,542974914.0
2020-04-30,0,0,0,2.76,0,525695229.0
2020-04-29,0,0,0,2.95,0,562808781.0
2020-04-28,0,0,0,2.81,0,536616430.0
2020-04-27,0,0,0,2.77,0,528261241.0
2020-04-26,0,0,0,2.8,0,533810175.0
2020-04-25,0,0,0,2.88,0,549671551.0
2020-04-24,0,0,0,2.76,0,525641122.0
2020-04-23,0,0,0,2.41,0,458605977.0
2020-04-22,0,0,0,2.38,0,453652393.0
2020-04-21,0,0,0,2.29,0,436267918.0
2020-04-20,0,0,0,2.29,0,436303813.0
