date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,0,0,0,19.09,0,1346241555.0
2020-09-29,0,0,0,19.78,0,1395515330.0
2020-09-28,0,0,0,20.13,0,1419725865.0
2020-09-27,0,0,0,21.17,0,1493003523.0
2020-09-26,0,0,0,21.15,0,1491921967.0
2020-09-25,0,0,0,21.38,0,1508269698.0
2020-09-24,0,0,0,21.85,0,1540948862.0
2020-09-23,0,0,0,19.68,0,1388232730.0
2020-09-22,0,0,0,20.2,0,1425122153.0
2020-09-21,0,0,0,20.19,0,1424124905.0
2020-09-20,0,0,0,23.66,0,1669106078.0
2020-09-19,0,0,0,24.62,0,1736872221.0
2020-09-18,0,0,0,25.29,0,1783753893.0
2020-09-17,0,0,0,23.75,0,1675634287.0
2020-09-16,0,0,0,21.04,0,1484476647.0
2020-09-15,0,0,0,20.23,0,1427263399.0
2020-09-14,0,0,0,22.03,0,1554136306.0
2020-09-13,0,0,0,20.29,0,1431241341.0
2020-09-12,0,0,0,21.69,0,1529845084.0
2020-09-11,0,0,0,20.39,0,1438638022.0
2020-09-10,0,0,0,18.45,0,1301721661.0
2020-09-09,0,0,0,17.31,0,1220869144.0
2020-09-08,0,0,0,17.06,0,1203682641.0
2020-09-07,0,0,0,18.17,0,1281994276.0
2020-09-06,0,0,0,17.21,0,1213699011.0
2020-09-05,0,0,0,16.92,0,1193445525.0
2020-09-04,0,0,0,19.07,0,1345055395.0
2020-09-03,0,0,0,17.94,0,1265605326.0
2020-09-02,0,0,0,20.36,0,1436295731.0
2020-09-01,0,0,0,21.46,0,1513803189.0
2020-08-31,0,0,0,20.5,0,1446273899.0
2020-08-30,0,0,0,20.7,0,1460075412.0
2020-08-29,0,0,0,21.29,0,1502032116.0
2020-08-28,0,0,0,18.35,0,1294135903.0
2020-08-27,0,0,0,17.66,0,1245792364.0
2020-08-26,0,0,0,17.4,0,1227621804.0
2020-08-25,0,0,0,17.11,0,1206999621.0
2020-08-24,0,0,0,18.15,0,1280102655.0
2020-08-23,0,0,0,18.2,0,1283920528.0
